리노공업(058470),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-12-18,4358,4358,4358,4358,87405,66300.0,6630000.0
2001-12-19,4062,4271,3835,3835,140059,58344.0,6630000.0
2001-12-20,3377,3660,3377,3560,274872,54167.0,6630000.0
2001-12-21,3486,3988,3399,3988,455724,60664.0,6630000.0
2001-12-24,3883,3922,3512,3512,170578,53438.0,6630000.0
2001-12-26,3404,3574,3269,3269,94639,49725.0,6630000.0
2001-12-27,3103,3307,3103,3159,36687,48068.0,6630000.0
2001-12-28,3182,3417,3182,3321,35306,50521.0,6630000.0
2002-01-02,3333,3351,3228,3255,27530,49526.0,6630000.0
2002-01-03,3255,3530,3255,3421,47415,52046.0,6630000.0
2002-01-04,3487,3552,3425,3491,37407,53106.0,6630000.0
2002-01-07,3530,3573,3277,3391,16050,51581.0,6630000.0
2002-01-08,3399,3486,3312,3487,23268,53040.0,6630000.0
2002-01-09,3539,3744,3412,3661,53325,55692.0,6630000.0
2002-01-10,3573,3792,3469,3613,39895,54963.0,6630000.0
2002-01-11,3617,3617,3403,3508,15869,53372.0,6630000.0
2002-01-14,3656,3656,3494,3552,28253,54034.0,6630000.0
2002-01-15,3486,3551,3203,3404,21486,51780.0,6630000.0
2002-01-16,3185,3482,3185,3356,13909,51051.0,6630000.0
2002-01-17,3203,3334,3181,3182,13854,48399.0,6630000.0
2002-01-18,3138,3356,3073,3095,28819,47073.0,6630000.0
2002-01-21,3095,3243,3095,3095,43431,47073.0,6630000.0
2002-01-22,3094,3464,3094,3464,188275,52708.0,6630000.0
2002-01-23,3460,3478,3269,3321,105533,50521.0,6630000.0
2002-01-24,3442,3530,3329,3330,75263,50653.0,6630000.0
2002-01-25,3333,3726,3333,3726,121619,56686.0,6630000.0
2002-01-28,3835,4171,3791,4171,96965,63449.0,6630000.0
2002-01-29,4467,4664,4171,4664,128329,70941.0,6630000.0
2002-01-30,4467,5208,4446,5208,234894,79228.0,6630000.0
2002-01-31,5818,5818,5491,5818,123952,88510.0,6630000.0
2002-02-01,5797,6385,5121,5187,177880,78897.0,6630000.0
2002-02-04,5316,5795,4793,5796,200241,88179.0,6630000.0
2002-02-05,5840,6472,5622,6472,268093,98456.0,6630000.0
2002-02-06,6537,6668,5709,5709,155797,86853.0,6630000.0
2002-02-07,5448,5579,5034,5034,218771,76576.0,6630000.0
2002-02-08,5099,5099,4445,4532,133527,68952.0,6630000.0
2002-02-14,4685,4815,4489,4576,175262,69615.0,6630000.0
2002-02-15,4576,5055,4532,4881,189264,74256.0,6630000.0
2002-02-18,4816,4925,4337,4489,124558,68289.0,6630000.0
2002-02-19,4358,4576,4271,4402,108534,66963.0,6630000.0
2002-02-20,4183,4902,4183,4554,158290,69284.0,6630000.0
2002-02-21,4794,5099,4663,5099,208305,77571.0,6630000.0
2002-02-22,5229,5535,5099,5099,189319,77571.0,6630000.0
2002-02-25,5317,5709,5186,5709,217002,86853.0,6630000.0
2002-02-26,5709,5883,5121,5274,343171,80223.0,6630000.0
2002-02-27,5273,5513,5099,5230,235047,79560.0,6630000.0
2002-02-28,5447,5447,4619,4925,309821,74919.0,6630000.0
2002-03-04,5055,5470,4969,5405,277552,82212.0,6630000.0
2002-03-05,5404,6036,5404,5774,376499,87848.0,6630000.0
2002-03-06,5688,5971,5470,5535,176517,84201.0,6630000.0
2002-03-07,5644,5906,5557,5557,181096,84532.0,6630000.0
2002-03-08,5578,5795,5229,5796,137555,88179.0,6630000.0
2002-03-11,5970,6254,5774,5927,253493,90168.0,6630000.0
2002-03-12,6057,6145,5796,5818,115463,88510.0,6630000.0
2002-03-13,5665,5818,5556,5666,113246,86190.0,6630000.0
2002-03-14,5534,5665,5273,5469,94423,83206.0,6630000.0
2002-03-15,5295,5818,5295,5644,138022,85858.0,6630000.0
2002-03-18,5600,5970,5600,5883,158934,89505.0,6630000.0
2002-03-19,5883,6188,5709,6014,175476,91494.0,6630000.0
2002-03-20,6145,6733,6057,6733,459227,102434.0,6630000.0
2002-03-21,6733,7082,6493,6493,614403,98787.0,6630000.0
2002-03-22,6537,6886,6363,6385,194444,97130.0,6630000.0
2002-03-25,6362,6841,6362,6537,205845,99450.0,6630000.0
2002-03-26,6755,6755,5970,6058,162982,92157.0,6630000.0
2002-03-27,6101,6210,5883,6058,159753,92157.0,6630000.0
2002-03-28,5970,6362,5970,6363,184968,96798.0,6630000.0
2002-03-29,6385,6559,6036,6036,145495,91826.0,6630000.0
2002-04-01,6014,6188,5447,5448,169158,82875.0,6630000.0
2002-04-02,5469,5753,5404,5687,120631,86522.0,6630000.0
2002-04-03,5731,5862,5448,5557,102395,84532.0,6630000.0
2002-04-04,5404,5578,5404,5492,49453,83538.0,6630000.0
2002-04-08,5404,5709,5404,5513,65908,83870.0,6630000.0
2002-04-09,5601,5797,5513,5579,100303,84864.0,6630000.0
2002-04-10,5665,5665,5099,5230,107199,79560.0,6630000.0
2002-04-11,5251,5360,5142,5274,42654,80223.0,6630000.0
2002-04-12,5077,5229,4859,4881,68295,74256.0,6630000.0
2002-04-15,4794,5447,4794,5121,135691,77902.0,6630000.0
2002-04-16,4990,5317,4990,5317,57948,80886.0,6630000.0
2002-04-17,5425,5556,5251,5295,143578,80554.0,6630000.0
2002-04-18,5295,5338,5012,5055,93782,76908.0,6630000.0
2002-04-19,4969,5121,4576,4794,151269,72930.0,6630000.0
2002-04-22,4598,4794,4228,4271,139536,64974.0,6630000.0
2002-04-23,4097,4184,3792,4141,119209,62985.0,6630000.0
2002-04-24,4205,4314,4114,4162,48906,63316.0,6630000.0
2002-04-25,3705,4140,3665,3770,57185,57350.0,6630000.0
2002-04-26,3770,3944,3705,3923,44384,59670.0,6630000.0
2002-04-29,3574,4271,3539,3966,112634,60333.0,6630000.0
2002-04-30,4009,4096,3704,3953,27473,60134.0,6630000.0
2002-05-02,3987,4131,3953,4010,23557,60996.0,6630000.0
2002-05-03,3922,4205,3922,4127,34516,62786.0,6630000.0
2002-05-06,4001,4228,4001,4093,17538,62256.0,6630000.0
2002-05-07,4088,4088,3883,3966,32798,60333.0,6630000.0
2002-05-08,3970,4228,3970,4119,47433,62654.0,6630000.0
2002-05-09,4315,4315,4032,4097,26252,62322.0,6630000.0
2002-05-10,4010,4071,3901,3918,25883,59604.0,6630000.0
2002-05-13,3800,4005,3800,3900,13346,59338.0,6630000.0
2002-05-14,3922,4009,3856,3857,19044,58676.0,6630000.0
2002-05-15,3926,4009,3878,3957,30718,60200.0,6630000.0
2002-05-16,3900,3961,3856,3900,37696,59338.0,6630000.0
2002-05-17,3904,4140,3904,4075,82351,61990.0,6630000.0
2002-05-20,4135,4554,4074,4554,202035,69284.0,6630000.0
2002-05-21,4424,4794,4254,4315,139174,65637.0,6630000.0
2002-05-22,4358,4358,4201,4337,41682,65968.0,6630000.0
2002-05-23,4346,4489,3966,3966,50236,60333.0,6630000.0
2002-05-24,3966,4053,3800,3975,44452,60466.0,6630000.0
2002-05-27,3983,3983,3804,3805,29388,57880.0,6630000.0
2002-05-28,3835,3869,3708,3753,22425,57084.0,6630000.0
2002-05-29,3661,3705,3574,3574,19772,54366.0,6630000.0
2002-05-30,3400,3565,3400,3400,23235,51714.0,6630000.0
2002-05-31,3403,3639,3312,3312,24039,50388.0,6630000.0
2002-06-03,3225,3394,3194,3238,30143,49261.0,6630000.0
2002-06-04,3225,3355,3146,3312,26095,50388.0,6630000.0
2002-06-05,3338,3530,3312,3412,24008,51913.0,6630000.0
2002-06-07,3355,3399,3269,3356,20943,51051.0,6630000.0
2002-06-10,3442,3599,3386,3464,24912,52708.0,6630000.0
2002-06-11,3530,3618,3465,3618,24638,55029.0,6630000.0
2002-06-12,3617,3691,3530,3534,37415,53769.0,6630000.0
2002-06-14,3499,3556,3442,3512,24093,53438.0,6630000.0
2002-06-17,3473,3551,3408,3408,11867,51847.0,6630000.0
2002-06-18,3469,3552,3421,3425,19039,52112.0,6630000.0
2002-06-19,3339,3413,3099,3225,15598,49062.0,6630000.0
2002-06-20,3247,3247,3020,3247,10608,49394.0,6630000.0
2002-06-21,3268,3299,3224,3290,17937,50056.0,6630000.0
2002-06-24,3316,3399,3151,3299,18017,50189.0,6630000.0
2002-06-25,3277,3356,3182,3304,6894,50255.0,6630000.0
2002-06-26,3137,3181,2911,3116,20597,47404.0,6630000.0
2002-06-27,3177,3264,3068,3177,8308,48333.0,6630000.0
2002-06-28,3190,3530,3181,3530,17560,53703.0,6630000.0
2002-07-02,3442,3455,3312,3456,24837,52576.0,6630000.0
2002-07-03,3443,3683,3317,3618,28411,55029.0,6630000.0
2002-07-04,3617,3660,3469,3556,45211,54101.0,6630000.0
2002-07-05,3504,3682,3504,3591,42739,54631.0,6630000.0
2002-07-08,3835,3835,3460,3460,47330,52642.0,6630000.0
2002-07-09,3460,3617,3442,3512,21669,53438.0,6630000.0
2002-07-10,3509,3509,3425,3443,12907,52377.0,6630000.0
2002-07-11,3303,3438,3303,3386,13473,51515.0,6630000.0
2002-07-12,3386,3486,3355,3464,26258,52708.0,6630000.0
2002-07-15,3487,3517,3360,3400,20257,51714.0,6630000.0
2002-07-16,3346,3469,3333,3338,22004,50786.0,6630000.0
2002-07-18,3399,3408,3339,3378,17511,51382.0,6630000.0
2002-07-19,3360,3360,3181,3216,11037,48929.0,6630000.0
2002-07-22,2924,3050,2832,2833,37939,43095.0,6630000.0
2002-07-23,2823,2920,2658,2833,48513,43095.0,6630000.0
2002-07-24,2828,2828,2701,2767,9239,42100.0,6630000.0
2002-07-25,2919,2994,2832,2859,39563,43493.0,6630000.0
2002-07-26,2793,2793,2693,2763,10247,42034.0,6630000.0
2002-07-29,2833,2833,2663,2672,11511,40642.0,6630000.0
2002-07-30,2728,2810,2723,2732,17756,41570.0,6630000.0
2002-07-31,2693,2833,2693,2798,6786,42565.0,6630000.0
2002-08-01,2706,2815,2701,2759,9390,41968.0,6630000.0
2002-08-02,2601,2832,2601,2833,11082,43095.0,6630000.0
2002-08-05,2745,2789,2640,2641,13155,40178.0,6630000.0
2002-08-06,2528,2637,2519,2532,8506,38520.0,6630000.0
