메타바이오메드(059210),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-04-15,5305,5496,4520,4522,2284527,53250.0,5000000.0
2008-04-16,4330,4563,4134,4458,1006303,52500.0,5000000.0
2008-04-17,4605,4647,4040,4042,706745,47600.0,5000000.0
2008-04-18,4050,4393,3952,3999,735591,47100.0,5000000.0
2008-04-21,4117,4237,4054,4084,402646,48100.0,5000000.0
2008-04-22,4105,4521,4100,4415,1037674,52000.0,5000000.0
2008-04-23,4479,4542,4245,4394,474033,51750.0,5000000.0
2008-04-24,4330,4393,4177,4177,286998,49200.0,5000000.0
2008-04-25,4224,4797,4181,4458,1811370,52500.0,5000000.0
2008-04-28,4520,5114,4499,5116,1620214,60250.0,5000000.0
2008-04-29,5519,5816,4351,4606,3107867,54250.0,5000000.0
2008-04-30,4562,4966,4392,4925,1654266,58000.0,5000000.0
2008-05-02,5114,5411,4732,4925,1304630,58000.0,5000000.0
2008-05-06,5051,5051,4753,4840,483413,57000.0,5000000.0
2008-05-07,4839,4924,4648,4755,383541,56000.0,5000000.0
2008-05-08,4668,4753,4413,4543,499431,53500.0,5000000.0
2008-05-09,4583,4647,4350,4373,218203,51500.0,5000000.0
2008-05-13,4371,4520,4095,4114,354606,48450.0,5000000.0
2008-05-14,4125,4125,3832,3889,456111,45800.0,5000000.0
2008-05-15,3904,4010,3773,3927,310091,46250.0,5000000.0
2008-05-16,3935,3965,3778,3821,137173,45000.0,5000000.0
2008-05-19,3854,3884,3714,3715,195441,43750.0,5000000.0
2008-05-20,3670,3675,3462,3503,269122,41250.0,5000000.0
2008-05-21,3374,3502,3290,3290,248288,38750.0,5000000.0
2008-05-22,3268,3328,3111,3303,321434,38900.0,5000000.0
2008-05-23,3310,3480,3310,3312,238913,39000.0,5000000.0
2008-05-26,3370,3808,3311,3804,402798,44800.0,5000000.0
2008-05-27,3693,3761,3481,3545,358993,41750.0,5000000.0
2008-05-28,3583,3599,3268,3269,202045,38500.0,5000000.0
2008-05-29,3290,3413,3230,3231,143925,38050.0,5000000.0
2008-05-30,3259,3467,3242,3350,210594,39450.0,5000000.0
2008-06-02,3421,3494,3349,3447,174420,40600.0,5000000.0
2008-06-03,3446,3947,3294,3375,589615,39750.0,5000000.0
2008-06-04,3379,3442,3353,3396,118757,40000.0,5000000.0
2008-06-05,3399,3471,3331,3333,95267,39250.0,5000000.0
2008-06-09,3208,3263,3148,3180,87714,37450.0,5000000.0
2008-06-10,3187,3307,3120,3171,117809,37350.0,5000000.0
2008-06-11,3191,3556,3153,3401,310098,40050.0,5000000.0
2008-06-12,3480,3522,3352,3354,135294,39500.0,5000000.0
2008-06-13,3396,3396,3187,3252,83052,38300.0,5000000.0
2008-06-16,3213,3311,3213,3248,57143,38250.0,5000000.0
2008-06-17,3267,3514,3212,3439,309785,40500.0,5000000.0
2008-06-18,3421,3498,3387,3451,167234,40650.0,5000000.0
2008-06-19,3451,3608,3421,3528,323507,41550.0,5000000.0
2008-06-20,3578,3629,3459,3515,162335,41400.0,5000000.0
2008-06-23,3481,3485,3307,3358,98020,39550.0,5000000.0
2008-06-24,3314,3522,3314,3524,126725,41500.0,5000000.0
2008-06-25,3566,3595,3383,3396,115059,40000.0,5000000.0
2008-06-26,3400,3417,3315,3341,89966,39350.0,5000000.0
2008-06-27,3225,3301,3182,3261,84347,38400.0,5000000.0
2008-06-30,3226,3285,2924,3044,104838,35850.0,5000000.0
