KT서브마린(060370),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-02-15,5000,5000,5000,5000,179979,109500.0,4380000.0
2002-02-18,4400,4640,4400,4400,119948,96360.0,4380000.0
2002-02-19,4100,4200,3880,3880,302550,84972.0,4380000.0
2002-02-20,3730,4070,3660,3920,182679,85848.0,4380000.0
2002-02-21,3920,4390,3920,4390,164149,96141.0,4380000.0
2002-02-22,4390,4830,4310,4530,218435,99207.0,4380000.0
2002-02-25,4420,4700,4340,4560,129707,99864.0,4380000.0
2002-02-26,4660,4660,4460,4460,72518,97674.0,4380000.0
2002-02-27,4460,4560,4100,4290,84735,93951.0,4380000.0
2002-02-28,4210,4440,4190,4340,61342,95046.0,4380000.0
2002-03-04,4360,4560,4340,4490,106451,98331.0,4380000.0
2002-03-05,4460,4730,4370,4390,97882,96141.0,4380000.0
2002-03-06,4430,4540,4310,4450,58822,97455.0,4380000.0
2002-03-07,4540,4980,4510,4980,140170,109062.0,4380000.0
2002-03-08,5160,5570,5160,5570,53854,121983.0,4380000.0
2002-03-11,6230,6230,6230,6230,15506,136437.0,4380000.0
2002-03-12,6900,6900,5660,6000,365369,131400.0,4380000.0
2002-03-13,6140,6720,5730,6720,241998,147168.0,4380000.0
2002-03-14,7200,7500,6640,6660,287662,145854.0,4380000.0
2002-03-15,6360,7000,6360,6480,180117,141912.0,4380000.0
2002-03-18,6620,6640,6040,6100,90450,133590.0,4380000.0
2002-03-19,6040,6440,5900,6120,152811,134028.0,4380000.0
2002-03-20,6070,6310,6000,6000,89389,131400.0,4380000.0
2002-03-21,5900,6100,5780,5800,55715,127020.0,4380000.0
2002-03-22,5800,6490,5800,6490,192366,142131.0,4380000.0
2002-03-25,6620,6800,6160,6220,155452,136218.0,4380000.0
2002-03-26,6380,6890,6210,6880,180112,150672.0,4380000.0
2002-03-27,7000,7700,6720,6880,276583,150672.0,4380000.0
2002-03-28,6920,7570,6880,7000,168519,153300.0,4380000.0
2002-03-29,7100,7840,7000,7840,209040,171696.0,4380000.0
2002-04-01,8320,8700,7400,7710,227887,168849.0,4380000.0
2002-04-02,7799,8400,7520,8190,194882,179361.0,4380000.0
2002-04-03,8029,8700,7900,8050,212770,176295.0,4380000.0
2002-04-04,7920,8200,7460,7570,143476,165783.0,4380000.0
2002-04-08,7400,7589,7100,7130,83227,156147.0,4380000.0
2002-04-09,7200,7500,6900,7200,105250,157680.0,4380000.0
2002-04-10,7000,7200,6400,6400,90343,140160.0,4380000.0
2002-04-11,6230,6750,6230,6560,83808,143664.0,4380000.0
2002-04-12,6400,6480,6180,6220,69259,136218.0,4380000.0
2002-04-15,6200,6480,6200,6360,53929,139284.0,4380000.0
2002-04-16,6300,6600,6270,6600,73232,144540.0,4380000.0
2002-04-17,6800,6820,6560,6560,67836,143664.0,4380000.0
2002-04-18,6600,6620,6300,6330,58797,138627.0,4380000.0
2002-04-19,6330,6540,6090,6140,86490,134466.0,4380000.0
2002-04-22,6220,6310,5440,5680,88220,124392.0,4380000.0
2002-04-23,5500,5600,5220,5500,70761,120450.0,4380000.0
2002-04-24,5389,5580,5100,5100,62501,111690.0,4380000.0
2002-04-25,4920,5000,4700,4700,78550,102930.0,4380000.0
2002-04-26,4700,4970,4700,4880,51213,106872.0,4380000.0
2002-04-29,4760,5440,4660,5080,75318,111252.0,4380000.0
2002-04-30,5160,5260,4820,4860,71681,106434.0,4380000.0
2002-05-02,4860,5080,4860,4980,63920,109062.0,4380000.0
2002-05-03,4900,5000,4660,4740,70364,103806.0,4380000.0
2002-05-06,4690,4890,4540,4600,123792,100740.0,4380000.0
2002-05-07,4440,4540,4440,4520,43801,98988.0,4380000.0
2002-05-08,4600,4740,4520,4520,68745,98988.0,4380000.0
2002-05-09,4640,5060,4560,5060,210465,110814.0,4380000.0
2002-05-10,4940,5160,4740,4910,103522,107529.0,4380000.0
2002-05-13,4820,5100,4820,5080,81080,111252.0,4380000.0
2002-05-14,5120,5630,5080,5220,244386,114318.0,4380000.0
2002-05-15,5260,5840,5260,5840,233517,127896.0,4380000.0
2002-05-16,5840,5840,5840,5840,0,127896.0,4380000.0
2002-05-17,6000,6060,5720,5820,212414,127458.0,4380000.0
2002-05-20,5720,5900,5500,5520,98864,120888.0,4380000.0
2002-05-21,5520,5520,4980,5240,102762,114756.0,4380000.0
2002-05-22,5060,5660,5060,5300,116024,116070.0,4380000.0
2002-05-23,5210,5470,5000,5000,58334,109500.0,4380000.0
2002-05-24,5100,5140,4770,4850,56315,106215.0,4380000.0
2002-05-27,4710,4940,4710,4780,51329,104682.0,4380000.0
2002-05-28,4780,4820,4610,4700,41292,102930.0,4380000.0
