씨티씨바이오(060590),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-02-21,4204,4204,4204,4205,101478,30655.0,2892000.0
2002-02-22,3708,4124,3708,3709,244290,27040.0,2892000.0
2002-02-25,3706,3706,3265,3277,183251,23888.0,2892000.0
2002-02-26,3276,3483,3105,3274,109673,23859.0,2892000.0
2002-02-27,3288,3450,3232,3254,78852,23714.0,2892000.0
2002-02-28,3251,3410,3101,3412,81985,24871.0,2892000.0
2002-03-04,3571,3821,3571,3820,270851,27850.0,2892000.0
2002-03-05,3799,3807,3501,3590,230987,26173.0,2892000.0
2002-03-06,3650,3650,3363,3431,95016,25016.0,2892000.0
2002-03-07,3490,3510,3330,3380,63179,24640.0,2892000.0
2002-03-08,3387,3450,3351,3431,55803,25016.0,2892000.0
2002-03-11,3470,3668,3470,3570,79656,26028.0,2892000.0
2002-03-12,3732,3732,3490,3492,50535,25450.0,2892000.0
2002-03-13,3375,3463,3332,3353,35846,24437.0,2892000.0
2002-03-14,3221,3289,3221,3257,37957,23743.0,2892000.0
2002-03-15,3185,3319,3185,3254,37303,23714.0,2892000.0
2002-03-18,3313,3375,3273,3333,40680,24293.0,2892000.0
2002-03-19,3331,3395,3296,3365,23676,24524.0,2892000.0
2002-03-20,3370,3410,3232,3234,41572,23570.0,2892000.0
2002-03-21,3212,3236,3129,3130,48351,22818.0,2892000.0
2002-03-22,3272,3272,3133,3198,37487,23310.0,2892000.0
2002-03-25,3196,3196,3138,3166,35646,23078.0,2892000.0
2002-03-26,3164,3229,3121,3150,20590,22962.0,2892000.0
2002-03-27,3169,3269,3169,3218,33232,23454.0,2892000.0
2002-03-28,3217,3351,3217,3321,62217,24206.0,2892000.0
2002-03-29,3335,3370,3208,3221,43341,23483.0,2892000.0
2002-04-01,3269,3475,3221,3274,117423,23859.0,2892000.0
2002-04-02,3280,3356,3213,3313,34396,24148.0,2892000.0
2002-04-03,3391,3490,3313,3333,46740,24293.0,2892000.0
2002-04-04,3332,3443,3273,3313,27949,24148.0,2892000.0
2002-04-08,3330,3387,3240,3297,18627,24033.0,2892000.0
2002-04-09,3312,3312,3185,3254,18223,23714.0,2892000.0
2002-04-10,2864,3253,2864,2865,58405,20880.0,2892000.0
2002-04-11,2899,2899,2717,2789,24474,20331.0,2892000.0
2002-04-12,2771,2776,2697,2697,15128,19666.0,2892000.0
2002-04-15,2697,2836,2697,2757,13000,20099.0,2892000.0
2002-04-16,2661,2757,2661,2726,8799,19868.0,2892000.0
2002-04-17,2776,2884,2744,2757,27120,20099.0,2892000.0
2002-04-18,2776,2851,2681,2730,12601,19897.0,2892000.0
2002-04-19,2757,2757,2578,2607,16014,19000.0,2892000.0
2002-04-22,2586,2657,2296,2297,46191,16745.0,2892000.0
2002-04-23,2217,2217,2023,2103,84797,15328.0,2892000.0
2002-04-24,2173,2173,2046,2063,36221,15038.0,2892000.0
2002-04-25,1982,2054,1951,2035,27611,14836.0,2892000.0
2002-04-26,2038,2261,2015,2262,13016,16484.0,2892000.0
