화일약품(061250),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-04-18,7102,7102,7102,7102,21260,71520.0,2400000.0
2002-04-19,7150,7150,6256,6256,138785,63000.0,2400000.0
2002-04-22,5600,5839,5505,5505,9782,55440.0,2400000.0
2002-04-23,4850,4850,4850,4850,1587,48840.0,2400000.0
2002-04-24,4445,4910,4278,4278,118816,43080.0,2400000.0
2002-04-25,4790,4790,4528,4790,101781,48240.0,2400000.0
2002-04-26,4898,4909,4457,4552,54930,45840.0,2400000.0
2002-04-29,4480,4742,4015,4075,26348,41040.0,2400000.0
2002-04-30,3992,4313,3908,4015,26312,40440.0,2400000.0
2002-05-02,4051,4182,3968,4015,23189,40440.0,2400000.0
2002-05-03,4028,4135,3944,4135,16387,41640.0,2400000.0
2002-05-06,4087,4624,3932,4623,54806,46560.0,2400000.0
2002-05-07,4528,4862,4409,4409,33307,44400.0,2400000.0
2002-05-08,4385,4743,4290,4325,34467,43560.0,2400000.0
2002-05-09,4528,4838,4433,4838,49266,48720.0,2400000.0
2002-05-10,4838,5243,4767,4909,76306,49440.0,2400000.0
2002-05-13,4909,5493,4671,5398,85892,54360.0,2400000.0
2002-05-14,5624,5720,5064,5243,63002,52800.0,2400000.0
2002-05-15,5124,5338,5124,5183,15749,52200.0,2400000.0
2002-05-16,5124,5255,4767,4766,18433,48000.0,2400000.0
2002-05-17,4552,4826,4552,4730,15065,47640.0,2400000.0
2002-05-20,4731,4742,4504,4528,24058,45600.0,2400000.0
2002-05-21,4528,4671,4314,4397,21909,44280.0,2400000.0
2002-05-22,4421,4921,4373,4909,45554,49440.0,2400000.0
2002-05-23,4862,4862,4409,4409,20701,44400.0,2400000.0
2002-05-24,4528,4611,4445,4444,12365,44760.0,2400000.0
2002-05-27,4349,4409,4052,4123,12859,41520.0,2400000.0
2002-05-28,4004,4313,4004,4146,9058,41760.0,2400000.0
2002-05-29,4004,4266,3980,4003,8983,40320.0,2400000.0
2002-05-30,3932,4028,3789,3837,9676,38640.0,2400000.0
2002-05-31,3944,3956,3777,3860,5336,38880.0,2400000.0
2002-06-03,3575,3885,3575,3622,7254,36480.0,2400000.0
2002-06-04,3503,3777,3455,3515,5842,35400.0,2400000.0
2002-06-05,3563,3694,3527,3575,12155,36000.0,2400000.0
2002-06-07,3551,3658,3456,3575,7217,36000.0,2400000.0
2002-06-10,3694,3932,3599,3670,9415,36960.0,2400000.0
2002-06-11,3909,3909,3670,3718,2194,37440.0,2400000.0
2002-06-12,3611,3885,3611,3646,1932,36720.0,2400000.0
2002-06-14,3706,3706,3610,3670,3037,36960.0,2400000.0
2002-06-17,3622,3646,3456,3455,8869,34800.0,2400000.0
2002-06-18,3491,3539,3456,3455,3336,34800.0,2400000.0
2002-06-19,3479,3479,3051,3050,5003,30720.0,2400000.0
2002-06-20,3027,3194,2765,2919,7187,29400.0,2400000.0
2002-06-21,2967,2967,2800,2860,4710,28800.0,2400000.0
2002-06-24,2800,2848,2526,2526,14491,25440.0,2400000.0
2002-06-25,2610,2824,2538,2693,27509,27120.0,2400000.0
2002-06-26,2622,2622,2371,2431,24711,24480.0,2400000.0
2002-06-27,2455,2574,2431,2502,5681,25200.0,2400000.0
2002-06-28,2526,2705,2526,2621,8253,26400.0,2400000.0
2002-07-02,2479,2717,2443,2621,4881,26400.0,2400000.0
2002-07-03,2645,2741,2526,2740,7077,27600.0,2400000.0
2002-07-04,2788,3062,2717,3026,15198,30480.0,2400000.0
2002-07-05,2979,3098,2955,3050,14304,30720.0,2400000.0
2002-07-08,3074,3384,2884,2991,4491,30120.0,2400000.0
2002-07-09,3146,3277,2979,3098,4671,31200.0,2400000.0
2002-07-10,3075,3218,3027,3217,6502,32400.0,2400000.0
2002-07-11,3003,3169,3003,3086,2671,31080.0,2400000.0
2002-07-12,3098,3420,3098,3420,5263,34440.0,2400000.0
2002-07-15,3551,3825,3146,3694,27449,37200.0,2400000.0
2002-07-16,3575,3837,3456,3598,6333,36240.0,2400000.0
2002-07-18,3539,3777,3289,3384,10731,34080.0,2400000.0
2002-07-19,3241,3325,3122,3324,3213,33480.0,2400000.0
2002-07-22,2943,3336,2943,3122,3255,31440.0,2400000.0
2002-07-23,3217,3408,3003,3408,5445,34320.0,2400000.0
2002-07-24,3277,3361,3075,3217,4059,32400.0,2400000.0
2002-07-25,3456,3456,3265,3265,8377,32880.0,2400000.0
2002-07-26,3265,3527,3217,3241,5153,32640.0,2400000.0
