홈캐스트(064240),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-06-11,6800,7600,6800,7600,403074,71820.0,6300000.0
2003-06-12,8500,8500,8133,8500,310038,80325.0,6300000.0
2003-06-13,9200,9200,7667,7866,1113900,74340.0,6300000.0
2003-06-16,7633,8133,7633,7733,171861,73080.0,6300000.0
2003-06-17,7733,8133,7633,7933,410223,74970.0,6300000.0
2003-06-18,7767,8000,7267,7400,212476,69930.0,6300000.0
2003-06-19,7667,8267,7667,8266,901715,78120.0,6300000.0
2003-06-20,8467,9233,8400,9233,1010515,87255.0,6300000.0
2003-06-23,9600,9833,8600,9366,1006515,88515.0,6300000.0
2003-06-24,9133,9633,8967,9133,356366,86310.0,6300000.0
2003-06-25,9033,9433,8700,9133,415059,86310.0,6300000.0
2003-06-26,8933,9100,8400,8600,267888,81270.0,6300000.0
2003-06-27,8833,8833,7667,8266,458464,78120.0,6300000.0
2003-06-30,8267,8267,7867,8000,170169,75600.0,6300000.0
2003-07-01,8000,8333,7933,8333,277923,78750.0,6300000.0
2003-07-02,8400,8467,8033,8333,266569,78750.0,6300000.0
2003-07-03,8433,8933,8333,8533,466108,80640.0,6300000.0
2003-07-04,8567,9133,8567,8933,334636,84420.0,6300000.0
2003-07-07,9067,9333,8733,8966,359446,84735.0,6300000.0
2003-07-08,9100,9267,8200,8333,206914,78750.0,6300000.0
2003-07-09,8467,8900,8400,8733,197020,82530.0,6300000.0
2003-07-10,8733,9400,8733,9400,377545,88830.0,6300000.0
2003-07-11,9133,9200,8567,8933,431563,84420.0,6300000.0
2003-07-14,9067,9067,8667,8866,294209,83790.0,6300000.0
2003-07-15,9000,9367,8800,8900,495688,84105.0,6300000.0
2003-07-16,8867,8967,8100,8333,284371,78750.0,6300000.0
2003-07-18,7900,8200,7800,8100,124803,76545.0,6300000.0
2003-07-21,7800,8000,7567,7600,122986,71820.0,6300000.0
2003-07-22,7433,7933,7100,7500,251830,70875.0,6300000.0
2003-07-23,7500,8000,7267,7633,228559,72135.0,6300000.0
2003-07-24,7533,7700,7133,7600,249502,71820.0,6300000.0
2003-07-25,7567,8067,7433,8000,192490,83573.0,6964444.0
2003-07-28,8200,8767,8133,8600,373462,89841.0,6964444.0
2003-07-29,8600,9000,8600,8866,265179,92627.0,6964444.0
2003-07-30,9133,9267,8500,8533,254226,89145.0,6964444.0
2003-07-31,8867,9133,8533,8600,261898,89841.0,6964444.0
2003-08-01,8667,9033,8600,8600,230355,89841.0,6964444.0
2003-08-04,8367,8800,8267,8466,111313,88448.0,6964444.0
2003-08-05,8533,8867,8533,8833,160523,92279.0,6964444.0
2003-08-06,8667,8867,8467,8666,139044,90538.0,6964444.0
2003-08-07,8667,9500,8667,9266,584999,96806.0,6964444.0
2003-08-08,9300,9300,8900,9000,246742,94020.0,6964444.0
2003-08-11,9000,9467,8667,9266,902411,96806.0,6964444.0
2003-08-12,9433,9533,9133,9400,810130,98199.0,6964444.0
2003-08-13,9633,9900,9367,9766,921325,102029.0,6964444.0
2003-08-14,9800,9867,9567,9800,520155,102377.0,6964444.0
2003-08-18,10100,10467,9700,9700,689370,101333.0,6964444.0
2003-08-19,9767,9800,9067,9200,385844,96109.0,6964444.0
2003-08-20,9267,9633,9200,9633,244761,100636.0,6964444.0
2003-08-21,9467,9633,9133,9133,282558,95413.0,6964444.0
2003-08-22,9133,9500,9033,9333,302645,97502.0,6964444.0
2003-08-25,9467,9733,9400,9666,321094,100984.0,6964444.0
2003-08-26,9733,10133,9500,10000,511177,104467.0,6964444.0
2003-08-27,10633,10700,9767,10033,699154,104815.0,6964444.0
2003-08-28,10000,10167,9533,9733,308043,101681.0,6964444.0
2003-08-29,9700,10033,9567,9933,288038,103770.0,6964444.0
2003-09-01,9933,10067,9667,9766,194657,102029.0,6964444.0
2003-09-02,9767,9867,9300,9333,320957,97502.0,6964444.0
2003-09-03,9533,10267,9533,9933,763987,103770.0,6964444.0
2003-09-04,9867,10133,9467,9566,315067,99940.0,6964444.0
2003-09-05,9467,9600,9133,9200,230070,96109.0,6964444.0
2003-09-08,9267,9567,8900,9033,236569,94368.0,6964444.0
2003-09-09,9000,9200,9000,9066,151948,94716.0,6964444.0
2003-09-15,9000,9267,8833,8833,85519,92279.0,6964444.0
2003-09-16,8800,8933,8667,8800,159713,91931.0,6964444.0
2003-09-17,8967,9167,8867,8933,211558,93324.0,6964444.0
2003-09-18,8933,9067,8500,8533,146980,89145.0,6964444.0
2003-09-19,8667,8733,8367,8733,127890,91234.0,6964444.0
2003-09-22,8867,8933,7933,8300,159630,86707.0,6964444.0
2003-09-23,8033,8200,7767,8033,251646,83922.0,6964444.0
2003-09-24,8100,8167,7833,7833,193284,81832.0,6964444.0
2003-09-25,7533,7600,7167,7333,280301,76609.0,6964444.0
2003-09-26,7300,7567,6967,7266,279435,75912.0,6964444.0
2003-09-29,7233,7267,6800,6933,256411,72430.0,6964444.0
2003-09-30,7067,7167,6593,6640,645612,69366.0,6964444.0
2003-10-01,6533,6733,6333,6733,240325,70341.0,6964444.0
2003-10-02,6867,7333,6800,7200,577970,75216.0,6964444.0
2003-10-06,7200,7400,6967,7400,316795,77305.0,6964444.0
2003-10-07,7400,7533,7133,7133,210313,74520.0,6964444.0
2003-10-08,7233,7333,6567,6766,461932,70689.0,6964444.0
2003-10-09,6653,6933,6653,6733,231750,70502.0,6980444.0
2003-10-10,6867,6900,6533,6533,205724,68408.0,6980444.0
2003-10-13,6533,6567,6327,6346,213858,66454.0,6980444.0
2003-10-14,6347,6460,5940,6000,407025,62824.0,6980444.0
2003-10-15,6133,6580,6027,6520,834454,68269.0,6980444.0
2003-10-16,6580,6800,6467,6593,762268,69037.0,6980444.0
2003-10-17,6667,6733,6427,6426,198123,67291.0,6980444.0
2003-10-20,6340,6500,6267,6266,187060,65616.0,6980444.0
2003-10-21,6260,6367,6113,6220,238884,65128.0,6980444.0
2003-10-22,6327,6527,6227,6506,293612,68129.0,6980444.0
2003-10-23,6367,6493,6067,6066,158745,63522.0,6980444.0
2003-10-24,6007,6260,6007,6060,143204,63452.0,6980444.0
2003-10-27,6133,6187,6047,6066,137171,63522.0,6980444.0
2003-10-28,6133,6307,6067,6133,287989,64220.0,6980444.0
2003-10-29,6227,6580,6200,6506,643642,68129.0,6980444.0
2003-10-30,6560,6800,6387,6386,712608,66873.0,6980444.0
2003-10-31,6467,6467,6100,6173,275721,64639.0,6980444.0
2003-11-03,6107,6240,6033,6240,184541,65337.0,6980444.0
2003-11-04,6240,6300,5893,5900,320158,61777.0,6980444.0
2003-11-05,5900,5900,5193,5193,996692,54378.0,6980444.0
2003-11-06,4800,4927,4573,4573,926114,47886.0,6980444.0
2003-11-07,4467,4700,4287,4660,484519,48793.0,6980444.0
2003-11-10,4667,4773,4533,4666,411761,48863.0,6980444.0
2003-11-11,4613,4740,4587,4673,202527,48933.0,6980444.0
2003-11-12,4720,4900,4720,4800,213763,50259.0,6980444.0
2003-11-13,4840,4927,4793,4800,223899,50259.0,6980444.0
2003-11-14,4833,4833,4553,4553,236161,47676.0,6980444.0
