에코마이스터(064510),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-03-15,7000,7000,6000,6030,6454936,65055.0,10788540.0
2018-03-16,6200,6330,5810,6090,1920289,65702.0,10788540.0
2018-03-19,6360,6490,6060,6100,1768099,65810.0,10788540.0
2018-03-20,5910,6050,5820,5990,700619,64623.0,10788540.0
2018-03-21,5990,6040,5500,5600,897260,60416.0,10788540.0
2018-03-22,5510,5630,5130,5220,806166,56316.0,10788540.0
2018-03-23,5130,5690,5040,5120,1290407,55237.0,10788540.0
2018-03-26,5200,5270,4995,5060,441153,54590.0,10788540.0
2018-03-27,5100,5490,5010,5320,774139,57395.0,10788540.0
2018-03-28,5230,5430,5160,5170,484594,55777.0,10788540.0
2018-03-29,5220,5490,5210,5400,782186,58258.0,10788540.0
2018-03-30,5400,5530,5310,5350,290946,57719.0,10788540.0
2018-04-02,5340,5400,5000,5000,412539,53943.0,10788540.0
2018-04-03,5000,5060,4830,4900,328638,52864.0,10788540.0
2018-04-04,5140,6360,5140,6000,7926489,64731.0,10788540.0
2018-04-05,5950,5960,5520,5790,1442233,62466.0,10788540.0
2018-04-06,5810,6390,5680,5920,2886923,63868.0,10788540.0
2018-04-09,5780,6080,5780,5890,498072,63545.0,10788540.0
2018-04-10,5920,6170,5680,6170,1136955,66565.0,10788540.0
2018-04-11,6200,6240,5960,6030,490951,65055.0,10788540.0
2018-04-12,6050,6220,5910,6020,677573,64947.0,10788540.0
2018-04-13,6030,6900,6000,6550,5677095,70665.0,10788540.0
2018-04-16,6800,8120,6710,7610,11759560,82101.0,10788540.0
2018-04-17,7610,8150,7460,7820,4377395,84366.0,10788540.0
2018-04-18,8400,9230,7850,8200,4049590,88466.0,10788540.0
2018-04-19,8200,8940,7930,8130,4848802,87711.0,10788540.0
2018-04-20,7950,8190,7460,7650,1748267,82532.0,10788540.0
2018-04-23,8200,8970,7390,7810,5553144,84258.0,10788540.0
2018-04-24,7810,7930,7200,7460,1262572,80483.0,10788540.0
2018-04-25,7550,7930,7230,7250,1202078,78217.0,10788540.0
2018-04-26,7250,7530,6980,7090,693303,76491.0,10788540.0
2018-04-27,7280,8200,6890,7530,6466548,81238.0,10788540.0
2018-04-30,9000,9780,8910,9780,5939895,105512.0,10788540.0
2018-05-02,10000,12500,10000,10400,8461467,112201.0,10788540.0
2018-05-03,10000,10750,9550,10150,3702227,109504.0,10788540.0
2018-05-04,10150,11150,9750,10650,3558654,114898.0,10788540.0
2018-05-08,10250,10750,9450,9630,1870153,103894.0,10788540.0
2018-05-09,9650,9800,8180,8910,2560272,96126.0,10788540.0
2018-05-10,9950,10450,9400,9530,3424637,103960.0,10908732.0
2018-05-11,9340,9890,8850,9790,1736993,111503.0,11389501.0
2018-05-14,10150,11150,9960,10450,3264571,119020.0,11389501.0
2018-05-15,10300,13550,10000,13550,5874465,154328.0,11389501.0
2018-05-16,11800,16950,11500,14850,27259672,169134.0,11389501.0
2018-05-17,15650,16550,14150,15200,9320327,173120.0,11389501.0
2018-05-18,14850,15600,14350,15050,4016093,183351.0,12182761.0
2018-05-21,14600,15200,14000,14700,2600280,179087.0,12182761.0
2018-05-23,14150,15850,13400,15150,5850127,184569.0,12182761.0
2018-05-24,15200,15350,13700,14000,2452361,170559.0,12182761.0
2018-05-25,11100,12000,10000,10450,6110233,127310.0,12182761.0
2018-05-28,13050,13550,13000,13550,2525303,170614.0,12591411.0
2018-05-29,14000,16250,13250,14400,10569951,181316.0,12591411.0
2018-05-30,15300,18450,15000,17900,13343992,225386.0,12591411.0
2018-05-31,16950,19200,16550,17600,7606378,221609.0,12591411.0
2018-06-01,18450,18850,15600,16200,6676085,203981.0,12591411.0
2018-06-04,17200,17400,14550,14800,3481619,186353.0,12591411.0
2018-06-05,14100,15450,13500,15450,3618363,194537.0,12591411.0
2018-06-07,15300,17150,14850,15900,5017692,200203.0,12591411.0
2018-06-08,16900,17000,14500,15000,3973748,188871.0,12591411.0
2018-06-11,15100,15550,14500,15400,2210913,193908.0,12591411.0
2018-06-12,15350,15550,13200,13900,2972937,175021.0,12591411.0
2018-06-14,13050,13200,11150,11550,2662724,145431.0,12591411.0
2018-06-15,11750,12650,11500,11900,3202860,149838.0,12591411.0
2018-06-18,11950,12550,11500,11850,1750234,149208.0,12591411.0
2018-06-19,12300,12650,11550,11850,2105112,149208.0,12591411.0
2018-06-20,11600,12650,11400,12500,1607607,157393.0,12591411.0
2018-06-21,12400,12950,11550,11650,1928456,146690.0,12591411.0
2018-06-22,12000,12200,10400,10850,1535895,136617.0,12591411.0
2018-06-25,10550,12150,10450,11600,2284872,146060.0,12591411.0
2018-06-26,11500,12050,10050,10150,1903863,127803.0,12591411.0
2018-06-27,10350,10700,9080,9240,2408368,116345.0,12591411.0
2018-06-28,9270,9490,8530,8600,1192171,108869.0,12659207.0
2018-06-29,8930,9280,8590,9230,1117619,116844.0,12659207.0
2018-07-02,9160,9230,8240,8240,724863,104312.0,12659207.0
2018-07-03,8300,8470,7610,8410,1284072,106464.0,12659207.0
2018-07-04,8280,8400,8040,8040,468789,101780.0,12659207.0
2018-07-05,8090,8100,7510,7510,517411,95071.0,12659207.0
2018-07-06,7630,8180,7420,7990,1028275,101147.0,12659207.0
2018-07-09,7480,7570,6870,6950,974568,87981.0,12659207.0
2018-07-10,7060,7310,7060,7100,477775,89880.0,12659207.0
2018-07-11,7060,8620,7010,7930,3996175,100388.0,12659207.0
2018-07-12,7810,8400,7620,7790,2256602,98615.0,12659207.0
2018-07-13,7990,8240,7830,8140,1122952,103046.0,12659207.0
2018-07-16,8270,8530,7990,8140,948842,103046.0,12659207.0
2018-07-17,8160,8250,7920,7980,658902,101020.0,12659207.0
2018-07-18,7900,7930,7230,7300,679772,92412.0,12659207.0
2018-07-19,7250,7410,7020,7170,445583,90767.0,12659207.0
2018-07-20,7470,7550,7050,7080,653417,89627.0,12659207.0
2018-07-23,7000,7070,6400,6460,430856,81778.0,12659207.0
2018-07-24,6680,8200,6650,7780,4165550,98489.0,12659207.0
2018-07-25,7990,8320,7350,7820,2720956,98995.0,12659207.0
2018-07-26,7770,8340,7770,8200,1695496,103805.0,12659207.0
2018-07-27,8360,8430,8070,8220,1030328,104059.0,12659207.0
2018-07-30,8340,9000,8220,8620,2666038,109122.0,12659207.0
2018-07-31,8720,8770,7870,8180,995700,103552.0,12659207.0
2018-08-01,8180,8720,8040,8510,954684,107730.0,12659207.0
2018-08-02,8450,8690,8140,8500,664614,107603.0,12659207.0
2018-08-03,8620,9720,8590,9150,3843232,115832.0,12659207.0
2018-08-06,8850,9030,8760,8770,723496,111021.0,12659207.0
2018-08-07,8780,8880,8490,8510,597847,107730.0,12659207.0
2018-08-08,8480,8940,8330,8610,813010,108996.0,12659207.0
2018-08-09,8550,8770,8450,8740,518707,110641.0,12659207.0
2018-08-10,9300,10200,9120,9520,5399271,120516.0,12659207.0
2018-08-13,9900,11850,9840,9900,12363570,125326.0,12659207.0
