바이오니아(064550),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-12-29,15177,15829,12943,12943,2010851,157765.0,11350000.0
2006-01-02,12291,12943,11732,11826,1109117,144145.0,11350000.0
2006-01-03,12151,13408,11965,12990,1922130,158332.0,11350000.0
2006-01-04,12849,13129,11779,11779,821607,143578.0,11350000.0
2006-01-05,12011,12151,11360,11779,433717,143578.0,11350000.0
2006-01-06,11639,11732,10801,10941,703007,133362.0,11350000.0
2006-01-09,10941,11499,10847,11034,802304,134498.0,11350000.0
2006-01-10,10987,11220,10522,10708,560534,130525.0,11350000.0
2006-01-11,10847,11080,10428,10708,472606,130525.0,11350000.0
2006-01-12,10801,11266,10428,10429,539747,127120.0,11350000.0
2006-01-13,10242,10522,10009,10289,437428,125418.0,11350000.0
2006-01-16,10242,10568,10103,10382,344636,126552.0,11350000.0
2006-01-17,10242,10615,10149,10196,290884,124282.0,11350000.0
2006-01-18,10103,10522,9274,9405,471608,114635.0,11350000.0
2006-01-19,9404,9544,8864,8865,417512,108052.0,11350000.0
2006-01-20,8706,9451,7961,8054,800163,98178.0,11350000.0
2006-01-23,7570,7803,6853,6853,275317,83536.0,11350000.0
2006-01-24,6536,6834,5829,6146,943870,74910.0,11350000.0
2006-01-25,6238,6937,6238,6350,902653,77407.0,11350000.0
2006-01-26,6452,6499,6071,6146,333181,74910.0,11350000.0
2006-01-27,6331,7067,6285,7067,553067,86146.0,11350000.0
2006-01-31,7262,7877,7141,7431,1881937,90573.0,11350000.0
2006-02-01,7365,7542,6369,6555,826816,79904.0,11350000.0
2006-02-02,6750,6825,6285,6518,574323,79450.0,11350000.0
2006-02-03,6061,6266,5931,6052,697944,73775.0,11350000.0
2006-02-06,5875,6117,5856,6118,298194,74570.0,11350000.0
2006-02-07,6052,6285,6024,6052,422708,73775.0,11350000.0
2006-02-08,5987,6229,5912,5987,291004,72980.0,11350000.0
2006-02-09,6322,6518,5978,6006,577900,73208.0,11350000.0
2006-02-10,6220,6899,6173,6900,1201384,84104.0,11350000.0
2006-02-13,7030,7747,6713,6881,1306305,83876.0,11350000.0
2006-02-14,6806,6825,6424,6527,532191,79564.0,11350000.0
2006-02-15,6694,7281,6518,6704,768750,81720.0,11350000.0
2006-02-16,6667,7207,6667,7049,443695,85920.0,11350000.0
2006-02-17,7290,7626,7076,7170,501782,87395.0,11350000.0
2006-02-20,7151,7272,6871,6900,428791,84104.0,11350000.0
2006-02-21,6890,7076,6853,6965,238745,84898.0,11350000.0
2006-02-22,7076,7821,7076,7412,1515009,90346.0,11350000.0
