케이프(064820),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-05-29,15539,17871,13208,13209,933096,200430.0,6550000.0
2007-05-30,12777,13274,12238,13166,227081,199775.0,6550000.0
2007-05-31,13554,14677,13468,14504,238328,220080.0,6550000.0
2007-06-01,15194,16662,15108,16662,405727,252830.0,6550000.0
2007-06-04,17913,19144,17482,19144,655318,290492.0,6550000.0
2007-06-05,19857,21368,19231,19641,426758,298025.0,6550000.0
2007-06-07,18951,21153,18260,20030,285320,303920.0,6550000.0
2007-06-08,19857,20203,18605,19339,154910,293440.0,6550000.0
2007-06-11,19296,19296,16447,16878,136213,256105.0,6550000.0
2007-06-12,16619,17655,16123,17267,100739,262000.0,6550000.0
2007-06-13,16943,17051,16058,16058,102210,243660.0,6550000.0
2007-06-14,16662,17698,16360,16403,185412,248900.0,6550000.0
2007-06-15,16835,17720,16533,17008,82758,258070.0,6550000.0
2007-06-18,17072,17569,16533,16619,75577,252175.0,6550000.0
2007-06-19,16835,16835,15539,15799,94662,239730.0,6550000.0
2007-06-20,16058,16316,15064,15065,71064,228595.0,6550000.0
2007-06-21,15107,15885,14633,15453,86331,234490.0,6550000.0
2007-06-22,16058,16878,15885,16317,168652,247590.0,6550000.0
2007-06-25,16533,16792,15368,15367,69530,233180.0,6550000.0
2007-06-26,15367,15713,14461,14763,55367,224010.0,6550000.0
2007-06-27,14785,15519,14332,14936,56267,226630.0,6550000.0
2007-06-28,15280,16403,14892,15108,94992,229250.0,6550000.0
2007-06-29,15324,15324,14871,14893,76722,225975.0,6550000.0
2007-07-02,15324,17116,15152,17116,283802,259708.0,6550000.0
2007-07-03,18129,19403,17957,18713,444502,283942.0,6550000.0
2007-07-04,19339,21519,19231,21519,537093,326518.0,6550000.0
2007-07-05,22447,22576,20288,20634,523555,313090.0,6550000.0
2007-07-06,21152,23569,20288,22058,635601,334705.0,6550000.0
2007-07-09,22836,22836,21584,22274,224413,337980.0,6550000.0
2007-07-10,22145,22577,21584,22274,124434,337980.0,6550000.0
2007-07-11,21929,24303,21713,22663,186962,343875.0,6550000.0
2007-07-12,22749,23612,22231,22447,97373,340600.0,6550000.0
2007-07-13,22749,23310,22360,22576,113462,342565.0,6550000.0
2007-07-16,22231,22490,21281,21367,76111,336600.0,6800000.0
2007-07-18,21324,21324,20288,20353,83277,320620.0,6800000.0
2007-07-19,20288,22533,20288,22058,91268,347480.0,6800000.0
2007-07-20,22274,23008,21367,21497,73186,338640.0,6800000.0
2007-07-23,21584,21627,20591,20742,63398,326740.0,6800000.0
2007-07-24,20936,22231,20419,21583,76059,340000.0,6800000.0
2007-07-25,21152,21260,20807,20871,34700,328780.0,6800000.0
2007-07-26,20915,21346,20419,20418,38950,321640.0,6800000.0
2007-07-27,19533,20419,19533,20073,54237,316200.0,6800000.0
2007-07-30,18346,19361,17784,19123,714876,301240.0,6800000.0
2007-07-31,19814,21972,19489,21367,298188,336600.0,6800000.0
2007-08-01,21453,21669,18993,18993,88432,299200.0,6800000.0
2007-08-02,20073,20504,18777,19036,132856,299880.0,6800000.0
2007-08-03,19382,20462,19382,19641,56567,309400.0,6800000.0
2007-08-06,19079,20072,18907,19209,52851,302600.0,6800000.0
2007-08-07,19727,19727,19123,19425,72166,306000.0,6800000.0
2007-08-08,19684,19857,19209,19727,54954,310760.0,6800000.0
2007-08-09,20158,20158,19208,19554,44850,308040.0,6800000.0
2007-08-10,18777,19058,18734,18929,70672,298180.0,6800000.0
2007-08-13,19166,19166,18130,18346,72576,289000.0,6800000.0
2007-08-14,18691,18691,16705,16964,77835,267240.0,6800000.0
2007-08-16,15669,15691,14438,14439,146113,227460.0,6800000.0
2007-08-17,13770,16403,13165,15108,166732,238000.0,6800000.0
2007-08-20,16360,16706,15778,15885,82610,250240.0,6800000.0
2007-08-21,16015,16317,15022,15367,86168,242080.0,6800000.0
2007-08-22,15497,16403,15324,15540,88192,244800.0,6800000.0
2007-08-23,16014,16705,15798,16187,192943,255000.0,6800000.0
2007-08-24,16037,17008,15605,16835,128896,265200.0,6800000.0
2007-08-27,17267,17483,16339,16339,95522,257380.0,6800000.0
2007-08-28,16230,17201,16230,16683,69204,262820.0,6800000.0
2007-08-29,15971,16597,15863,16511,60113,260100.0,6800000.0
2007-08-30,17224,18259,16662,17936,136221,282540.0,6800000.0
2007-08-31,18303,18346,17483,17828,50105,280840.0,6800000.0
2007-09-03,18000,18648,18000,18540,48183,292060.0,6800000.0
2007-09-04,18346,18562,17914,18454,39125,290700.0,6800000.0
2007-09-05,18627,18627,18108,18454,47326,290700.0,6800000.0
2007-09-06,18108,18389,17806,18324,67569,288660.0,6800000.0
2007-09-07,19036,19554,18259,18259,100574,287640.0,6800000.0
2007-09-10,17655,18086,17201,18043,39473,284240.0,6800000.0
2007-09-11,18260,18260,17699,17957,29533,282880.0,6800000.0
2007-09-12,18216,18259,17698,17698,31903,278800.0,6800000.0
2007-09-13,17699,17872,17288,17850,19533,281180.0,6800000.0
2007-09-14,18086,18302,17763,17871,22161,281520.0,6800000.0
2007-09-17,18130,18130,17267,17526,57758,276080.0,6800000.0
2007-09-18,17676,17676,17223,17245,33542,271660.0,6800000.0
2007-09-19,17915,17915,17116,17116,65635,269620.0,6800000.0
2007-09-20,17181,17181,16490,16727,76401,263500.0,6800000.0
2007-09-21,16792,17029,16295,16403,54235,258400.0,6800000.0
2007-09-27,16230,16749,16230,16403,33196,258400.0,6800000.0
2007-09-28,16771,16771,16383,16490,29054,259760.0,6800000.0
2007-10-01,16404,17353,16404,17181,49035,270640.0,6800000.0
2007-10-02,17698,17698,17224,17267,64452,272000.0,6800000.0
2007-10-04,17353,17591,16943,17224,40465,271320.0,6800000.0
2007-10-05,17029,18432,16878,18108,100601,285260.0,6800000.0
2007-10-08,18648,18648,17785,18195,120060,286620.0,6800000.0
2007-10-09,18260,19382,18130,18238,99607,287300.0,6800000.0
2007-10-10,18432,18951,18152,18670,54472,294100.0,6800000.0
2007-10-11,18799,18972,18389,18540,31915,292060.0,6800000.0
2007-10-12,18302,18453,17309,17698,65544,278800.0,6800000.0
2007-10-15,17505,17699,16857,17181,65826,270640.0,6800000.0
2007-10-16,16857,17526,16836,17504,40804,275740.0,6800000.0
2007-10-17,17353,17483,16900,16900,42289,266220.0,6800000.0
2007-10-18,16900,17267,16749,16878,53133,265880.0,6800000.0
2007-10-19,17008,17051,16727,16835,31141,265200.0,6800000.0
2007-10-22,15108,16187,14677,15238,79662,240040.0,6800000.0
2007-10-23,16188,16188,15540,16037,39280,252620.0,6800000.0
2007-10-24,16317,16792,15540,15540,37050,244800.0,6800000.0
2007-10-25,16144,16187,15496,16187,29426,255000.0,6800000.0
2007-10-26,16187,17417,16187,17417,30309,274380.0,6800000.0
2007-10-29,17418,17699,16943,17569,29363,276760.0,6800000.0
2007-10-30,17353,17590,17094,17137,35419,269960.0,6800000.0
