탑엔지니어링(065130),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-01-29,2803,2803,2803,2803,510164,35200.0,8800000.0
2003-01-30,2803,3140,2733,3139,1175407,39424.0,8800000.0
2003-02-03,3294,3427,3098,3188,567187,40040.0,8800000.0
2003-02-04,3329,3567,3294,3567,1504339,44792.0,8800000.0
2003-02-05,3750,3995,3658,3994,1294702,50160.0,8800000.0
2003-02-06,4205,4471,4100,4471,1476398,56144.0,8800000.0
2003-02-07,4766,5004,4738,5004,245289,62832.0,8800000.0
2003-02-10,5397,5600,5256,5599,1022662,70312.0,8800000.0
2003-02-11,5971,6266,5964,6265,370595,78672.0,8800000.0
2003-02-12,7008,7008,6763,7008,339015,88000.0,8800000.0
2003-02-13,7429,7569,6167,6167,1593096,77440.0,8800000.0
2003-02-14,5621,6672,5460,6398,4542993,80344.0,8800000.0
2003-02-17,6714,7149,6469,7148,2196078,89760.0,8800000.0
2003-02-18,7149,7534,6735,6819,3160896,85624.0,8800000.0
2003-02-19,7114,7114,6658,6658,828710,83600.0,8800000.0
2003-02-20,6749,6910,6048,6132,1091998,77000.0,8800000.0
2003-02-21,6111,6308,5887,6188,1068468,77704.0,8800000.0
2003-02-24,6188,6273,5950,5950,803975,74712.0,8800000.0
2003-02-25,5677,6357,5677,5746,1976689,72160.0,8800000.0
2003-02-26,5922,5943,5481,5480,635275,68816.0,8800000.0
2003-02-27,5432,5537,5011,5116,868279,64240.0,8800000.0
2003-02-28,5151,5284,4976,5046,620125,63360.0,8800000.0
2003-03-03,4948,5053,4612,4611,883929,57904.0,8800000.0
2003-03-04,4612,5151,4612,4940,1538596,62040.0,8800000.0
2003-03-05,4976,5074,4352,4366,1039372,54824.0,8800000.0
2003-03-06,4380,4499,3883,3924,837415,49280.0,8800000.0
2003-03-07,3799,4219,3679,3714,2047779,46640.0,8800000.0
2003-03-10,3820,4156,3820,4156,1561676,52184.0,8800000.0
2003-03-11,4373,4654,4107,4289,3228694,53856.0,8800000.0
2003-03-12,4240,4710,4240,4625,1904151,58080.0,8800000.0
2003-03-13,4759,4759,4170,4310,1286357,54120.0,8800000.0
2003-03-14,4633,4822,4577,4821,1986311,60544.0,8800000.0
2003-03-17,4899,4899,4247,4485,2012520,56320.0,8800000.0
2003-03-18,4948,5018,4808,5018,1253942,63008.0,8800000.0
2003-03-19,5102,5432,5067,5088,1750254,63888.0,8800000.0
2003-03-20,5221,5572,5151,5396,1982600,67760.0,8800000.0
2003-03-21,5432,5474,5256,5354,840250,67232.0,8800000.0
2003-03-24,5453,5495,4913,4955,893737,62216.0,8800000.0
2003-03-25,4633,5228,4619,4983,1304266,62568.0,8800000.0
2003-03-26,5186,5481,4990,5158,1265303,64768.0,8800000.0
2003-03-27,5116,5446,4997,5312,1613312,66704.0,8800000.0
2003-03-28,5537,5943,5460,5943,1566147,74624.0,8800000.0
2003-03-31,5999,6132,5263,5326,3228760,66880.0,8800000.0
2003-04-01,5369,5572,5221,5536,2570321,69520.0,8800000.0
2003-04-02,5670,5726,5404,5452,1708370,68464.0,8800000.0
2003-04-03,5677,5691,5130,5151,1802749,64680.0,8800000.0
2003-04-04,5081,5354,5046,5221,1254902,65560.0,8800000.0
2003-04-07,5326,5551,5270,5480,2249033,68816.0,8800000.0
2003-04-08,5319,5439,5221,5256,1383280,66000.0,8800000.0
2003-04-09,5319,5887,5193,5887,5126406,73920.0,8800000.0
2003-04-10,6308,6588,6132,6447,5906730,80960.0,8800000.0
2003-04-11,6651,7149,6455,6938,4832174,87120.0,8800000.0
2003-04-14,7008,7079,6693,6693,2595593,84040.0,8800000.0
2003-04-15,6798,6924,6560,6868,1765919,86240.0,8800000.0
2003-04-16,7008,7674,6980,7043,4180607,88440.0,8800000.0
2003-04-17,7079,7254,6889,7113,1434192,89320.0,8800000.0
2003-04-18,7429,7955,7149,7954,4171537,99880.0,8800000.0
2003-04-21,8095,8165,7499,8059,1972420,101200.0,8800000.0
2003-04-22,7990,8060,7534,7569,1288294,95040.0,8800000.0
2003-04-23,7709,7850,6882,6882,2136872,86416.0,8800000.0
2003-04-24,6868,7289,6728,7183,1827673,90200.0,8800000.0
2003-04-25,6945,7184,6392,6735,1587607,84568.0,8800000.0
2003-04-28,6462,7008,6462,6903,1183042,86680.0,8800000.0
2003-04-29,7219,7709,7184,7709,2759879,96800.0,8800000.0
2003-04-30,7709,8095,7394,8094,2681277,101640.0,8800000.0
2003-05-02,8480,9006,8305,8480,4130889,106480.0,8800000.0
2003-05-06,8761,9321,8410,9181,3605526,115280.0,8800000.0
2003-05-07,9391,9707,9076,9286,2547030,116600.0,8800000.0
2003-05-09,9111,9251,8726,9216,1699408,115720.0,8800000.0
2003-05-12,9356,9637,9146,9356,2195859,117480.0,8800000.0
2003-05-13,9497,9602,8655,8655,1484757,108680.0,8800000.0
2003-05-14,8620,8936,8550,8865,1139396,111320.0,8800000.0
2003-05-15,8936,9882,8761,9811,3412993,123200.0,8800000.0
2003-05-16,9602,9812,9006,9356,1766492,117480.0,8800000.0
2003-05-19,9146,9251,8445,8445,1558555,106040.0,8800000.0
2003-05-20,8200,9251,8200,9251,2073688,116160.0,8800000.0
2003-05-21,9111,9532,8691,8690,1982479,109120.0,8800000.0
2003-05-22,8866,9111,8480,8585,1956195,107800.0,8800000.0
2003-05-23,8971,9426,8866,9286,2771319,116600.0,8800000.0
2003-05-26,9602,10373,9426,10372,2085700,130240.0,8800000.0
2003-05-27,11003,11599,10302,11599,4620930,145640.0,8800000.0
2003-05-28,11949,12160,11003,11143,3359586,139920.0,8800000.0
2003-05-29,11214,11319,10408,10933,1848971,137280.0,8800000.0
2003-05-30,11108,12195,11073,11914,2963277,149600.0,8800000.0
2003-06-02,12195,12545,11564,11669,1835869,146520.0,8800000.0
2003-06-03,11529,11739,11003,11108,1135527,139480.0,8800000.0
2003-06-04,11459,12160,11249,12159,2247606,152680.0,8800000.0
2003-06-05,12125,12265,11108,11283,1630274,141680.0,8800000.0
2003-06-09,11073,11669,11073,11669,990128,146520.0,8800000.0
2003-06-10,11494,12090,11284,11283,1259353,141680.0,8800000.0
2003-06-11,11389,11739,11003,11248,1407149,141240.0,8800000.0
2003-06-12,11494,11985,11424,11599,2017390,145640.0,8800000.0
2003-06-13,11809,12966,11809,12965,3642153,162800.0,8800000.0
2003-06-16,12966,13667,12826,12965,2150198,162800.0,8800000.0
2003-06-17,13351,13456,12615,13070,1331011,164120.0,8800000.0
2003-06-18,13176,13526,12440,12825,1375444,161040.0,8800000.0
2003-06-19,12826,13036,12300,12405,993876,155760.0,8800000.0
2003-06-20,12020,12720,12020,12615,850568,158400.0,8800000.0
2003-06-23,12510,12755,11844,11844,750261,148720.0,8800000.0
2003-06-24,11459,12300,11249,12194,1243628,153120.0,8800000.0
2003-06-25,12230,12896,12230,12510,1019742,157080.0,8800000.0
2003-06-26,12300,12861,11844,11879,906111,149160.0,8800000.0
2003-06-27,12265,12300,11739,12229,928357,153560.0,8800000.0
2003-06-30,12160,12580,11914,12580,820960,157960.0,8800000.0
2003-07-01,12755,12931,12440,12440,944559,156200.0,8800000.0
2003-07-02,12685,12790,12370,12369,813817,155320.0,8800000.0
2003-07-03,12720,12755,12125,12159,891828,152680.0,8800000.0
2003-07-04,12160,12510,12055,12405,544528,155760.0,8800000.0
2003-07-07,12650,13316,12370,13105,1484995,164560.0,8800000.0
2003-07-08,13456,13632,12545,12650,1216111,158840.0,8800000.0
2003-07-09,12755,12896,12440,12475,705046,156640.0,8800000.0
2003-07-10,12335,12650,11844,11984,702110,150480.0,8800000.0
2003-07-11,11774,12125,11634,11774,626582,147840.0,8800000.0
2003-07-14,11774,12055,11704,11774,631264,147840.0,8800000.0
2003-07-15,11949,12055,11214,11458,743339,143880.0,8800000.0
2003-07-16,11564,11949,11389,11844,737714,148720.0,8800000.0
2003-07-18,11494,11564,10618,10758,770462,135080.0,8800000.0
2003-07-21,10758,10898,9497,9706,1015283,121880.0,8800000.0
2003-07-22,9742,10478,9391,10197,1260446,128040.0,8800000.0
2003-07-23,10197,11354,10162,10722,1823556,134640.0,8800000.0
2003-07-24,11003,11179,10513,10512,734504,132000.0,8800000.0
2003-07-25,10583,10758,10373,10652,569476,133760.0,8800000.0
2003-07-28,10933,11844,10863,11634,1242862,146080.0,8800000.0
2003-07-29,11844,12650,11704,12405,1434195,155760.0,8800000.0
2003-07-30,12545,12861,12300,12299,983291,154440.0,8800000.0
2003-07-31,12370,12685,12090,12615,660502,158400.0,8800000.0
2003-08-01,12826,12966,12370,12615,592640,158400.0,8800000.0
2003-08-04,12335,12615,11809,11809,497545,148280.0,8800000.0
2003-08-05,12055,12580,11949,12229,637233,153560.0,8800000.0
2003-08-06,11914,12020,11634,11984,411597,150480.0,8800000.0
2003-08-07,11949,13421,11949,13421,1891403,168520.0,8800000.0
2003-08-08,13526,13596,12931,13035,1076521,163680.0,8800000.0
2003-08-11,13211,13842,13176,13386,1141233,168080.0,8800000.0
2003-08-12,13737,13737,12826,13386,756388,168080.0,8800000.0
2003-08-13,13667,14613,13281,13666,1923829,171600.0,8800000.0
2003-08-14,13772,14963,13772,14647,1461564,183920.0,8800000.0
2003-08-18,15068,15524,14508,15278,993817,191840.0,8800000.0
2003-08-19,15524,15629,14473,14752,728053,185240.0,8800000.0
2003-08-20,14788,15524,13982,14016,910565,176000.0,8800000.0
2003-08-21,14192,14718,13912,14227,665457,178640.0,8800000.0
2003-08-22,14437,14718,13947,14332,455608,179960.0,8800000.0
2003-08-25,14192,14963,14122,14963,447484,187880.0,8800000.0
2003-08-26,14823,15243,14578,14858,444609,186560.0,8800000.0
2003-08-27,14998,15208,14437,14577,405498,183040.0,8800000.0
2003-08-28,14858,15033,14332,14402,451137,180840.0,8800000.0
2003-08-29,14227,14578,13947,14437,367263,181280.0,8800000.0
2003-09-01,14508,14858,14227,14787,379499,185680.0,8800000.0
2003-09-02,14823,14998,14297,14367,327537,180400.0,8800000.0
2003-09-03,14508,14788,13982,13981,516608,175560.0,8800000.0
2003-09-04,14122,14227,13176,13316,514635,167200.0,8800000.0
2003-09-05,13351,13596,12790,13035,414848,163680.0,8800000.0
2003-09-08,12826,13036,11844,11984,557642,150480.0,8800000.0
2003-09-09,11949,12966,11914,12965,587969,162800.0,8800000.0
2003-09-15,13036,13877,12896,13596,660446,170720.0,8800000.0
2003-09-16,13526,13737,13141,13561,389109,170280.0,8800000.0
2003-09-17,13842,13877,13141,13140,318711,165000.0,8800000.0
2003-09-18,13071,13561,12440,12545,576489,157520.0,8800000.0
2003-09-19,12826,12896,11985,12124,484715,152240.0,8800000.0
2003-09-22,11985,12125,11073,11283,421005,141680.0,8800000.0
2003-09-23,11214,12020,10828,11949,543982,150040.0,8800000.0
2003-09-24,11949,12125,11739,11844,425469,148720.0,8800000.0
2003-09-25,11494,11809,11284,11774,321413,147840.0,8800000.0
2003-09-26,11599,12230,11494,11739,400826,147400.0,8800000.0
2003-09-29,11739,12300,11704,12159,502370,152680.0,8800000.0
2003-09-30,12440,12790,12405,12720,567121,159720.0,8800000.0
2003-10-01,12475,12615,12160,12580,316571,157960.0,8800000.0
2003-10-02,12931,14052,12790,13736,1449365,172480.0,8800000.0
2003-10-06,13982,14087,13456,13561,501060,170280.0,8800000.0
2003-10-07,13596,13947,13386,13946,410371,175120.0,8800000.0
2003-10-08,14017,14157,13386,13386,347930,168080.0,8800000.0
2003-10-09,13316,13632,13316,13491,206819,169400.0,8800000.0
2003-10-10,13737,14437,13702,14192,822005,178200.0,8800000.0
2003-10-13,14192,15874,14017,15874,1257379,199320.0,8800000.0
2003-10-14,15629,15769,14227,14402,1270211,180840.0,8800000.0
2003-10-15,14297,14578,13491,13631,654014,171160.0,8800000.0
2003-10-16,13421,14332,13141,13736,1295956,172480.0,8800000.0
2003-10-17,13386,13667,13036,13035,431925,163680.0,8800000.0
2003-10-20,12826,13421,12685,13175,489921,165440.0,8800000.0
2003-10-21,13351,13842,13316,13316,503655,167200.0,8800000.0
2003-10-22,13316,13667,13211,13316,348255,167200.0,8800000.0
2003-10-23,12966,13737,12826,12895,566883,161920.0,8800000.0
2003-10-24,12931,13211,12580,12825,222133,161040.0,8800000.0
2003-10-27,12861,13001,12650,12685,275773,159280.0,8800000.0
2003-10-28,12475,14052,12265,13771,1024622,172920.0,8800000.0
2003-10-29,14350,14466,13039,13077,482412,149160.0,8800000.0
2003-10-30,13270,13540,13193,13424,199940,153120.0,8800000.0
2003-10-31,13425,13695,13270,13540,206245,154440.0,8800000.0
2003-11-03,13502,14119,13232,14041,391145,160160.0,8800000.0
2003-11-04,14273,14813,13887,14118,494532,161040.0,8800000.0
2003-11-05,14427,14427,13887,14003,242666,159720.0,8800000.0
2003-11-06,14080,14196,13347,13347,274742,152240.0,8800000.0
2003-11-07,13347,14119,13193,14118,313246,161040.0,8800000.0
2003-11-10,13810,14119,12730,13270,535729,151360.0,8800000.0
