이루온(065440),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-01-28,5624,5624,5624,5625,130486,44622.0,6030000.0
2003-01-29,6293,6293,5039,5169,1140785,41004.0,6030000.0
2003-01-30,5403,5784,5328,5784,210634,45888.0,6030000.0
2003-02-03,6072,6384,5852,6119,395876,48542.0,6030000.0
2003-02-04,6156,6194,5708,5960,247051,47275.0,6030000.0
2003-02-05,5958,6156,5700,5701,309073,45225.0,6030000.0
2003-02-06,5708,5928,5434,5549,230883,44019.0,6030000.0
2003-02-07,5586,5609,5381,5450,106801,43235.0,6030000.0
2003-02-10,5320,5845,5320,5587,208646,44320.0,6030000.0
2003-02-11,5760,6255,5738,6256,540477,49627.0,6030000.0
2003-02-12,6377,6384,5662,5853,334222,46431.0,6030000.0
2003-02-13,5875,5928,5411,5435,118664,43114.0,6030000.0
2003-02-14,5434,5890,5434,5693,269151,45165.0,6030000.0
2003-02-17,5852,6019,5776,5800,174609,46009.0,6030000.0
2003-02-18,5692,5769,5449,5457,156702,43295.0,6030000.0
2003-02-19,5586,5662,5358,5374,115494,42632.0,6030000.0
2003-02-20,5335,5434,5130,5230,85777,41486.0,6030000.0
2003-02-21,5229,5320,5107,5124,44612,40642.0,6030000.0
2003-02-24,5054,5229,5008,5184,92062,41125.0,6030000.0
2003-02-25,5016,5130,4750,4751,64327,37688.0,6030000.0
2003-02-26,4750,5016,4712,4789,68771,37989.0,6030000.0
2003-02-27,4849,4849,4294,4409,83490,34974.0,6030000.0
2003-02-28,4165,4484,3884,3884,353441,30813.0,6030000.0
2003-03-03,3579,3647,3420,3420,508512,27135.0,6030000.0
2003-03-04,3320,3572,3313,3497,316173,27738.0,6030000.0
2003-03-05,3344,3420,3078,3078,231614,24422.0,6030000.0
2003-03-06,3070,3192,2865,3041,356465,24120.0,6030000.0
2003-03-07,2834,2963,2721,2812,203848,22311.0,6030000.0
2003-03-10,2887,3146,2842,3056,649999,24241.0,6030000.0
2003-03-11,2910,3184,2857,3117,524633,24723.0,6030000.0
2003-03-12,3207,3366,3207,3276,394079,25989.0,6030000.0
2003-03-13,3420,3420,3055,3094,236455,24542.0,6030000.0
2003-03-14,3260,3366,3222,3268,416130,25929.0,6030000.0
2003-03-17,3268,3268,2880,2880,178914,22854.0,6030000.0
2003-03-18,3039,3078,2880,2957,321575,23457.0,6030000.0
2003-03-19,2903,3017,2797,2797,273828,22190.0,6030000.0
2003-03-20,2819,3070,2804,3056,492641,24241.0,6030000.0
2003-03-21,3154,3420,2987,3420,678713,27135.0,6030000.0
2003-03-24,3572,3754,3435,3519,834216,27919.0,6030000.0
2003-03-25,3283,3435,3230,3299,499760,26170.0,6030000.0
2003-03-26,3473,3693,3442,3694,1898261,29306.0,6030000.0
2003-03-27,3647,3838,3572,3831,774433,30391.0,6030000.0
2003-03-28,3845,3952,3732,3778,1159218,29969.0,6030000.0
2003-03-31,3792,3800,3329,3329,710204,26411.0,6030000.0
2003-04-01,3290,3450,3283,3444,707535,27316.0,6030000.0
2003-04-02,3473,3693,3473,3588,1044071,28462.0,6030000.0
2003-04-03,3716,3716,3359,3413,766813,27075.0,6030000.0
2003-04-04,3374,3640,3329,3641,706320,28884.0,6030000.0
2003-04-07,3723,3929,3686,3839,948829,30452.0,6030000.0
2003-04-08,3800,4256,3769,4028,1471976,31959.0,6030000.0
2003-04-09,4028,4065,3769,3831,601289,30391.0,6030000.0
2003-04-10,3838,4202,3769,4204,1162848,33346.0,6030000.0
2003-04-11,4202,4241,4005,4204,798485,33346.0,6030000.0
2003-04-14,4294,4370,4081,4128,821737,32743.0,6030000.0
2003-04-15,4218,4271,3967,4120,882177,32683.0,6030000.0
2003-04-16,4248,4316,4126,4181,694909,33165.0,6030000.0
2003-04-17,4111,4226,3959,3991,438988,31658.0,6030000.0
2003-04-18,4050,4468,4035,4470,1152502,35456.0,6030000.0
2003-04-21,4484,4734,4355,4636,888014,36783.0,6030000.0
2003-04-22,4651,4666,4423,4447,509495,35276.0,6030000.0
2003-04-23,4522,4773,3967,4128,1377594,32743.0,6030000.0
2003-04-24,4218,4301,3989,4158,672962,32984.0,6030000.0
2003-04-25,4050,4157,3663,3664,742823,29065.0,6030000.0
2003-04-28,3344,3693,3344,3603,550099,28582.0,6030000.0
2003-04-29,3693,3815,3686,3725,705812,29547.0,6030000.0
2003-04-30,3747,3876,3686,3771,471455,29909.0,6030000.0
2003-05-02,3876,3967,3762,3854,613437,30572.0,6030000.0
2003-05-06,3952,4180,3952,4097,769177,32502.0,6030000.0
2003-05-07,4172,4211,3959,4067,473751,32260.0,6030000.0
2003-05-09,4035,4553,4035,4447,1558920,35276.0,6030000.0
2003-05-12,4560,4575,4377,4523,436027,35878.0,6030000.0
2003-05-13,4621,4628,4446,4606,579485,36542.0,6030000.0
2003-05-14,4568,4887,4568,4880,817718,38713.0,6030000.0
2003-05-15,4978,5061,4810,5017,556360,39798.0,6030000.0
2003-05-16,5107,5107,4750,4926,596122,39074.0,6030000.0
2003-05-19,4826,5046,4484,4546,452006,36059.0,6030000.0
2003-05-20,4362,4613,4324,4614,678218,36602.0,6030000.0
2003-05-21,4568,4879,4492,4652,685524,36904.0,6030000.0
2003-05-22,4750,4864,4560,4675,617860,37084.0,6030000.0
2003-05-23,4758,4819,4385,4416,552267,35034.0,6030000.0
2003-05-26,4507,4932,4499,4865,652076,38592.0,6030000.0
2003-05-27,4940,4978,4590,4773,609857,37868.0,6030000.0
2003-05-28,4910,4963,4416,4546,622286,36059.0,6030000.0
2003-05-29,4507,4560,4180,4279,568493,33949.0,6030000.0
2003-05-30,4172,4370,4172,4242,364669,33647.0,6030000.0
2003-06-02,4294,4362,4211,4294,415509,34070.0,6030000.0
2003-06-03,4211,4324,3921,3952,396241,31356.0,6030000.0
2003-06-04,4028,4180,4028,4105,427118,32562.0,6030000.0
2003-06-05,4211,4256,4013,4067,408502,32260.0,6030000.0
2003-06-09,4065,4256,4065,4189,316574,33225.0,6030000.0
2003-06-10,4233,4583,4195,4485,860042,35577.0,6030000.0
2003-06-11,4568,4590,4331,4409,441528,34974.0,6030000.0
2003-06-12,4514,4522,4370,4462,327459,35396.0,6030000.0
2003-06-13,4461,4795,4453,4660,802177,36964.0,6030000.0
2003-06-16,4704,5213,4704,5085,1398356,40341.0,6030000.0
2003-06-17,5229,5313,4985,5313,872963,42150.0,6030000.0
2003-06-18,5320,5358,5092,5093,692334,40401.0,6030000.0
2003-06-19,5061,5130,4712,4712,596137,37386.0,6030000.0
2003-06-20,4712,4932,4704,4812,394704,38170.0,6030000.0
2003-06-23,4750,4864,4598,4865,337469,38592.0,6030000.0
2003-06-24,4788,5244,4788,4994,748462,39617.0,6030000.0
2003-06-25,5084,5237,4993,5154,782650,40883.0,6030000.0
