오리엔트정공(065500),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-09-19,2392,2392,2392,2394,1129890,8006.0,6354030.0
2002-09-23,2388,2388,2104,2109,258189,7053.0,6354030.0
2002-09-24,1858,1915,1858,1862,1353680,6227.0,6354030.0
2002-09-25,1801,2067,1783,1843,3152035,6163.0,6354030.0
2002-09-26,1896,1953,1667,1710,1279916,5719.0,6354030.0
2002-09-27,1743,1783,1554,1577,842163,5274.0,6354030.0
2002-09-30,1516,1592,1441,1538,482052,5147.0,6354030.0
2002-10-01,1441,1573,1441,1557,301295,5210.0,6354030.0
2002-10-02,1573,1650,1478,1501,341182,5020.0,6354030.0
2002-10-04,1458,1534,1441,1520,156760,5083.0,6354030.0
2002-10-07,1497,1650,1478,1615,549851,5401.0,6354030.0
2002-10-08,1573,1667,1554,1577,347760,5274.0,6354030.0
2002-10-09,1611,1687,1592,1615,351380,5401.0,6354030.0
2002-10-10,1630,1801,1611,1806,1122974,6036.0,6354030.0
2002-10-11,1858,1972,1763,1806,868205,6036.0,6354030.0
2002-10-14,1839,1915,1783,1806,650154,6036.0,6354030.0
2002-10-15,1820,1972,1820,1919,933421,6418.0,6354030.0
2002-10-16,1934,1953,1820,1824,452787,6100.0,6354030.0
2002-10-17,1801,1858,1763,1786,223768,5973.0,6354030.0
2002-10-18,1801,1839,1763,1806,331344,6036.0,6354030.0
2002-10-21,1801,1858,1743,1747,209092,5846.0,6354030.0
2002-10-22,1743,1783,1667,1690,226517,5655.0,6354030.0
2002-10-23,1650,1706,1630,1690,225277,5655.0,6354030.0
2002-10-24,1687,1858,1667,1806,366023,6036.0,6354030.0
2002-10-25,1820,1839,1706,1786,222542,5973.0,6354030.0
2002-10-28,1783,1877,1763,1824,234033,6100.0,6354030.0
2002-10-29,1801,2029,1801,2032,409002,6799.0,6354030.0
2002-10-30,2128,2260,2053,2261,1515452,7561.0,6354030.0
2002-10-31,2369,2520,1991,1995,2411643,6672.0,6354030.0
2002-11-01,1991,2219,1972,2223,1503507,7434.0,6354030.0
2002-11-04,2293,2463,2162,2223,1625658,7434.0,6354030.0
2002-11-05,2219,2312,1991,2070,910524,6926.0,6354030.0
2002-11-06,2086,2162,1972,2090,420979,6989.0,6354030.0
2002-11-07,2124,2312,2010,2090,672686,6989.0,6354030.0
2002-11-08,2010,2086,2010,2052,253421,6862.0,6354030.0
2002-11-11,2071,2279,2033,2280,810555,7625.0,6354030.0
2002-11-12,2349,2388,2200,2242,923612,7498.0,6354030.0
2002-11-13,2297,2506,2242,2508,1557380,8387.0,6354030.0
2002-11-14,2696,2696,2243,2356,1207778,7879.0,6354030.0
2002-11-15,2411,2620,2335,2469,1289549,8260.0,6354030.0
2002-11-18,2430,2506,2279,2299,725278,7688.0,6354030.0
