제낙스(065620),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-06-27,2510,2510,2510,2510,497821,28865.0,11500000.0
2002-06-28,2810,2810,2810,2810,210985,32315.0,11500000.0
2002-07-02,3140,3140,2480,2480,1559745,28520.0,11500000.0
2002-07-03,2410,2500,2230,2240,700538,25760.0,11500000.0
2002-07-04,2340,2350,2130,2290,531739,26335.0,11500000.0
2002-07-05,2320,2330,2180,2220,567906,25530.0,11500000.0
2002-07-08,2260,2270,2050,2050,336988,23575.0,11500000.0
2002-07-09,2080,2140,2050,2120,284550,24380.0,11500000.0
2002-07-10,2140,2280,2080,2250,507692,25875.0,11500000.0
2002-07-11,2100,2360,2050,2360,359835,27140.0,11500000.0
2002-07-12,2580,2600,2340,2380,162576,27370.0,11500000.0
2002-07-15,2380,2450,2200,2350,153396,27025.0,11500000.0
2002-07-16,2300,2450,2200,2450,150815,28175.0,11500000.0
2002-07-18,2510,2740,2480,2510,212812,28865.0,11500000.0
2002-07-19,2220,2440,2220,2230,89383,25645.0,11500000.0
2002-07-22,2050,2300,1970,1970,138878,22655.0,11500000.0
2002-07-23,1810,2130,1810,2120,76639,24380.0,11500000.0
2002-07-24,2200,2200,1870,1990,128560,22885.0,11500000.0
2002-07-25,1810,2100,1810,1970,52771,22655.0,11500000.0
2002-07-26,1900,2200,1850,2200,58172,25300.0,11500000.0
2002-07-29,1940,2300,1940,1940,329854,22310.0,11500000.0
2002-07-30,1960,1970,1880,1890,140143,21735.0,11500000.0
2002-07-31,1860,1920,1670,1670,273151,19205.0,11500000.0
2002-08-01,1720,1720,1600,1640,103945,18860.0,11500000.0
2002-08-02,1580,1690,1580,1690,58459,19435.0,11500000.0
2002-08-05,1600,1670,1570,1630,87302,18745.0,11500000.0
2002-08-06,1560,1610,1470,1600,95843,18400.0,11500000.0
2002-08-07,1580,1690,1580,1670,160001,19205.0,11500000.0
2002-08-08,1680,1720,1620,1690,96152,19435.0,11500000.0
2002-08-09,1750,1810,1600,1640,200134,18860.0,11500000.0
2002-08-12,1610,1690,1600,1690,107650,19435.0,11500000.0
2002-08-13,1720,1720,1660,1720,72066,19780.0,11500000.0
