큐에스아이(066310),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-11-24,13600,13600,11600,11600,1016232,79323.0,6838230.0
2006-11-27,9900,9900,9900,9900,12100,67698.0,6838230.0
2006-11-28,8820,10000,8420,10000,2838862,68382.0,6838230.0
2006-11-29,9320,9510,8500,8500,1902197,58125.0,6838230.0
2006-11-30,8360,8700,7880,8030,1112380,54911.0,6838230.0
2006-12-01,8060,8290,7640,7710,799432,52723.0,6838230.0
2006-12-04,7710,8030,7630,7660,765338,52381.0,6838230.0
2006-12-05,7790,7830,7280,7500,564521,51287.0,6838230.0
2006-12-06,7500,7580,7170,7210,314996,49304.0,6838230.0
2006-12-07,7210,8290,6990,8290,1790685,56689.0,6838230.0
2006-12-08,8360,8790,7150,7370,2163439,50398.0,6838230.0
2006-12-11,7370,8470,7010,7900,1811461,54022.0,6838230.0
2006-12-12,7940,7970,7150,7150,600783,48893.0,6838230.0
2006-12-13,7130,7530,7100,7190,500375,49167.0,6838230.0
2006-12-14,7160,7330,7060,7190,385444,49167.0,6838230.0
2006-12-15,7240,7720,7210,7700,559013,52654.0,6838230.0
2006-12-18,7650,7930,7560,7680,432542,52518.0,6838230.0
2006-12-19,7610,8150,7520,7910,663679,54090.0,6838230.0
2006-12-20,8070,8080,7630,7640,386151,52244.0,6838230.0
2006-12-21,7700,7700,7370,7420,353636,50740.0,6838230.0
2006-12-22,7360,7750,7310,7660,325022,52381.0,6838230.0
2006-12-26,7500,7640,6950,6950,861626,47526.0,6838230.0
2006-12-27,6950,7170,6940,7000,342176,47868.0,6838230.0
2006-12-28,7090,7150,6940,6950,374917,47526.0,6838230.0
2007-01-02,6950,7370,6950,7350,444531,50261.0,6838230.0
2007-01-03,7330,7500,7110,7260,259773,49646.0,6838230.0
2007-01-04,7260,7480,7170,7480,306630,51150.0,6838230.0
2007-01-05,7480,7920,7400,7690,805458,52586.0,6838230.0
2007-01-08,8000,8060,7640,7690,710765,52586.0,6838230.0
2007-01-09,7760,8160,7680,7850,832281,53680.0,6838230.0
2007-01-10,7910,7950,7560,7810,416085,53407.0,6838230.0
2007-01-11,7860,8460,7700,8300,1099057,56757.0,6838230.0
2007-01-12,8430,9130,8330,8770,1414210,59971.0,6838230.0
2007-01-15,8860,8860,8530,8670,578065,59287.0,6838230.0
2007-01-16,8680,9070,8650,9000,779198,61544.0,6838230.0
2007-01-17,8890,8970,8600,8600,436322,58809.0,6838230.0
2007-01-18,8530,8550,8140,8200,497065,56073.0,6838230.0
2007-01-19,8140,8390,8030,8200,295464,56073.0,6838230.0
