디에이피(066900),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-05-14,4800,5190,4225,4225,1406374,54502.0,12900000.0
2004-05-17,4005,4180,3720,3950,530072,50955.0,12900000.0
2004-05-18,3700,3900,3550,3865,356614,49858.0,12900000.0
2004-05-19,3990,4325,3880,4325,663698,55792.0,12900000.0
2004-05-20,4325,4370,3815,3815,740724,49214.0,12900000.0
2004-05-21,3905,4100,3850,3945,275109,50890.0,12900000.0
2004-05-24,4065,4080,3785,3850,211807,49665.0,12900000.0
2004-05-25,3720,3850,3465,3610,187683,46569.0,12900000.0
2004-05-27,3690,3780,3575,3580,128782,46182.0,12900000.0
2004-05-28,3600,3640,3400,3540,164685,45666.0,12900000.0
2004-05-31,3500,3700,3400,3600,153401,46440.0,12900000.0
2004-06-01,3620,3750,3540,3630,129895,46827.0,12900000.0
2004-06-02,3560,3600,3435,3455,83672,44570.0,12900000.0
2004-06-03,3485,3530,3230,3280,146745,42312.0,12900000.0
2004-06-04,3290,3335,3160,3285,87126,42376.0,12900000.0
2004-06-07,3325,3375,3240,3280,90372,42312.0,12900000.0
2004-06-08,3310,3350,3150,3175,153305,40958.0,12900000.0
2004-06-09,3200,3220,3045,3045,108551,39280.0,12900000.0
2004-06-10,3035,3410,2940,3410,506413,43989.0,12900000.0
2004-06-11,3420,3480,3070,3100,310525,39990.0,12900000.0
2004-06-14,3020,3090,2730,2730,499094,35217.0,12900000.0
2004-06-15,2600,2930,2580,2790,441444,35991.0,12900000.0
2004-06-16,2890,3010,2785,2795,534829,36056.0,12900000.0
2004-06-17,2635,2810,2600,2695,266741,34766.0,12900000.0
2004-06-18,2650,2685,2470,2470,230571,31863.0,12900000.0
2004-06-21,2455,2610,2455,2550,468683,32895.0,12900000.0
2004-06-22,2520,2750,2370,2715,1052191,35024.0,12900000.0
2004-06-23,2750,2775,2580,2580,495158,33282.0,12900000.0
2004-06-24,2610,2715,2560,2665,456745,34378.0,12900000.0
2004-06-25,2665,2765,2650,2750,542818,35475.0,12900000.0
2004-06-28,2770,2845,2680,2680,415145,34572.0,12900000.0
2004-06-29,2685,2920,2605,2840,1042769,36636.0,12900000.0
2004-06-30,2900,3180,2820,3055,786174,39410.0,12900000.0
2004-07-01,3065,3065,2915,2940,413153,37926.0,12900000.0
2004-07-02,2860,2930,2750,2850,329051,36765.0,12900000.0
2004-07-05,2910,3090,2865,3050,515147,39345.0,12900000.0
2004-07-06,3050,3175,2970,3060,557146,39474.0,12900000.0
2004-07-07,2950,3235,2905,3195,593202,41216.0,12900000.0
2004-07-08,3230,3250,3070,3120,525586,40248.0,12900000.0
2004-07-09,3060,3150,3060,3120,257565,40248.0,12900000.0
2004-07-12,3190,3190,3005,3005,263213,38764.0,12900000.0
2004-07-13,3000,3060,2930,2970,479470,38313.0,12900000.0
2004-07-14,2930,2945,2750,2850,413913,36765.0,12900000.0
2004-07-15,2840,2845,2540,2630,554915,33927.0,12900000.0
2004-07-16,2565,2720,2555,2645,209816,34120.0,12900000.0
2004-07-19,2680,2760,2645,2645,313452,34120.0,12900000.0
2004-07-20,2600,2630,2515,2530,233226,32637.0,12900000.0
2004-07-21,2600,2665,2565,2595,195566,33476.0,12900000.0
2004-07-22,2520,2550,2470,2540,164682,32766.0,12900000.0
2004-07-23,2540,2575,2515,2550,187913,32895.0,12900000.0
2004-07-26,2550,2670,2530,2645,431539,34120.0,12900000.0
2004-07-27,2645,2690,2465,2500,361241,32250.0,12900000.0
2004-07-28,2540,2570,2400,2400,592276,30960.0,12900000.0
2004-07-29,2370,2370,2115,2130,493289,27477.0,12900000.0
2004-07-30,2130,2230,2000,2100,654999,27090.0,12900000.0
2004-08-02,2095,2095,1920,1930,360114,24897.0,12900000.0
2004-08-03,1915,2010,1900,1960,311870,25284.0,12900000.0
2004-08-04,1920,2040,1880,2010,239647,25929.0,12900000.0
2004-08-05,2065,2230,2065,2170,358665,27993.0,12900000.0
2004-08-06,2065,2145,2065,2145,255454,27670.0,12900000.0
2004-08-09,2090,2320,2080,2290,355410,29541.0,12900000.0
2004-08-10,2290,2390,2235,2325,301545,29992.0,12900000.0
2004-08-11,2400,2445,2300,2310,251033,29799.0,12900000.0
2004-08-12,2310,2440,2270,2400,356309,30960.0,12900000.0
2004-08-13,2350,2475,2340,2390,255790,30831.0,12900000.0
2004-08-16,2420,2430,2315,2375,159599,30638.0,12900000.0
2004-08-17,2400,2410,2270,2270,217806,29283.0,12900000.0
2004-08-18,2250,2300,2240,2290,210539,29541.0,12900000.0
2004-08-19,2310,2405,2310,2325,513418,29992.0,12900000.0
2004-08-20,2335,2450,2305,2450,317698,31605.0,12900000.0
2004-08-23,2500,2530,2425,2445,296642,31540.0,12900000.0
2004-08-24,2500,2540,2460,2520,254724,32508.0,12900000.0
2004-08-25,2505,2660,2480,2650,648923,34185.0,12900000.0
2004-08-26,2665,2665,2595,2615,276285,33734.0,12900000.0
2004-08-27,2585,2610,2515,2520,253702,32508.0,12900000.0
2004-08-30,2500,2530,2425,2460,217710,31734.0,12900000.0
2004-08-31,2415,2500,2415,2475,169621,31928.0,12900000.0
2004-09-01,2480,2650,2460,2590,484213,33411.0,12900000.0
2004-09-02,2600,2630,2520,2580,386000,33282.0,12900000.0
2004-09-03,2585,2710,2570,2640,620745,34056.0,12900000.0
2004-09-06,2645,2760,2635,2655,570471,34250.0,12900000.0
2004-09-07,2685,2695,2600,2640,302044,34056.0,12900000.0
2004-09-08,2640,2655,2520,2540,385102,32766.0,12900000.0
2004-09-09,2540,2565,2460,2460,214455,31734.0,12900000.0
2004-09-10,2495,2560,2490,2560,209039,33024.0,12900000.0
2004-09-13,2565,2720,2555,2620,1230242,33798.0,12900000.0
2004-09-14,2670,2675,2515,2520,672017,32508.0,12900000.0
2004-09-15,2550,2555,2485,2500,279249,32250.0,12900000.0
2004-09-16,2455,2490,2420,2455,361407,31670.0,12900000.0
2004-09-17,2465,2530,2450,2460,291581,31734.0,12900000.0
2004-09-20,2465,2490,2445,2445,220085,31540.0,12900000.0
2004-09-21,2435,2465,2370,2370,371170,30573.0,12900000.0
2004-09-22,2380,2420,2230,2240,317224,28896.0,12900000.0
2004-09-23,2215,2430,2205,2385,389559,30766.0,12900000.0
2004-09-24,2385,2425,2360,2380,163630,30702.0,12900000.0
2004-09-30,2350,2385,2330,2335,138388,30122.0,12900000.0
2004-10-01,2335,2500,2335,2500,345430,32250.0,12900000.0
2004-10-04,2565,2655,2500,2650,625736,34185.0,12900000.0
2004-10-05,2665,2790,2615,2695,568507,34766.0,12900000.0
2004-10-06,2695,2700,2600,2600,326755,33540.0,12900000.0
2004-10-07,2660,2765,2625,2690,616444,34701.0,12900000.0
2004-10-08,2685,2720,2615,2620,334156,33798.0,12900000.0
2004-10-11,2610,2650,2585,2595,246108,33476.0,12900000.0
2004-10-12,2620,2690,2520,2560,352362,33024.0,12900000.0
2004-10-13,2580,2750,2535,2750,446538,35475.0,12900000.0
2004-10-14,2750,2825,2685,2700,477622,34830.0,12900000.0
2004-10-15,2670,2850,2650,2820,728397,36378.0,12900000.0
2004-10-18,2850,2910,2765,2820,708733,36378.0,12900000.0
2004-10-19,2880,2880,2770,2820,371062,36378.0,12900000.0
2004-10-20,2805,2840,2590,2590,481246,33411.0,12900000.0
2004-10-21,2655,2670,2485,2530,345109,32637.0,12900000.0
2004-10-22,2520,2580,2510,2530,269841,32637.0,12900000.0
2004-10-25,2470,2475,2415,2440,200693,31476.0,12900000.0
2004-10-26,2440,2500,2390,2390,274549,30831.0,12900000.0
2004-10-27,2415,2460,2355,2435,310056,31412.0,12900000.0
2004-10-28,2480,2585,2480,2520,277812,32508.0,12900000.0
2004-10-29,2500,2575,2480,2570,170650,33153.0,12900000.0
2004-11-01,2570,2620,2510,2530,194546,32637.0,12900000.0
2004-11-02,2550,2600,2525,2550,217772,32895.0,12900000.0
2004-11-03,2565,2700,2565,2700,626834,34830.0,12900000.0
2004-11-04,2700,2750,2650,2680,167018,34572.0,12900000.0
2004-11-05,2750,2825,2700,2800,405766,36120.0,12900000.0
2004-11-08,2840,2880,2765,2775,419714,35798.0,12900000.0
2004-11-09,2750,2790,2630,2640,519501,34056.0,12900000.0
2004-11-10,2650,2705,2625,2670,273615,34443.0,12900000.0
