대화제약(067080),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-02-14,2900,2900,2900,2900,1210048,31494.0,10860000.0
2003-02-17,2560,2560,2560,2560,95470,27802.0,10860000.0
2003-02-18,2260,2350,2260,2260,2438389,24544.0,10860000.0
2003-02-19,2220,2420,2180,2260,2951183,24544.0,10860000.0
2003-02-20,2270,2300,2000,2020,1360710,21937.0,10860000.0
2003-02-21,2080,2170,2040,2070,1081183,22480.0,10860000.0
2003-02-24,2070,2200,2060,2090,1269197,22697.0,10860000.0
2003-02-25,2070,2080,1840,1840,1003748,19982.0,10860000.0
2003-02-26,1870,1910,1820,1820,560449,19765.0,10860000.0
2003-02-27,1840,1950,1810,1850,1170611,20091.0,10860000.0
2003-02-28,1880,1920,1780,1820,822857,19765.0,10860000.0
2003-03-03,1790,1850,1770,1820,421968,19765.0,10860000.0
2003-03-04,1800,1820,1690,1750,412746,19005.0,10860000.0
2003-03-05,1700,1730,1550,1600,418937,17376.0,10860000.0
2003-03-06,1570,1610,1530,1540,476468,16724.0,10860000.0
2003-03-07,1550,1560,1530,1540,259214,16724.0,10860000.0
2003-03-10,1500,1510,1490,1490,623258,16181.0,10860000.0
2003-03-11,1470,1480,1470,1470,567746,15964.0,10860000.0
2003-03-12,1440,1590,1440,1520,165274,16507.0,10860000.0
2003-03-13,1500,1510,1490,1500,340238,16290.0,10860000.0
2003-03-14,1550,1560,1430,1450,1432487,15747.0,10860000.0
2003-03-17,1420,1430,1280,1280,394513,13901.0,10860000.0
2003-03-18,1320,1330,1240,1280,766217,13901.0,10860000.0
2003-03-19,1260,1330,1240,1250,637615,13575.0,10860000.0
2003-03-20,1280,1390,1270,1380,877348,14987.0,10860000.0
2003-03-21,1400,1490,1360,1460,556763,15856.0,10860000.0
2003-03-24,1490,1630,1440,1630,982088,17702.0,10860000.0
2003-03-25,1560,1730,1560,1650,1122946,17919.0,10860000.0
2003-03-26,1710,1800,1620,1660,791522,18028.0,10860000.0
2003-03-27,1660,1670,1560,1560,402461,16942.0,10860000.0
2003-03-28,1570,1630,1570,1610,485996,17485.0,10860000.0
2003-03-31,1620,1730,1540,1590,1128683,17267.0,10860000.0
2003-04-01,1550,1600,1510,1590,568533,17267.0,10860000.0
2003-04-02,1640,1780,1620,1780,1517987,19331.0,10860000.0
2003-04-03,1840,1980,1790,1860,2152460,20200.0,10860000.0
2003-04-04,1860,1860,1700,1790,855945,19439.0,10860000.0
