DMS(068790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-10-01,12615,13600,12515,13165,636563,251538.0,6376126.0
2004-10-04,13449,13516,13032,13182,197466,251857.0,6376126.0
2004-10-05,13282,13282,12682,12948,164518,247394.0,6376126.0
2004-10-06,12882,13333,12565,12948,241799,247394.0,6376126.0
2004-10-07,12815,13082,12698,13032,570685,248988.0,6376126.0
2004-10-08,13032,13983,12949,13682,277190,261421.0,6376126.0
2004-10-11,13800,14350,13549,14333,153298,273855.0,6376126.0
2004-10-12,14551,14934,14150,14500,216839,277043.0,6376126.0
2004-10-13,14684,14851,14484,14567,102975,278318.0,6376126.0
2004-10-14,14350,14350,13783,14116,124168,269710.0,6376126.0
2004-10-15,13783,14250,13750,14083,72649,269073.0,6376126.0
2004-10-18,14083,14367,13883,14116,70554,269710.0,6376126.0
2004-10-19,14234,15652,14050,15435,267146,294896.0,6376126.0
2004-10-20,15452,15819,14768,15067,209196,287882.0,6376126.0
2004-10-21,15118,15218,14517,14817,130899,283100.0,6376126.0
2004-10-22,15151,15352,13950,14150,169230,270348.0,6376126.0
2004-10-25,13917,14350,13783,14050,73301,268435.0,6376126.0
2004-10-26,13950,14317,13566,13616,71607,260146.0,6376126.0
2004-10-27,13733,14067,13316,13682,91334,261421.0,6376126.0
2004-10-28,13917,14000,13483,13616,53654,260146.0,6376126.0
2004-10-29,13616,13616,12949,13382,80329,255683.0,6376126.0
2004-11-01,13216,13383,12648,12681,223545,242293.0,6376126.0
2004-11-02,12682,13766,12682,13082,606890,249944.0,6376126.0
2004-11-03,13349,13449,13082,13282,217936,253770.0,6376126.0
2004-11-04,13349,13349,12749,12748,128341,243568.0,6376126.0
2004-11-05,12749,13066,12515,12514,155732,239105.0,6376126.0
2004-11-08,12532,12682,12064,12281,144209,234641.0,6376126.0
2004-11-09,12281,12598,12248,12364,112073,236235.0,6376126.0
2004-11-10,12515,13266,12482,13015,200109,258536.0,6629141.0
2004-11-11,13015,13716,12915,13682,183628,271795.0,6629141.0
2004-11-12,13716,13750,13282,13516,113970,268480.0,6629141.0
2004-11-15,13549,14117,13516,13949,231992,277098.0,6629141.0
2004-11-16,14234,14250,13800,14000,296058,278092.0,6629141.0
2004-11-17,15000,15650,14650,15200,863749,100763.0,6629141.0
2004-11-18,14900,15200,14250,14500,308053,96123.0,6629141.0
2004-11-19,14450,14450,13700,14200,164403,94134.0,6629141.0
2004-11-22,13700,14250,13550,13850,238577,91814.0,6629141.0
2004-11-23,14450,14550,14150,14150,185862,93802.0,6629141.0
2004-11-24,14100,14200,13800,13850,130522,91814.0,6629141.0
2004-11-25,13800,14550,13800,14300,193128,94797.0,6629141.0
2004-11-26,14100,14400,13850,14000,106875,92808.0,6629141.0
2004-11-29,13850,14200,13400,13950,122436,92477.0,6629141.0
2004-11-30,14000,14200,13650,13900,110076,92145.0,6629141.0
2004-12-01,13600,13800,13250,13400,418873,88830.0,6629141.0
2004-12-02,13700,13700,13300,13350,144926,88499.0,6629141.0
2004-12-03,13350,13450,12900,13250,129140,87836.0,6629141.0
2004-12-06,13250,13700,13200,13400,183455,88830.0,6629141.0
2004-12-07,13300,13600,13050,13100,102765,86842.0,6629141.0
2004-12-08,13000,13150,12550,12800,200052,84853.0,6629141.0
2004-12-09,12800,12800,12300,12600,112470,83527.0,6629141.0
2004-12-10,12850,13150,12650,12800,246152,84853.0,6629141.0
2004-12-13,12700,12900,12350,12550,85197,83196.0,6629141.0
2004-12-14,12500,12700,11700,12300,321996,81538.0,6629141.0
2004-12-15,12300,13500,12200,13300,415951,88168.0,6629141.0
2004-12-16,12950,13500,12700,13200,1073119,262514.0,19887423.0
2004-12-17,13350,13700,13050,13150,387514,261520.0,19887423.0
2004-12-20,13300,13850,13150,13750,705927,273452.0,19887423.0
2004-12-21,13750,13850,13350,13800,466377,274446.0,19887423.0
2004-12-22,13950,13950,13500,13500,258483,268480.0,19887423.0
2004-12-23,13500,13700,12850,13000,292669,258536.0,19887423.0
2004-12-24,12900,12950,12500,12500,257155,248593.0,19887423.0
2004-12-27,12500,12700,12300,12550,242197,249587.0,19887423.0
2004-12-28,12450,12500,11500,12000,461514,238649.0,19887423.0
2004-12-29,12150,12450,12100,12350,302262,245610.0,19887423.0
2004-12-30,12350,12800,12350,12700,271240,252570.0,19887423.0
2005-01-03,12900,13350,12750,13200,532314,262514.0,19887423.0
2005-01-04,13400,13600,13150,13450,637971,267486.0,19887423.0
2005-01-05,13300,13600,13200,13500,579584,268480.0,19887423.0
2005-01-06,13550,14450,13350,13750,951767,273452.0,19887423.0
2005-01-07,13950,14500,13750,14000,858612,278424.0,19887423.0
2005-01-10,14200,14850,14050,14350,1103129,285385.0,19887423.0
2005-01-11,14400,14450,13800,14250,604164,283396.0,19887423.0
2005-01-12,14250,14400,13650,13750,376140,273452.0,19887423.0
2005-01-13,13900,14550,13900,14350,801678,285385.0,19887423.0
2005-01-14,14450,14800,14250,14650,789147,291351.0,19887423.0
2005-01-17,15000,16200,14900,16050,1403727,319193.0,19887423.0
2005-01-18,16300,16700,15650,15650,986047,311238.0,19887423.0
2005-01-19,16000,16300,15650,16000,588176,318199.0,19887423.0
2005-01-20,15900,16000,14800,15400,802014,306266.0,19887423.0
2005-01-21,15100,16300,15050,16300,859595,324165.0,19887423.0
2005-01-24,16600,17300,16100,16800,1256659,334109.0,19887423.0
2005-01-25,16600,16800,15550,15700,891394,312233.0,19887423.0
2005-01-26,15950,16000,15000,15800,625469,314221.0,19887423.0
2005-01-27,16000,16400,15600,16050,533278,319193.0,19887423.0
2005-01-28,15850,16350,15550,16150,464152,321182.0,19887423.0
2005-01-31,16200,16450,16150,16150,415426,321182.0,19887423.0
2005-02-01,16300,16900,16200,16650,896450,331126.0,19887423.0
2005-02-02,17000,17600,16600,17450,1069679,347036.0,19887423.0
2005-02-03,17700,17700,16850,16900,525122,336097.0,19887423.0
2005-02-04,17000,17450,16550,16800,888133,334109.0,19887423.0
2005-02-07,16800,17300,16750,17200,576120,342064.0,19887423.0
2005-02-11,16900,17100,16750,16800,368978,334109.0,19887423.0
2005-02-14,17100,17350,16850,17200,852032,342064.0,19887423.0
2005-02-15,17300,17500,17000,17100,578822,340075.0,19887423.0
2005-02-16,17300,17350,16500,16600,659807,330131.0,19887423.0
2005-02-17,16500,17100,16300,17000,500668,338086.0,19887423.0
2005-02-18,16750,16850,16350,16500,474365,328142.0,19887423.0
2005-02-21,16550,16800,15700,15850,842482,315216.0,19887423.0
2005-02-22,15800,16050,15000,15250,688521,303283.0,19887423.0
2005-02-23,14950,15350,14600,15350,481910,305272.0,19887423.0
2005-02-24,15350,16500,15300,16100,809231,320188.0,19887423.0
2005-02-25,16700,16850,16100,16700,808677,332120.0,19887423.0
2005-02-28,17000,17050,16300,16500,570750,328142.0,19887423.0
2005-03-02,16700,16700,15800,15900,451773,316210.0,19887423.0
2005-03-03,15700,16000,15150,15850,716403,315216.0,19887423.0
2005-03-04,15700,15850,15300,15300,333721,304278.0,19887423.0
2005-03-07,15400,15700,14850,15000,459727,298311.0,19887423.0
2005-03-08,15250,15400,14400,15000,643226,298311.0,19887423.0
2005-03-09,15050,15800,14900,15200,780390,302289.0,19887423.0
2005-03-10,15200,15500,15050,15150,400456,301294.0,19887423.0
2005-03-11,15400,15700,15250,15550,461426,309249.0,19887423.0
2005-03-14,15450,15600,15200,15200,308726,302289.0,19887423.0
2005-03-15,15200,15300,14400,14400,746054,286379.0,19887423.0
2005-03-16,14200,14550,13700,14050,430977,279418.0,19887423.0
2005-03-17,13700,13850,13350,13400,524944,266491.0,19887423.0
2005-03-18,13250,13600,13000,13050,446196,259531.0,19887423.0
2005-03-21,13500,14400,13500,14200,898274,282401.0,19887423.0
2005-03-22,14200,14300,13750,13750,391197,273452.0,19887423.0
2005-03-23,13950,14000,13500,13650,322941,271463.0,19887423.0
2005-03-24,13900,14000,13350,13650,458760,271463.0,19887423.0
2005-03-25,13650,13850,13550,13800,332314,274446.0,19887423.0
2005-03-28,13900,14250,13900,14150,319514,281407.0,19887423.0
2005-03-29,14200,14350,13600,13700,210826,272458.0,19887423.0
2005-03-30,13650,14150,13600,14050,287078,279418.0,19887423.0
2005-03-31,14300,15200,14200,14900,848211,296323.0,19887423.0
2005-04-01,15100,16050,15000,15850,1261995,315216.0,19887423.0
2005-04-04,16200,16400,15750,15900,574162,316210.0,19887423.0
2005-04-06,16200,16350,15800,16000,433271,318199.0,19887423.0
2005-04-07,16200,16600,15750,15900,535813,316210.0,19887423.0
2005-04-08,16250,16300,15400,15550,378212,309249.0,19887423.0
2005-04-11,15300,15400,14850,14850,376989,295328.0,19887423.0
2005-04-12,14800,14950,14700,14800,258504,294334.0,19887423.0
2005-04-13,15000,15000,14150,14150,367821,281407.0,19887423.0
2005-04-14,14000,14400,13950,14100,327728,280413.0,19887423.0
