누리플랜(069140),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-10-26,7206,7291,6219,6691,2871021,33618.0,4310000.0
2010-10-27,6991,7694,6931,7695,1176654,38661.0,4310000.0
2010-10-28,8484,8835,8321,8836,244924,44393.0,4310000.0
2010-10-29,10122,10122,9007,10123,2515507,50858.0,4310000.0
2010-11-01,10894,11623,9822,10209,1711930,51289.0,4310000.0
2010-11-02,10337,11323,9479,10637,1644855,53444.0,4310000.0
2010-11-03,11495,12095,9050,9050,1583214,45470.0,4310000.0
2010-11-04,9007,9565,8518,8621,755837,43316.0,4310000.0
2010-11-05,8793,9136,8570,8793,404973,44178.0,4310000.0
2010-11-08,8835,10079,8835,10080,491937,50642.0,4310000.0
2010-11-09,10980,11495,9007,9351,1297069,46979.0,4310000.0
2010-11-10,9221,9736,9093,9179,379718,46117.0,4310000.0
2010-11-11,9179,9865,8964,8965,394847,45040.0,4310000.0
2010-11-12,9136,10294,8278,8493,1522711,42669.0,4310000.0
2010-11-15,8707,9093,8570,8570,391084,43057.0,4310000.0
2010-11-16,8664,9007,7737,7961,304409,39997.0,4310000.0
2010-11-17,7720,7935,7514,7549,186068,37928.0,4310000.0
2010-11-18,7669,8261,7643,7858,226014,39480.0,4310000.0
2010-11-19,7909,8072,7686,7721,89588,38790.0,4310000.0
2010-11-22,7763,7892,7377,7395,98339,37152.0,4310000.0
2010-11-23,7489,7489,7206,7412,82363,37238.0,4310000.0
2010-11-24,6922,7197,6691,7094,73170,35644.0,4310000.0
2010-11-25,7317,7677,7197,7283,185173,36592.0,4310000.0
2010-11-26,7360,7420,6871,7034,81050,35342.0,4310000.0
2010-11-29,7060,7180,6905,7137,34992,35859.0,4310000.0
2010-11-30,7120,7188,7017,7103,34563,35687.0,4310000.0
2010-12-01,7960,8166,7163,7163,544159,35988.0,4310000.0
2010-12-02,7248,7248,7120,7146,92037,35902.0,4310000.0
2010-12-03,7206,7720,7120,7721,157321,38790.0,4310000.0
2010-12-06,7978,7978,7206,7206,230135,36204.0,4310000.0
2010-12-07,7214,7214,7051,7060,47789,35471.0,4310000.0
2010-12-08,6931,7060,6888,6923,63304,34782.0,4310000.0
2010-12-09,6931,7034,6862,6880,32672,34566.0,4310000.0
2010-12-10,6940,6940,6717,6871,52845,34523.0,4310000.0
2010-12-13,6905,7163,6794,6871,42472,34523.0,4310000.0
2010-12-14,6940,7060,6742,6751,95315,33920.0,4310000.0
2010-12-15,6837,6862,6622,6743,38172,33877.0,4310000.0
2010-12-16,6648,6734,6485,6700,51731,33661.0,4310000.0
2010-12-17,6699,6768,6614,6751,23889,33920.0,4310000.0
2010-12-20,6631,6691,5739,6322,42843,31765.0,4310000.0
2010-12-21,6399,6511,6330,6357,26165,31937.0,4310000.0
2010-12-22,6373,6562,6185,6434,34684,32325.0,4310000.0
2010-12-23,6322,6416,6279,6340,19570,31851.0,4310000.0
2010-12-24,6279,6433,6176,6434,44619,32325.0,4310000.0
2010-12-27,6365,6433,6322,6382,13869,32066.0,4310000.0
2010-12-28,6288,6433,6288,6305,23962,31678.0,4310000.0
2010-12-29,6322,7248,6322,6563,619951,32972.0,4310000.0
2010-12-30,6631,6691,6442,6537,59458,32842.0,4310000.0
2011-01-03,6536,6614,6391,6545,36991,32885.0,4310000.0
2011-01-04,6545,6742,6476,6743,37245,33877.0,4310000.0
2011-01-05,6674,6862,6605,6683,79120,33575.0,4310000.0
2011-01-06,6682,7000,6519,6597,138504,33144.0,4310000.0
2011-01-07,6605,6854,6579,6811,65422,34221.0,4310000.0
2011-01-10,6734,6811,6442,6768,31682,34006.0,4310000.0
2011-01-11,6768,6897,6674,6743,17998,33877.0,4310000.0
2011-01-12,6742,7206,6708,6889,115936,34609.0,4310000.0
2011-01-13,6948,7103,6614,6794,58636,34135.0,4310000.0
2011-01-14,6811,6888,6648,6777,7171,34049.0,4310000.0
2011-01-17,6777,6837,6554,6691,11308,33618.0,4310000.0
2011-01-18,6691,6777,6519,6520,9030,32756.0,4310000.0
2011-01-19,6554,6699,6485,6700,22405,33661.0,4310000.0
2011-01-20,6777,6777,6691,6768,15279,34006.0,4310000.0
2011-01-21,6802,6922,6605,6768,45353,34006.0,4310000.0
2011-01-24,6708,6871,6665,6717,8751,33747.0,4310000.0
2011-01-25,6717,6854,6262,6597,12490,33144.0,4310000.0
2011-01-26,6648,6759,6536,6545,16879,32885.0,4310000.0
2011-01-27,6605,6717,6485,6623,23638,33273.0,4310000.0
2011-01-28,6605,6734,6528,6648,23419,33402.0,4310000.0
2011-01-31,6622,6811,6596,6683,29355,33575.0,4310000.0
2011-02-01,6854,6854,6614,6623,6845,33273.0,4310000.0
2011-02-07,6725,6725,6588,6657,4473,33446.0,4310000.0
