한솔시큐어(070300),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-06-09,9500,10900,8080,8080,7590375,35341.0,4373900.0
2010-06-10,7890,8500,7410,7800,3204402,34116.0,4373900.0
2010-06-11,8210,8970,7800,8300,5019149,36303.0,4373900.0
2010-06-14,8600,9540,7950,9540,3026931,41727.0,4373900.0
2010-06-15,10000,10950,9760,10950,3974876,47894.0,4373900.0
2010-06-16,11500,11800,9980,10300,5166254,45051.0,4373900.0
2010-06-17,10250,10750,9140,9350,3294141,40896.0,4373900.0
2010-06-18,9400,9530,8720,8720,1518271,38140.0,4373900.0
2010-06-21,8820,8860,8420,8560,1158900,37441.0,4373900.0
2010-06-22,8420,8590,8000,8070,1123408,35297.0,4373900.0
2010-06-23,8100,9120,8080,8210,2634990,35910.0,4373900.0
2010-06-24,8340,8680,8010,8060,863312,40933.0,5078496.0
2010-06-25,8110,8740,8090,8600,1541713,43675.0,5078496.0
2010-06-28,8400,8420,7400,7400,2619164,37581.0,5078496.0
2010-06-29,7520,7860,7310,7600,1015762,38597.0,5078496.0
2010-06-30,7400,7990,7350,7530,1279972,38241.0,5078496.0
2010-07-01,7430,8140,7430,7780,1711258,39511.0,5078496.0
2010-07-02,7870,7950,7500,7500,703763,38089.0,5078496.0
2010-07-05,7620,7710,7410,7410,388682,37632.0,5078496.0
2010-07-06,7430,7470,7070,7120,538086,36159.0,5078496.0
2010-07-07,7200,7670,7030,7320,897305,37175.0,5078496.0
2010-07-08,7400,7750,7380,7500,687617,38089.0,5078496.0
2010-07-09,7550,8190,7500,7580,1997780,38495.0,5078496.0
2010-07-12,7750,7750,7250,7300,840044,37073.0,5078496.0
2010-07-13,7350,7460,7250,7290,422234,37022.0,5078496.0
2010-07-14,7420,7580,7290,7290,589355,37022.0,5078496.0
2010-07-15,7300,7500,7280,7450,602547,37835.0,5078496.0
2010-07-16,7500,7640,7310,7350,623732,37327.0,5078496.0
2010-07-19,7340,7720,7270,7660,691749,38901.0,5078496.0
2010-07-20,7750,8050,7660,8000,907702,40628.0,5078496.0
2010-07-21,8150,8160,7550,7590,1075045,38546.0,5078496.0
2010-07-22,7500,7550,7100,7100,699680,36057.0,5078496.0
2010-07-23,7200,7250,6800,6800,366821,34534.0,5078496.0
2010-07-26,6760,6850,6670,6730,380574,34178.0,5078496.0
2010-07-27,6760,6970,6700,6890,537491,34991.0,5078496.0
2010-07-28,6950,6950,6630,6630,414914,33670.0,5078496.0
2010-07-29,6630,6650,6190,6210,452726,31537.0,5078496.0
2010-07-30,6200,6470,6140,6230,266695,31639.0,5078496.0
2010-08-02,6250,6330,6000,6000,235774,30471.0,5078496.0
2010-08-03,5980,6030,5660,5710,417684,28998.0,5078496.0
2010-08-04,5720,5940,4960,5090,753137,25850.0,5078496.0
2010-08-05,5050,5160,4935,4935,314889,25062.0,5078496.0
2010-08-06,4985,4985,4830,4880,180760,24783.0,5078496.0
2010-08-09,4885,5040,4885,4960,149675,25189.0,5078496.0
2010-08-10,4930,5050,4930,4945,245127,25113.0,5078496.0
2010-08-11,4990,4990,4880,4880,144669,24783.0,5078496.0
2010-08-12,4735,4760,4635,4640,176344,23564.0,5078496.0
2010-08-13,4690,5090,4680,4880,264342,24783.0,5078496.0
2010-08-16,4900,4930,4760,4840,65918,24580.0,5078496.0
2010-08-17,4900,5150,4875,4995,240696,25367.0,5078496.0
2010-08-18,5100,5740,5020,5740,831534,29151.0,5078496.0
2010-08-19,5840,6440,5610,5720,1580309,29049.0,5078496.0
2010-08-20,5720,6100,5670,5750,587387,29201.0,5078496.0
2010-08-23,5830,6150,5730,5830,370019,29608.0,5078496.0
2010-08-24,5850,6150,5850,5900,463014,29963.0,5078496.0
2010-08-25,5890,6150,5750,5800,235949,29455.0,5078496.0
2010-08-26,5900,6000,5310,5400,304805,27424.0,5078496.0
2010-08-27,5330,5490,5060,5200,178849,26408.0,5078496.0
2010-08-30,5330,5680,5250,5590,242500,28389.0,5078496.0
2010-08-31,5590,5590,5350,5360,98073,27221.0,5078496.0
2010-09-01,5470,5470,5250,5300,88927,26916.0,5078496.0
2010-09-02,5400,5580,5350,5440,128712,27627.0,5078496.0
2010-09-03,5530,5530,5360,5430,108674,27576.0,5078496.0
2010-09-06,5450,5490,5350,5400,94791,27424.0,5078496.0
2010-09-07,5500,5670,5340,5360,237495,27221.0,5078496.0
2010-09-08,5440,5630,5390,5630,254005,28592.0,5078496.0
2010-09-09,5670,5830,5580,5580,288002,28338.0,5078496.0
2010-09-10,5620,5660,4870,5340,255523,27119.0,5078496.0
2010-09-13,5430,5600,5310,5600,140465,28440.0,5078496.0
2010-09-14,5790,5930,5610,5750,393270,29201.0,5078496.0
2010-09-15,5870,5870,5460,5540,137995,28135.0,5078496.0
2010-09-16,5630,5630,5260,5270,196007,26764.0,5078496.0
2010-09-17,5290,5390,5280,5300,72493,26916.0,5078496.0
2010-09-20,5270,5380,5240,5290,57192,26865.0,5078496.0
2010-09-24,5280,5400,5270,5300,42067,26916.0,5078496.0
2010-09-27,5320,5380,5270,5300,48811,26916.0,5078496.0
2010-09-28,5300,5320,5180,5180,100179,26307.0,5078496.0
2010-09-29,5280,5280,5110,5150,72667,26154.0,5078496.0
2010-09-30,5100,5200,5090,5090,59551,25850.0,5078496.0
2010-10-01,5140,5190,5070,5150,73184,26154.0,5078496.0
2010-10-04,5160,5220,5040,5080,69377,25799.0,5078496.0
2010-10-05,5090,5140,5010,5060,42477,25697.0,5078496.0
2010-10-06,5070,5140,4990,5010,93944,25443.0,5078496.0
2010-10-07,5020,5020,4810,4850,115855,24631.0,5078496.0
2010-10-08,4850,4920,4790,4820,98626,24478.0,5078496.0
2010-10-11,4800,4885,4795,4800,74862,24377.0,5078496.0
2010-10-12,4800,4820,4750,4765,45930,24199.0,5078496.0
2010-10-13,4790,5050,4710,4945,178685,25113.0,5078496.0
2010-10-14,5000,5020,4840,4840,68590,24580.0,5078496.0
2010-10-15,4970,4975,4850,4900,63122,24885.0,5078496.0
2010-10-18,4905,5080,4905,4960,67589,25189.0,5078496.0
2010-10-19,4990,5210,4965,5130,123102,26053.0,5078496.0
2010-10-20,5190,5300,5050,5080,175914,25799.0,5078496.0
2010-10-21,5220,5220,5060,5100,84097,25900.0,5078496.0
2010-10-22,5160,5160,5030,5080,109675,25799.0,5078496.0
2010-10-25,5080,5130,5020,5070,63835,25748.0,5078496.0
2010-10-26,5160,5640,5150,5350,701446,27170.0,5078496.0
2010-10-27,5500,5520,5230,5250,156594,26662.0,5078496.0
2010-10-28,5270,5440,5170,5170,159186,26256.0,5078496.0
2010-10-29,5260,5380,5180,5290,131053,26865.0,5078496.0
2010-11-01,5450,5680,5240,5280,320000,26814.0,5078496.0
2010-11-02,5280,5360,5220,5260,106323,26713.0,5078496.0
2010-11-03,5260,5270,5040,5130,161959,26053.0,5078496.0
2010-11-04,5100,5210,5080,5120,76845,26002.0,5078496.0
2010-11-05,5150,5210,4700,4720,287684,24120.0,5110218.0
2010-11-08,4840,4840,4390,4450,264032,22740.0,5110218.0
2010-11-09,4500,4550,4400,4420,116753,22587.0,5110218.0
2010-11-10,4410,4450,4200,4310,137833,22025.0,5110218.0
2010-11-11,4205,4340,4050,4080,231820,20850.0,5110218.0
2010-11-12,4130,4130,3915,4000,190454,20441.0,5110218.0
2010-11-15,4000,4135,4000,4135,83416,21131.0,5110218.0
2010-11-16,4140,4180,4065,4135,73192,21131.0,5110218.0
2010-11-17,4065,4140,4060,4110,51325,21003.0,5110218.0
2010-11-18,4160,4250,4100,4180,68694,21361.0,5110218.0
2010-11-19,4270,4270,4145,4175,32932,21335.0,5110218.0
2010-11-22,4240,4240,4125,4170,67498,21310.0,5110218.0
2010-11-23,4145,4190,4125,4150,117687,21207.0,5110218.0
2010-11-24,3960,4155,3930,4150,235088,21207.0,5110218.0
2010-11-25,4150,4170,3995,4000,123226,20441.0,5110218.0
2010-11-26,4050,4050,3790,3800,106699,19419.0,5110218.0
2010-11-29,3885,3920,3805,3835,28595,19598.0,5110218.0
2010-11-30,3900,3900,3810,3840,36553,19623.0,5110218.0
2010-12-01,3885,4020,3845,4020,54423,20543.0,5110218.0
2010-12-02,4020,4100,3930,4045,38381,20671.0,5110218.0
