원익QnC(074600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-12-12,1002,1122,919,1123,979632,27552.0,6150000.0
2003-12-15,1190,1255,1110,1256,479969,30812.0,6150000.0
2003-12-16,1300,1405,1105,1128,713668,27675.0,6150000.0
2003-12-17,1127,1192,1032,1078,371193,26445.0,6150000.0
2003-12-18,1077,1085,1038,1078,135159,26445.0,6150000.0
2003-12-19,1077,1122,1050,1050,160567,25768.0,6150000.0
2003-12-22,979,1050,924,925,195743,22694.0,6150000.0
2003-12-23,877,924,814,814,277433,19988.0,6150000.0
2003-12-24,811,842,776,842,127430,20664.0,6150000.0
2003-12-26,894,942,882,942,303359,23124.0,6150000.0
2003-12-29,975,1049,957,1049,253619,25738.0,6150000.0
2003-12-30,1032,1112,1004,1053,232113,25830.0,6150000.0
2004-01-02,1017,1045,964,1002,82017,24600.0,6150000.0
2004-01-05,980,1001,924,924,89019,22663.0,6150000.0
2004-01-06,928,997,902,902,63676,22140.0,6150000.0
2004-01-07,887,952,887,902,45887,22140.0,6150000.0
2004-01-08,909,1009,903,1010,91792,24784.0,6150000.0
2004-01-09,1025,1130,1005,1069,95328,26230.0,6150000.0
2004-01-12,1024,1081,1024,1040,34434,25522.0,6150000.0
2004-01-13,1039,1061,959,1010,38397,24784.0,6150000.0
2004-01-14,977,998,957,977,41399,23985.0,6150000.0
2004-01-15,967,1005,934,934,51008,22909.0,6150000.0
2004-01-16,922,1002,916,972,49662,23862.0,6150000.0
2004-01-19,1002,1067,985,989,58035,24262.0,6150000.0
2004-01-20,1002,1002,968,977,27865,23985.0,6150000.0
2004-01-26,999,1019,977,1020,32243,25030.0,6150000.0
2004-01-27,1027,1085,999,1015,60012,24908.0,6150000.0
2004-01-28,1000,1029,960,971,31274,23831.0,6150000.0
2004-01-29,942,1002,942,985,17035,24170.0,6150000.0
2004-01-30,958,1012,944,945,30110,23186.0,6150000.0
2004-02-02,939,1002,939,950,38476,23308.0,6150000.0
2004-02-03,977,1060,928,975,185199,23924.0,6150000.0
2004-02-04,974,974,917,930,63313,22816.0,6150000.0
2004-02-05,917,965,902,904,45095,22171.0,6150000.0
2004-02-06,916,929,908,910,20625,22324.0,6150000.0
2004-02-09,914,931,892,892,62050,21894.0,6150000.0
2004-02-10,902,904,843,852,86263,20910.0,6150000.0
2004-02-11,839,868,814,862,51804,21156.0,6150000.0
2004-02-12,864,872,834,854,29802,20941.0,6150000.0
2004-02-13,826,954,820,927,112732,22755.0,6150000.0
2004-02-16,944,1022,907,967,215795,23739.0,6150000.0
2004-02-17,989,992,962,980,69797,24046.0,6150000.0
2004-02-18,998,1037,969,1027,114780,25215.0,6150000.0
2004-02-19,1017,1150,1017,1150,158166,28228.0,6150000.0
2004-02-20,1197,1270,1130,1153,238996,28290.0,6150000.0
2004-02-23,1200,1200,1093,1114,83831,27337.0,6150000.0
2004-02-24,1100,1170,1065,1158,174077,28413.0,6150000.0
2004-02-25,1159,1295,1159,1296,181416,31796.0,6150000.0
2004-02-26,1373,1428,1308,1316,291493,32288.0,6150000.0
2004-02-27,1340,1473,1318,1421,349603,34870.0,6150000.0
2004-03-02,1433,1461,1378,1443,112771,35424.0,6150000.0
2004-03-03,1443,1491,1418,1476,98247,36224.0,6150000.0
2004-03-04,1415,1566,1415,1541,146214,37822.0,6150000.0
2004-03-05,1523,1576,1518,1529,63719,37515.0,6150000.0
2004-03-08,1506,1551,1478,1516,93498,37208.0,6150000.0
2004-03-09,1528,1528,1473,1476,47820,36224.0,6150000.0
2004-03-10,1415,1478,1415,1479,84969,36285.0,6150000.0
2004-03-11,1428,1486,1428,1466,53721,35978.0,6150000.0
2004-03-12,1428,1488,1290,1428,160488,35055.0,6150000.0
2004-03-15,1478,1478,1390,1453,53824,35670.0,6150000.0
2004-03-16,1440,1548,1415,1466,99489,35978.0,6150000.0
2004-03-17,1478,1638,1466,1636,155185,40160.0,6150000.0
2004-03-18,1664,1679,1583,1591,66058,39052.0,6150000.0
2004-03-19,1591,1591,1553,1554,44076,38130.0,6150000.0
2004-03-22,1518,1548,1503,1516,43697,37208.0,6150000.0
2004-03-23,1493,1596,1453,1466,53115,35978.0,6150000.0
2004-03-24,1445,1493,1428,1466,27226,35978.0,6150000.0
2004-03-25,1418,1450,1353,1353,52414,33210.0,6150000.0
2004-03-26,1393,1398,1315,1351,46618,33148.0,6150000.0
2004-03-29,1318,1415,1318,1416,36652,34748.0,6150000.0
2004-03-30,1405,1448,1355,1428,31641,35055.0,6150000.0
2004-03-31,1473,1521,1453,1519,92497,37269.0,6150000.0
2004-04-01,1468,1676,1468,1599,116523,39237.0,6150000.0
2004-04-02,1626,1653,1601,1604,64819,39360.0,6150000.0
2004-04-06,1641,1776,1616,1762,191837,43234.0,6150000.0
2004-04-07,1804,1972,1801,1972,245869,48400.0,6150000.0
2004-04-08,2054,2207,2054,2178,341622,53444.0,6150000.0
2004-04-09,2177,2222,2042,2155,110407,52890.0,6150000.0
2004-04-12,2117,2167,2092,2143,86727,52582.0,6150000.0
2004-04-13,2130,2398,2054,2180,572028,53505.0,6150000.0
2004-04-14,2200,2267,2117,2143,76450,52582.0,6150000.0
2004-04-16,2130,2155,2042,2118,55581,51968.0,6150000.0
2004-04-19,2067,2175,2067,2140,46632,52521.0,6150000.0
2004-04-20,2132,2340,2132,2280,212792,55965.0,6150000.0
