동국알앤에스(075970),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-02-13,1123.0,1256.0,990.0,988.0,1055210.0,8924.0,4600000.0
2004-02-16,958.0,958.0,872.0,870.0,418786.0,7866.0,4600000.0
2004-02-17,876.0,956.0,871.0,878.0,269275.0,7935.0,4600000.0
2004-02-18,880.0,893.0,812.0,827.0,253489.0,7475.0,4600000.0
2004-02-19,828.0,835.0,799.0,815.0,198428.0,7360.0,4600000.0
2004-02-20,809.0,812.0,765.0,794.0,111460.0,7176.0,4600000.0
2004-02-23,790.0,890.0,765.0,846.0,160607.0,7636.0,4600000.0
2004-02-24,829.0,878.0,778.0,781.0,173029.0,7061.0,4600000.0
2004-02-25,779.0,805.0,739.0,741.0,82311.0,6693.0,4600000.0
2004-02-26,728.0,743.0,708.0,705.0,70676.0,6371.0,4600000.0
2004-02-27,705.0,723.0,680.0,677.0,30943.0,6118.0,4600000.0
2004-03-02,684.0,709.0,663.0,692.0,89000.0,6256.0,4600000.0
2004-03-03,680.0,749.0,680.0,703.0,140956.0,6348.0,4600000.0
2004-03-04,714.0,737.0,676.0,675.0,96186.0,6095.0,4600000.0
2004-03-05,676.0,755.0,671.0,753.0,410734.0,6808.0,4600000.0
2004-03-08,774.0,790.0,739.0,764.0,202383.0,6900.0,4600000.0
2004-03-09,755.0,765.0,712.0,718.0,168779.0,6486.0,4600000.0
2004-03-10,723.0,802.0,723.0,802.0,453341.0,7245.0,4600000.0
2004-03-11,806.0,898.0,788.0,897.0,630726.0,8096.0,4600000.0
2004-03-12,917.0,917.0,790.0,830.0,353403.0,7498.0,4600000.0
2004-03-15,867.0,930.0,846.0,921.0,317256.0,8326.0,4600000.0
2004-03-16,892.0,902.0,841.0,860.0,125322.0,7774.0,4600000.0
2004-03-17,845.0,873.0,806.0,804.0,222834.0,7268.0,4600000.0
2004-03-18,821.0,885.0,796.0,799.0,328279.0,7222.0,4600000.0
2004-03-19,823.0,863.0,807.0,815.0,284084.0,7360.0,4600000.0
2004-03-22,822.0,832.0,785.0,794.0,108649.0,7176.0,4600000.0
2004-03-23,776.0,781.0,730.0,748.0,135863.0,6762.0,4600000.0
2004-03-24,746.0,786.0,746.0,776.0,96915.0,7015.0,4600000.0
2004-03-25,780.0,832.0,745.0,743.0,162765.0,6716.0,4600000.0
2004-03-26,744.0,778.0,716.0,723.0,98464.0,6532.0,4600000.0
2004-03-29,735.0,737.0,714.0,720.0,44966.0,6509.0,4600000.0
2004-03-30,718.0,730.0,713.0,728.0,53014.0,6578.0,4600000.0
2004-03-31,735.0,816.0,735.0,789.0,425742.0,7130.0,4600000.0
2004-04-01,787.0,815.0,764.0,802.0,203013.0,7245.0,4600000.0
2004-04-02,802.0,861.0,769.0,769.0,204772.0,6946.0,4600000.0
2004-04-06,775.0,775.0,740.0,746.0,117845.0,6739.0,4600000.0
2004-04-07,745.0,770.0,745.0,753.0,64020.0,6808.0,4600000.0
2004-04-08,766.0,766.0,743.0,748.0,16906.0,6762.0,4600000.0
2004-04-09,740.0,768.0,732.0,736.0,83523.0,6647.0,4600000.0
2004-04-12,741.0,763.0,725.0,738.0,56436.0,6670.0,4600000.0
2004-04-13,740.0,752.0,735.0,733.0,35843.0,6624.0,4600000.0
2004-04-14,729.0,772.0,729.0,741.0,123344.0,6693.0,4600000.0
2004-04-16,741.0,751.0,708.0,705.0,104596.0,6371.0,4600000.0
2004-04-19,708.0,723.0,701.0,723.0,59141.0,6532.0,4600000.0
2004-04-20,730.0,732.0,709.0,720.0,49072.0,6509.0,4600000.0
2004-04-21,709.0,735.0,699.0,708.0,60099.0,6394.0,4600000.0
2004-04-22,709.0,724.0,699.0,700.0,28238.0,6325.0,4600000.0
2004-04-23,708.0,708.0,682.0,687.0,50301.0,6210.0,4600000.0
2004-04-26,700.0,700.0,682.0,687.0,48777.0,6210.0,4600000.0
2004-04-27,685.0,692.0,680.0,687.0,25547.0,6210.0,4600000.0
2004-04-28,690.0,710.0,687.0,687.0,20615.0,6210.0,4600000.0
2004-04-29,686.0,686.0,643.0,657.0,57253.0,5934.0,4600000.0
2004-04-30,638.0,651.0,615.0,647.0,43849.0,5842.0,4600000.0
2004-05-03,639.0,659.0,634.0,644.0,6397.0,5819.0,4600000.0
2004-05-04,642.0,657.0,635.0,642.0,17808.0,5796.0,4600000.0
2004-05-06,675.0,675.0,598.0,606.0,28132.0,5474.0,4600000.0
2004-05-07,597.0,625.0,592.0,596.0,60432.0,5382.0,4600000.0
2004-05-10,583.0,598.0,531.0,545.0,58324.0,4922.0,4600000.0
2004-05-11,524.0,540.0,512.0,524.0,17665.0,4738.0,4600000.0
2004-05-12,523.0,551.0,523.0,539.0,44189.0,4876.0,4600000.0
2004-05-13,537.0,550.0,529.0,529.0,24820.0,4784.0,4600000.0
2004-05-14,552.0,554.0,536.0,548.0,23705.0,4945.0,4600000.0
2004-05-17,545.0,578.0,512.0,527.0,29201.0,4761.0,4600000.0
2004-05-18,502.0,540.0,502.0,517.0,33075.0,4669.0,4600000.0
2004-05-19,522.0,580.0,522.0,578.0,66243.0,5221.0,4600000.0
2004-05-20,571.0,571.0,517.0,524.0,49539.0,4738.0,4600000.0
2004-05-21,546.0,546.0,520.0,539.0,2584.0,4876.0,4600000.0
2004-05-24,550.0,550.0,509.0,509.0,80024.0,4600.0,4600000.0
2004-05-25,510.0,510.0,497.0,498.0,28451.0,4508.0,4600000.0
2004-05-27,515.0,515.0,500.0,498.0,17379.0,4508.0,4600000.0
2004-05-28,502.0,514.0,502.0,509.0,24750.0,4600.0,4600000.0
2004-05-31,517.0,522.0,509.0,517.0,21416.0,4669.0,4600000.0
2004-06-01,512.0,540.0,512.0,519.0,12515.0,4692.0,4600000.0
2004-06-02,517.0,535.0,517.0,529.0,21549.0,4784.0,4600000.0
2004-06-03,530.0,548.0,514.0,514.0,19331.0,4646.0,4600000.0
