유비쿼스홀딩스(078070),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-01-23,2367,2722,2367,2723,1664438,82834.0,10290000.0
2009-01-28,2942,2973,2536,2537,1995569,77175.0,10290000.0
2009-01-29,2610,2688,2536,2571,596863,78204.0,10290000.0
2009-01-30,2519,2539,2444,2459,334282,74808.0,10290000.0
2009-02-02,2604,2729,2509,2537,732335,77175.0,10290000.0
2009-02-03,2596,2620,2458,2554,247074,77690.0,10290000.0
2009-02-04,2637,2935,2603,2936,889130,89317.0,10290000.0
2009-02-05,3043,3101,2807,2807,984363,85407.0,10290000.0
2009-02-06,2880,2918,2752,2811,441238,85510.0,10290000.0
2009-02-09,2854,2867,2681,2770,320381,84275.0,10290000.0
2009-02-10,2769,2807,2688,2757,173544,83864.0,10290000.0
2009-02-11,2651,2759,2624,2757,139888,83864.0,10290000.0
2009-02-12,2753,2817,2688,2753,100451,83761.0,10290000.0
2009-02-13,2772,2880,2738,2838,188948,86333.0,10290000.0
2009-02-16,2847,2847,2694,2699,173749,82114.0,10290000.0
2009-02-17,2682,2685,2367,2462,169152,74911.0,10290000.0
2009-02-18,2417,2536,2305,2435,200629,74088.0,10290000.0
2009-02-19,2418,2526,2316,2364,154605,71927.0,10290000.0
2009-02-20,2300,2360,2046,2198,136981,66885.0,10290000.0
2009-02-23,2171,2265,2147,2229,92313,67811.0,10290000.0
2009-02-24,2096,2265,2065,2232,72289,67914.0,10290000.0
2009-02-25,2312,2326,2163,2215,62551,67400.0,10290000.0
2009-02-26,2194,2258,2089,2141,57945,65136.0,10290000.0
2009-02-27,2160,2187,2096,2188,54985,66576.0,10290000.0
2009-03-02,2181,2181,2063,2141,42390,65136.0,10290000.0
2009-03-03,2096,2127,2032,2104,87877,64004.0,10290000.0
2009-03-04,2136,2347,2127,2303,100813,70075.0,10290000.0
2009-03-05,2333,2333,2164,2198,75828,66885.0,10290000.0
2009-03-06,2130,2184,2096,2165,45332,65856.0,10290000.0
2009-03-09,2181,2207,2127,2165,30278,65856.0,10290000.0
2009-03-10,2205,2333,2167,2188,297318,66576.0,10290000.0
2009-03-11,2235,2265,2134,2232,154014,67914.0,10290000.0
2009-03-12,2272,2272,2160,2161,89504,65753.0,10290000.0
2009-03-13,2178,2211,2147,2151,74568,65444.0,10290000.0
2009-03-16,2167,2215,2147,2198,70744,66885.0,10290000.0
2009-03-17,2231,2329,2231,2263,144535,68840.0,10290000.0
2009-03-18,2299,2380,2279,2283,216762,69458.0,10290000.0
2009-03-19,2300,2380,2296,2320,96948,70589.0,10290000.0
2009-03-20,2380,2428,2336,2368,97693,72030.0,10290000.0
2009-03-23,2418,2418,2340,2371,84816,72133.0,10290000.0
2009-03-24,2377,2398,2293,2293,80048,69766.0,10290000.0
2009-03-25,2282,2340,2275,2334,66084,71001.0,10290000.0
2009-03-26,2336,2400,2329,2334,60024,71001.0,10290000.0
2009-03-27,2367,2367,2282,2290,68198,69663.0,10290000.0
2009-03-30,2265,2285,2174,2192,81434,66679.0,10290000.0
2009-03-31,2191,2265,2191,2209,71319,67194.0,10290000.0
2009-04-01,2207,2390,2207,2334,104321,71001.0,10290000.0
2009-04-02,2407,2533,2370,2445,200514,74397.0,10290000.0
2009-04-03,2481,2515,2367,2435,102745,74088.0,10290000.0
2009-04-06,2434,2580,2418,2452,146904,74602.0,10290000.0
2009-04-07,2498,2654,2458,2638,185069,80262.0,10290000.0
2009-04-08,2617,2617,2519,2571,114751,78204.0,10290000.0
2009-04-09,2651,2685,2502,2564,323583,77998.0,10290000.0
2009-04-10,2603,2620,2512,2554,119933,77690.0,10290000.0
2009-04-13,2593,2766,2543,2733,415390,83143.0,10290000.0
2009-04-14,2756,2803,2644,2746,186189,83555.0,10290000.0
2009-04-15,2739,2759,2587,2604,203393,79233.0,10290000.0
2009-04-16,2658,2685,2556,2571,95527,78204.0,10290000.0
2009-04-17,2583,2644,2421,2435,210410,74088.0,10290000.0
2009-04-20,2435,2533,2380,2533,94215,77072.0,10290000.0
2009-04-21,2458,2519,2438,2503,53133,76146.0,10290000.0
2009-04-22,2529,2569,2492,2543,115167,77381.0,10290000.0
2009-04-23,2539,2705,2539,2621,290285,79748.0,10290000.0
2009-04-24,2668,2671,2489,2537,138586,77175.0,10290000.0
2009-04-27,2552,2579,2434,2435,115211,74088.0,10290000.0
2009-04-28,2438,2471,2258,2259,121149,68737.0,10290000.0
2009-04-29,2300,2367,2258,2344,92142,71310.0,10290000.0
2009-04-30,2350,2387,2336,2354,76964,71618.0,10290000.0
2009-05-04,2343,2468,2343,2456,114696,74705.0,10290000.0
2009-05-06,2458,2458,2380,2388,76320,72647.0,10290000.0
2009-05-07,2397,2566,2397,2476,133160,75323.0,10290000.0
2009-05-08,2462,2563,2428,2537,143744,77175.0,10290000.0
2009-05-11,2545,2545,2481,2483,65414,75529.0,10290000.0
2009-05-12,2458,2458,2398,2415,76346,73471.0,10290000.0
2009-05-13,2414,2478,2394,2476,135435,75323.0,10290000.0
2009-05-14,2474,2671,2458,2554,304767,77690.0,10290000.0
