대봉엘에스(078140),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-12-23,4200,4830,4200,4830,119242,41538.0,4300000.0
2005-12-26,5150,5550,4360,4400,837132,37840.0,4300000.0
2005-12-27,4500,4500,3740,3740,186219,32164.0,4300000.0
2005-12-28,3610,3710,3180,3180,180301,27348.0,4300000.0
2005-12-29,3205,3320,3025,3075,96282,26445.0,4300000.0
2006-01-02,3075,3310,3050,3175,131140,27305.0,4300000.0
2006-01-03,3150,3650,3150,3650,138419,31390.0,4300000.0
2006-01-04,4045,4195,3850,4195,257705,36077.0,4300000.0
2006-01-05,4080,4185,3675,3900,73290,33540.0,4300000.0
2006-01-06,3855,3855,3595,3615,47246,31089.0,4300000.0
2006-01-09,3500,3615,3425,3450,51189,29670.0,4300000.0
2006-01-10,3425,3585,3225,3365,88188,28939.0,4300000.0
2006-01-11,3355,3700,3315,3530,82982,30358.0,4300000.0
2006-01-12,3640,3640,3265,3340,43698,28724.0,4300000.0
2006-01-13,3300,3305,3225,3235,39860,27821.0,4300000.0
2006-01-16,3255,3445,3215,3395,27203,29197.0,4300000.0
2006-01-17,3490,3490,3005,3225,33647,27735.0,4300000.0
2006-01-18,3150,3240,2810,2870,33638,24682.0,4300000.0
2006-01-19,2800,2990,2800,2895,22276,24897.0,4300000.0
2006-01-20,2900,3050,2655,2900,34700,24940.0,4300000.0
2006-01-23,2675,2700,2465,2465,112313,21199.0,4300000.0
2006-01-24,2465,2490,2110,2195,115219,18877.0,4300000.0
2006-01-25,2236,2474,2236,2403,111056,20662.0,4300000.0
2006-01-26,2375,2760,2375,2475,176934,21285.0,4300000.0
2006-01-27,2510,2680,2480,2660,73269,22876.0,4300000.0
2006-01-31,2650,2930,2555,2730,88635,23478.0,4300000.0
2006-02-01,2625,2700,2355,2430,58492,20898.0,4300000.0
2006-02-02,2505,2505,2200,2310,64690,19866.0,4300000.0
2006-02-03,2227,2367,2225,2255,37588,19393.0,4300000.0
2006-02-06,2210,2307,2155,2300,24204,19780.0,4300000.0
2006-02-07,2340,2380,2265,2380,16995,20468.0,4300000.0
2006-02-08,2340,2400,2270,2290,22262,19694.0,4300000.0
2006-02-09,2299,2394,2274,2328,15632,20016.0,4300000.0
2006-02-10,2350,2550,2350,2465,47240,21199.0,4300000.0
2006-02-13,2499,2509,2401,2443,30396,21006.0,4300000.0
2006-02-14,2417,2480,2355,2390,19947,20554.0,4300000.0
2006-02-15,2520,2520,2337,2375,23174,20425.0,4300000.0
2006-02-16,2355,2730,2340,2730,177037,23478.0,4300000.0
2006-02-17,2750,2895,2635,2695,109524,23177.0,4300000.0
2006-02-20,2725,2850,2625,2770,36058,23822.0,4300000.0
2006-02-21,2915,3185,2820,3185,50556,27391.0,4300000.0
2006-02-22,3445,3600,3085,3250,141932,27950.0,4300000.0
2006-02-23,3100,3150,2815,2850,155118,24510.0,4300000.0
2006-02-24,2865,2970,2760,2795,134506,24037.0,4300000.0
2006-02-27,2775,2845,2705,2710,114038,23306.0,4300000.0
2006-02-28,2735,2850,2715,2725,122171,23435.0,4300000.0
2006-03-02,2790,2790,2625,2695,64327,23177.0,4300000.0
2006-03-03,2660,3000,2655,2790,183398,23994.0,4300000.0
2006-03-06,2845,2985,2815,2945,130348,25327.0,4300000.0
2006-03-07,2950,2950,2725,2760,57763,23736.0,4300000.0
2006-03-08,2725,2825,2515,2615,99324,22489.0,4300000.0
2006-03-09,2600,2650,2475,2475,130070,21285.0,4300000.0
2006-03-10,2427,2575,2415,2470,88276,21242.0,4300000.0
2006-03-13,2530,2530,2455,2470,51264,21242.0,4300000.0
2006-03-14,2476,2559,2436,2468,66022,21220.0,4300000.0
2006-03-15,2499,2549,2481,2483,57633,21350.0,4300000.0
2006-03-16,2485,2530,2355,2355,33597,20253.0,4300000.0
2006-03-17,2355,2415,2305,2350,20435,20210.0,4300000.0
2006-03-20,2362,2470,2350,2385,19591,20511.0,4300000.0
2006-03-21,2387,2427,2370,2400,31927,20640.0,4300000.0
2006-03-22,2362,2390,2250,2250,34123,19350.0,4300000.0
2006-03-23,2280,2325,2207,2235,17954,19221.0,4300000.0
2006-03-24,2211,2299,2176,2208,68874,18984.0,4300000.0
