HB테크놀러지(078150),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-12-08,4800,5000,4225,4225,770889,42778.0,10125000.0
2004-12-09,3720,3720,3720,3720,3769,37665.0,10125000.0
2004-12-10,3400,3650,3275,3275,2783484,33159.0,10125000.0
2004-12-13,3280,3570,3210,3320,2034089,33615.0,10125000.0
2004-12-14,3370,3690,3140,3445,1384689,34881.0,10125000.0
2004-12-15,3380,3530,3185,3220,986158,32602.0,10125000.0
2004-12-16,3200,3350,3170,3190,669701,32299.0,10125000.0
2004-12-17,3190,3270,2960,2980,611094,30172.0,10125000.0
2004-12-20,2980,3030,2920,3005,527761,30426.0,10125000.0
2004-12-21,3010,3070,2955,2955,339773,29919.0,10125000.0
2004-12-22,2915,3180,2855,2950,876835,29869.0,10125000.0
2004-12-23,2975,3010,2895,2895,320316,29312.0,10125000.0
2004-12-24,2895,2925,2810,2860,268090,28958.0,10125000.0
2004-12-27,2840,2940,2840,2915,197935,29514.0,10125000.0
2004-12-28,2900,3020,2855,2855,355740,28907.0,10125000.0
2004-12-29,2860,3020,2860,2980,300143,30172.0,10125000.0
2004-12-30,3030,3040,2950,3020,191439,30578.0,10125000.0
2005-01-03,3040,3260,3035,3250,380008,32906.0,10125000.0
2005-01-04,3200,3450,3180,3400,614304,34425.0,10125000.0
2005-01-05,3400,3550,3310,3350,437567,33919.0,10125000.0
2005-01-06,3370,3750,3370,3640,852164,36855.0,10125000.0
2005-01-07,3740,3740,3500,3700,404837,37462.0,10125000.0
2005-01-10,3800,4100,3760,4000,560644,40500.0,10125000.0
2005-01-11,4085,4145,3860,4050,411485,41006.0,10125000.0
2005-01-12,4145,4440,3965,4300,1041783,43538.0,10125000.0
2005-01-13,4360,4430,4175,4385,446345,44398.0,10125000.0
2005-01-14,4350,4500,4200,4330,387272,43841.0,10125000.0
2005-01-17,4350,4750,4350,4750,937473,48094.0,10125000.0
2005-01-18,4900,4900,4485,4800,426846,48600.0,10125000.0
2005-01-19,4805,4995,4585,4600,547693,46575.0,10125000.0
2005-01-20,4530,4590,4050,4100,983144,41512.0,10125000.0
2005-01-21,4100,4490,4100,4405,860616,44601.0,10125000.0
2005-01-24,4410,4850,4350,4800,1509404,48600.0,10125000.0
2005-01-25,5000,5210,4805,4870,2171989,49309.0,10125000.0
2005-01-26,5050,5070,4500,4800,872656,48600.0,10125000.0
2005-01-27,4800,4900,4550,4555,570525,46119.0,10125000.0
2005-01-28,4500,4775,4365,4670,674133,47284.0,10125000.0
2005-01-31,4610,4770,4610,4630,549508,46879.0,10125000.0
2005-02-01,4680,5000,4650,4910,1149729,49714.0,10125000.0
2005-02-02,4910,4910,4630,4675,539846,47334.0,10125000.0
2005-02-03,4670,4730,4450,4450,386460,45056.0,10125000.0
2005-02-04,4360,4555,4360,4370,357284,44246.0,10125000.0
2005-02-07,4480,4670,4430,4605,384879,46626.0,10125000.0
2005-02-11,4625,4750,4500,4665,392924,47233.0,10125000.0
2005-02-14,4700,4875,4675,4730,533678,47891.0,10125000.0
2005-02-15,4740,4830,4650,4700,457994,47588.0,10125000.0
2005-02-16,4795,5260,4760,5260,1692326,53258.0,10125000.0
2005-02-17,5260,5400,5080,5200,936950,52650.0,10125000.0
2005-02-18,5180,5510,5070,5300,1006191,53662.0,10125000.0
2005-02-21,5410,5450,5080,5110,594365,51739.0,10125000.0
2005-02-22,4950,5160,4500,4570,569546,46271.0,10125000.0
2005-02-23,4300,4645,4300,4645,455476,47031.0,10125000.0
2005-02-24,4620,4820,4550,4550,343013,46069.0,10125000.0
2005-02-25,4570,4675,4350,4425,297325,44803.0,10125000.0
2005-02-28,4540,4675,4470,4595,263936,46524.0,10125000.0
2005-03-02,4660,4800,4575,4610,251660,46676.0,10125000.0
2005-03-03,4700,4720,4440,4580,216916,46372.0,10125000.0
2005-03-04,4550,4660,4510,4650,252256,47081.0,10125000.0
2005-03-07,4745,4935,4570,4680,502759,47385.0,10125000.0
2005-03-08,4675,4675,4120,4150,451632,42019.0,10125000.0
2005-03-09,4150,4270,4030,4120,199284,41715.0,10125000.0
2005-03-10,4050,4180,3830,3900,223761,39488.0,10125000.0
2005-03-11,3750,3995,3750,3995,323273,40449.0,10125000.0
2005-03-14,3985,4045,3955,4000,211108,40500.0,10125000.0
2005-03-15,4000,4005,3765,3800,146453,38475.0,10125000.0
2005-03-16,3755,3835,3650,3780,180250,38272.0,10125000.0
2005-03-17,3680,3700,3595,3620,167263,36652.0,10125000.0
2005-03-18,3555,3640,3460,3570,132438,36146.0,10125000.0
2005-03-21,3575,3600,3460,3500,93007,35438.0,10125000.0
2005-03-22,3445,3600,3445,3520,93885,35640.0,10125000.0
2005-03-23,3465,3540,3440,3440,75507,34830.0,10125000.0
2005-03-24,3425,3530,3425,3495,110930,35387.0,10125000.0
2005-03-25,3510,3750,3510,3715,136549,37614.0,10125000.0
2005-03-28,3800,3870,3745,3745,144746,37918.0,10125000.0
2005-03-29,3710,3760,3485,3535,119906,35792.0,10125000.0
2005-03-30,3490,3850,3480,3550,85746,35944.0,10125000.0
2005-03-31,3600,3650,3445,3445,123703,34881.0,10125000.0
2005-04-01,3450,3665,3430,3640,143161,36855.0,10125000.0
2005-04-04,3600,3945,3580,3850,277873,38981.0,10125000.0
2005-04-06,3815,3910,3750,3900,104448,39488.0,10125000.0
2005-04-07,3925,3925,3770,3800,94481,38475.0,10125000.0
2005-04-08,3910,3960,3840,3845,148201,38931.0,10125000.0
2005-04-11,3780,3895,3650,3650,88499,36956.0,10125000.0
2005-04-12,3600,3680,3560,3590,69119,36349.0,10125000.0
2005-04-13,3655,3670,3540,3560,82068,36045.0,10125000.0
2005-04-14,3520,3620,3520,3560,64704,37060.0,10410000.0
2005-04-15,3450,3600,3450,3590,81810,37372.0,10410000.0
2005-04-18,3480,3560,3100,3150,190809,32792.0,10410000.0
2005-04-19,3175,3280,3175,3225,102290,33572.0,10410000.0
2005-04-20,3260,3335,3200,3220,155635,33520.0,10410000.0
2005-04-21,3185,3185,3060,3110,72750,32375.0,10410000.0
2005-04-22,3280,3280,3080,3110,123010,32375.0,10410000.0
2005-04-25,3150,3340,3115,3270,245300,34041.0,10410000.0
2005-04-26,3300,3330,3200,3200,116035,33312.0,10410000.0
2005-04-27,3140,3195,3100,3120,75586,32479.0,10410000.0
2005-04-28,3120,3155,3080,3080,102239,32063.0,10410000.0
2005-04-29,2915,3000,2915,2945,92275,30657.0,10410000.0
2005-05-02,2965,2965,2800,2925,213674,30449.0,10410000.0
2005-05-03,2925,2990,2910,2925,73921,30449.0,10410000.0
2005-05-04,2935,3165,2935,3090,125254,32167.0,10410000.0
2005-05-06,3100,3350,3100,3300,137575,34353.0,10410000.0
2005-05-09,3390,3390,3110,3180,63624,33104.0,10410000.0
2005-05-10,3270,3270,3080,3140,44192,32687.0,10410000.0
2005-05-11,3100,3180,3090,3110,18408,32375.0,10410000.0
2005-05-12,3080,3220,3080,3200,49285,33312.0,10410000.0
2005-05-13,3200,3440,3200,3250,279712,33832.0,10410000.0
2005-05-16,3290,3330,3220,3245,95488,33780.0,10410000.0
2005-05-17,3280,3290,3165,3180,71137,33104.0,10410000.0
2005-05-18,3160,3280,3160,3220,117760,33520.0,10410000.0
2005-05-19,3260,3370,3230,3335,116543,34717.0,10410000.0
2005-05-20,3310,3380,3190,3195,73782,33260.0,10410000.0
2005-05-23,3195,3215,3140,3190,59506,33208.0,10410000.0
2005-05-24,3215,3250,3175,3185,63269,33156.0,10410000.0
2005-05-25,3185,3270,3185,3265,102253,33989.0,10410000.0
2005-05-26,3360,3485,3340,3410,307498,35498.0,10410000.0
2005-05-27,3410,3440,3365,3405,91641,35446.0,10410000.0
