한양디지텍(078350),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-05-14,1990,2000,1753,1752,238151,17525.0,5000000.0
2004-05-17,1543,1543,1543,1542,101731,15425.0,5000000.0
2004-05-18,1358,1388,1358,1357,488894,13575.0,5000000.0
2004-05-19,1380,1520,1375,1520,256317,15200.0,5000000.0
2004-05-20,1600,1700,1375,1700,785319,17000.0,5000000.0
2004-05-21,1750,1860,1680,1740,531909,17400.0,5000000.0
2004-05-24,1735,1773,1643,1655,313388,16550.0,5000000.0
2004-05-25,1605,1645,1510,1515,177601,15150.0,5000000.0
2004-05-27,1550,1665,1550,1597,263854,15975.0,5000000.0
2004-05-28,1675,1788,1620,1787,615352,17875.0,5000000.0
2004-05-31,1838,1980,1725,1725,604205,17250.0,5000000.0
2004-06-01,1750,1885,1705,1745,648449,17450.0,5000000.0
2004-06-02,1730,1780,1658,1692,177001,16925.0,5000000.0
2004-06-03,1693,1755,1493,1510,328018,15100.0,5000000.0
2004-06-04,1508,1690,1460,1680,254295,16800.0,5000000.0
2004-06-07,1675,1725,1630,1632,144323,16325.0,5000000.0
2004-06-08,1650,1675,1600,1630,92429,16300.0,5000000.0
2004-06-09,1625,1665,1565,1605,145391,16050.0,5000000.0
2004-06-10,1625,1670,1550,1657,99844,16575.0,5000000.0
2004-06-11,1698,1855,1665,1855,923434,18550.0,5000000.0
2004-06-14,1865,1923,1750,1805,354851,18050.0,5000000.0
2004-06-15,1900,2020,1590,1595,1373293,15950.0,5000000.0
2004-06-16,1565,1663,1553,1600,194788,16000.0,5000000.0
2004-06-17,1600,1635,1515,1547,104280,15475.0,5000000.0
2004-06-18,1505,1538,1473,1500,149592,15000.0,5000000.0
2004-06-21,1480,1558,1480,1530,109377,15300.0,5000000.0
2004-06-22,1505,1545,1350,1400,160844,14000.0,5000000.0
2004-06-23,1380,1425,1320,1350,95279,13500.0,5000000.0
2004-06-24,1305,1388,1305,1342,89823,13425.0,5000000.0
2004-06-25,1325,1423,1325,1400,86054,14000.0,5000000.0
2004-06-28,1400,1430,1255,1335,72731,13350.0,5000000.0
2004-06-29,1328,1390,1308,1367,28710,13675.0,5000000.0
2004-06-30,1375,1475,1375,1460,79918,14600.0,5000000.0
2004-07-01,1425,1485,1400,1440,53965,14400.0,5000000.0
2004-07-02,1400,1400,1330,1355,46693,13550.0,5000000.0
2004-07-05,1335,1375,1325,1357,40847,13575.0,5000000.0
2004-07-06,1350,1378,1340,1357,46229,13575.0,5000000.0
2004-07-07,1315,1358,1278,1330,27868,13300.0,5000000.0
2004-07-08,1350,1365,1300,1310,12491,13100.0,5000000.0
2004-07-09,1283,1323,1265,1300,52422,13000.0,5000000.0
2004-07-12,1283,1335,1283,1300,19530,13000.0,5000000.0
2004-07-13,1283,1300,1233,1237,61333,12375.0,5000000.0
2004-07-14,1223,1238,1165,1167,61054,11675.0,5000000.0
2004-07-15,1155,1215,1075,1110,71342,11100.0,5000000.0
2004-07-16,1030,1165,1030,1150,81316,11500.0,5000000.0
2004-07-19,1115,1185,1115,1182,17175,11825.0,5000000.0
2004-07-20,1150,1188,1138,1150,44494,11500.0,5000000.0
2004-07-21,1155,1175,1150,1157,17544,11575.0,5000000.0
2004-07-22,1150,1165,1118,1160,18969,11600.0,5000000.0
2004-07-23,1138,1150,1115,1115,10352,11150.0,5000000.0
2004-07-26,1075,1120,1038,1052,25288,10525.0,5000000.0
2004-07-27,1030,1100,998,997,19635,9975.0,5000000.0
2004-07-28,1010,1100,1010,1050,26127,10500.0,5000000.0
2004-07-29,998,1050,925,975,43934,9750.0,5000000.0
2004-07-30,975,1000,938,937,9505,9375.0,5000000.0
2004-08-02,938,975,850,850,33491,8500.0,5000000.0
2004-08-03,835,943,835,942,25763,9425.0,5000000.0
2004-08-04,895,943,893,937,17261,9375.0,5000000.0
2004-08-05,903,1050,903,1010,23152,10100.0,5000000.0
2004-08-06,960,1073,955,1015,20214,10150.0,5000000.0
2004-08-09,1030,1050,975,1017,10558,10175.0,5000000.0
2004-08-10,1025,1055,998,1017,15369,10175.0,5000000.0
2004-08-11,1048,1070,1013,1067,27372,10675.0,5000000.0
2004-08-12,1100,1100,1030,1087,10209,10875.0,5000000.0
2004-08-13,1040,1148,1040,1077,15049,10775.0,5000000.0
2004-08-16,1200,1200,1070,1100,5620,11000.0,5000000.0
2004-08-17,1050,1140,1040,1040,14037,10400.0,5000000.0
2004-08-18,1010,1050,1000,1010,19688,10100.0,5000000.0
2004-08-19,1068,1068,1020,1050,22232,10500.0,5000000.0
2004-08-20,1025,1060,988,992,34859,9925.0,5000000.0
2004-08-23,998,1030,998,1000,24231,10000.0,5000000.0
2004-08-24,1000,1023,1000,1012,12159,10125.0,5000000.0
2004-08-25,1025,1040,1015,1030,25316,10300.0,5000000.0
2004-08-26,1043,1080,1025,1080,19975,10800.0,5000000.0
2004-08-27,1135,1135,1065,1065,15937,10650.0,5000000.0
2004-08-30,1085,1085,1030,1030,10188,10300.0,5000000.0
2004-08-31,1098,1098,1020,1060,19436,10600.0,5000000.0
2004-09-01,1075,1075,1050,1067,9864,10675.0,5000000.0
2004-09-02,1085,1085,1045,1055,13735,10550.0,5000000.0
2004-09-03,1043,1048,1015,1027,12824,10275.0,5000000.0
2004-09-06,1008,1038,1000,1030,27342,10300.0,5000000.0
2004-09-07,1030,1035,1000,1000,9354,10000.0,5000000.0
2004-09-08,1020,1020,990,992,12813,9925.0,5000000.0
2004-09-09,970,1023,970,1017,18917,10175.0,5000000.0
2004-09-10,1020,1043,1020,1032,10296,10325.0,5000000.0
2004-09-13,1048,1115,1028,1077,14354,10775.0,5000000.0
2004-09-14,1050,1093,1025,1045,15644,10450.0,5000000.0
2004-09-15,1050,1073,1023,1025,18237,10250.0,5000000.0
2004-09-16,1025,1040,1018,1027,6444,10275.0,5000000.0
2004-09-17,1033,1058,1005,1027,10640,10275.0,5000000.0
2004-09-20,1015,1045,1008,1007,3989,10075.0,5000000.0
2004-09-21,1055,1055,998,1002,6861,10025.0,5000000.0
2004-09-22,1000,1005,973,985,20846,9850.0,5000000.0
2004-09-23,975,975,938,940,46725,9400.0,5000000.0
2004-09-24,950,960,940,960,12447,9600.0,5000000.0
2004-09-30,940,1025,940,1012,4295,10125.0,5000000.0
2004-10-01,985,1023,985,1007,9354,10075.0,5000000.0
2004-10-04,988,1020,988,1000,31215,10000.0,5000000.0
2004-10-05,983,1000,950,975,16438,9750.0,5000000.0
2004-10-06,975,1000,955,995,13567,9950.0,5000000.0
2004-10-07,980,1020,980,1000,18411,10000.0,5000000.0
2004-10-08,975,1030,975,1020,20252,10200.0,5000000.0
2004-10-11,1038,1038,1005,1025,8723,10250.0,5000000.0
2004-10-12,1043,1043,953,1010,4132,10100.0,5000000.0
2004-10-13,978,1018,978,985,18984,9850.0,5000000.0
2004-10-14,1020,1020,965,985,2537,9850.0,5000000.0
2004-10-15,963,990,963,972,5347,9725.0,5000000.0
2004-10-18,998,1000,970,1000,8555,10000.0,5000000.0
2004-10-19,1000,1005,983,1000,9491,10000.0,5000000.0
2004-10-20,998,1040,973,1020,13638,10200.0,5000000.0
2004-10-21,1020,1020,970,970,9210,9700.0,5000000.0
2004-10-22,973,1040,970,985,7335,9850.0,5000000.0
2004-10-25,1043,1043,965,970,7362,9700.0,5000000.0
2004-10-26,885,1025,885,975,12441,9750.0,5000000.0
2004-10-27,950,1000,910,972,11285,9725.0,5000000.0
2004-10-28,975,1020,953,962,21524,9625.0,5000000.0
2004-10-29,948,990,948,972,948,9725.0,5000000.0
