아이오케이(078860),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-06-27,45130,46290,38395,38425,1262142,14980.0,2675000.0
2006-06-28,37125,42665,36635,39180,472788,15274.0,2675000.0
2006-06-29,40480,41085,37390,37740,246853,14712.0,2675000.0
2006-06-30,38740,39085,37305,37810,187849,14739.0,2675000.0
2006-07-03,38355,41845,37395,39250,293367,15301.0,2675000.0
2006-07-04,39900,39900,37160,37190,177218,14498.0,2675000.0
2006-07-05,36610,37430,35520,36025,130801,14044.0,2675000.0
2006-07-06,36105,36105,34180,34310,80414,13375.0,2675000.0
2006-07-07,34500,35190,33610,33625,87584,13108.0,2675000.0
2006-07-10,33395,33865,32084,32695,113783,12746.0,2675000.0
2006-07-11,32820,33540,32175,32665,102834,12733.0,2675000.0
2006-07-12,33015,34725,32670,32805,115046,12786.0,2675000.0
2006-07-13,32385,33275,31250,31255,116872,12185.0,2675000.0
2006-07-14,30425,30869,29589,29925,74054,11663.0,2675000.0
2006-07-18,30870,31560,29165,29235,99061,11396.0,2675000.0
2006-07-19,30195,32940,29380,32255,222236,12572.0,2675000.0
2006-07-20,32885,32885,31035,31570,68346,12305.0,2675000.0
2006-07-21,30960,31504,29725,30675,38983,11957.0,2675000.0
2006-07-24,30430,31150,29845,30635,36259,11944.0,2675000.0
2006-07-25,31074,31840,30185,30360,51935,11837.0,2675000.0
2006-07-26,30275,31089,30275,30335,28351,11824.0,2675000.0
2006-07-27,30650,31125,29890,30840,36301,12024.0,2675000.0
2006-07-28,30205,30869,29905,30540,24236,11904.0,2675000.0
2006-07-31,30644,31230,29524,29510,35773,11502.0,2675000.0
2006-08-01,29690,29890,28410,28440,35197,11088.0,2675000.0
2006-08-02,27730,29855,27730,29785,45674,11610.0,2675000.0
2006-08-03,29165,29635,28400,28620,38329,11155.0,2675000.0
2006-08-04,28545,29780,28475,28620,29448,11155.0,2675000.0
2006-08-07,28820,29435,28575,28620,34149,11155.0,2675000.0
2006-08-08,28625,30690,28625,29990,51681,11690.0,2675000.0
2006-08-09,31779,34455,31325,33970,852953,13241.0,2675000.0
2006-08-10,32560,38460,32230,36370,305005,14178.0,2675000.0
2006-08-11,37590,37590,33610,34175,143123,13322.0,2675000.0
2006-08-14,33610,34300,32230,33285,95124,12974.0,2675000.0
2006-08-16,32635,34015,32560,32965,83440,12853.0,2675000.0
2006-08-17,33560,35610,33010,34995,56404,13642.0,2675000.0
2006-08-18,34520,35280,33385,34380,53199,13402.0,2675000.0
2006-08-21,33960,35195,33140,33830,38687,13188.0,2675000.0
2006-08-22,33265,34300,32305,34175,52479,13322.0,2675000.0
2006-08-23,33465,34080,32675,33625,14306,13108.0,2675000.0
2006-08-24,32380,33615,32265,33215,16571,12947.0,2675000.0
2006-08-25,32390,35925,32235,35680,103944,13910.0,2675000.0
2006-08-28,35690,36305,34325,34585,33673,13482.0,2675000.0
2006-08-29,34630,37915,34555,36370,145556,14178.0,2675000.0
2006-08-30,36355,36555,34300,34450,78573,13428.0,2675000.0
2006-08-31,34595,36030,34080,34310,71470,13375.0,2675000.0
2006-09-01,33760,34580,33000,33175,31935,12934.0,2675000.0
2006-09-04,33635,34870,33390,33695,58907,13134.0,2675000.0
2006-09-05,33595,34830,33595,34200,36471,13335.0,2675000.0
2006-09-06,34970,35865,34010,35750,46059,13937.0,2675000.0
2006-09-07,35105,35870,35105,35340,23475,13776.0,2675000.0
2006-09-08,35050,39099,34995,37740,97826,14712.0,2675000.0
2006-09-11,38195,39430,36885,37810,86891,14739.0,2675000.0
2006-09-12,37850,41830,37850,39590,108900,15435.0,2675000.0
2006-09-13,39305,41030,38760,40070,53391,15622.0,2675000.0
2006-09-14,39630,40465,38940,39315,45472,15328.0,2675000.0
2006-09-15,39010,40665,37720,37810,87622,14739.0,2675000.0
2006-09-18,37390,39099,37390,37740,79057,14712.0,2675000.0
2006-09-19,37995,39430,37720,38975,53981,15194.0,2675000.0
2006-09-20,39770,39770,37845,38770,43166,15114.0,2675000.0
2006-09-21,38740,38880,37720,37810,61450,14739.0,2675000.0
2006-09-22,37395,39520,36835,38015,45796,14820.0,2675000.0
2006-09-25,38065,38755,37450,37740,20887,14712.0,2675000.0
2006-09-26,37325,38359,35890,36710,66584,14311.0,2675000.0
2006-09-27,36415,37030,36270,36575,31474,14258.0,2675000.0
2006-09-28,35860,37570,35860,36985,24844,14418.0,2675000.0
2006-09-29,37050,37524,35945,37055,31832,14445.0,2675000.0
2006-10-02,37045,37250,36285,37125,14776,14472.0,2675000.0
2006-10-04,35875,37110,33610,33625,25270,13108.0,2675000.0
2006-10-09,34300,37040,28570,29305,45429,11422.0,2675000.0
2006-10-10,28820,32525,28820,31980,19792,12466.0,2675000.0
2006-10-11,30869,35120,30869,32940,19916,12840.0,2675000.0
2006-10-12,33265,36280,33265,33625,9799,13108.0,2675000.0
2006-10-13,34310,35470,33275,33380,24399,13014.0,2675000.0
2006-10-16,33395,34285,33395,34200,10078,13335.0,2675000.0
2006-10-17,34175,35280,33115,34995,17483,13642.0,2675000.0
2006-10-18,35535,35535,33815,34450,7748,13428.0,2675000.0
2006-10-19,34085,34990,33810,34175,12755,13322.0,2675000.0
2006-10-20,34235,39245,34160,39250,96569,15301.0,2675000.0
2006-10-23,41755,44925,38050,39660,139803,15462.0,2675000.0
2006-10-24,39155,40460,37920,38150,31462,14873.0,2675000.0
2006-10-25,38880,40245,38045,38770,43205,15114.0,2675000.0
2006-10-26,38805,39425,37775,39110,38450,15248.0,2675000.0
2006-10-27,41080,44925,39975,41785,424735,16291.0,2675000.0
2006-10-30,40790,41405,39625,40000,63735,15595.0,2675000.0
2006-10-31,40460,40660,39625,40000,42199,15595.0,2675000.0
2006-11-01,39990,42190,39865,41375,34630,16130.0,2675000.0
2006-11-02,41445,47365,41445,44955,150754,17521.0,2675000.0
2006-11-03,44135,45240,43030,44610,37198,17388.0,2675000.0
2006-11-06,45310,45655,43370,44610,40480,17388.0,2675000.0
2006-11-07,45165,47710,41175,44955,122423,17521.0,2675000.0
2006-11-08,43915,45310,43370,44955,31349,17521.0,2675000.0
2006-11-09,45365,45985,44205,44335,29726,17280.0,2675000.0
2006-11-10,44320,45070,43545,44885,34903,17494.0,2675000.0
2006-11-13,45710,46600,44745,45295,24132,17655.0,2675000.0
2006-11-14,46380,47345,44400,45365,28146,17682.0,2675000.0
2006-11-15,44965,48670,44695,47970,76528,18698.0,2675000.0
2006-11-16,48400,49490,46055,47970,79705,18698.0,2675000.0
2006-11-17,47435,47910,44750,45570,59302,17762.0,2675000.0
2006-11-20,45510,45930,43990,44610,45496,17388.0,2675000.0
2006-11-21,44595,45485,44250,45160,19824,17602.0,2675000.0
2006-11-22,44615,45575,44615,44745,29560,17441.0,2675000.0
2006-11-23,45030,45850,44615,44745,23730,17441.0,2675000.0
2006-11-24,45635,47070,44600,46600,42691,18163.0,2675000.0
2006-11-27,45630,47065,45345,46665,26850,18190.0,2675000.0
2006-11-28,45985,48800,45095,46460,101104,18110.0,2675000.0
2006-11-29,46545,47360,46200,46805,19472,18244.0,2675000.0
2006-11-30,46720,47065,46030,46665,12737,18190.0,2675000.0
2006-12-01,45980,48725,45980,48380,35515,18859.0,2675000.0
2006-12-04,48665,48725,47490,48040,16473,18725.0,2675000.0
2006-12-05,47360,48870,47360,47420,23002,18484.0,2675000.0
2006-12-06,47410,48845,47195,47900,18729,18672.0,2675000.0
2006-12-07,48055,48055,46675,47355,24604,18458.0,2675000.0
2006-12-08,46675,47565,45715,47355,15361,18458.0,2675000.0
2006-12-11,46650,47885,46030,47285,14373,18431.0,2675000.0
2006-12-12,46580,46925,43895,46325,23215,18056.0,2675000.0
2006-12-13,45305,46325,44690,45295,4180,17655.0,2675000.0
2006-12-14,45310,46945,45310,45845,15985,17869.0,2675000.0
2006-12-15,46580,48375,45285,46665,42002,18190.0,2675000.0
2006-12-18,46675,47835,46055,46185,7882,18003.0,2675000.0
2006-12-19,45655,47365,45655,46735,12279,18217.0,2675000.0
2006-12-20,46850,48025,45960,47010,27297,18324.0,2675000.0
2006-12-21,46195,47630,45920,46255,13332,18030.0,2675000.0
2006-12-22,46245,46790,45415,46395,6549,18083.0,2675000.0
2006-12-26,45510,46545,44690,44955,7217,17521.0,2675000.0
2006-12-27,46105,46105,44595,45160,4233,17602.0,2675000.0
2006-12-28,44945,47140,44945,45705,11548,17816.0,2675000.0
2007-01-02,45710,46400,45035,45570,6641,17762.0,2675000.0
2007-01-03,45140,46305,44940,45775,4799,17842.0,2675000.0
2007-01-04,45095,45855,44965,45570,1566,17762.0,2675000.0
2007-01-05,44745,45980,44745,45640,6853,17789.0,2675000.0
2007-01-08,45305,46125,44960,45295,6215,17655.0,2675000.0
2007-01-09,45310,45985,44750,45225,10003,17628.0,2675000.0
2007-01-10,45305,46325,44820,45295,5172,17655.0,2675000.0
2007-01-11,45305,46400,45090,45295,1821,17655.0,2675000.0
2007-01-12,45210,45900,45010,45500,13786,17735.0,2675000.0
2007-01-15,45650,46670,44960,45295,9840,17655.0,2675000.0
2007-01-16,45985,47780,45585,46460,9390,18110.0,2675000.0
2007-01-17,46305,47340,45215,46665,10707,18190.0,2675000.0
2007-01-18,46475,47565,45655,46735,23823,18217.0,2675000.0
2007-01-19,46400,47365,45165,45225,9731,17628.0,2675000.0
2007-01-22,44595,45215,42870,45160,8318,17602.0,2675000.0
2007-01-23,43630,45695,42535,42540,14671,16585.0,2675000.0
2007-01-24,43225,44690,41375,44680,36618,17414.0,2675000.0
2007-01-25,49960,49960,44745,45640,74453,17789.0,2675000.0
