한창산업(079170),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-02-01,4800,5370,4800,5370,467644,27924.0,5200000.0
2005-02-02,5360,5360,4730,4730,330412,24596.0,5200000.0
2005-02-03,4200,4400,4165,4165,247723,21658.0,5200000.0
2005-02-04,4000,4350,3900,4180,223812,21736.0,5200000.0
2005-02-07,4215,4450,4150,4260,92464,22152.0,5200000.0
2005-02-11,4210,4350,4130,4200,90533,21840.0,5200000.0
2005-02-14,4300,4360,4250,4340,58477,22568.0,5200000.0
2005-02-15,4400,4430,4270,4320,55417,22464.0,5200000.0
2005-02-16,4430,4835,4370,4835,202541,25142.0,5200000.0
2005-02-17,4835,5000,4665,4770,146874,24804.0,5200000.0
2005-02-18,4700,4980,4690,4770,82381,24804.0,5200000.0
2005-02-21,4750,4800,4350,4510,66548,23452.0,5200000.0
2005-02-22,4610,4610,4255,4280,52593,22256.0,5200000.0
2005-02-23,4105,4335,4105,4200,27126,21840.0,5200000.0
2005-02-24,4220,4500,4220,4290,47010,22308.0,5200000.0
2005-02-25,4320,4480,4240,4340,20932,22568.0,5200000.0
2005-02-28,4250,4540,4120,4300,97394,22360.0,5200000.0
2005-03-02,4100,4290,3785,3785,461947,19682.0,5200000.0
2005-03-03,3795,3820,3410,3800,125078,19760.0,5200000.0
2005-03-04,3820,3880,3550,3600,127646,18720.0,5200000.0
2005-03-07,3535,3640,3470,3500,190317,18200.0,5200000.0
2005-03-08,3610,3610,3425,3470,47517,18044.0,5200000.0
2005-03-09,3450,3540,3405,3520,90555,18304.0,5200000.0
2005-03-10,3640,3745,3540,3640,92381,18928.0,5200000.0
2005-03-11,3600,3830,3580,3790,233923,19708.0,5200000.0
2005-03-14,3800,3850,3720,3850,103499,20020.0,5200000.0
2005-03-15,3860,3860,3600,3680,80239,19136.0,5200000.0
2005-03-16,3630,3680,3520,3600,83025,18720.0,5200000.0
2005-03-17,3560,3780,3540,3660,74880,19032.0,5200000.0
2005-03-18,3660,3845,3600,3780,102351,19656.0,5200000.0
2005-03-21,3780,3800,3620,3620,47371,18824.0,5200000.0
2005-03-22,3630,3665,3400,3530,84549,18356.0,5200000.0
2005-03-23,3500,3550,3475,3535,20813,18382.0,5200000.0
2005-03-24,3510,3580,3435,3515,57747,18278.0,5200000.0
2005-03-25,3515,3555,3450,3535,31424,18382.0,5200000.0
2005-03-28,3580,3780,3550,3720,110526,19344.0,5200000.0
2005-03-29,3750,3845,3645,3800,121319,19760.0,5200000.0
2005-03-30,3900,4230,3820,3950,306644,20540.0,5200000.0
2005-03-31,4050,4050,3660,3780,171501,19656.0,5200000.0
2005-04-01,3730,3890,3730,3885,80788,20202.0,5200000.0
2005-04-04,3820,4045,3810,3835,124439,19942.0,5200000.0
2005-04-06,3835,4150,3835,4090,229708,21268.0,5200000.0
2005-04-07,4120,4200,3900,4000,119890,20800.0,5200000.0
2005-04-08,4010,4070,3855,3880,66201,20176.0,5200000.0
2005-04-11,3840,3895,3700,3700,85449,19240.0,5200000.0
2005-04-12,3665,3735,3630,3725,51205,19370.0,5200000.0
2005-04-13,3730,3730,3580,3670,62409,19084.0,5200000.0
2005-04-14,3650,3650,3525,3650,51164,18980.0,5200000.0
2005-04-15,3650,3650,3530,3590,21422,18668.0,5200000.0
2005-04-18,3490,3620,3100,3385,44801,17602.0,5200000.0
2005-04-19,3310,3400,3250,3300,72366,17160.0,5200000.0
2005-04-20,3365,3410,3320,3340,46860,17368.0,5200000.0
2005-04-21,3260,3260,3080,3185,53857,16562.0,5200000.0
2005-04-22,3215,3300,3150,3175,36440,16510.0,5200000.0
2005-04-25,3100,3205,3080,3170,26145,16484.0,5200000.0
2005-04-26,3170,3275,3170,3230,19855,16796.0,5200000.0
2005-04-27,3260,3280,3095,3180,11284,16536.0,5200000.0
2005-04-28,3150,3230,3065,3140,34005,16328.0,5200000.0
2005-04-29,3040,3090,2955,3040,20786,15808.0,5200000.0
2005-05-02,3050,3170,3050,3160,18631,16432.0,5200000.0
2005-05-03,3100,3240,3100,3170,6210,16484.0,5200000.0
2005-05-04,3070,3240,3070,3200,25215,16640.0,5200000.0
2005-05-06,3200,3240,3110,3200,19117,16640.0,5200000.0
2005-05-09,3290,3290,3050,3150,8424,16380.0,5200000.0
2005-05-10,3160,3180,3015,3100,17760,16120.0,5200000.0
2005-05-11,3000,3070,2950,2990,32159,15548.0,5200000.0
2005-05-12,2990,3040,2940,3040,3638,15808.0,5200000.0
2005-05-13,2950,3020,2905,2990,15308,15548.0,5200000.0
2005-05-16,3050,3050,2900,2955,22408,15366.0,5200000.0
2005-05-17,2955,2980,2905,2980,28262,15496.0,5200000.0
2005-05-18,2980,3090,2980,3030,19055,15756.0,5200000.0
2005-05-19,3100,3105,2995,3070,18955,15964.0,5200000.0
2005-05-20,3070,3120,3050,3110,8727,16172.0,5200000.0
2005-05-23,3135,3265,3100,3245,38291,16874.0,5200000.0
2005-05-24,3240,3300,3190,3245,16055,16874.0,5200000.0
2005-05-25,3300,3450,3250,3380,56302,17576.0,5200000.0
2005-05-26,3290,3395,3210,3340,18757,17368.0,5200000.0
2005-05-27,3330,3345,3215,3220,22197,16744.0,5200000.0
2005-05-30,3250,3300,3180,3250,14055,16900.0,5200000.0
2005-05-31,3295,3335,3205,3245,12363,16874.0,5200000.0
2005-06-01,3200,3295,3180,3250,13660,16900.0,5200000.0
2005-06-02,3260,3300,3210,3290,7599,17108.0,5200000.0
2005-06-03,3245,3295,3210,3295,20865,17134.0,5200000.0
2005-06-07,3300,3300,3225,3285,25211,17082.0,5200000.0
2005-06-08,3260,3285,3235,3280,32913,17056.0,5200000.0
2005-06-09,3300,3300,3220,3285,14056,17082.0,5200000.0
2005-06-10,3285,3370,3235,3350,28809,17420.0,5200000.0
2005-06-13,3350,3430,3330,3375,32904,17550.0,5200000.0
2005-06-14,3400,3490,3390,3420,53100,17784.0,5200000.0
2005-06-15,3470,3470,3350,3355,29857,17446.0,5200000.0
2005-06-16,3330,3420,3315,3355,34397,17446.0,5200000.0
2005-06-17,3365,3420,3310,3330,17118,17316.0,5200000.0
