EMW(079190),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-11-29,7154,8228,6765,8230,2311981,148612.0,5874000.0
2005-11-30,8667,9447,8504,9450,754118,170640.0,5874000.0
2005-12-01,10294,10863,9171,9450,1597190,170640.0,5874000.0
2005-12-02,9741,10489,9367,9791,710955,176807.0,5874000.0
2005-12-05,9562,9790,8537,8621,479823,155661.0,5874000.0
2005-12-06,8490,9171,8358,8848,445250,159773.0,5874000.0
2005-12-07,8831,10050,8310,8751,760434,158011.0,5874000.0
2005-12-08,8750,9285,8570,8767,371661,158304.0,5874000.0
2005-12-09,9108,9660,8798,9108,635639,164472.0,5874000.0
2005-12-12,8863,9302,8765,8815,206717,159185.0,5874000.0
2005-12-13,8700,9026,8456,8475,180182,153018.0,5874000.0
2005-12-14,8522,8944,8456,8491,250404,153311.0,5874000.0
2005-12-15,8505,8879,8391,8670,275592,156542.0,5874000.0
2005-12-16,8392,8538,7399,8441,172909,152430.0,5874000.0
2005-12-19,8359,8569,8034,8052,136679,145382.0,5874000.0
2005-12-20,7821,8196,7561,7645,217398,138039.0,5874000.0
2005-12-21,7642,8001,7642,7873,176407,142151.0,5874000.0
2005-12-22,7870,7968,7025,7433,218529,134221.0,5874000.0
2005-12-23,7154,7480,7025,7353,71151,132752.0,5874000.0
2005-12-26,7447,8245,7350,7937,322405,143326.0,5874000.0
2005-12-27,7870,7870,7481,7482,113515,135102.0,5874000.0
2005-12-28,7318,7756,7285,7662,76218,138333.0,5874000.0
2005-12-29,7318,8099,7301,7791,451622,140682.0,5874000.0
2006-01-02,8001,8717,7968,8718,524463,157423.0,5874000.0
2006-01-03,9172,10002,8831,8913,948582,160948.0,5874000.0
2006-01-04,9334,9659,8830,8897,987885,160654.0,5874000.0
2006-01-05,9107,9756,8618,9759,1230603,176220.0,5874000.0
2006-01-06,10180,11222,10017,10246,1587264,185031.0,5874000.0
2006-01-09,10538,10651,9838,9922,557646,179157.0,5874000.0
2006-01-10,10082,10278,9172,9564,675987,172696.0,5874000.0
2006-01-11,9432,9562,9026,9271,372790,167409.0,5874000.0
2006-01-12,9205,9610,9041,9402,482539,169759.0,5874000.0
2006-01-13,9155,9562,9155,9271,191803,167409.0,5874000.0
2006-01-16,9269,9790,9269,9662,466442,174458.0,5874000.0
2006-01-17,9595,10180,8879,9141,752401,165059.0,5874000.0
2006-01-18,9205,9253,7887,8621,319947,155661.0,5874000.0
2006-01-19,8473,8847,8147,8393,215204,151549.0,5874000.0
2006-01-20,8310,8619,8001,8003,298525,144500.0,5874000.0
2006-01-23,7740,7936,6814,6814,413151,123060.0,5874000.0
2006-01-24,6716,7154,6082,6994,797621,126291.0,5874000.0
2006-01-25,7025,7807,6927,7108,605233,128347.0,5874000.0
2006-01-26,7154,7269,6633,6978,436352,125997.0,5874000.0
2006-01-27,7366,7740,7187,7498,623852,135396.0,5874000.0
2006-01-31,7725,7725,7432,7433,365361,134221.0,5874000.0
2006-02-01,7349,7349,6536,6994,488862,126291.0,5874000.0
2006-02-02,7138,7204,6633,6832,329982,123354.0,5874000.0
2006-02-03,6505,6684,6407,6506,305982,117480.0,5874000.0
2006-02-06,6293,6585,6293,6539,185327,118067.0,5874000.0
2006-02-07,6699,6732,6570,6572,234371,118655.0,5874000.0
2006-02-08,6504,7546,6504,7548,319627,136277.0,5874000.0
2006-02-09,7919,8065,7138,7401,669519,133634.0,5874000.0
2006-02-10,7399,7481,7107,7466,246469,134808.0,5874000.0
