투비소프트(079970),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-06-01,5981,6878,5981,6879,619765,37685.0,2048120.0
2010-06-03,6354,6728,5850,5850,1127221,32053.0,2048120.0
2010-06-04,5644,5681,4990,4991,950231,27342.0,2048120.0
2010-06-07,4691,5681,4597,4916,1451896,26933.0,2048120.0
2010-06-08,5009,5102,4597,4617,571747,25294.0,2048120.0
2010-06-09,4654,4785,4018,4056,599808,22222.0,2048120.0
2010-06-10,3925,4093,3726,3832,439521,20993.0,2048120.0
2010-06-11,3925,4336,3794,3851,811511,21096.0,2048120.0
2010-06-14,3775,3868,3289,3327,1139759,31177.0,3503000.0
2010-06-15,3360,3454,3278,3353,1026647,31422.0,3503000.0
2010-06-16,3476,3850,3468,3851,1301258,36081.0,3503000.0
2010-06-17,3999,4074,3420,3436,2415712,32193.0,3503000.0
2010-06-18,3472,3532,3364,3406,467427,31912.0,3503000.0
2010-06-21,3446,3468,3304,3432,492836,32158.0,3503000.0
2010-06-22,3454,3715,3401,3552,1321137,33278.0,3503000.0
2010-06-23,3510,3562,3379,3379,335717,31667.0,3503000.0
2010-06-24,3457,3476,3371,3421,266799,32052.0,3503000.0
2010-06-25,3386,3506,3214,3215,479592,30126.0,3503000.0
2010-06-28,3289,3289,3065,3125,389601,29285.0,3503000.0
2010-06-29,3124,3252,3102,3178,387093,29776.0,3503000.0
2010-06-30,3139,3184,3072,3144,134115,29460.0,3503000.0
2010-07-01,3143,3341,3143,3268,435907,30616.0,3503000.0
2010-07-02,3267,3383,3196,3365,244341,31527.0,3503000.0
2010-07-05,3420,3427,3233,3234,200236,30301.0,3503000.0
2010-07-06,3214,3248,3132,3163,138978,29635.0,3503000.0
2010-07-07,3176,3319,3136,3264,252589,30581.0,3503000.0
2010-07-08,3289,3655,3263,3533,830121,33103.0,3503000.0
2010-07-09,3498,3536,3341,3476,274105,32578.0,3503000.0
2010-07-12,3498,3633,3438,3633,345945,34049.0,3503000.0
2010-07-13,3625,3700,3233,3234,648802,30301.0,3503000.0
2010-07-14,3270,3289,3106,3144,328864,29460.0,3503000.0
2010-07-15,3143,3255,3139,3178,172637,29776.0,3503000.0
2010-07-16,3188,3236,3087,3088,143350,28935.0,3503000.0
2010-07-19,3087,3087,2990,3006,139910,28164.0,3503000.0
2010-07-20,3027,3136,3012,3118,154609,29215.0,3503000.0
2010-07-21,3117,3154,3023,3025,102621,28339.0,3503000.0
2010-07-22,3043,3053,2825,2864,169223,26833.0,3503000.0
2010-07-23,2934,2934,2840,2867,108260,26868.0,3503000.0
