루미마이크로(082800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-11-18,9337,10576,7958,7959,3735268,72450.0,6440000.0
2005-11-21,7782,8948,7427,8561,1696081,77924.0,6440000.0
2005-11-22,8700,8806,7923,8278,589051,75348.0,6440000.0
2005-11-23,8312,9056,8135,8490,850048,77280.0,6440000.0
2005-11-24,8630,9763,8560,9764,1364749,88872.0,6440000.0
2005-11-25,10258,10505,9550,9727,1541619,88550.0,6440000.0
2005-11-28,9973,11176,9336,11179,1480011,101752.0,6440000.0
2005-11-29,11531,12698,10895,11391,1942820,103684.0,6440000.0
2005-11-30,11601,12344,11177,11391,1064570,103684.0,6440000.0
2005-12-01,11352,12627,11318,11709,1377517,106582.0,6440000.0
2005-12-02,11742,12132,10327,10683,824143,97244.0,6440000.0
2005-12-05,10469,10611,9586,9798,718721,89194.0,6440000.0
2005-12-06,9938,10008,9301,9480,562438,86296.0,6440000.0
2005-12-07,9478,9867,8912,9480,925395,86296.0,6440000.0
2005-12-08,9267,9939,9267,9692,852378,88228.0,6440000.0
2005-12-09,9727,9939,8843,8844,569790,80500.0,6440000.0
2005-12-12,8700,9019,8419,8631,336415,78568.0,6440000.0
2005-12-13,8629,9336,8629,8879,554763,80822.0,6440000.0
2005-12-14,8878,8949,8525,8525,424467,77602.0,6440000.0
2005-12-15,8558,8594,8028,8207,279647,74704.0,6440000.0
2005-12-16,7711,7959,7180,7252,471869,66010.0,6440000.0
2005-12-19,6869,7038,6777,6792,686736,61824.0,6440000.0
2005-12-20,6777,7059,6607,6799,399698,61888.0,6440000.0
2005-12-21,6954,7032,6778,6884,482486,62661.0,6440000.0
2005-12-22,6833,7011,5949,6014,520093,54740.0,6440000.0
2005-12-23,5934,5976,5404,5836,507836,53130.0,6440000.0
2005-12-26,5905,5997,5758,5843,297999,53194.0,6440000.0
2005-12-27,5716,5892,5503,5504,361316,50103.0,6440000.0
2005-12-28,5503,6295,5503,6049,786600,55062.0,6440000.0
2005-12-29,6146,6189,5728,5823,420389,53001.0,6440000.0
2006-01-02,5905,6344,5857,6347,367333,57767.0,6440000.0
2006-01-03,6323,6436,6033,6439,586189,58604.0,6440000.0
2006-01-04,6542,7286,6344,6720,961214,61180.0,6440000.0
2006-01-05,6959,7058,6450,6545,338446,59570.0,6440000.0
2006-01-06,6550,6642,6231,6233,258851,56736.0,6440000.0
2006-01-09,6232,6487,6105,6120,263591,55706.0,6440000.0
2006-01-10,6048,6282,6034,6084,174901,55384.0,6440000.0
2006-01-11,6062,6154,5942,6028,175301,54869.0,6440000.0
2006-01-12,5963,6472,5963,6368,323529,57960.0,6440000.0
2006-01-13,6366,6889,6288,6792,677675,61824.0,6440000.0
2006-01-16,6946,7179,6684,7005,604946,63756.0,6440000.0
2006-01-17,7002,7463,6911,6913,814132,62919.0,6440000.0
2006-01-18,6755,6861,5878,6133,436955,55835.0,6440000.0
2006-01-19,6027,6239,5921,5971,230198,54354.0,6440000.0
2006-01-20,6014,6296,5738,5737,413833,52228.0,6440000.0
2006-01-23,5327,5540,4882,4881,298924,44436.0,6440000.0
2006-01-24,4810,4965,4477,4811,276588,43792.0,6440000.0
2006-01-25,4888,5149,4845,4868,299711,44307.0,6440000.0
2006-01-26,4930,5071,4816,5058,191411,46046.0,6440000.0
2006-01-27,5193,5348,5136,5264,161330,47914.0,6440000.0
2006-01-31,5290,5425,5268,5306,217669,48300.0,6440000.0
2006-02-01,5206,5233,4746,4917,242667,44758.0,6440000.0
2006-02-02,5013,5113,4851,4946,167829,45016.0,6440000.0
2006-02-03,4810,4866,4611,4627,109538,42118.0,6440000.0
2006-02-06,4456,4774,4456,4776,106545,43470.0,6440000.0
2006-02-07,4710,4753,4610,4655,69821,42375.0,6440000.0
2006-02-08,4583,4724,4527,4584,98286,41731.0,6440000.0
2006-02-09,4759,4759,4540,4542,48369,41345.0,6440000.0
2006-02-10,4527,4667,3898,3963,352647,36064.0,6440000.0
2006-02-13,3856,3955,3785,3785,321329,34454.0,6440000.0
2006-02-14,3783,3818,3656,3778,145882,34390.0,6440000.0
2006-02-15,3806,3861,3657,3678,178348,33488.0,6440000.0
2006-02-16,3684,3890,3607,3892,264930,35420.0,6440000.0
2006-02-17,3905,3997,3791,3969,171288,36128.0,6440000.0
2006-02-20,3891,4026,3834,3856,136961,35098.0,6440000.0
2006-02-21,3882,4025,3790,4025,159077,36644.0,6440000.0
2006-02-22,4004,4386,3961,4386,260819,39928.0,6440000.0
2006-02-23,4421,4668,4407,4500,327006,40958.0,6440000.0
2006-02-24,4492,4499,4265,4351,142242,39606.0,6440000.0
2006-02-27,4327,4490,4284,4493,85888,40894.0,6440000.0
2006-02-28,4563,4944,4492,4712,465682,42890.0,6440000.0
2006-03-02,4738,4909,4611,4705,253627,42826.0,6440000.0
2006-03-03,4668,4704,4351,4351,168758,39606.0,6440000.0
2006-03-06,4306,4547,4292,4542,123036,41345.0,6440000.0
2006-03-07,4464,4534,4209,4429,107715,40314.0,6440000.0
2006-03-08,4457,4612,4307,4464,143988,40636.0,6440000.0
2006-03-09,4456,4491,4250,4252,167597,38704.0,6440000.0
2006-03-10,4179,4250,3974,4061,161148,36966.0,6440000.0
2006-03-13,4074,4102,3890,3919,121863,35678.0,6440000.0
2006-03-14,3898,4109,3898,4055,189214,36901.0,6440000.0
2006-03-15,4073,4243,4030,4182,154909,38060.0,6440000.0
2006-03-16,4244,4548,4187,4429,300411,40314.0,6440000.0
2006-03-17,4470,4667,4364,4584,342851,41731.0,6440000.0
2006-03-20,4739,4775,4576,4592,168911,41796.0,6440000.0
2006-03-21,4547,4738,4526,4563,247904,41538.0,6440000.0
2006-03-22,4562,4739,4512,4627,397635,42118.0,6440000.0
2006-03-23,4697,5320,4598,5313,644054,48364.0,6440000.0
2006-03-24,5361,5658,5269,5490,730266,49974.0,6440000.0
2006-03-27,5530,5630,5375,5596,152744,50940.0,6440000.0
2006-03-28,5594,5927,5481,5583,475645,50812.0,6440000.0
2006-03-29,5602,5836,5602,5830,224369,53066.0,6440000.0
2006-03-30,5886,5977,5787,5830,191981,53066.0,6440000.0
2006-03-31,5829,6437,5829,6353,477609,57831.0,6440000.0
2006-04-03,6443,6472,6260,6368,213032,57960.0,6440000.0
2006-04-04,6337,6508,6245,6368,186414,57960.0,6440000.0
2006-04-05,6366,6480,6274,6276,206637,57123.0,6440000.0
2006-04-06,6360,6367,5957,6261,347802,56994.0,6440000.0
2006-04-07,6176,6331,6176,6261,263956,56994.0,6440000.0
2006-04-10,6239,6607,6239,6607,474281,60150.0,6440000.0
2006-04-11,6607,6791,6579,6699,307212,60987.0,6440000.0
2006-04-12,6747,6825,6684,6714,287157,61116.0,6440000.0
2006-04-13,6727,6777,6669,6728,199915,61244.0,6440000.0
2006-04-14,6720,6755,6472,6558,167478,59699.0,6440000.0
2006-04-17,6515,6608,6091,6190,363735,56350.0,6440000.0
2006-04-18,6224,6330,6076,6276,144831,57123.0,6440000.0
2006-04-19,6303,7216,6224,7216,815676,65688.0,6440000.0
2006-04-20,7287,7888,6735,7357,1291074,66976.0,6440000.0
2006-04-21,7569,7569,6262,6261,1694013,56994.0,6440000.0
