유진테크(084370),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-01-17,2975,3020,2532,2538,480773,55256.0,4804890.0
2006-01-18,2512,2907,2489,2912,949069,63425.0,4804890.0
2006-01-19,3042,3219,2856,2857,409833,62223.0,4804890.0
2006-01-20,2711,2755,2435,2438,287453,53094.0,4804890.0
2006-01-23,2071,2193,2071,2073,144712,45166.0,4804890.0
2006-01-24,1786,1934,1761,1830,325242,39881.0,4804890.0
2006-01-25,1830,1959,1785,1789,159190,38968.0,4804890.0
2006-01-26,1786,1887,1767,1867,106593,40649.0,4804890.0
2006-01-27,1896,1981,1863,1869,113047,40697.0,4804890.0
2006-01-31,1908,2049,1908,1960,64367,42667.0,4804890.0
2006-02-01,1896,1989,1764,1882,85185,40986.0,4804890.0
2006-02-02,1873,1971,1795,1860,47340,40505.0,4804890.0
2006-02-03,1764,1856,1718,1743,44059,37959.0,4804890.0
2006-02-06,1652,1718,1622,1647,30795,35844.0,4804890.0
2006-02-07,1644,1681,1644,1655,25749,36037.0,4804890.0
2006-02-08,1619,1707,1611,1632,21893,36041.0,4870340.0
2006-02-09,1646,1672,1620,1654,26076,36479.0,4870340.0
2006-02-10,1633,1697,1596,1630,23086,35992.0,4870340.0
2006-02-13,1631,1659,1598,1618,35087,35700.0,4870340.0
2006-02-14,1596,1607,1537,1574,27487,34726.0,4870340.0
2006-02-15,1598,1598,1409,1542,38086,34044.0,4870340.0
2006-02-16,1538,1696,1492,1600,98707,35310.0,4870340.0
2006-02-17,1606,1628,1523,1532,128287,33800.0,4870340.0
2006-02-20,1523,1548,1481,1496,83697,33021.0,4870340.0
2006-02-21,1492,1517,1456,1467,72823,32388.0,4870340.0
2006-02-22,1443,1540,1443,1490,74201,32875.0,4870340.0
2006-02-23,1488,1530,1482,1501,61569,33118.0,4870340.0
2006-02-24,1502,1508,1470,1474,50684,32534.0,4870340.0
2006-02-27,1499,1499,1471,1496,56536,33021.0,4870340.0
2006-02-28,1506,1582,1506,1551,96122,34238.0,4870340.0
2006-03-02,1596,1608,1548,1555,71654,34336.0,4870340.0
2006-03-03,1572,1572,1506,1529,56959,33751.0,4870340.0
2006-03-06,1519,1578,1512,1520,33033,33557.0,4870340.0
2006-03-07,1517,1554,1466,1472,26538,32485.0,4870340.0
2006-03-08,1456,1502,1409,1415,44708,31268.0,4870340.0
2006-03-09,1421,1460,1416,1435,26015,31657.0,4870340.0
2006-03-10,1411,1473,1407,1435,16927,31657.0,4870340.0
2006-03-13,1437,1461,1423,1442,14139,31852.0,4870340.0
2006-03-14,1445,1463,1436,1450,19805,32047.0,4870340.0
2006-03-15,1458,1504,1445,1449,23154,31998.0,4870340.0
2006-03-16,1446,1477,1409,1422,17506,31414.0,4870340.0
2006-03-17,1453,1453,1371,1387,26211,30634.0,4870340.0
2006-03-20,1373,1409,1337,1362,46664,30050.0,4870340.0
2006-03-21,1357,1360,1320,1343,23069,29660.0,4870340.0
2006-03-22,1324,1341,1277,1281,35018,28297.0,4870340.0
2006-03-23,1288,1460,1288,1339,175797,29563.0,4870340.0
2006-03-24,1326,1343,1285,1301,27547,28735.0,4870340.0
2006-03-27,1279,1299,1242,1257,27749,27761.0,4870340.0
2006-03-28,1244,1274,1219,1222,25605,26982.0,4870340.0
2006-03-29,1201,1254,1194,1227,59241,27079.0,4870340.0
2006-03-30,1240,1272,1233,1257,31971,27761.0,4870340.0
2006-03-31,1257,1283,1249,1280,36251,28248.0,4870340.0
2006-04-03,1290,1352,1281,1305,51788,28832.0,4870340.0
2006-04-04,1302,1332,1255,1328,56334,29319.0,4870340.0
2006-04-05,1344,1367,1299,1318,100628,29076.0,4870340.0
2006-04-06,1334,1334,1299,1325,21133,29271.0,4870340.0
2006-04-07,1323,1387,1314,1368,43489,30196.0,4870340.0
2006-04-10,1377,1377,1292,1347,26362,29709.0,4870340.0
2006-04-11,1322,1347,1290,1322,25685,29173.0,4870340.0
2006-04-12,1288,1326,1286,1315,24020,29027.0,4870340.0
2006-04-13,1321,1387,1309,1368,51633,30196.0,4870340.0
2006-04-14,1405,1472,1377,1411,58068,31170.0,4870340.0
2006-04-17,1422,1423,1387,1399,19472,30878.0,4870340.0
2006-04-18,1395,1466,1385,1422,11372,31414.0,4870340.0
2006-04-19,1421,1440,1403,1435,30157,31657.0,4870340.0
2006-04-20,1431,1451,1365,1411,28460,31170.0,4870340.0
2006-04-21,1411,1439,1372,1382,28242,30488.0,4870340.0
2006-04-24,1355,1387,1351,1368,3843,30196.0,4870340.0
2006-04-25,1315,1469,1315,1357,26200,29953.0,4870340.0
2006-04-26,1367,1398,1324,1339,13930,29563.0,4870340.0
2006-04-27,1339,1365,1290,1318,17440,29076.0,4870340.0
2006-04-28,1332,1431,1314,1328,30144,29319.0,4870340.0
2006-05-02,1322,1352,1322,1335,5201,29466.0,4870340.0
2006-05-03,1331,1377,1331,1347,8409,29709.0,4870340.0
2006-05-04,1431,1431,1362,1399,28286,30878.0,4870340.0
2006-05-08,1331,1403,1331,1379,18557,30440.0,4870340.0
2006-05-09,1394,1394,1365,1379,10995,30440.0,4870340.0
2006-05-10,1364,1410,1364,1390,19762,30683.0,4870340.0
2006-05-11,1394,1443,1377,1445,26326,31901.0,4870340.0
2006-05-12,1398,1478,1398,1435,30165,31657.0,4870340.0
2006-05-15,1431,1499,1431,1456,20173,32144.0,4870340.0
2006-05-16,1470,1472,1331,1390,37183,30683.0,4870340.0
2006-05-17,1369,1486,1369,1390,24055,30683.0,4870340.0
2006-05-18,1320,1386,1320,1348,14998,29758.0,4870340.0
2006-05-19,1439,1439,1344,1368,4432,30196.0,4870340.0
2006-05-22,1369,1406,1366,1408,11555,31121.0,4870340.0
2006-05-23,1385,1406,1376,1387,6704,30634.0,4870340.0
2006-05-24,1377,1377,1347,1368,11869,30196.0,4870340.0
2006-05-25,1508,1508,1316,1347,4266,29709.0,4870340.0
2006-05-26,1311,1363,1311,1355,5336,29904.0,4870340.0
2006-05-29,1363,1406,1344,1379,5107,30440.0,4870340.0
2006-05-30,1409,1409,1322,1335,5299,29466.0,4870340.0
2006-06-01,1347,1431,1328,1347,22833,29709.0,4870340.0
2006-06-02,1373,1385,1325,1387,12589,30634.0,4870340.0
2006-06-05,1375,1375,1322,1379,4376,30440.0,4870340.0
2006-06-07,1333,1340,1299,1322,13165,29173.0,4870340.0
2006-06-08,1297,1318,1211,1257,4239,27761.0,4870340.0
2006-06-09,1215,1320,1215,1271,9627,28053.0,4870340.0
2006-06-12,1232,1277,1210,1233,7018,27225.0,4870340.0
2006-06-13,1188,1351,1182,1204,15298,26592.0,4870340.0
2006-06-14,1195,1257,1188,1245,9761,27517.0,4870340.0
2006-06-15,1286,1286,1200,1221,5909,26933.0,4870340.0
2006-06-16,1273,1276,1200,1268,3739,28004.0,4870340.0
2006-06-19,1244,1270,1232,1245,6453,27517.0,4870340.0
2006-06-20,1173,1276,1173,1181,9219,26056.0,4870340.0
2006-06-21,1135,1224,1135,1222,981,26982.0,4870340.0
2006-06-22,1229,1251,1229,1256,1136,27712.0,4870340.0
2006-06-23,1214,1254,1155,1215,4036,26836.0,4870340.0
2006-06-26,1210,1294,1210,1268,667,28004.0,4870340.0
2006-06-27,1263,1274,1212,1222,5339,26982.0,4870340.0
2006-06-28,1219,1263,1188,1236,2362,27274.0,4870340.0
2006-06-29,1229,1276,1221,1264,1995,27907.0,4870340.0
2006-06-30,1285,1285,1242,1274,1212,28102.0,4870340.0
2006-07-03,1204,1299,1204,1299,1681,28686.0,4870340.0
2006-07-04,1317,1320,1251,1322,2699,29173.0,4870340.0
2006-07-05,1331,1331,1249,1320,2587,29125.0,4870340.0
2006-07-06,1313,1331,1255,1264,2525,27907.0,4870340.0
2006-07-07,1287,1320,1221,1291,2590,28491.0,4870340.0
2006-07-10,1287,1287,1254,1288,357,28443.0,4870340.0
2006-07-11,1308,1308,1254,1298,285,28638.0,4870340.0
2006-07-12,1239,1294,1227,1271,7683,28053.0,4870340.0
2006-07-13,1377,1377,1244,1251,3259,27615.0,4870340.0
2006-07-14,1252,1281,1222,1283,6865,28345.0,4870340.0
2006-07-18,1265,1265,1221,1268,3047,28004.0,4870340.0
2006-07-19,1270,1270,1222,1257,2756,27761.0,4870340.0
2006-07-20,1274,1274,1224,1244,4082,27469.0,4870340.0
2006-07-21,1248,1273,1178,1279,6554,28199.0,4870340.0
2006-07-24,1289,1289,1207,1279,2670,28199.0,4870340.0
2006-07-25,1237,1290,1195,1251,5636,27615.0,4870340.0
2006-07-26,1235,1245,1203,1242,8299,27420.0,4870340.0
2006-07-27,1203,1225,1200,1229,6672,27128.0,4870340.0
2006-07-28,1203,1229,1200,1204,1208,26592.0,4870340.0
2006-07-31,1224,1227,1176,1193,1944,26349.0,4870340.0
2006-08-01,1212,1212,1175,1214,2245,26787.0,4870340.0
2006-08-02,1211,1235,1211,1214,5174,26787.0,4870340.0
2006-08-03,1233,1255,1190,1221,3563,26933.0,4870340.0
2006-08-04,1257,1257,1201,1253,309,27664.0,4870340.0
2006-08-07,1351,1351,1250,1308,1150,28881.0,4870340.0
2006-08-08,1317,1317,1257,1301,4123,28735.0,4870340.0
2006-08-09,1257,1313,1222,1227,5094,27079.0,4870340.0
2006-08-10,1232,1232,1190,1229,7409,27128.0,4870340.0
2006-08-11,1221,1285,1182,1224,9801,27030.0,4870340.0
2006-08-14,1245,1245,1177,1190,12097,26251.0,4870340.0
2006-08-16,1197,1197,1136,1160,14217,25618.0,4870340.0
2006-08-17,1137,1155,1046,1128,14434,24936.0,4870340.0
2006-08-18,1180,1180,1090,1146,5897,25277.0,4870340.0
2006-08-21,1184,1253,1065,1155,24547,25521.0,4870340.0
2006-08-22,1159,1162,1114,1126,8924,24839.0,4870340.0
2006-08-23,1103,1183,1103,1122,7108,24790.0,4870340.0
2006-08-24,1134,1146,1120,1131,1170,24985.0,4870340.0
2006-08-25,1165,1182,1134,1174,9729,25910.0,4870340.0
2006-08-28,1170,1176,1131,1137,2906,25082.0,4870340.0
2006-08-29,1132,1162,1132,1142,5592,25180.0,4870340.0
2006-08-30,1133,1165,1133,1160,6074,25618.0,4870340.0
2006-08-31,1143,1211,1143,1214,9747,26787.0,4870340.0
2006-09-01,1208,1244,1188,1222,9646,26982.0,4870340.0
2006-09-04,1192,1317,1192,1239,21943,27371.0,4870340.0
2006-09-05,1244,1245,1176,1224,7477,27030.0,4870340.0
2006-09-06,1195,1242,1195,1236,6462,27274.0,4870340.0
2006-09-07,1227,1237,1190,1221,1617,26933.0,4870340.0
2006-09-08,1210,1247,1210,1245,9179,27517.0,4870340.0
2006-09-11,1265,1265,1178,1236,6364,27274.0,4870340.0
2006-09-12,1229,1249,1188,1253,4327,27664.0,4870340.0
2006-09-13,1244,1265,1200,1268,8129,28004.0,4870340.0
2006-09-14,1260,1320,1245,1311,39296,28930.0,4870340.0
2006-09-15,1279,1317,1218,1322,23789,29173.0,4870340.0
2006-09-18,1320,1320,1265,1313,6126,28979.0,4870340.0
2006-09-19,1274,1306,1266,1308,18022,28881.0,4870340.0
2006-09-20,1274,1288,1255,1281,9122,28297.0,4870340.0
2006-09-21,1287,1292,1255,1291,11595,28491.0,4870340.0
2006-09-22,1293,1293,1254,1279,5875,28199.0,4870340.0
2006-09-25,1257,1276,1218,1239,7645,27371.0,4870340.0
2006-09-26,1221,1257,1099,1231,26692,27176.0,4870340.0
2006-09-27,1175,1229,1170,1224,24858,27030.0,4870340.0
2006-09-28,1195,1225,1180,1229,72419,27128.0,4870340.0
2006-09-29,1221,1224,1190,1193,25115,26349.0,4870340.0
2006-10-02,1161,1192,1140,1172,11223,25862.0,4870340.0
2006-10-04,1148,1148,1085,1114,17747,24595.0,4870340.0
2006-10-09,1122,1131,1004,1007,31850,22233.0,4870340.0
2006-10-10,956,1090,956,1092,7421,24108.0,4870340.0
2006-10-11,1096,1122,1058,1092,14220,24108.0,4870340.0
2006-10-12,1120,1135,1081,1092,3414,24108.0,4870340.0
2006-10-13,1090,1123,1070,1081,9390,23865.0,4870340.0
2006-10-16,1094,1118,1094,1118,6293,24693.0,4870340.0
2006-10-17,1108,1108,1056,1099,13094,24254.0,4870340.0
2006-10-18,1063,1101,1057,1092,4374,24108.0,4870340.0
2006-10-19,1062,1115,1062,1115,7349,24644.0,4870340.0
2006-10-20,1146,1167,1127,1155,9841,25521.0,4870340.0
2006-10-23,1129,1166,1129,1170,5391,25813.0,4870340.0
2006-10-24,1165,1165,1123,1162,6258,25667.0,4870340.0
2006-10-25,1166,1202,1155,1193,7631,26349.0,4870340.0
2006-10-26,1188,1207,1176,1210,7380,26689.0,4870340.0
2006-10-27,1203,1203,1133,1204,4634,26592.0,4870340.0
2006-10-30,1222,1222,1171,1176,14267,25959.0,4870340.0
2006-10-31,1198,1206,1135,1197,17681,26446.0,4870340.0
2006-11-01,1193,1193,1151,1170,26821,25813.0,4870340.0
2006-11-02,1167,1208,1156,1202,17291,26543.0,4870340.0
2006-11-03,1161,1217,1161,1221,21215,26933.0,4870340.0
2006-11-06,1210,1236,1202,1239,13291,27371.0,4870340.0
2006-11-07,1260,1260,1211,1233,9840,27225.0,4870340.0
2006-11-08,1204,1229,1204,1215,6140,26836.0,4870340.0
2006-11-09,1233,1233,1202,1222,15514,26982.0,4870340.0
2006-11-10,1223,1401,1193,1407,84901,31024.0,4870340.0
2006-11-13,1443,1534,1309,1332,162271,29417.0,4870340.0
2006-11-14,1341,1344,1232,1280,113645,28248.0,4870340.0
2006-11-15,1292,1320,1279,1292,60049,28540.0,4870340.0
2006-11-16,1290,1343,1273,1324,54141,29222.0,4870340.0
2006-11-17,1320,1341,1287,1291,44721,28491.0,4870340.0
2006-11-20,1287,1320,1281,1301,24186,28735.0,4870340.0
2006-11-21,1270,1297,1270,1279,24226,28199.0,4870340.0
2006-11-22,1277,1286,1255,1259,20095,27810.0,4870340.0
2006-11-23,1269,1281,1220,1253,44188,27664.0,4870340.0
2006-11-24,1244,1255,1235,1245,7605,27517.0,4870340.0
2006-11-27,1253,1321,1249,1281,13408,28297.0,4870340.0
2006-11-28,1279,1288,1222,1274,14281,28102.0,4870340.0
2006-11-29,1279,1285,1255,1274,13509,28102.0,4870340.0
2006-11-30,1294,1297,1256,1295,17804,28589.0,4870340.0
2006-12-01,1265,1299,1265,1291,17127,28491.0,4870340.0
2006-12-04,1281,1297,1268,1271,13953,28053.0,4870340.0
2006-12-05,1282,1294,1267,1276,5959,28151.0,4870340.0
2006-12-06,1261,1279,1259,1274,13820,28102.0,4870340.0
2006-12-07,1270,1341,1270,1308,29784,28881.0,4870340.0
2006-12-08,1320,1497,1311,1364,191692,30099.0,4870340.0
2006-12-11,1364,1426,1320,1430,63160,31560.0,4870340.0
2006-12-12,1468,1601,1387,1395,483750,30781.0,4870340.0
2006-12-13,1373,1386,1343,1371,61771,30294.0,4870340.0
2006-12-14,1387,1394,1344,1382,36877,30488.0,4870340.0
2006-12-15,1374,1396,1358,1368,30220,30196.0,4870340.0
2006-12-18,1363,1380,1352,1369,31702,30245.0,4870340.0
2006-12-19,1366,1386,1344,1362,19885,30050.0,4870340.0
2006-12-20,1352,1395,1352,1392,26328,30732.0,4870340.0
2006-12-21,1411,1476,1411,1456,79866,32144.0,4870340.0
2006-12-22,1430,1471,1409,1438,18298,31755.0,4870340.0
2006-12-26,1424,1556,1424,1501,103258,33118.0,4870340.0
2006-12-27,1525,1525,1445,1449,26074,31073.0,4870340.0
2006-12-28,1445,1459,1387,1449,51297,31073.0,4870340.0
2007-01-02,1427,1427,1394,1407,15368,30196.0,4870340.0
2007-01-03,1407,1425,1344,1363,49344,29222.0,4870340.0
2007-01-04,1351,1358,1313,1350,25172,28979.0,4870340.0
2007-01-05,1347,1370,1329,1371,15386,29466.0,4870340.0
2007-01-08,1361,1390,1337,1355,14737,29076.0,4870340.0
2007-01-09,1351,1351,1326,1352,9694,29027.0,4870340.0
2007-01-10,1340,1340,1300,1312,13098,28151.0,4870340.0
2007-01-11,1313,1313,1272,1281,13635,27517.0,4870340.0
2007-01-12,1291,1313,1270,1296,8867,27810.0,4870340.0
2007-01-15,1292,1330,1279,1289,7812,27664.0,4870340.0
2007-01-16,1272,1311,1272,1314,7085,28199.0,4870340.0
2007-01-17,1291,1323,1245,1296,7093,27810.0,4870340.0
2007-01-18,1272,1304,1257,1264,11048,27128.0,4870340.0
2007-01-19,1259,1259,1224,1230,5177,26397.0,4870340.0
2007-01-22,1222,1245,1087,1228,18248,26349.0,4870340.0
2007-01-23,1257,1257,1204,1219,17322,26154.0,4870340.0
2007-01-24,1191,1244,1191,1237,4452,26543.0,4870340.0
2007-01-25,1263,1263,1224,1259,8900,27030.0,4870340.0
2007-01-26,1229,1265,1229,1237,1060,26543.0,4870340.0
2007-01-29,1224,1260,1224,1264,4735,27128.0,4870340.0
2007-01-30,1270,1278,1258,1271,2912,27274.0,4870340.0
2007-01-31,1293,1293,1259,1261,2381,27079.0,4870340.0
2007-02-01,1268,1278,1241,1244,5859,26689.0,4870340.0
2007-02-02,1257,1308,1224,1312,19447,28151.0,4870340.0
2007-02-05,1308,1308,1268,1280,6202,27469.0,4870340.0
2007-02-06,1267,1290,1227,1253,12708,26884.0,4870340.0
2007-02-07,1238,1268,1229,1256,8278,26933.0,4870340.0
2007-02-08,1254,1254,1210,1253,15833,26884.0,4870340.0
2007-02-09,1257,1270,1218,1259,7377,27030.0,4870340.0
2007-02-12,1257,1268,1222,1259,8040,27030.0,4870340.0
2007-02-13,1266,1301,1235,1296,21696,27810.0,4870340.0
2007-02-14,1306,1380,1306,1360,32585,29173.0,4870340.0
2007-02-15,1390,1390,1329,1341,21242,28784.0,4870340.0
2007-02-16,1339,1387,1313,1377,32293,29563.0,4870340.0
2007-02-20,1375,1392,1343,1347,16457,28881.0,4870340.0
2007-02-21,1350,1384,1341,1364,5151,29271.0,4870340.0
2007-02-22,1362,1362,1337,1339,9795,28735.0,4870340.0
2007-02-23,1325,1350,1313,1325,9988,28443.0,4870340.0
2007-02-26,1324,1355,1324,1347,17249,28881.0,4870340.0
2007-02-27,1379,1379,1336,1360,16120,29173.0,4870340.0
2007-02-28,1336,1355,1316,1360,7089,29173.0,4870340.0
2007-03-02,1388,1388,1345,1377,18970,29563.0,4870340.0
2007-03-05,1370,1397,1284,1314,32083,28199.0,4870340.0
2007-03-06,1313,1379,1313,1341,23256,28784.0,4870340.0
2007-03-07,1324,1392,1324,1396,37376,29953.0,4870340.0
2007-03-08,1471,1571,1422,1515,180864,32534.0,4870340.0
