동국제약(086450),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-05-29,21590,24828,21590,24830,45377,220248.0,6840000.0
2007-05-30,23595,24481,21204,23134,562675,205200.0,6840000.0
2007-05-31,23479,23479,21975,21977,86489,194940.0,6840000.0
2007-06-01,22052,23826,21590,22440,113327,199044.0,6840000.0
2007-06-04,22901,25792,22901,24676,265420,218880.0,6840000.0
2007-06-05,25099,28377,25099,28377,173600,251712.0,6840000.0
2007-06-07,29379,32618,29379,32618,139918,289332.0,6840000.0
2007-06-08,33852,37399,29456,33312,261946,295488.0,6840000.0
2007-06-11,34430,34430,28338,28531,88998,253080.0,6840000.0
2007-06-12,28530,30843,25561,30845,100037,273600.0,6840000.0
2007-06-13,30690,32772,28608,30883,87415,273942.0,6840000.0
2007-06-14,32347,32385,29918,30074,69811,266760.0,6840000.0
2007-06-15,29302,30690,28994,29302,46218,259920.0,6840000.0
2007-06-18,32386,32695,29919,30112,76651,267102.0,6840000.0
2007-06-19,30419,30419,27103,28146,51438,249660.0,6840000.0
2007-06-20,28145,28222,25639,25832,52069,229140.0,6840000.0
2007-06-21,25869,27836,24944,26604,30625,235980.0,6840000.0
2007-06-22,27065,27065,25908,26604,11488,235980.0,6840000.0
2007-06-25,25908,26525,25098,25447,25190,225720.0,6840000.0
2007-06-26,24867,25715,23479,23982,38255,212724.0,6840000.0
2007-06-27,23286,24520,22515,22671,27392,201096.0,6840000.0
2007-06-28,22902,24251,22285,22979,50233,203832.0,6840000.0
2007-06-29,20819,20819,19546,19548,167882,173394.0,6840000.0
2007-07-02,16616,17541,16616,16965,751455,150480.0,6840000.0
2007-07-03,17426,19045,17426,18507,516187,164160.0,6840000.0
2007-07-04,18891,20009,18081,18931,294936,167922.0,6840000.0
2007-07-05,19045,21397,18737,19471,555237,172710.0,6840000.0
2007-07-06,19702,19894,19123,19509,128214,173052.0,6840000.0
2007-07-09,19779,19779,18892,18892,111750,167580.0,6840000.0
2007-07-10,18929,19431,18235,18931,118367,167922.0,6840000.0
2007-07-11,18929,19893,18775,19124,118341,169632.0,6840000.0
2007-07-12,19277,19509,18738,18815,88042,166896.0,6840000.0
2007-07-13,19046,19432,18622,18969,114213,168264.0,6840000.0
2007-07-16,18968,19238,18043,18160,104329,161082.0,6840000.0
2007-07-18,18428,18428,17580,17813,77153,158004.0,6840000.0
2007-07-19,17888,18043,17580,17659,50983,156636.0,6840000.0
2007-07-20,17658,18121,17542,18121,72260,160740.0,6840000.0
2007-07-23,18044,18969,18044,18468,80723,163818.0,6840000.0
2007-07-24,18814,18814,17734,18353,53796,162792.0,6840000.0
2007-07-25,18351,19893,18120,19895,140246,176472.0,6840000.0
2007-07-26,20511,21745,19702,20280,255364,179892.0,6840000.0
2007-07-27,19739,20626,19199,19278,112010,171000.0,6840000.0
2007-07-30,18891,20202,18582,19972,72325,177156.0,6840000.0
2007-07-31,20202,20510,19739,20088,104127,178182.0,6840000.0
2007-08-01,20048,20240,19122,19124,88564,169632.0,6840000.0
2007-08-02,19663,19740,18892,19509,55942,173052.0,6840000.0
2007-08-03,19970,21050,19508,20782,135441,184338.0,6840000.0
2007-08-06,20434,21051,20241,20550,74640,182286.0,6840000.0
2007-08-07,20897,20974,19624,19702,69546,174762.0,6840000.0
2007-08-08,19623,19855,19276,19625,56259,174078.0,6840000.0
2007-08-09,19855,20009,19354,19625,53189,174078.0,6840000.0
2007-08-10,19355,20049,19123,19162,93629,169974.0,6840000.0
2007-08-13,19046,19123,18044,18198,73533,161424.0,6840000.0
2007-08-14,18236,18506,17080,17697,73694,156978.0,6840000.0
2007-08-16,16848,16964,15075,15268,113414,135432.0,6840000.0
2007-08-17,14728,15383,14381,14497,73247,128592.0,6840000.0
2007-08-20,14882,15846,14805,15499,49086,137484.0,6840000.0
2007-08-21,15538,15885,15229,15538,36471,137826.0,6840000.0
2007-08-22,15537,16269,15537,16271,28479,144324.0,6840000.0
2007-08-23,16578,17233,16578,16849,37115,149454.0,6840000.0
2007-08-24,16964,17311,16309,16656,25571,147744.0,6840000.0
2007-08-27,16964,17080,16424,16463,21121,146034.0,6840000.0
2007-08-28,16231,16655,16153,16155,25387,143298.0,6840000.0
2007-08-29,15538,15962,15422,15885,36622,140904.0,6840000.0
2007-08-30,16116,16270,15885,15962,25279,141588.0,6840000.0
2007-08-31,16000,16424,15846,16039,17774,142272.0,6840000.0
2007-09-03,16231,17156,16231,17119,43693,151848.0,6840000.0
2007-09-04,17350,18506,17003,17928,122832,159030.0,6840000.0
2007-09-05,18429,19046,18121,18198,122135,161424.0,6840000.0
2007-09-06,18197,18197,17541,17813,38648,158004.0,6840000.0
2007-09-07,17966,18582,17966,18160,28453,161082.0,6840000.0
2007-09-10,17504,17735,17195,17620,44913,156294.0,6840000.0
2007-09-11,17620,17620,17003,17003,33626,150822.0,6840000.0
2007-09-12,17118,17273,16810,17003,48909,150822.0,6840000.0
2007-09-13,17041,17774,17003,17620,23613,156294.0,6840000.0
2007-09-14,17889,17889,17157,17581,37428,155952.0,6840000.0
2007-09-17,17503,17888,17079,17196,62075,152532.0,6840000.0
2007-09-18,17195,17273,16424,16579,43674,147060.0,6840000.0
2007-09-19,17003,17195,16463,16579,25850,147060.0,6840000.0
2007-09-20,16655,17040,16153,16155,21176,143298.0,6840000.0
2007-09-21,16154,16154,15730,16039,17472,142272.0,6840000.0
2007-09-27,16116,16540,16077,16193,14701,143640.0,6840000.0
2007-09-28,16192,16693,16115,16502,15555,146376.0,6840000.0
2007-10-01,16500,16925,15922,16348,28859,145008.0,6840000.0
2007-10-02,16501,16964,16501,16579,42153,147060.0,6840000.0
2007-10-04,16269,16578,16038,16078,42832,142614.0,6840000.0
2007-10-05,15999,16269,15537,15808,45707,140220.0,6840000.0
2007-10-08,16077,16077,15422,15499,42862,137484.0,6840000.0
2007-10-09,15460,15769,15422,15422,21249,136800.0,6840000.0
2007-10-10,15459,15922,15459,15808,26025,140220.0,6840000.0
2007-10-11,15806,16539,15806,16502,37880,146376.0,6840000.0
2007-10-12,16579,16733,16116,16232,28867,143982.0,6840000.0
2007-10-15,16232,16309,15692,15692,35391,139194.0,6840000.0
2007-10-16,15769,16501,15576,16193,34550,143640.0,6840000.0
2007-10-17,15923,16347,15692,15769,24679,139878.0,6840000.0
2007-10-18,15807,16270,15499,15769,18073,139878.0,6840000.0
2007-10-19,15652,16076,15575,15808,24420,140220.0,6840000.0
2007-10-22,15191,15383,14805,14998,25923,133038.0,6840000.0
2007-10-23,15267,15267,14881,14883,25167,132012.0,6840000.0
2007-10-24,15036,15113,14497,14574,28520,129276.0,6840000.0
2007-10-25,14728,15075,14574,14805,20023,131328.0,6840000.0
2007-10-26,14651,14921,14458,14574,23513,129276.0,6840000.0
2007-10-29,14651,14766,14265,14381,36406,127566.0,6840000.0
2007-10-30,14458,14458,14072,14150,29812,125514.0,6840000.0
2007-10-31,14111,14574,14111,14574,18437,129276.0,6840000.0
2007-11-01,14612,14805,13957,14111,53195,125172.0,6840000.0
2007-11-02,13725,14150,13648,13687,27813,121410.0,6840000.0
2007-11-05,13687,15576,13417,14805,153548,131328.0,6840000.0
2007-11-06,15268,15306,14535,14728,48052,130644.0,6840000.0
2007-11-07,15191,15191,14150,14150,25938,125514.0,6840000.0
2007-11-08,14265,14265,13802,14150,26047,125514.0,6840000.0
2007-11-09,14188,14574,14150,14458,22488,128250.0,6840000.0
2007-11-12,14265,14342,13841,13880,19237,123120.0,6840000.0
2007-11-13,13880,14921,13880,14805,36009,131328.0,6840000.0
2007-11-14,14574,15113,14574,14805,9935,131328.0,6840000.0
2007-11-15,14843,15035,14650,14960,16263,132696.0,6840000.0
2007-11-16,14688,14843,14496,14767,7979,130986.0,6840000.0
2007-11-19,14765,14958,14496,14767,18755,130986.0,6840000.0
2007-11-20,14958,14958,14496,14883,17412,132012.0,6840000.0
2007-11-21,15035,15035,14688,14883,22651,132012.0,6840000.0
2007-11-22,14650,14881,14341,14690,7841,130302.0,6840000.0
2007-11-23,14766,14844,14419,14805,28246,131328.0,6840000.0
2007-11-26,14651,15036,14419,14497,13398,128592.0,6840000.0
2007-11-27,14457,14650,14457,14613,26686,129618.0,6840000.0
2007-11-28,14728,14959,14535,14921,18311,132354.0,6840000.0
2007-11-29,14766,15499,14766,15268,18790,135432.0,6840000.0
2007-11-30,15421,15729,15074,15731,19282,139536.0,6840000.0
2007-12-03,15499,16116,15499,15769,12324,139878.0,6840000.0
2007-12-04,15730,16424,15692,16193,20121,143640.0,6840000.0
2007-12-05,16308,16809,16192,16618,28472,147402.0,6840000.0
2007-12-06,16809,16963,16269,16425,31051,145692.0,6840000.0
2007-12-07,16616,16925,15961,16078,13105,142614.0,6840000.0
2007-12-10,16269,16269,15652,15731,7445,139536.0,6840000.0
2007-12-11,15729,16153,15729,16155,11612,143298.0,6840000.0
2007-12-12,15962,16193,15692,15885,2293,140904.0,6840000.0
2007-12-13,16077,16077,15653,15885,7293,140904.0,6840000.0
2007-12-14,15999,16886,15845,16502,13087,146376.0,6840000.0
2007-12-17,16116,16579,15885,15885,4179,140904.0,6840000.0
2007-12-18,15885,15885,15499,15499,4168,137484.0,6840000.0
2007-12-20,15691,15884,15498,15654,3946,138852.0,6840000.0
2007-12-21,15653,16116,15191,16116,14440,142956.0,6840000.0
2007-12-24,16154,16309,15807,15885,5935,140904.0,6840000.0
2007-12-26,16076,16500,15729,15808,6595,140220.0,6840000.0
2007-12-27,15807,15807,15345,15345,9431,136116.0,6840000.0
2007-12-28,15498,15691,15267,15654,7919,138852.0,6840000.0
2008-01-02,15652,15652,15228,15230,4705,135090.0,6840000.0
2008-01-03,14728,15538,14728,15422,10388,136800.0,6840000.0
2008-01-04,15422,15499,15268,15422,4317,136800.0,6840000.0
2008-01-07,15345,15499,14998,15422,7886,136800.0,6840000.0
2008-01-08,15344,15344,14650,15230,5503,135090.0,6840000.0
2008-01-09,15228,15267,15190,15230,12989,135090.0,6840000.0
2008-01-10,15382,15537,15267,15461,9811,137142.0,6840000.0
2008-01-11,15305,15652,15112,15461,22905,137142.0,6840000.0
2008-01-14,15499,15653,15113,15422,15033,136800.0,6840000.0
2008-01-15,15729,15729,15112,15461,7809,137142.0,6840000.0
2008-01-16,15112,15151,14303,14883,25413,132012.0,6840000.0
