에코프로(086520),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-07-20,13055,15013,11831,15015,1446237,88320.0,4800000.0
2007-07-23,15830,17258,15708,17259,328013,101520.0,4800000.0
2007-07-24,19827,19827,17257,17953,1061353,105600.0,4800000.0
2007-07-25,17544,18768,16238,17218,568748,101280.0,4800000.0
2007-07-26,18114,19786,17665,19177,857569,112800.0,4800000.0
2007-07-27,18848,19786,16319,16892,450611,99360.0,4800000.0
2007-07-30,16320,16727,15462,16320,219975,96000.0,4800000.0
2007-07-31,16401,17054,15748,15830,180999,93120.0,4800000.0
2007-08-01,15502,16359,13462,13628,279189,80160.0,4800000.0
2007-08-02,14196,14442,12443,13465,212384,99000.0,6000000.0
2007-08-03,13831,15096,13260,14117,270222,103800.0,6000000.0
2007-08-06,13503,13830,12034,12036,517492,88929.0,6029090.0
2007-08-07,12238,12401,10280,10568,937209,78077.0,6029090.0
2007-08-08,10607,11219,10443,10527,306523,77775.0,6029090.0
2007-08-09,11055,12075,10973,12077,304649,89231.0,6029090.0
2007-08-10,12648,13872,12525,13872,927685,102495.0,6029090.0
2007-08-13,14524,14891,12688,12893,683465,95260.0,6029090.0
2007-08-14,13259,14034,11667,11751,484119,86819.0,6029090.0
2007-08-16,10934,11097,9996,9996,234404,73856.0,6029090.0
2007-08-17,9628,10077,8526,8772,375180,64813.0,6029090.0
2007-08-20,9301,10076,9219,10078,394562,79399.0,6429090.0
2007-08-21,9954,10607,9546,10200,465322,80364.0,6429090.0
2007-08-22,10159,10444,9913,9955,193629,78435.0,6429090.0
2007-08-23,10443,11422,10239,11424,733594,90007.0,6429090.0
2007-08-24,11626,11953,10892,11424,569061,90109.0,6436362.0
2007-08-27,11749,11913,11261,11383,319117,89787.0,6436362.0
2007-08-28,11626,12484,11178,11180,552534,88178.0,6436362.0
2007-08-29,10525,10852,10159,10730,384043,84638.0,6436362.0
2007-08-30,11096,11504,10688,10976,267247,86569.0,6436362.0
2007-08-31,11097,11832,11097,11261,257193,88822.0,6436362.0
2007-09-03,11546,12076,11383,11873,205982,93649.0,6436362.0
2007-09-04,11790,11790,11301,11342,128900,89465.0,6436362.0
2007-09-05,11546,11586,10567,10608,189937,83673.0,6436362.0
2007-09-06,10688,10688,10035,10364,158230,81857.0,6445452.0
2007-09-07,10566,10892,10361,10568,185039,83469.0,6445452.0
2007-09-10,10199,10199,9710,9711,220358,76701.0,6445452.0
2007-09-11,9872,9995,9259,9466,161612,74767.0,6445452.0
2007-09-12,9628,10811,9628,9996,404083,78957.0,6445452.0
2007-09-13,9954,10035,9546,9915,114482,78312.0,6445452.0
2007-09-14,10036,10974,9913,10445,272517,82502.0,6445452.0
2007-09-17,10444,10567,9996,10282,82156,81213.0,6445452.0
2007-09-18,10239,10402,9586,9629,145947,76056.0,6445452.0
2007-09-19,9913,10118,9220,9221,176256,72834.0,6445452.0
2007-09-20,8894,9098,8282,8894,459576,70255.0,6445452.0
2007-09-21,8893,9056,8647,8813,108143,71697.0,6638652.0
