이수앱지스(086890),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-02-03,7129,8199,7040,8200,4924655,68479.0,7443330.0
2009-02-04,8742,8956,7834,7932,2712626,66246.0,7443330.0
2009-02-05,8154,8252,6995,7148,870828,59696.0,7443330.0
2009-02-06,7317,7325,6710,7059,620950,58951.0,7443330.0
2009-02-09,7129,7708,7129,7576,666543,63268.0,7443330.0
2009-02-10,7718,7842,7182,7255,279129,60589.0,7443330.0
2009-02-11,7121,7209,6995,7202,214175,60142.0,7443330.0
2009-02-12,7290,7335,6915,6917,189832,57760.0,7443330.0
2009-02-13,6951,7842,6871,7585,488213,63343.0,7443330.0
2009-02-16,7584,8119,7317,7567,686856,63194.0,7443330.0
2009-02-17,7522,7664,7005,7665,414353,64013.0,7443330.0
2009-02-18,7664,8814,7530,8557,1672194,71456.0,7443330.0
2009-02-19,8377,8742,7396,7398,582366,61780.0,7443330.0
2009-02-20,7396,7664,6915,7219,141345,60291.0,7443330.0
2009-02-23,7138,7433,7076,7264,111586,60663.0,7443330.0
2009-02-24,6987,7396,6978,7086,69825,59174.0,7443330.0
2009-02-25,7237,7308,6693,6747,89560,56346.0,7443330.0
2009-02-26,6799,6907,6612,6685,55916,55825.0,7443330.0
2009-02-27,6604,7040,6559,6961,57725,58132.0,7443330.0
2009-03-02,6951,6951,6648,6667,35056,69276.0,9261510.0
2009-03-03,6514,6630,5970,6345,41909,65942.0,9261510.0
2009-03-04,6408,6791,6166,6614,69266,68720.0,9261510.0
2009-03-05,6612,7219,6506,6952,87010,72240.0,9261510.0
2009-03-06,6791,7272,6738,7184,62744,74648.0,9261510.0
2009-03-09,7396,8065,7352,7576,357616,78723.0,9261510.0
2009-03-10,7548,7620,7343,7496,37520,77889.0,9261510.0
2009-03-11,7584,7584,7388,7514,49786,78075.0,9261510.0
2009-03-12,7451,7655,7352,7353,29179,76407.0,9261510.0
2009-03-13,7593,8181,7504,8013,170012,83261.0,9261510.0
2009-03-16,8279,8537,7842,8066,184661,83817.0,9261510.0
2009-03-17,8038,8350,7753,7781,128388,80853.0,9261510.0
2009-03-18,7905,8030,7682,7879,78041,81872.0,9261510.0
2009-03-19,8011,8021,7664,7844,42307,81501.0,9261510.0
2009-03-20,7914,7914,6862,7576,73907,78723.0,9261510.0
2009-03-23,7575,7664,7406,7585,49104,78815.0,9261510.0
2009-03-24,7637,7932,7504,7692,77757,79927.0,9261510.0
2009-03-25,7691,7860,7610,7692,47860,79927.0,9261510.0
2009-03-26,7691,7691,7441,7549,66810,78445.0,9261510.0
2009-03-27,7494,7620,7396,7398,53595,76871.0,9261510.0
2009-03-30,7451,7566,7040,7068,37982,73444.0,9261510.0
2009-03-31,7165,7433,7147,7290,28660,75759.0,9261510.0
2009-04-01,7182,7486,7182,7487,43460,77797.0,9261510.0
2009-04-02,7539,8608,7522,8378,672878,87058.0,9261510.0
2009-04-03,8377,9625,8377,9626,730692,100024.0,9261510.0
2009-04-06,10160,11051,9669,11052,1826880,114843.0,9261510.0
2009-04-07,11140,11764,10382,10696,1873146,111138.0,9261510.0
2009-04-08,10649,12299,10472,12299,1277047,127809.0,9261510.0
2009-04-09,12745,14037,11987,12166,1798321,126420.0,9261510.0
2009-04-10,12477,13814,12254,13280,921560,137996.0,9261510.0
2009-04-13,13458,13992,12655,12924,566354,134292.0,9261510.0
2009-04-14,13368,14171,11496,12924,1186458,134292.0,9261510.0
2009-04-15,13279,13992,12032,13057,651900,135681.0,9261510.0
2009-04-16,13234,13635,11541,11542,356432,119937.0,9261510.0
2009-04-17,11764,11987,9848,10606,351341,110212.0,9261510.0
2009-04-20,10606,12165,10427,12166,392713,126420.0,9261510.0
2009-04-21,11586,12878,11496,11943,473395,124104.0,9261510.0
2009-04-22,12388,12388,11853,12122,178186,125957.0,9261510.0
2009-04-23,12209,12299,11675,11810,146263,122715.0,9261510.0
2009-04-24,11898,13279,11764,13057,602623,135681.0,9261510.0
2009-04-27,13502,14973,13279,14973,1184456,155593.0,9261510.0
2009-04-28,15061,15061,12745,12745,672134,132440.0,9261510.0
2009-04-29,12745,12745,11719,12344,376584,128300.0,9263510.0
2009-04-30,12611,13012,12209,12389,223068,128763.0,9263510.0
2009-05-04,12433,12566,11764,12077,170844,125521.0,9263510.0
2009-05-06,12165,12655,11675,12656,153199,131542.0,9263510.0
2009-05-07,12745,12745,11942,11943,111864,124131.0,9263510.0
2009-05-08,11942,12922,11764,12924,244236,134321.0,9263510.0
2009-05-11,12833,14438,12789,13815,380979,143584.0,9263510.0
2009-05-12,13814,14171,13458,13770,238302,143121.0,9263510.0
2009-05-13,13814,14794,13814,14395,847246,149606.0,9263510.0
2009-05-14,14527,14572,13725,13815,454360,143584.0,9263510.0
2009-05-15,14260,14616,12967,12969,545230,134784.0,9263510.0
2009-05-18,12745,13056,12209,12656,194192,131542.0,9263510.0
2009-05-19,12745,12967,12388,12924,227523,134321.0,9263510.0
2009-05-20,13190,14260,13101,13503,780045,140342.0,9263510.0
2009-05-21,13680,13769,12922,12924,200640,134321.0,9263510.0
2009-05-22,13056,14037,13056,13280,309452,138026.0,9263510.0
2009-05-25,13368,13591,11407,12567,154399,130615.0,9263510.0
2009-05-26,12611,12789,11898,11943,104106,124131.0,9263510.0
2009-05-27,12343,12343,11586,11765,90838,122278.0,9263510.0
2009-05-28,11496,11808,10649,11676,107626,121352.0,9263510.0
2009-05-29,11586,11719,11185,11720,53488,121815.0,9263510.0
2009-06-01,11675,12343,11586,12166,58629,126447.0,9263510.0
2009-06-02,12254,12433,11808,12032,60129,125057.0,9263510.0
2009-06-03,12032,12833,11764,12700,139344,132005.0,9263510.0
2009-06-04,12878,12878,12343,12344,80641,128300.0,9263510.0
2009-06-05,12477,12967,12076,12924,206596,134321.0,9263510.0
2009-06-08,12700,12833,12299,12299,73543,127836.0,9263510.0
2009-06-09,12566,12789,11496,11498,129150,119499.0,9263510.0
2009-06-10,11496,11853,11319,11631,45619,120889.0,9263510.0
2009-06-11,11764,11764,11496,11498,29062,119499.0,9263510.0
2009-06-12,11496,12566,11496,11765,120156,122278.0,9263510.0
2009-06-15,12032,12032,11764,11899,38696,123668.0,9263510.0
2009-06-16,11541,12433,11541,11943,64602,124131.0,9263510.0
2009-06-17,11942,12120,11719,12122,36913,125984.0,9263510.0
2009-06-18,13903,13903,13903,13904,36595,144823.0,9283510.0
2009-06-19,15953,15953,15953,15954,70207,166175.0,9283510.0
2009-06-22,18314,18314,18314,18316,16359,190776.0,9283510.0
2009-06-23,19830,21033,19161,21035,2373449,219091.0,9283510.0
2009-06-24,21612,21791,17914,19385,3563041,201916.0,9283510.0
2009-06-25,19919,22281,19295,22282,1749825,232088.0,9283510.0
2009-06-26,25624,25624,20811,22193,4558350,231159.0,9283510.0
2009-06-29,22638,25490,22326,25490,1808180,265508.0,9283510.0
2009-06-30,26381,28877,23618,25847,4125689,269222.0,9283510.0
2009-07-01,26113,29723,25712,29724,3158707,309605.0,9283510.0
2009-07-02,30570,33601,29144,31997,4708962,333278.0,9283510.0
2009-07-03,31283,34403,30837,34403,2216101,358343.0,9283510.0
2009-07-06,34581,35204,30971,33423,2532281,348132.0,9283510.0
2009-07-07,33110,33155,28431,28432,2182781,296144.0,9283510.0
2009-07-08,28877,32664,27807,32666,3816674,340241.0,9283510.0
2009-07-09,33467,35294,28965,29546,3899741,307748.0,9283510.0
2009-07-10,30124,30214,25133,25268,2183522,263188.0,9283510.0
2009-07-13,25267,27094,24064,26160,2129979,272471.0,9283510.0
2009-07-14,26604,26826,23172,23351,1455113,243228.0,9283510.0
2009-07-15,24064,26826,22638,26828,3227264,279434.0,9283510.0
2009-07-16,27718,30303,27005,28387,2096775,295680.0,9283510.0
