모바일어플라이언스(087260),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-02-24,5900,7080,5700,5980,20591443,89700.0,15000000.0
2017-02-27,6260,7770,6160,7770,25998055,116550.0,15000000.0
2017-02-28,8050,9700,7820,8650,30052831,129750.0,15000000.0
2017-03-02,8790,8930,8020,8750,10050261,131250.0,15000000.0
2017-03-03,8600,8710,8120,8380,4937844,125700.0,15000000.0
2017-03-06,7890,7960,7450,7860,3805764,117900.0,15000000.0
2017-03-07,7770,9200,7670,8370,13564984,125550.0,15000000.0
2017-03-08,8600,9090,8320,8360,6004143,125400.0,15000000.0
2017-03-09,8420,8460,7620,7680,2730431,115200.0,15000000.0
2017-03-10,7800,8390,7320,7940,4093299,119100.0,15000000.0
2017-03-13,7780,9580,7530,9430,14875020,141450.0,15000000.0
2017-03-14,10100,10300,9430,10000,12521395,150000.0,15000000.0
2017-03-15,9830,13000,9720,13000,12099275,195000.0,15000000.0
2017-03-16,12850,15300,12600,13350,20097449,200250.0,15000000.0
2017-03-17,13450,14050,12950,13400,6635954,201000.0,15000000.0
2017-03-20,13100,13650,12400,13650,3563233,204750.0,15000000.0
2017-03-21,13450,14100,13100,13900,3942961,208500.0,15000000.0
2017-03-22,13400,13500,12600,12750,2570536,191250.0,15000000.0
2017-03-23,13050,13100,12100,12750,1830771,191250.0,15000000.0
2017-03-24,12300,12900,11800,12750,2566416,191250.0,15000000.0
2017-03-27,12300,13050,11900,12500,2074280,187500.0,15000000.0
2017-03-28,12800,13100,12300,12900,2871626,193500.0,15000000.0
2017-03-29,12750,13500,12600,13400,2451919,201000.0,15000000.0
2017-03-30,13300,14300,13100,13900,3217824,208500.0,15000000.0
2017-03-31,13650,14300,13500,14250,1867146,213750.0,15000000.0
2017-04-03,14050,14400,13850,14250,1207295,213750.0,15000000.0
2017-04-04,14550,14650,12750,13100,3029362,196500.0,15000000.0
2017-04-05,13100,13500,12800,13300,1563504,199500.0,15000000.0
