이녹스(088390),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-10-20,4514,4829,3839,3887,2289035,44766.0,5400000.0
2006-10-23,3750,3985,3375,3662,1280791,42174.0,5400000.0
2006-10-24,3662,3792,3479,3526,762936,40608.0,5400000.0
2006-10-25,3610,3662,3403,3409,692151,39258.0,5400000.0
2006-10-26,3431,3459,3310,3329,652685,38340.0,5400000.0
2006-10-27,3267,3272,3061,3095,720573,35640.0,5400000.0
2006-10-30,3136,3183,2972,3010,622321,34668.0,5400000.0
2006-10-31,3061,3258,3000,3109,1246351,35802.0,5400000.0
2006-11-01,3131,3229,3046,3090,991947,35586.0,5400000.0
2006-11-02,3057,3118,3024,3085,632741,35532.0,5400000.0
2006-11-03,3061,3150,2995,3071,768624,35370.0,5400000.0
2006-11-06,3108,3187,3037,3188,902474,41827.0,6151055.0
2006-11-07,3211,3258,2953,2954,647069,38752.0,6151055.0
2006-11-08,2921,3047,2845,2921,898995,38321.0,6151055.0
2006-11-09,2944,2977,2845,2846,342921,37337.0,6151055.0
2006-11-10,2836,2924,2798,2799,547494,36722.0,6151055.0
2006-11-13,2812,2836,2691,2724,411707,35738.0,6151055.0
2006-11-14,2728,2779,2653,2664,529268,34938.0,6151055.0
2006-11-15,2676,2695,2517,2579,657370,33831.0,6151055.0
2006-11-16,2583,2676,2550,2616,685877,34323.0,6151055.0
2006-11-17,2625,2648,2541,2542,480259,33339.0,6151055.0
2006-11-20,2541,2545,2357,2363,638834,31001.0,6151055.0
2006-11-21,2390,2480,2357,2415,628813,31678.0,6151055.0
2006-11-22,2414,2489,2381,2461,437143,32293.0,6151055.0
2006-11-23,2442,2456,2348,2378,433024,31186.0,6151055.0
2006-11-24,2400,2733,2381,2579,2270351,33831.0,6151055.0
2006-11-27,2620,2634,2512,2546,566037,33400.0,6151055.0
2006-11-28,2508,2540,2390,2410,483931,31616.0,6151055.0
2006-11-29,2395,2456,2376,2438,332461,31985.0,6151055.0
2006-11-30,2446,2479,2395,2396,325485,31432.0,6151055.0
2006-12-01,2395,2424,2337,2340,381618,30694.0,6151055.0
2006-12-04,2315,2352,2291,2293,314398,30079.0,6151055.0
2006-12-05,2305,2315,2195,2209,530139,28971.0,6151055.0
2006-12-06,2198,2226,2123,2140,330688,28080.0,6151055.0
2006-12-07,2111,2256,2111,2180,556825,31504.0,6775000.0
2006-12-08,2159,2226,2125,2211,267703,31944.0,6775000.0
2006-12-11,2254,2363,2189,2190,534498,31639.0,6775000.0
2006-12-12,2202,2222,2162,2178,162602,31470.0,6775000.0
2006-12-13,2184,2219,2111,2119,202193,30623.0,6775000.0
2006-12-14,2118,2163,2111,2148,139678,31030.0,6775000.0
2006-12-15,2147,2264,2147,2239,268242,32351.0,6775000.0
2006-12-18,2245,2268,2219,2220,160730,32080.0,6775000.0
2006-12-19,2219,2377,2184,2317,633890,33468.0,6775000.0
2006-12-20,2297,2395,2245,2391,443488,34552.0,6775000.0
2006-12-21,2381,2409,2250,2251,470490,32520.0,6775000.0
2006-12-22,2250,2266,2130,2133,396702,30826.0,6775000.0
