제이티(089790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-10-27,13539,14318,11508,11510,2134505,19283.0,5671410.0
2006-10-30,10782,11983,10494,11171,2550495,18716.0,5671410.0
2006-10-31,11645,12847,11239,12847,3550126,21523.0,5671410.0
2006-11-01,13370,14758,13049,14760,2297244,24727.0,5671410.0
2006-11-02,15571,16959,14233,14235,4778948,23848.0,5671410.0
2006-11-03,14284,14555,12338,12712,2195809,21296.0,5671410.0
2006-11-06,12711,12880,11949,12119,785254,20304.0,5671410.0
2006-11-07,12254,12356,11272,11611,1585138,19453.0,5671410.0
2006-11-08,11679,13270,11645,12762,3266151,21381.0,5671410.0
2006-11-09,12762,12762,11679,11679,816983,19566.0,5671410.0
2006-11-10,11966,12474,11679,11679,1773691,19566.0,5671410.0
2006-11-13,11814,12000,11205,11205,782714,18772.0,5671410.0
2006-11-14,11322,11678,10848,10867,760164,18205.0,5671410.0
2006-11-15,10967,11170,10797,11070,507274,18546.0,5671410.0
2006-11-16,11272,11780,11069,11171,892645,18716.0,5671410.0
2006-11-17,11239,11306,10782,10782,427184,18063.0,5671410.0
2006-11-20,10713,11017,10290,10342,334569,17326.0,5671410.0
2006-11-21,10290,10442,9816,9936,397362,16646.0,5671410.0
2006-11-22,9952,10358,9918,10240,390354,17156.0,5671410.0
2006-11-23,10239,10324,9782,9902,402898,16589.0,5671410.0
2006-11-24,9951,11373,9765,11104,1451998,18602.0,5671410.0
2006-11-27,10560,10933,10154,10190,650643,17071.0,5671410.0
2006-11-28,10154,10425,9951,10156,348594,17014.0,5671410.0
2006-11-29,10154,10323,9985,10122,382056,16958.0,5671410.0
2006-11-30,10189,10426,10037,10291,335838,17241.0,5671410.0
2006-12-01,10612,11086,10291,10291,1011037,17241.0,5671410.0
2006-12-04,10459,10916,10307,10816,419290,18120.0,5671410.0
2006-12-05,10934,10968,10460,10460,370462,17525.0,5671410.0
2006-12-06,10459,10594,10087,10122,347537,16958.0,5671410.0
2006-12-07,10104,10358,10020,10308,226831,17269.0,5671410.0
2006-12-08,10223,10274,9647,9817,237483,16447.0,5671410.0
2006-12-11,9816,9900,9646,9733,153810,16305.0,5671410.0
2006-12-12,9748,9883,9308,9428,241877,15795.0,5671410.0
2006-12-13,9342,9613,9156,9259,160531,15511.0,5671410.0
2006-12-14,9275,9614,9241,9377,143284,15710.0,5671410.0
2006-12-15,9443,9850,9443,9750,189669,16334.0,5671410.0
2006-12-18,9766,10071,9698,9783,92301,16390.0,5671410.0
2006-12-19,9782,10053,9596,9885,171593,16561.0,5671410.0
2006-12-20,9952,10088,9800,9986,111891,16731.0,5671410.0
2006-12-21,10120,10493,9968,10139,208773,16986.0,5671410.0
2006-12-22,9985,10205,9731,9919,140229,16617.0,5671410.0
2006-12-26,9833,9883,9308,9496,148171,15908.0,5671410.0
2006-12-27,9461,10257,9461,9546,201565,15993.0,5671410.0
2006-12-28,9884,9884,9631,9766,54814,16362.0,5671410.0
2007-01-02,9765,9816,9613,9682,52835,16220.0,5671410.0
2007-01-03,9630,9782,9630,9750,49430,16334.0,5671410.0
2007-01-04,9647,9800,9478,9597,112037,16078.0,5671410.0
2007-01-05,9646,9714,9156,9479,105786,15880.0,5671410.0
