코세스(089890),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-11-08,2667,3068,2387,3068,2001040,49374.0,5366688.0
2006-11-09,3141,3518,3131,3518,1616003,56619.0,5366688.0
2006-11-10,3568,4035,3551,4035,856974,64937.0,5366688.0
2006-11-13,4585,4635,4251,4369,1061930,70304.0,5366688.0
2006-11-14,4401,4652,3751,3769,965546,60644.0,5366688.0
2006-11-15,3668,4051,3294,3368,1016778,54204.0,5366688.0
2006-11-16,3451,3868,3434,3869,2015517,62254.0,5366688.0
2006-11-17,4151,4168,3601,3702,1112622,59570.0,5366688.0
2006-11-20,3768,3785,3384,3552,378396,57155.0,5366688.0
2006-11-21,3551,3701,3418,3485,368237,56082.0,5366688.0
2006-11-22,3518,3634,3484,3535,527146,56887.0,5366688.0
2006-11-23,3551,3568,3334,3385,382120,54472.0,5366688.0
2006-11-24,3334,3368,3118,3142,278422,50554.0,5366688.0
2006-11-27,3101,3104,2901,2952,207439,47495.0,5366688.0
2006-11-28,2870,3098,2784,2962,301481,47656.0,5366688.0
2006-11-29,2827,2991,2824,2835,214376,45617.0,5366688.0
2006-11-30,2841,2924,2711,2721,193695,43792.0,5366688.0
2006-12-01,2727,2747,2534,2585,219707,41592.0,5366688.0
2006-12-04,2584,2711,2567,2608,186564,41968.0,5366688.0
2006-12-05,2621,2701,2574,2578,186973,41484.0,5366688.0
2006-12-06,2537,2594,2367,2401,182525,38640.0,5366688.0
2006-12-07,2384,2451,2271,2435,238938,39177.0,5366688.0
2006-12-08,2384,2401,2070,2081,674270,33488.0,5366688.0
2006-12-11,2100,2180,1974,2125,451411,34186.0,5366688.0
2006-12-12,2124,2134,1994,2011,236437,32361.0,5366688.0
2006-12-13,2000,2067,1847,1884,546559,30322.0,5366688.0
2006-12-14,1870,1947,1824,1948,833788,31341.0,5366688.0
2006-12-15,1950,2237,1914,2238,1417159,36010.0,5366688.0
2006-12-18,2387,2477,2274,2298,1255741,36976.0,5366688.0
2006-12-19,2267,2457,2200,2401,869450,38640.0,5366688.0
2006-12-20,2434,2464,2271,2271,471789,36547.0,5366688.0
2006-12-21,2274,2414,2210,2285,518869,36762.0,5366688.0
2006-12-22,2250,2311,2190,2191,308785,35259.0,5366688.0
2006-12-26,2157,2164,1970,2034,261187,32737.0,5366688.0
2006-12-27,2004,2080,1990,2004,195024,32254.0,5366688.0
2006-12-28,2004,2050,1994,2018,198556,32468.0,5366688.0
2007-01-02,2067,2317,2050,2318,406029,37298.0,5366688.0
2007-01-03,2461,2467,2284,2341,672483,37674.0,5366688.0
2007-01-04,2391,2691,2331,2691,1747465,43309.0,5366688.0
2007-01-05,2637,2667,2467,2628,918242,42290.0,5366688.0
2007-01-08,2691,2847,2604,2708,1163030,43578.0,5366688.0
2007-01-09,2667,2801,2511,2518,773807,40518.0,5366688.0
2007-01-10,2497,2514,2394,2465,394155,39660.0,5366688.0
2007-01-11,2464,2691,2451,2638,814549,42451.0,5366688.0
2007-01-12,2684,2757,2617,2698,838259,43417.0,5366688.0
2007-01-15,2721,2807,2524,2525,601883,40626.0,5366688.0
2007-01-16,2524,2651,2421,2635,364085,42397.0,5366688.0
2007-01-17,2601,2617,2467,2468,303641,39713.0,5366688.0
2007-01-18,2434,2521,2344,2368,275068,38103.0,5366688.0
2007-01-19,2291,2444,2197,2201,414058,35420.0,5366688.0
2007-01-22,2200,2291,2200,2285,174378,36762.0,5366688.0
2007-01-23,2254,2317,2150,2168,174495,34883.0,5366688.0
2007-01-24,2184,2247,2184,2198,162671,35366.0,5366688.0
2007-01-25,2244,2397,2244,2298,409389,36976.0,5366688.0
2007-01-26,2247,2284,2207,2275,146110,36601.0,5366688.0
2007-01-29,2304,2364,2250,2268,190701,36493.0,5366688.0
2007-01-30,2267,2304,2220,2301,157211,37030.0,5366688.0
2007-01-31,2337,2337,2220,2221,161959,35742.0,5366688.0
2007-02-01,2247,2264,2150,2198,150902,35366.0,5366688.0
2007-02-02,2194,2250,2184,2235,143508,35957.0,5366688.0
2007-02-05,2267,2281,2217,2245,156018,36118.0,5366688.0
2007-02-06,2230,2250,2190,2201,107020,35420.0,5366688.0
2007-02-07,2214,2240,2177,2181,122960,35098.0,5366688.0
2007-02-08,2197,2227,2137,2168,136290,34883.0,5366688.0
2007-02-09,2144,2180,2090,2101,142478,33810.0,5366688.0
2007-02-12,2067,2084,2017,2044,135035,32898.0,5366688.0
2007-02-13,2034,2127,2034,2101,101329,33810.0,5366688.0
2007-02-14,2120,2140,2060,2088,73156,33595.0,5366688.0
2007-02-15,2150,2150,2040,2054,80324,33059.0,5366688.0
2007-02-16,2057,2080,2020,2071,96370,33327.0,5366688.0
2007-02-20,2034,2134,2024,2115,135946,34025.0,5366688.0
2007-02-21,2114,2431,2100,2431,779147,39123.0,5366688.0
2007-02-22,2467,2564,2347,2415,714013,38855.0,5366688.0
2007-02-23,2464,2607,2384,2385,920990,38372.0,5366688.0
2007-02-26,2374,2591,2351,2591,465485,41699.0,5366688.0
2007-02-27,2534,2597,2381,2388,307629,38425.0,5366688.0
2007-02-28,2140,2281,2137,2185,277026,35152.0,5366688.0
2007-03-02,2167,2281,2167,2198,193908,35366.0,5366688.0
2007-03-05,2154,2234,2114,2128,138611,34239.0,5366688.0
2007-03-06,2134,2207,2117,2161,168046,34776.0,5366688.0
2007-03-07,2200,2434,2180,2331,487509,37513.0,5366688.0
2007-03-08,2341,2417,2260,2385,235005,38372.0,5366688.0
2007-03-09,2404,2417,2301,2358,165666,37942.0,5366688.0
2007-03-12,2474,2554,2401,2418,396878,38908.0,5366688.0
2007-03-13,2474,2474,2374,2385,161238,38372.0,5366688.0
2007-03-14,2311,2431,2281,2385,177447,38372.0,5366688.0
2007-03-15,2437,2471,2371,2375,154089,38211.0,5366688.0
2007-03-16,2387,2694,2344,2495,818281,40143.0,5366688.0
2007-03-19,2491,2671,2471,2651,382916,42665.0,5366688.0
2007-03-20,2684,2801,2567,2668,405099,42934.0,5366688.0
2007-03-21,2704,2757,2614,2625,231458,42236.0,5366688.0
2007-03-22,2624,2661,2494,2505,355589,40304.0,5366688.0
2007-03-23,2484,2557,2427,2551,164617,41055.0,5366688.0
2007-03-26,2631,2857,2584,2638,614633,42451.0,5366688.0
2007-03-27,2621,2657,2551,2605,208125,41914.0,5366688.0
2007-03-28,2631,2714,2544,2561,259047,41216.0,5366688.0
2007-03-29,2567,2634,2551,2588,132532,41645.0,5366688.0
2007-03-30,2601,2654,2567,2605,127769,41914.0,5366688.0
2007-04-02,2611,2721,2611,2615,232834,42075.0,5366688.0
2007-04-03,2634,2674,2584,2608,111328,41968.0,5366688.0
2007-04-04,2651,2661,2584,2588,136726,41645.0,5366688.0
2007-04-05,2594,2594,2517,2521,146742,40572.0,5366688.0
2007-04-06,2534,2534,2451,2451,141104,39445.0,5366688.0
2007-04-09,2431,2481,2421,2455,90296,39499.0,5366688.0
2007-04-10,2437,2564,2437,2491,106497,40089.0,5366688.0
2007-04-11,2484,2537,2461,2475,82619,39821.0,5366688.0
2007-04-12,2497,2497,2417,2425,84501,39016.0,5366688.0
2007-04-13,2434,2464,2394,2401,77328,38640.0,5366688.0
2007-04-16,2384,2457,2384,2418,65361,38908.0,5366688.0
2007-04-17,2464,2464,2371,2371,85787,38157.0,5366688.0
2007-04-18,2357,2427,2354,2405,39477,38694.0,5366688.0
2007-04-19,2404,2404,2301,2301,69315,37030.0,5366688.0
2007-04-20,2301,2351,2281,2318,43885,37298.0,5366688.0
2007-04-23,2367,2497,2321,2375,141680,38211.0,5366688.0
2007-04-24,2411,2444,2367,2375,87339,38211.0,5366688.0
2007-04-25,2401,2401,2204,2301,68519,37030.0,5366688.0
2007-04-26,2301,2324,2204,2235,67251,35957.0,5366688.0
2007-04-27,2200,2234,2184,2228,59716,35849.0,5366688.0
