빅솔론(093190),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-08-20,3123,3474,2655,2655,1354002,51000.0,5000000.0
2007-08-21,2706,2902,2526,2576,746538,49500.0,5000000.0
2007-08-22,2654,2706,2482,2486,227479,47750.0,5000000.0
2007-08-23,2566,2850,2529,2616,763684,50250.0,5000000.0
2007-08-24,2667,2680,2537,2556,161581,49100.0,5000000.0
2007-08-27,2628,2928,2592,2928,446184,56250.0,5000000.0
2007-08-28,2928,3227,2732,2785,565254,53500.0,5000000.0
2007-08-29,2642,2758,2582,2616,169898,50250.0,5000000.0
2007-08-30,2680,2732,2592,2595,135952,49850.0,5000000.0
2007-08-31,2602,2655,2584,2629,52330,50500.0,5000000.0
2007-09-03,2680,2680,2584,2590,77506,49750.0,5000000.0
2007-09-04,2584,2628,2576,2595,38379,49850.0,5000000.0
2007-09-05,2628,2693,2568,2576,46859,49500.0,5000000.0
2007-09-06,2576,2602,2545,2564,35560,49250.0,5000000.0
2007-09-07,2553,2600,2454,2473,55244,47500.0,5000000.0
2007-09-10,2459,2459,2368,2400,23770,46100.0,5000000.0
2007-09-11,2454,2571,2365,2405,37862,46200.0,5000000.0
2007-09-12,2427,2469,2342,2342,32727,45000.0,5000000.0
2007-09-13,2248,2407,2248,2342,20241,45000.0,5000000.0
2007-09-14,2303,2464,2303,2413,28911,46350.0,5000000.0
2007-09-17,2467,2467,2348,2408,18879,46250.0,5000000.0
2007-09-18,2420,2420,2342,2368,23993,45500.0,5000000.0
2007-09-19,2394,2472,2368,2442,57950,46900.0,5000000.0
2007-09-20,2386,2485,2277,2465,67792,47350.0,5000000.0
2007-09-21,2467,2490,2399,2468,21647,47400.0,5000000.0
2007-09-27,2435,2584,2407,2556,39129,49100.0,5000000.0
2007-09-28,2555,2600,2498,2576,18605,49500.0,5000000.0
2007-10-01,2602,2628,2537,2574,24820,49450.0,5000000.0
2007-10-02,2589,2589,2498,2546,19593,48900.0,5000000.0
2007-10-04,2680,2680,2480,2512,13904,48250.0,5000000.0
2007-10-05,2532,2566,2311,2473,35595,47500.0,5000000.0
2007-10-08,2425,2558,2425,2509,16781,48200.0,5000000.0
2007-10-09,2550,2550,2470,2473,19790,47500.0,5000000.0
2007-10-10,2472,2512,2410,2512,7224,48250.0,5000000.0
2007-10-11,2563,2563,2459,2498,11989,48000.0,5000000.0
2007-10-12,2582,2582,2316,2473,16918,47500.0,5000000.0
2007-10-15,2472,2519,2360,2431,9921,46700.0,5000000.0
2007-10-16,2459,2459,2321,2387,20287,45850.0,5000000.0
2007-10-17,2345,2412,2342,2387,3471,45850.0,5000000.0
2007-10-18,2430,2430,2342,2392,17605,45950.0,5000000.0
2007-10-19,2368,2394,2316,2395,10263,46000.0,5000000.0
2007-10-22,2081,2209,2035,2035,151089,39100.0,5000000.0
2007-10-23,2048,2048,1822,1848,95307,35500.0,5000000.0
2007-10-24,1853,1926,1720,1720,126187,33050.0,5000000.0
2007-10-25,1759,1811,1681,1770,106469,34000.0,5000000.0
2007-10-26,1746,1816,1717,1806,23826,34700.0,5000000.0
2007-10-29,1806,1876,1725,1851,81174,35550.0,5000000.0
2007-10-30,1871,1874,1796,1848,22176,35500.0,5000000.0
2007-10-31,1866,1866,1818,1845,29127,35450.0,5000000.0
2007-11-01,1844,1959,1821,1939,34979,37250.0,5000000.0
2007-11-02,1863,1996,1863,1991,19717,38250.0,5000000.0
2007-11-05,1991,2042,1964,2001,15652,38450.0,5000000.0
2007-11-06,1991,2147,1991,2085,101806,40050.0,5000000.0
2007-11-07,2085,2144,2058,2134,24406,41000.0,5000000.0
2007-11-08,2186,2186,2082,2132,20984,40950.0,5000000.0
2007-11-09,2134,2183,2081,2129,37480,40900.0,5000000.0
2007-11-12,2089,2128,2003,2082,28844,40000.0,5000000.0
2007-11-13,2079,2081,1977,2072,29186,39800.0,5000000.0
2007-11-14,2040,2123,2040,2121,8679,40750.0,5000000.0
2007-11-15,2121,2121,2043,2101,8188,40350.0,5000000.0
2007-11-16,2100,2100,2004,2093,3881,40200.0,5000000.0
2007-11-19,2093,2093,2030,2031,6750,39000.0,5000000.0
2007-11-20,2003,2048,1918,2001,124207,38450.0,5000000.0
2007-11-21,2001,2011,1977,2004,21314,38500.0,5000000.0
2007-11-22,2003,2055,1926,1978,3974,38000.0,5000000.0
2007-11-23,2019,2019,1889,1976,46854,37950.0,5000000.0
2007-11-26,1936,2081,1936,2082,33296,40000.0,5000000.0
2007-11-27,2074,2074,1977,2046,6984,39300.0,5000000.0
2007-11-28,2071,2082,2030,2077,7088,39900.0,5000000.0
2007-11-29,2107,2159,2081,2160,52704,41500.0,5000000.0
2007-11-30,2193,2193,2095,2191,11205,42100.0,5000000.0
2007-12-03,2137,2209,2113,2147,4453,41250.0,5000000.0
2007-12-04,2229,2229,2022,2129,17210,40900.0,5000000.0
2007-12-05,2120,2173,2081,2160,7984,41500.0,5000000.0
2007-12-06,2207,2207,2108,2186,4434,42000.0,5000000.0
2007-12-07,2175,2185,2118,2176,1287,41800.0,5000000.0
