푸른기술(094940),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-09-14,7781,8933,7346,8934,980301,53812.0,3750000.0
2007-09-17,10272,10272,10272,10273,35159,61875.0,3750000.0
2007-09-18,10583,10645,8746,8747,594948,52688.0,3750000.0
2007-09-19,7937,8186,7439,7440,879330,44812.0,3750000.0
2007-09-20,7159,7252,6380,6506,692459,39188.0,3750000.0
2007-09-21,6629,7408,6200,6201,821626,37350.0,3750000.0
2007-09-27,6225,6474,6007,6008,395737,36188.0,3750000.0
2007-09-28,6007,6113,5609,5609,401895,33788.0,3750000.0
2007-10-01,5696,5739,5490,5665,268189,34996.0,3845750.0
2007-10-02,5708,5764,4818,5043,351558,31151.0,3845750.0
2007-10-04,4980,5353,4973,5105,229095,31535.0,3845750.0
2007-10-05,5154,5521,5011,5136,272570,31727.0,3845750.0
2007-10-08,5235,5322,4955,5249,177416,32420.0,3845750.0
2007-10-09,5266,5385,4930,5005,100040,30920.0,3845750.0
2007-10-10,4980,5130,4917,5074,136424,31343.0,3845750.0
2007-10-11,5092,5130,4806,4837,98388,29881.0,3845750.0
2007-10-12,4774,4849,4444,4607,122285,28459.0,3845750.0
2007-10-15,4551,4624,3984,3984,353178,24613.0,3845750.0
2007-10-16,3984,4120,3778,3779,276430,23344.0,3845750.0
2007-10-17,3778,4344,3710,3997,1444146,24690.0,3845750.0
2007-10-18,3996,4102,3815,4016,350240,24805.0,3845750.0
2007-10-19,4077,4612,4058,4420,925930,27305.0,3845750.0
2007-10-22,4052,4258,3859,4016,318832,24805.0,3845750.0
2007-10-23,4195,4457,4083,4196,390283,25920.0,3845750.0
2007-10-24,4195,4326,3909,3910,225155,24151.0,3845750.0
2007-10-25,4009,4070,3884,3941,93254,24344.0,3845750.0
2007-10-26,3940,4039,3897,3997,110262,25118.0,3912415.0
2007-10-29,4064,4401,4045,4233,210261,26604.0,3912415.0
2007-10-30,4283,4451,4083,4346,147717,27309.0,3912415.0
2007-10-31,4407,4898,4264,4626,276752,29069.0,3912415.0
2007-11-01,4674,4793,4519,4557,102247,28639.0,3912415.0
2007-11-02,4544,4557,4270,4327,109053,27191.0,3912415.0
2007-11-05,4401,4438,4195,4202,92978,26409.0,3912415.0
2007-11-06,4208,4289,4170,4183,38012,26291.0,3912415.0
2007-11-07,4233,4806,4183,4806,167611,30204.0,3912415.0
2007-11-08,4955,5253,4482,4482,659158,28169.0,3912415.0
2007-11-09,4606,5042,4551,4931,437133,30986.0,3912415.0
2007-11-12,4855,5023,4668,4781,224956,30047.0,3912415.0
2007-11-13,4737,4874,4258,4371,219338,27465.0,3912415.0
2007-11-14,4538,4538,4332,4396,102777,27622.0,3912415.0
2007-11-15,4332,4413,3903,3984,252351,25039.0,3912415.0
2007-11-16,3890,4064,3822,4028,105080,25313.0,3912415.0
2007-11-19,4170,4170,3890,4003,68581,25157.0,3912415.0
2007-11-20,3922,4015,3840,3947,52680,24805.0,3912415.0
2007-11-21,3996,3996,3872,3941,54414,24766.0,3912415.0
2007-11-22,3953,4064,3853,3860,46390,24257.0,3912415.0
2007-11-23,3872,3915,3466,3673,77613,23083.0,3912415.0
2007-11-26,3673,3784,3579,3711,41559,23318.0,3912415.0
