미래나노텍(095500),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-10-01,13423,14129,11409,11409,1235603,153553.0,4753951.0
2007-10-02,11586,11745,10668,11268,448908,151651.0,4753951.0
2007-10-04,11408,11691,10614,10774,205480,144996.0,4753951.0
2007-10-05,10261,10562,9166,9166,643698,123365.0,4753951.0
2007-10-08,8919,9219,8442,9166,320269,123365.0,4753951.0
2007-10-09,9165,9678,8848,9255,205324,124554.0,4753951.0
2007-10-10,9396,9643,8760,9184,153206,123603.0,4753951.0
2007-10-11,9042,9289,8053,8213,217017,110529.0,4753951.0
2007-10-12,8213,8336,7206,7347,251159,98882.0,4753951.0
2007-10-15,7418,8442,7206,7912,366965,106489.0,4753951.0
2007-10-16,7648,7771,6923,6923,266060,93177.0,4753951.0
2007-10-17,6887,7170,6710,6959,161940,93653.0,4753951.0
2007-10-18,7117,7611,7064,7524,161656,101259.0,4753951.0
2007-10-19,7683,8301,7418,7771,165755,104587.0,4753951.0
2007-10-22,7293,7399,7064,7153,120427,96268.0,4753951.0
2007-10-23,7277,7418,6782,6870,106065,92464.0,4753951.0
2007-10-24,7118,7118,6305,6305,113109,114905.0,6437260.0
2007-10-25,6464,6888,6093,6146,334834,112008.0,6437260.0
2007-10-26,6217,6411,6040,6146,233378,112008.0,6437260.0
2007-10-29,6357,6693,6216,6394,311941,116514.0,6437260.0
2007-10-30,6393,6463,6022,6023,176379,109755.0,6437260.0
2007-10-31,6075,6128,5863,6023,179802,109755.0,6437260.0
2007-11-01,6076,6129,5652,5793,206296,105571.0,6437260.0
2007-11-02,5598,5739,5474,5546,205959,101065.0,6437260.0
2007-11-05,5651,6057,5598,5599,255072,102031.0,6437260.0
2007-11-06,5616,6023,5563,5881,309980,107180.0,6437260.0
2007-11-07,5881,5917,5616,5616,132824,102352.0,6437260.0
2007-11-08,5457,5634,5440,5510,116040,100421.0,6437260.0
2007-11-09,5616,5775,5475,5475,108959,99778.0,6437260.0
2007-11-12,5368,5810,5368,5599,114839,102031.0,6437260.0
2007-11-13,5669,5899,5528,5722,114886,104284.0,6437260.0
2007-11-14,5810,5951,5651,5758,94010,104927.0,6437260.0
2007-11-15,5810,5810,5615,5652,53835,102996.0,6437260.0
2007-11-16,5634,5634,5440,5581,72239,101709.0,6437260.0
2007-11-19,5651,5951,5598,5758,85688,104927.0,6437260.0
2007-11-20,5687,5758,5457,5722,70084,104284.0,6437260.0
2007-11-21,5757,5792,5509,5546,91624,101065.0,6437260.0
2007-11-22,5474,6039,5439,5864,167268,106859.0,6437260.0
2007-11-23,5917,5934,5369,5475,129499,99778.0,6437260.0
2007-11-26,5546,5634,5404,5422,94680,98812.0,6437260.0
2007-11-27,5369,5369,4945,5104,123938,93018.0,6437260.0
2007-11-28,5192,5280,5121,5122,69903,93340.0,6437260.0
2007-11-29,5192,5298,5139,5246,70348,95593.0,6437260.0
2007-11-30,5245,5403,5192,5281,53269,96237.0,6437260.0
2007-12-03,5280,5403,5156,5175,31817,94306.0,6437260.0
2007-12-04,5228,5687,5193,5475,254676,99778.0,6437260.0
2007-12-05,5563,5828,5440,5722,67603,104489.0,6449917.0
2007-12-06,5740,5758,5546,5669,47845,103521.0,6449917.0
2007-12-07,5793,5899,5599,5687,52933,103844.0,6449917.0
2007-12-10,5669,5793,5581,5616,28831,102554.0,6449917.0
2007-12-11,5616,5864,5440,5528,172668,100941.0,6449917.0
2007-12-12,5493,5546,5387,5422,52337,99006.0,6449917.0
2007-12-13,5475,5652,5351,5510,43847,100619.0,6449917.0
2007-12-14,5510,5616,5369,5422,54089,99006.0,6449917.0
2007-12-17,5421,5439,5139,5193,42513,94814.0,6449917.0
2007-12-18,5192,5298,4997,5140,63741,93846.0,6449917.0
2007-12-20,5139,5209,4962,5069,53260,92556.0,6449917.0
2007-12-21,5068,5086,4732,4769,101650,87074.0,6449917.0
2007-12-24,4768,4821,4679,4769,89264,87074.0,6449917.0
2007-12-26,4804,4804,4663,4733,104751,86429.0,6449917.0
