에스맥(097780),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-01-23,315,361,279,319,1833447,20376.0,5905961.0
2008-01-24,328,331,301,301,224498,19253.0,5905961.0
2008-01-25,308,346,293,347,251776,22118.0,5905961.0
2008-01-28,369,398,363,399,705432,25425.0,5905961.0
2008-01-29,420,434,378,404,961812,25750.0,5905961.0
2008-01-30,403,463,384,464,707134,29589.0,5905961.0
2008-01-31,448,532,443,533,1116521,34018.0,5905961.0
2008-02-01,553,564,454,478,900094,30475.0,5905961.0
2008-02-04,474,495,434,463,376595,29530.0,5905961.0
2008-02-05,461,530,456,507,499925,32365.0,5905961.0
2008-02-11,494,580,494,512,634032,32660.0,5905961.0
2008-02-12,522,526,478,494,268827,31538.0,5905961.0
2008-02-13,508,520,480,499,238577,31833.0,5905961.0
2008-02-14,495,554,492,536,312297,34196.0,5905961.0
2008-02-15,525,550,517,536,127999,34196.0,5905961.0
2008-02-18,554,567,534,535,157575,34136.0,5905961.0
2008-02-19,536,541,521,534,76540,34077.0,5905961.0
2008-02-20,531,536,490,509,120763,32483.0,5905961.0
2008-02-21,508,519,471,499,166858,31833.0,5905961.0
2008-02-22,531,572,519,573,301273,36558.0,5905961.0
2008-02-25,616,655,586,601,1407842,38389.0,5905961.0
2008-02-26,604,605,554,562,343459,35849.0,5905961.0
2008-02-27,561,606,558,586,217851,37385.0,5905961.0
2008-02-28,585,624,582,615,376207,39216.0,5905961.0
2008-02-29,614,617,592,614,126237,39157.0,5905961.0
2008-03-03,596,609,583,592,77605,37798.0,5905961.0
2008-03-04,591,614,586,592,90713,37798.0,5905961.0
2008-03-05,597,626,592,601,109477,39949.0,6145961.0
2008-03-06,608,612,591,610,90178,40502.0,6145961.0
2008-03-07,608,639,596,628,186660,41670.0,6145961.0
2008-03-10,615,691,609,620,538239,41116.0,6145961.0
2008-03-11,592,616,592,602,123662,40010.0,6145961.0
2008-03-12,619,619,585,597,117289,39641.0,6145961.0
2008-03-13,589,598,565,568,90851,37736.0,6145961.0
2008-03-14,571,580,539,546,114855,36261.0,6145961.0
2008-03-17,527,540,465,504,132337,33495.0,6145961.0
2008-03-18,501,510,479,492,97263,32697.0,6145961.0
2008-03-19,506,534,506,523,112320,34725.0,6145961.0
2008-03-20,510,526,506,516,68060,34294.0,6145961.0
2008-03-21,531,531,511,526,51072,34971.0,6145961.0
2008-03-24,517,540,511,541,48459,35892.0,6145961.0
2008-03-25,542,597,540,574,145767,38105.0,6145961.0
2008-03-26,576,581,563,572,38999,37982.0,6145961.0
2008-03-27,568,576,557,569,52719,37798.0,6145961.0
2008-03-28,559,568,555,569,59036,37798.0,6145961.0
2008-03-31,568,585,568,583,66051,38720.0,6145961.0
2008-04-01,582,586,563,583,57000,38720.0,6145961.0
2008-04-02,628,637,597,600,160506,39887.0,6145961.0
2008-04-03,607,682,602,646,480661,42899.0,6145961.0
2008-04-04,652,672,627,657,156892,43636.0,6145961.0
2008-04-07,656,703,631,632,387879,41977.0,6145961.0
2008-04-08,633,674,633,667,190956,44312.0,6145961.0
2008-04-10,666,766,660,703,986252,46709.0,6145961.0
2008-04-11,716,764,697,765,408340,50766.0,6145961.0
2008-04-14,772,795,730,732,387815,48615.0,6145961.0
2008-04-15,747,811,740,811,573158,53839.0,6145961.0
2008-04-16,840,860,739,821,548669,54515.0,6145961.0
2008-04-17,831,840,788,807,237208,53593.0,6145961.0
