ITX엠투엠(099520),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-12-22,5191,5970,5170,5972,2575283,48788.0,5733000.0
2009-12-23,5500,5556,5079,5080,2198706,41507.0,5733000.0
2009-12-24,4910,4987,4392,4420,1254429,36118.0,5733000.0
2009-12-28,4427,4455,4076,4112,614595,33595.0,5733000.0
2009-12-29,4110,4216,3991,4021,244351,32850.0,5733000.0
2009-12-30,4019,4216,3956,4069,412326,33251.0,5733000.0
2010-01-04,4061,4160,4019,4141,253811,33825.0,5733000.0
2010-01-05,4188,4230,4076,4118,336861,33653.0,5733000.0
2010-01-06,4160,4244,4104,4126,292606,33710.0,5733000.0
2010-01-07,4146,4146,3907,3937,345730,32162.0,5733000.0
2010-01-08,3942,4005,3802,3860,167812,31532.0,5733000.0
2010-01-11,3865,3963,3823,3894,249176,38479.0,6933096.0
2010-01-12,3893,3999,3893,3909,145594,38617.0,6933096.0
2010-01-13,3893,4005,3837,3943,223550,38964.0,6933096.0
2010-01-14,4027,4027,3893,3943,117688,38964.0,6933096.0
2010-01-15,3963,4005,3900,3930,124572,38825.0,6933096.0
2010-01-18,3928,4188,3893,4141,392492,40905.0,6933096.0
2010-01-19,4174,4300,4096,4118,355843,40697.0,6933096.0
2010-01-20,4118,4174,3942,3979,200319,39311.0,6933096.0
2010-01-21,3977,4041,3928,4014,128314,39657.0,6933096.0
2010-01-22,3963,3991,3852,3894,144782,38479.0,6933096.0
2010-01-25,3823,3914,3809,3817,115090,37716.0,6933096.0
2010-01-26,3858,3879,3504,3529,202149,34873.0,6933096.0
2010-01-27,3556,3556,3304,3420,144664,33799.0,6933096.0
2010-01-28,3462,3535,3371,3435,79522,33938.0,6933096.0
2010-01-29,3371,3401,3170,3172,132204,31338.0,6933096.0
2010-02-01,3192,3192,3107,3158,69076,31199.0,6933096.0
2010-02-02,3184,3451,3177,3245,191709,32066.0,6933096.0
2010-02-03,3286,3401,3286,3365,89636,33244.0,6933096.0
2010-02-04,3384,3430,3304,3407,65843,33660.0,6933096.0
2010-02-05,3254,3668,3226,3460,313194,34180.0,6933096.0
2010-02-08,3472,3550,3297,3298,65020,32586.0,6933096.0
2010-02-09,3262,3349,3086,3294,128561,32551.0,6933096.0
2010-02-10,3324,3331,3226,3270,42533,32308.0,6933096.0
2010-02-11,3269,3401,3248,3372,44116,33314.0,6933096.0
2010-02-12,3437,3448,3363,3382,30855,33418.0,6933096.0
2010-02-16,3401,3613,3359,3509,99279,34665.0,6933096.0
2010-02-17,3535,3620,3472,3564,93111,35220.0,6933096.0
2010-02-18,3563,3591,3437,3494,72369,34527.0,6933096.0
2010-02-19,3437,3504,3346,3417,41353,33764.0,6933096.0
2010-02-22,3451,3458,3371,3420,24128,33799.0,6933096.0
2010-02-23,3412,3454,3367,3372,25057,33314.0,6933096.0
2010-02-24,3424,3424,3269,3305,48537,32655.0,6933096.0
2010-02-25,3304,3367,3275,3277,35914,32378.0,6933096.0
2010-02-26,3282,3331,3250,3311,21410,32724.0,6933096.0
2010-03-02,3297,3374,3156,3220,48797,31823.0,6933096.0
2010-03-03,3220,3282,3196,3235,22061,31962.0,6933096.0
2010-03-04,3234,3275,3177,3270,31849,32308.0,6933096.0
2010-03-05,3269,3290,3230,3253,10128,32135.0,6933096.0
2010-03-08,3290,3290,3205,3249,41339,32100.0,6933096.0
2010-03-09,3237,3286,3226,3238,27380,31996.0,6933096.0
2010-03-10,3297,3388,3237,3285,58424,32447.0,6933096.0
2010-03-11,3269,3353,3248,3277,46295,32378.0,6933096.0
2010-03-12,3290,3318,3226,3235,42352,31962.0,6933096.0
2010-03-15,3230,3282,3192,3217,31717,31788.0,6933096.0
2010-03-16,3196,3226,3192,3207,59498,31684.0,6933096.0
2010-03-17,3241,3241,3192,3192,52931,31546.0,6933096.0
2010-03-18,3258,3363,3226,3228,178624,31892.0,6933096.0
2010-03-19,3234,3371,3234,3351,180654,33106.0,6933096.0
2010-03-22,3377,3571,3304,3481,179011,34388.0,6933096.0
2010-03-23,3478,3500,3395,3417,91797,33764.0,6933096.0
2010-03-24,3500,3500,3226,3347,131699,33071.0,6933096.0
2010-03-25,3331,3359,3248,3273,58449,32343.0,6933096.0
2010-03-26,3282,3331,3262,3273,108645,32343.0,6933096.0
2010-03-29,3226,3275,3196,3253,78090,32135.0,6933096.0
2010-03-30,3307,3307,3143,3172,140026,31338.0,6933096.0
2010-03-31,3220,3220,3156,3164,31284,31268.0,6933096.0
2010-04-01,3241,3248,3160,3161,65417,31234.0,6933096.0
2010-04-02,3170,3220,3131,3158,62155,31199.0,6933096.0
2010-04-05,3156,3156,2918,2964,107456,29292.0,6933096.0
2010-04-06,2967,3016,2560,2751,140251,27178.0,6933096.0
2010-04-07,2770,2845,2703,2764,123680,27316.0,6933096.0
2010-04-08,2764,2795,2694,2708,74954,26762.0,6933096.0
2010-04-09,2732,2756,2609,2674,146293,26415.0,6933096.0
2010-04-12,2700,2700,2574,2638,111285,26068.0,6933096.0
2010-04-13,2637,2651,2574,2617,84213,25860.0,6933096.0
2010-04-14,2617,2822,2605,2755,124959,27212.0,6933096.0
2010-04-15,2760,2861,2742,2755,76395,27212.0,6933096.0
2010-04-16,2749,2781,2619,2635,70201,26034.0,6933096.0
2010-04-19,2602,2679,2524,2586,47213,25548.0,6933096.0
2010-04-20,2570,2617,2437,2478,261419,24474.0,6933096.0
2010-04-21,2514,2585,2458,2540,263829,25098.0,6933096.0
2010-04-22,2581,2585,2483,2586,123103,25548.0,6933096.0
2010-04-23,2637,2637,2564,2564,89950,25340.0,6933096.0
2010-04-26,2560,2659,2556,2628,102547,25964.0,6933096.0
2010-04-27,2633,2903,2633,2757,254399,27247.0,6933096.0
