머큐리(100590),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-14,9630,10200,7800,7800,13443311,115156.0,14763600.0
2018-12-17,7850,9120,7810,8200,8495871,121062.0,14763600.0
2018-12-18,8140,8190,7040,7170,2265832,105855.0,14763600.0
2018-12-19,7020,7530,6930,7120,1569756,105117.0,14763600.0
2018-12-20,7350,8940,7330,8140,10151855,120176.0,14763600.0
2018-12-21,7950,10550,7860,10550,15304830,155756.0,14763600.0
2018-12-24,10500,12700,10300,11050,13098217,163138.0,14763600.0
2018-12-26,10800,11950,10600,11100,5309311,163876.0,14763600.0
2018-12-27,11150,11850,10900,11350,4179202,167567.0,14763600.0
2018-12-28,11300,12350,10200,10350,6409718,152803.0,14763600.0
2019-01-02,10600,11350,10200,10650,3518559,157232.0,14763600.0
2019-01-03,11400,12500,10650,11300,8374530,166829.0,14763600.0
2019-01-04,12050,12500,11350,12000,4124628,177163.0,14763600.0
2019-01-07,12250,14000,11500,13400,4363702,197832.0,14763600.0
2019-01-08,13200,14500,12750,13550,6487734,200047.0,14763600.0
2019-01-09,13700,14050,13150,13150,1801552,194141.0,14763600.0
2019-01-10,13300,13600,12250,12350,2045108,182330.0,14763600.0
2019-01-11,12550,12750,11900,12600,1860746,186021.0,14763600.0
2019-01-14,12450,12600,11200,11250,2289361,166090.0,14763600.0
2019-01-15,11300,11850,11050,11350,2190492,167567.0,14763600.0
2019-01-16,11400,11500,10750,11000,1628597,162400.0,14763600.0
2019-01-17,11100,11250,10400,10500,1493924,155018.0,14763600.0
2019-01-18,10700,11150,10400,10850,1530465,160185.0,14763600.0
2019-01-21,10950,11600,10500,11450,1874756,169043.0,14763600.0
2019-01-22,11350,11550,10950,10950,963286,161661.0,14763600.0
2019-01-23,10950,10950,10600,10750,623247,158709.0,14763600.0
2019-01-24,10700,11400,10500,11000,1446626,162400.0,14763600.0
2019-01-25,11250,12350,11150,11450,5650446,169043.0,14763600.0
2019-01-28,11500,11650,11100,11100,912883,163876.0,14763600.0
2019-01-29,11050,11450,10950,11250,848064,166090.0,14763600.0
2019-01-30,11250,11400,10650,10700,1001815,157971.0,14763600.0
2019-01-31,10800,11050,10500,10850,662832,160185.0,14763600.0
2019-02-01,10800,10850,10450,10450,573748,154280.0,14763600.0
2019-02-07,10500,10650,10400,10650,278985,157232.0,14763600.0
2019-02-08,10700,10900,10550,10700,318358,157971.0,14763600.0
2019-02-11,10750,11200,10650,11200,774877,165352.0,14763600.0
2019-02-12,11250,11450,11000,11300,817963,166829.0,14763600.0
2019-02-13,11450,11550,11100,11250,497014,166090.0,14763600.0
2019-02-14,11400,11750,11250,11650,934900,171996.0,14763600.0
2019-02-15,11600,11900,11500,11550,780731,170520.0,14763600.0
2019-02-18,11700,11700,11200,11200,604365,165352.0,14763600.0
2019-02-19,11750,11850,11150,11200,1452807,165352.0,14763600.0
2019-02-20,11300,11400,11100,11250,471957,166090.0,14763600.0
2019-02-21,11350,11350,10650,10700,474721,157971.0,14763600.0
2019-02-22,10600,10950,10550,10800,291700,159447.0,14763600.0
2019-02-25,10900,11400,10750,11050,431392,163138.0,14763600.0
2019-02-26,11100,11200,10850,10900,188811,160923.0,14763600.0
2019-02-27,10950,11150,10800,10800,190614,159447.0,14763600.0
2019-02-28,10800,11150,10700,10800,472596,159447.0,14763600.0
2019-03-04,11150,11450,11000,11450,716470,169043.0,14763600.0
2019-03-05,11350,11650,11200,11550,507929,170520.0,14763600.0
2019-03-06,11500,11600,11250,11300,290885,166829.0,14763600.0
2019-03-07,11300,11350,10750,10900,399442,160923.0,14763600.0
2019-03-08,10700,11200,10650,10850,247123,160185.0,14763600.0
2019-03-11,10850,11200,10700,10900,406613,160923.0,14763600.0
2019-03-12,11150,11200,10850,10950,342864,161661.0,14763600.0
2019-03-13,11000,11000,10700,10850,292570,160185.0,14763600.0
2019-03-14,10900,10950,10600,10750,384497,158709.0,14763600.0
2019-03-15,10800,12100,10700,11900,3176141,175687.0,14763600.0
2019-03-18,11800,12700,11750,12450,3135543,183807.0,14763600.0
2019-03-19,12650,12850,12300,12750,1799238,188236.0,14763600.0
2019-03-20,12950,13000,12350,12550,1232667,185283.0,14763600.0
2019-03-21,12600,12800,11900,12050,1038390,177901.0,14763600.0
2019-03-22,12050,12550,11900,12150,919085,179378.0,14763600.0
2019-03-25,11850,12600,11750,11750,841879,173472.0,14763600.0
2019-03-26,11900,12400,11750,12300,796097,181592.0,14763600.0
2019-03-27,12500,12600,11950,12350,807853,182330.0,14763600.0
2019-03-28,12400,12550,11950,11950,528225,176425.0,14763600.0
2019-03-29,12050,12150,10400,10950,1455780,161661.0,14763600.0
2019-04-01,10950,11150,10700,11050,534546,163138.0,14763600.0
2019-04-02,11150,11400,10950,11250,606395,166090.0,14763600.0
2019-04-03,11200,11200,10900,10900,385154,160923.0,14763600.0
2019-04-04,11100,11600,10900,11000,806213,162400.0,14763600.0
2019-04-05,11100,11150,10850,11000,312603,162400.0,14763600.0
2019-04-08,11100,11400,10900,11250,494604,166090.0,14763600.0
2019-04-09,11500,13950,11500,12900,11827242,190450.0,14763600.0
2019-04-10,12950,14100,12700,13200,4981941,194880.0,14763600.0
2019-04-11,13400,13400,12900,13350,1521999,197094.0,14763600.0
2019-04-12,13200,14350,13000,13550,3742582,200047.0,14763600.0
2019-04-15,13600,14150,13500,13800,2026226,203738.0,14763600.0
2019-04-16,13550,13600,12800,13050,1345079,192665.0,14763600.0
2019-04-17,13250,14850,12900,13850,5925194,204476.0,14763600.0
2019-04-18,13750,13850,13050,13100,1155331,193403.0,14763600.0
2019-04-19,13250,13600,12650,12750,947085,188236.0,14763600.0
2019-04-22,12800,13050,12600,12950,489516,191189.0,14763600.0
2019-04-23,13000,13000,12450,12550,506748,185283.0,14763600.0
2019-04-24,12600,13100,12400,12600,836631,186021.0,14763600.0
2019-04-25,12600,12700,12150,12250,500639,180854.0,14763600.0
2019-04-26,12200,12300,11700,11900,458935,175687.0,14763600.0
2019-04-29,11950,12750,11950,12600,525016,186021.0,14763600.0
2019-04-30,12750,13100,12650,12650,915096,186760.0,14763600.0
2019-05-02,12600,13350,12450,13000,860302,191927.0,14763600.0
2019-05-03,13000,13300,12800,13200,458680,194880.0,14763600.0
2019-05-07,12750,13250,12550,12600,448121,186021.0,14763600.0
2019-05-08,12450,12850,12300,12550,370753,185283.0,14763600.0
2019-05-09,12550,12900,11850,12000,465738,177163.0,14763600.0
2019-05-10,12000,12400,11500,12150,485833,179378.0,14763600.0
2019-05-13,14550,15750,13600,15100,10503947,222930.0,14763600.0
2019-05-14,14850,15250,13050,13200,5135947,194880.0,14763600.0
2019-05-15,13400,14150,13200,13450,3651660,198570.0,14763600.0
2019-05-16,13500,13500,12350,12400,1369281,183069.0,14763600.0
2019-05-17,12500,12800,11850,11950,854055,176425.0,14763600.0
2019-05-20,11900,12250,11600,11600,658612,171258.0,14763600.0
2019-05-21,11950,12150,11500,11750,792749,173472.0,14763600.0
2019-05-22,12000,12250,11850,12100,573205,178640.0,14763600.0
2019-05-23,12200,13100,12000,12150,1474191,179378.0,14763600.0
2019-05-24,12050,12350,11800,12000,479337,177163.0,14763600.0
2019-05-27,12200,12700,12150,12650,853644,186760.0,14763600.0
2019-05-28,12650,12950,12450,12900,864786,190450.0,14763600.0
2019-05-29,13450,13700,12600,12650,2152673,186760.0,14763600.0
2019-05-30,12900,12950,12100,12200,849088,180116.0,14763600.0
2019-05-31,12250,12550,12100,12150,503390,179378.0,14763600.0
2019-06-03,11850,12050,11750,11900,468420,175687.0,14763600.0
2019-06-04,11850,12050,11500,11550,667176,170520.0,14763600.0
2019-06-05,11650,11700,11400,11500,340906,169781.0,14763600.0
2019-06-07,11500,11900,11450,11850,508750,174949.0,14763600.0
2019-06-10,11900,12700,11800,12700,1156046,187498.0,14763600.0
2019-06-11,12800,12850,12150,12450,630770,183807.0,14763600.0
2019-06-12,12550,12650,12050,12200,631934,180116.0,14763600.0
2019-06-13,12200,12450,12000,12250,485928,180854.0,14763600.0
2019-06-14,12250,12350,11900,12000,276177,177163.0,14763600.0
2019-06-17,11900,12200,11850,12100,279558,178640.0,14763600.0
2019-06-18,12050,12350,11950,12050,321279,177901.0,14763600.0
2019-06-19,12150,12300,11950,12050,311656,177901.0,14763600.0
2019-06-20,12050,12200,11900,11950,223799,176425.0,14763600.0
2019-06-21,11950,12200,11850,11950,272079,176425.0,14763600.0
2019-06-24,11950,12000,11600,11650,268173,171996.0,14763600.0
2019-06-25,11900,12000,11600,11700,189805,172734.0,14763600.0
2019-06-26,11600,11900,11600,11650,178571,171996.0,14763600.0
2019-06-27,11650,11750,11050,11100,308883,163876.0,14763600.0
2019-06-28,11100,11250,10550,10650,286769,157232.0,14763600.0
2019-07-01,10650,10950,10550,10700,172642,157971.0,14763600.0
2019-07-02,10650,10850,10600,10800,104111,159447.0,14763600.0
2019-07-03,10750,10850,10700,10750,108956,158709.0,14763600.0
2019-07-04,10700,11150,10700,10950,170410,161661.0,14763600.0
2019-07-05,10950,11100,10700,10850,85267,160185.0,14763600.0
2019-07-08,10750,10850,9790,9840,402434,145274.0,14763600.0
2019-07-09,9710,9990,9500,9500,315291,140254.0,14763600.0
2019-07-10,9400,9930,9400,9750,190278,143945.0,14763600.0
2019-07-11,9750,10150,9750,9850,137783,145421.0,14763600.0
2019-07-12,9850,10100,9850,10100,111554,149112.0,14763600.0
2019-07-15,10100,10100,9640,9650,164649,142469.0,14763600.0
2019-07-16,9650,9780,9430,9520,121219,140549.0,14763600.0
2019-07-17,9450,9450,9040,9150,191255,135087.0,14763600.0
2019-07-18,9080,9280,9010,9100,144831,134349.0,14763600.0
2019-07-19,9050,9240,9050,9180,71873,135530.0,14763600.0
2019-07-22,9190,9280,9140,9220,63219,136120.0,14763600.0
2019-07-23,9230,9750,8870,8870,527586,130953.0,14763600.0
2019-07-24,8870,9060,8600,8610,161722,127115.0,14763600.0
2019-07-25,8510,8810,8500,8520,125619,125786.0,14763600.0
2019-07-26,8470,8710,8350,8410,100631,124162.0,14763600.0
2019-07-29,8330,8390,7800,7800,208784,115156.0,14763600.0
2019-07-30,7800,8660,7800,8520,307349,125786.0,14763600.0
2019-07-31,8350,8520,8070,8470,107910,125048.0,14763600.0
2019-08-01,8400,8430,8150,8150,83966,120323.0,14763600.0
2019-08-02,7920,8300,7830,8090,81693,119438.0,14763600.0
2019-08-05,7980,8100,7070,7120,269756,105117.0,14763600.0
2019-08-06,6800,7380,6710,6900,315320,101869.0,14763600.0
2019-08-07,7190,7350,7060,7330,175493,108217.0,14763600.0
2019-08-08,7350,7790,7350,7780,130060,114861.0,14763600.0
2019-08-09,7990,7990,7640,7790,129600,115008.0,14763600.0
2019-08-12,7800,7890,7640,7830,72990,115599.0,14763600.0
2019-08-13,7690,7830,7650,7810,46433,115304.0,14763600.0
2019-08-14,7830,8050,7810,7860,79493,116042.0,14763600.0
2019-08-16,7720,7850,7560,7560,65055,111613.0,14763600.0
2019-08-19,7560,9230,7560,8360,1826459,123424.0,14763600.0
2019-08-20,8620,8630,8250,8460,251001,124900.0,14763600.0
2019-08-21,8500,8740,8300,8500,338936,125491.0,14763600.0
2019-08-22,8940,9860,8530,8530,2680320,125934.0,14763600.0
2019-08-23,8410,8460,8100,8250,335524,121800.0,14763600.0
2019-08-26,8000,8760,7730,7810,1178138,115304.0,14763600.0
2019-08-27,7910,8330,7910,8070,505792,119142.0,14763600.0
2019-08-28,8020,8260,8020,8190,219873,120914.0,14763600.0
