상상인인더스트리(101000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-11-06,7700,8011,6557,6595,2078797,21042.0,4334000.0
2009-11-09,6720,7127,6594,6615,733625,21107.0,4334000.0
2009-11-10,6662,6662,5765,5916,721676,18875.0,4334000.0
2009-11-11,6095,6105,5292,5719,240170,18246.0,4334000.0
2009-11-12,5715,5809,5654,5719,132079,18246.0,4334000.0
2009-11-13,5740,5826,5358,5393,233044,17206.0,4334000.0
2009-11-16,5349,6096,5252,5257,476094,23449.0,6059272.0
2009-11-17,5411,5574,5093,5162,318940,23025.0,6059272.0
2009-11-18,5225,5265,5020,5032,296911,22450.0,6059272.0
2009-11-19,5047,5089,4706,4727,290561,21086.0,6059272.0
2009-11-20,4697,5392,4631,5060,1250354,22571.0,6059272.0
2009-11-23,5074,5078,4801,4809,230360,21450.0,6059272.0
2009-11-24,4815,4918,4609,4639,163549,20692.0,6059272.0
2009-11-25,4655,4736,4422,4489,124228,20026.0,6059272.0
2009-11-26,4545,4818,4448,4496,297861,20056.0,6059272.0
2009-11-27,4475,4585,4274,4292,208983,19147.0,6059272.0
2009-11-30,4342,4607,4342,4394,101400,19602.0,6059272.0
2009-12-01,4464,4660,4304,4537,176146,20238.0,6059272.0
2009-12-02,4639,5048,4612,4837,235588,21571.0,6059272.0
2009-12-03,4744,4923,4744,4870,97661,21722.0,6059272.0
2009-12-04,4899,5350,4763,5148,321161,22965.0,6059272.0
2009-12-07,5110,5653,5110,5365,350083,23934.0,6059272.0
2009-12-08,5406,5412,5073,5080,146849,22662.0,6059272.0
2009-12-09,4978,5100,4858,5026,101518,22419.0,6059272.0
2009-12-10,5032,5773,5016,5562,930897,24813.0,6059272.0
2009-12-11,5629,6358,5441,5977,454236,26661.0,6059272.0
2009-12-14,5976,6103,5746,5841,130794,26055.0,6059272.0
2009-12-15,5795,6095,5721,5908,196316,26358.0,6059272.0
2009-12-16,5936,6310,5873,5936,236458,26479.0,6059272.0
2009-12-17,6051,6051,5802,5936,116806,26479.0,6059272.0
2009-12-18,5859,6165,5831,5916,128388,26388.0,6059272.0
2009-12-21,5991,6059,5896,5908,86264,26358.0,6059272.0
2009-12-22,5970,6448,5719,5746,235723,25631.0,6059272.0
2009-12-23,5739,5895,5426,5590,153774,24934.0,6059272.0
2009-12-24,5581,5740,5534,5549,92203,24752.0,6059272.0
2009-12-28,5553,5657,5099,5162,84281,23025.0,6059272.0
2009-12-29,5155,5347,5100,5285,31381,23571.0,6059272.0
2009-12-30,5372,5875,5278,5481,175600,24449.0,6059272.0
2010-01-04,5590,5870,5551,5854,84149,26115.0,6059272.0
2010-01-05,5882,6024,5636,5773,40635,25752.0,6059272.0
2010-01-06,5725,5862,5617,5841,46729,26055.0,6059272.0
2010-01-07,6065,6173,5823,6106,54854,27236.0,6059272.0
2010-01-08,6202,6759,5971,6602,117100,29448.0,6059272.0
2010-01-11,6597,7018,6583,6805,222490,30357.0,6059272.0
2010-01-12,7041,7056,6766,6792,112530,30296.0,6059272.0
2010-01-13,6650,6839,6549,6663,123126,29721.0,6059272.0
2010-01-14,6758,6908,6665,6820,59812,30418.0,6059272.0
2010-01-15,6657,6867,6417,6541,96635,29175.0,6059272.0
2010-01-18,6541,6844,6488,6569,77445,29297.0,6059272.0
2010-01-19,6853,6853,6203,6303,150136,28115.0,6059272.0
2010-01-20,6430,6499,6214,6316,188927,28176.0,6059272.0
2010-01-21,6325,6549,6176,6208,130271,27691.0,6059272.0
2010-01-22,6066,6215,6059,6113,35729,27267.0,6059272.0
2010-01-25,6056,6077,5562,5732,83156,25570.0,6059272.0
2010-01-26,5726,5824,5435,5529,95146,24661.0,6059272.0
2010-01-27,5530,5773,5521,5705,49332,25449.0,6059272.0
2010-01-28,5779,6195,5739,5977,93027,26661.0,6059272.0
2010-01-29,5972,6086,5792,5800,50403,25873.0,6059272.0
2010-02-01,5807,5914,5583,5698,29055,25419.0,6059272.0
2010-02-02,5783,5857,5661,5665,21506,25267.0,6059272.0
2010-02-03,5582,5752,5563,5705,27829,25449.0,6059272.0
2010-02-04,5697,5852,5670,5767,17876,25722.0,6059272.0
2010-02-05,5428,5589,5428,5508,16430,24570.0,6059272.0
2010-02-08,5489,5673,5292,5298,21087,23631.0,6059272.0
2010-02-09,5290,5493,5290,5332,12153,23783.0,6059272.0
2010-02-10,5331,5542,5321,5421,9321,24176.0,6059272.0
2010-02-11,5413,5632,5331,5339,37191,23813.0,6059272.0
2010-02-12,5484,5496,5333,5495,9790,24510.0,6059272.0
2010-02-16,5434,5625,5302,5488,11765,24479.0,6059272.0
