우림기계(101170),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-04-28,10666,12266,9066,12267,5903883,159846.0,8687300.0
2009-04-29,12033,13000,10499,10633,2257911,138562.0,8687300.0
2009-04-30,10966,11033,9600,9667,1009810,125966.0,8687300.0
2009-05-04,9866,10400,9666,9833,528438,128138.0,8687300.0
2009-05-06,9966,10733,9800,10000,646398,130310.0,8687300.0
2009-05-07,10266,10466,9766,9767,331194,127269.0,8687300.0
2009-05-08,9800,9900,9266,9400,312806,122491.0,8687300.0
2009-05-11,9666,9966,9466,9767,273962,127269.0,8687300.0
2009-05-12,9533,9633,9266,9367,224502,122057.0,8687300.0
2009-05-13,9533,10533,9466,10067,495602,131178.0,8687300.0
2009-05-14,9766,10366,9733,9800,252227,132300.0,9000000.0
2009-05-15,9866,10200,9566,9867,267575,133200.0,9000000.0
2009-05-18,9866,10299,9666,10100,236889,136350.0,9000000.0
2009-05-19,10333,10966,10166,10633,508266,143550.0,9000000.0
2009-05-20,10733,11300,10366,11133,448798,150300.0,9000000.0
2009-05-21,11200,11633,10766,11100,282013,149850.0,9000000.0
2009-05-22,11133,11533,10933,11000,274256,148500.0,9000000.0
2009-05-25,11000,11200,9433,10533,203653,142200.0,9000000.0
2009-05-26,10666,12100,10000,11867,1197177,160200.0,9000000.0
2009-05-27,12266,12833,11566,11867,878646,160200.0,9000000.0
2009-05-28,12133,12566,10700,11667,626129,157500.0,9000000.0
2009-05-29,11866,12333,11566,12333,379436,166500.0,9000000.0
2009-06-01,12400,12733,11966,12333,339511,166500.0,9000000.0
2009-06-02,12400,12633,11400,11667,301180,157500.0,9000000.0
2009-06-03,11866,13400,11700,12667,2091489,171000.0,9000000.0
2009-06-04,12400,12733,11400,11667,578942,157500.0,9000000.0
2009-06-05,12000,12300,11433,12167,209402,164250.0,9000000.0
2009-06-08,12166,12833,11966,12533,523409,169200.0,9000000.0
2009-06-09,12533,12766,11566,11800,606649,159300.0,9000000.0
2009-06-10,12033,12866,11866,12867,537447,173700.0,9000000.0
2009-06-11,12600,13333,12333,13200,703150,178200.0,9000000.0
2009-06-12,13133,13166,12466,12567,470690,169650.0,9000000.0
2009-06-15,12400,12500,11800,12000,368876,162000.0,9000000.0
2009-06-16,11966,12333,11666,12267,211305,165600.0,9000000.0
2009-06-17,12100,12233,11666,11667,276037,157500.0,9000000.0
2009-06-18,11833,11833,11000,11100,282420,149850.0,9000000.0
2009-06-19,11200,11300,9666,10800,277954,145800.0,9000000.0
2009-06-22,10800,11433,10400,10767,331409,145350.0,9000000.0
2009-06-23,10433,10666,9866,9933,306646,134100.0,9000000.0
2009-06-24,10133,10333,9800,10200,135766,137700.0,9000000.0
2009-06-25,10200,10600,10100,10467,147412,141300.0,9000000.0
2009-06-26,10633,10666,9900,9933,156691,134100.0,9000000.0
2009-06-29,9800,10133,8766,8800,379111,118800.0,9000000.0
2009-06-30,9100,9100,7800,8167,554502,110250.0,9000000.0
2009-07-01,8166,8733,8000,8467,336014,114300.0,9000000.0
2009-07-02,8499,8966,8366,8833,235699,119250.0,9000000.0
2009-07-03,8599,9033,8499,9033,132130,121950.0,9000000.0
2009-07-06,9100,9133,8766,8867,129187,119700.0,9000000.0
2009-07-07,8900,8966,8600,8600,137564,116100.0,9000000.0
2009-07-08,8566,9499,8566,9033,504879,121950.0,9000000.0
2009-07-09,9033,9166,8466,8633,168886,116550.0,9000000.0
2009-07-10,8666,8733,8133,8167,201893,110250.0,9000000.0
2009-07-13,8166,8500,8100,8133,183071,109800.0,9000000.0
2009-07-14,8300,8400,7633,7700,177306,103950.0,9000000.0
2009-07-15,7866,8000,7733,7733,131562,104400.0,9000000.0
2009-07-16,7866,8200,7700,7933,185767,107100.0,9000000.0
2009-07-17,8066,8100,7766,7867,91934,106200.0,9000000.0
2009-07-20,8000,9033,7900,8800,787685,118800.0,9000000.0
2009-07-21,8800,10066,8566,9900,1176121,133650.0,9000000.0
2009-07-22,10000,10366,9366,9400,522992,126900.0,9000000.0
2009-07-23,9400,9766,9200,9667,421603,130500.0,9000000.0
2009-07-24,9733,9800,9000,9100,326541,122850.0,9000000.0
2009-07-27,9100,9200,8800,9067,170302,122400.0,9000000.0
2009-07-28,9166,9200,8900,9000,169006,121500.0,9000000.0
2009-07-29,9133,9200,8733,8967,153172,121050.0,9000000.0
2009-07-30,8800,8933,8533,8800,147792,118800.0,9000000.0
2009-07-31,9000,9000,8666,8967,155148,121050.0,9000000.0
2009-08-03,8966,9300,8900,9167,234599,123750.0,9000000.0
2009-08-04,9233,9300,8766,8867,147332,119700.0,9000000.0
2009-08-05,8933,8933,8566,8567,144948,115650.0,9000000.0
2009-08-06,8566,8800,8533,8567,85413,115650.0,9000000.0
2009-08-07,8666,8799,8499,8733,105729,117900.0,9000000.0
2009-08-10,8866,8966,8700,8867,92267,119700.0,9000000.0
2009-08-11,9000,9100,8733,9067,122589,122400.0,9000000.0
2009-08-12,9066,9166,8933,9067,104254,122400.0,9000000.0
2009-08-13,9166,10000,9133,9467,507447,127800.0,9000000.0
2009-08-14,9666,9666,9100,9100,181685,122850.0,9000000.0
2009-08-17,9066,9100,8366,8400,187886,113400.0,9000000.0
2009-08-18,8333,8599,8100,8433,117043,113850.0,9000000.0
2009-08-19,8566,8566,8266,8267,87193,111600.0,9000000.0
2009-08-20,8300,8533,8100,8400,43177,113400.0,9000000.0
2009-08-21,8400,8400,7833,7900,170795,106650.0,9000000.0
2009-08-24,8066,8066,7766,7867,92999,106200.0,9000000.0
2009-08-25,7866,8066,7866,7867,53481,106200.0,9000000.0
2009-08-26,7866,8100,7700,7933,58107,107100.0,9000000.0
2009-08-27,8000,8366,7866,8033,95692,108450.0,9000000.0
2009-08-28,8100,8166,7866,7933,69096,107100.0,9000000.0
2009-08-31,7900,8000,7566,7567,85693,102150.0,9000000.0
