코리아에스이(101670),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-07-15,1278,1440,1088,1088,2895849,20552.0,3960000.0
2008-07-16,1113,1153,943,981,453002,18533.0,3960000.0
2008-07-17,1016,1024,932,988,248861,18652.0,3960000.0
2008-07-18,974,989,944,945,168032,17840.0,3960000.0
2008-07-21,998,1086,988,1086,326912,20513.0,3960000.0
2008-07-22,1142,1207,976,988,642656,18652.0,3960000.0
2008-07-23,1006,1027,964,966,255749,18236.0,3960000.0
2008-07-24,974,1010,967,1011,112628,19087.0,3960000.0
2008-07-25,974,1012,974,995,57330,18790.0,3960000.0
2008-07-28,1004,1006,943,962,70244,18176.0,3960000.0
2008-07-29,928,951,925,942,80470,17800.0,3960000.0
2008-07-30,973,1024,952,964,70860,18216.0,3960000.0
2008-07-31,964,976,943,967,34404,18256.0,3960000.0
2008-08-01,947,981,947,969,25772,18295.0,3960000.0
2008-08-04,968,990,954,971,35730,18335.0,3960000.0
2008-08-05,1045,1045,972,999,40654,18869.0,3960000.0
2008-08-06,1016,1020,985,1006,40994,19008.0,3960000.0
2008-08-07,1006,1016,995,1006,43850,19008.0,3960000.0
2008-08-08,1006,1069,1000,1048,71782,19800.0,3960000.0
2008-08-11,1058,1079,1023,1048,73733,19800.0,3960000.0
2008-08-12,1029,1048,1027,1035,23451,19543.0,3960000.0
2008-08-13,1023,1044,995,1011,27369,19087.0,3960000.0
2008-08-14,990,1013,966,979,22189,18493.0,3960000.0
2008-08-18,965,973,945,946,37094,17860.0,3960000.0
2008-08-19,976,976,930,933,16358,17622.0,3960000.0
2008-08-20,924,963,924,952,12219,17978.0,3960000.0
2008-08-21,981,981,880,894,28511,16889.0,3960000.0
2008-08-22,863,922,831,856,36689,16157.0,3960000.0
2008-08-25,899,899,811,859,9635,16216.0,3960000.0
2008-08-26,796,849,796,820,11090,15484.0,3960000.0
2008-08-27,802,879,796,798,12698,15068.0,3960000.0
2008-08-28,830,830,788,817,2997,15424.0,3960000.0
2008-08-29,886,886,804,810,2540,15305.0,3960000.0
2008-09-01,876,876,793,795,6128,15008.0,3960000.0
2008-09-02,738,836,703,704,11652,13306.0,3960000.0
2008-09-03,775,804,674,742,7382,14018.0,3960000.0
2008-09-04,754,775,712,751,8304,14177.0,3960000.0
2008-09-05,733,740,639,715,7390,13504.0,3960000.0
2008-09-08,748,748,719,743,8144,14038.0,3960000.0
2008-09-09,744,760,724,743,1240,14038.0,3960000.0
2008-09-10,763,763,712,730,2712,13781.0,3960000.0
2008-09-11,744,747,725,744,599,14058.0,3960000.0
2008-09-12,744,807,731,806,7575,15226.0,3960000.0
2008-09-16,794,794,712,718,7927,13563.0,3960000.0
2008-09-17,763,807,720,776,7634,14652.0,3960000.0
2008-09-18,804,804,721,734,6146,13860.0,3960000.0
2008-09-19,753,773,736,748,2127,14137.0,3960000.0
2008-09-22,752,792,748,748,2115,14137.0,3960000.0
2008-09-23,754,765,727,744,2955,14058.0,3960000.0
2008-09-24,735,855,723,856,31090,16157.0,3960000.0
2008-09-25,880,890,811,812,20379,15325.0,3960000.0
2008-09-26,799,817,788,790,4687,14909.0,3960000.0
2008-09-29,826,826,776,812,1310,15345.0,3960000.0
2008-09-30,727,794,727,790,2498,14929.0,3960000.0
2008-10-01,776,802,767,792,2612,14969.0,3960000.0
2008-10-02,775,795,765,770,758,14533.0,3960000.0
2008-10-06,765,792,738,755,464,14256.0,3960000.0
2008-10-07,796,796,719,772,56,14573.0,3960000.0
2008-10-08,775,775,656,685,7177,12929.0,3960000.0
2008-10-09,656,775,656,658,4422,12434.0,3960000.0
2008-10-10,656,748,559,565,29910,10672.0,3960000.0
2008-10-13,582,628,503,606,3543,11444.0,3960000.0
2008-10-14,638,696,612,696,27358,13147.0,3960000.0
2008-10-15,702,702,654,680,3465,12850.0,3960000.0
2008-10-16,647,650,578,589,6897,11128.0,3960000.0
2008-10-17,608,633,582,599,3590,11306.0,3960000.0
2008-10-20,608,650,584,625,2312,11801.0,3960000.0
2008-10-21,650,650,597,648,6075,12236.0,3960000.0
2008-10-22,647,672,623,648,10801,12236.0,3960000.0
2008-10-23,647,647,555,600,7015,11326.0,3960000.0
2008-10-24,688,688,511,540,3087,10197.0,3960000.0
2008-10-27,537,537,459,459,56639,8672.0,3960000.0
2008-10-28,398,522,398,468,6509,8831.0,3960000.0
2008-10-29,470,536,467,468,2116,8831.0,3960000.0
2008-10-30,524,534,471,535,2722,10098.0,3960000.0
2008-10-31,586,614,517,613,2367,11583.0,3960000.0
2008-11-03,569,648,569,640,4452,12078.0,3960000.0
2008-11-04,716,716,566,601,15839,11345.0,3960000.0
2008-11-05,687,687,597,603,11677,11385.0,3960000.0
2008-11-06,602,666,513,545,11398,10296.0,3960000.0
2008-11-07,466,564,466,565,1104,10672.0,3960000.0
2008-11-10,566,581,566,566,8251,10692.0,3960000.0
2008-11-11,584,628,515,629,6335,11880.0,3960000.0
2008-11-12,628,628,597,614,6158,11603.0,3960000.0
2008-11-13,614,617,549,613,1002,11583.0,3960000.0
2008-11-14,639,639,593,616,169,11623.0,3960000.0
2008-11-17,615,615,565,576,17568,10870.0,3960000.0
2008-11-18,544,590,544,579,144,10930.0,3960000.0
2008-11-19,578,628,553,556,3135,10494.0,3960000.0
2008-11-20,554,554,484,543,5003,10256.0,3960000.0
2008-11-21,542,544,516,538,4176,10157.0,3960000.0
2008-11-24,544,566,507,532,16086,10058.0,3960000.0
2008-11-25,532,555,532,554,8666,10454.0,3960000.0
2008-11-26,553,635,553,582,9916,10989.0,3960000.0
2008-11-27,586,638,581,638,10147,12058.0,3960000.0
2008-11-28,649,649,599,622,10496,11741.0,3960000.0
2008-12-01,621,648,612,623,1563,11761.0,3960000.0
2008-12-02,566,600,534,545,18129,10296.0,3960000.0
2008-12-03,622,622,480,494,29706,9326.0,3960000.0
2008-12-04,531,531,493,512,4186,9662.0,3960000.0
2008-12-05,522,550,513,532,1740,10039.0,3960000.0
2008-12-08,602,602,547,600,5886,11326.0,3960000.0
2008-12-09,628,628,565,618,709,11662.0,3960000.0
2008-12-10,636,636,578,579,12398,10930.0,3960000.0
2008-12-11,608,618,575,587,1663,11088.0,3960000.0
2008-12-12,589,637,586,608,9015,11484.0,3960000.0
2008-12-15,608,699,603,699,29791,13207.0,3960000.0
2008-12-16,708,804,708,804,59796,15187.0,3960000.0
2008-12-17,905,924,863,925,79952,17464.0,3960000.0
2008-12-18,1062,1062,1025,1063,125421,20077.0,3960000.0
2008-12-19,1081,1216,967,1084,196355,20473.0,3960000.0
2008-12-22,1132,1153,1010,1088,88817,20552.0,3960000.0
2008-12-23,1115,1194,1027,1030,103481,19444.0,3960000.0
2008-12-24,1037,1054,943,1048,25158,19800.0,3960000.0
2008-12-26,1008,1085,967,1025,30528,19364.0,3960000.0
2008-12-29,1048,1048,872,872,34075,16474.0,3960000.0
2008-12-30,851,922,817,839,23428,15840.0,3960000.0
2009-01-02,838,962,828,902,27998,17028.0,3960000.0
2009-01-05,941,943,870,902,16128,17028.0,3960000.0
2009-01-06,901,995,876,981,33743,18533.0,3960000.0
2009-01-07,1128,1128,1128,1128,4732,21305.0,3960000.0
2009-01-08,1295,1295,1295,1296,7045,24473.0,3960000.0
2009-01-09,1488,1488,1488,1489,47869,28116.0,3960000.0
2009-01-12,1679,1710,1555,1711,618023,32314.0,3960000.0
2009-01-13,1710,1874,1677,1711,525789,32314.0,3960000.0
2009-01-14,1723,1792,1635,1667,305487,31482.0,3960000.0
2009-01-15,1616,1666,1417,1464,260808,27641.0,3960000.0
2009-01-16,1509,1562,1410,1478,257491,27918.0,3960000.0
2009-01-19,1490,1677,1490,1512,185852,28552.0,3960000.0
2009-01-20,1530,1549,1375,1405,99911,26532.0,3960000.0
2009-01-21,1310,1528,1278,1426,111210,26928.0,3960000.0
2009-01-22,1488,1540,1390,1426,122605,26928.0,3960000.0
2009-01-23,1436,1530,1373,1464,82225,27641.0,3960000.0
2009-01-28,1547,1675,1509,1550,94077,29264.0,3960000.0
2009-01-29,1591,1591,1474,1504,79374,28393.0,3960000.0
2009-01-30,1469,1492,1402,1443,64835,27245.0,3960000.0
2009-02-02,1442,1478,1371,1443,79364,27245.0,3960000.0
2009-02-03,1454,1530,1404,1411,72141,26651.0,3960000.0
2009-02-04,1461,1461,1398,1436,49307,27126.0,3960000.0
2009-02-05,1461,1488,1302,1405,54563,26532.0,3960000.0
2009-02-06,1434,1436,1308,1365,48848,25780.0,3960000.0
2009-02-09,1379,1379,1291,1310,37869,24750.0,3960000.0
2009-02-10,1310,1339,1249,1327,41835,25067.0,3960000.0
2009-02-11,1285,1324,1249,1304,17266,24631.0,3960000.0
2009-02-12,1283,1314,1226,1256,23312,23720.0,3960000.0
2009-02-13,1234,1262,1194,1220,24124,23047.0,3960000.0
2009-02-16,1224,1245,1190,1204,56642,22730.0,3960000.0
2009-02-17,1203,1232,1163,1216,53481,22968.0,3960000.0
2009-02-18,1174,1300,1163,1252,40875,23641.0,3960000.0
2009-02-19,1251,1251,1092,1132,68821,21384.0,3960000.0
2009-02-20,1106,1130,985,1023,40654,19325.0,3960000.0
2009-02-23,981,1176,981,1176,119240,22216.0,3960000.0
2009-02-24,1115,1186,1071,1094,79132,20671.0,3960000.0
2009-02-25,1216,1258,1119,1258,68270,23760.0,3960000.0
2009-02-26,1320,1344,1090,1136,129072,21463.0,3960000.0
2009-02-27,1136,1205,1094,1114,49859,21028.0,3960000.0
2009-03-02,1148,1148,996,1048,22456,19800.0,3960000.0
2009-03-03,943,1036,934,996,27738,18810.0,3960000.0
2009-03-04,1027,1089,978,1063,31038,20077.0,3960000.0
2009-03-05,1088,1098,1037,1039,19682,19622.0,3960000.0
2009-03-06,1029,1029,974,984,26733,18572.0,3960000.0
2009-03-09,988,1024,987,1021,19123,19285.0,3960000.0
2009-03-10,1027,1052,1006,1021,14093,19285.0,3960000.0
2009-03-11,1045,1077,1020,1028,13841,19424.0,3960000.0
2009-03-12,1067,1075,1022,1046,14188,19760.0,3960000.0
2009-03-13,1090,1090,1017,1048,26074,19800.0,3960000.0
2009-03-16,1052,1075,1036,1037,5406,19582.0,3960000.0
2009-03-17,1056,1190,1037,1124,64351,21226.0,3960000.0
2009-03-18,1134,1167,1094,1134,15840,21424.0,3960000.0
2009-03-19,1136,1167,1094,1103,20112,20830.0,3960000.0
2009-03-20,1092,1153,1079,1143,20506,21582.0,3960000.0
2009-03-23,1192,1194,1150,1153,16854,21780.0,3960000.0
2009-03-24,1153,1174,1113,1122,18599,21186.0,3960000.0
2009-03-25,1117,1167,1113,1114,21268,21028.0,3960000.0
2009-03-26,1115,1155,1079,1147,37370,21661.0,3960000.0
2009-03-27,1140,1182,1096,1097,18993,20711.0,3960000.0
2009-03-30,1096,1125,992,1008,46296,19048.0,3960000.0
2009-03-31,995,1060,995,1061,23020,20038.0,3960000.0
2009-04-01,1037,1071,1036,1055,22381,19919.0,3960000.0
2009-04-02,1048,1077,1041,1069,19442,20196.0,3960000.0
2009-04-03,1052,1115,1052,1061,34117,20038.0,3960000.0
2009-04-06,1060,1115,1052,1097,27318,20711.0,3960000.0
2009-04-07,1098,1117,1073,1101,22303,20790.0,3960000.0
2009-04-08,1127,1257,1106,1193,82520,22532.0,3960000.0
2009-04-09,1245,1245,1192,1212,39485,22889.0,3960000.0
2009-04-10,1247,1247,1092,1216,62667,22968.0,3960000.0
2009-04-13,1222,1390,1211,1363,108400,25740.0,3960000.0
2009-04-14,1352,1432,1258,1296,90848,24473.0,3960000.0
2009-04-15,1270,1310,1153,1248,29673,23562.0,3960000.0
2009-04-16,1258,1297,1207,1210,22798,22849.0,3960000.0
2009-04-17,1155,1188,1148,1149,72993,21701.0,3960000.0
2009-04-20,1136,1165,1119,1136,43119,21463.0,3960000.0
2009-04-21,1119,1172,1111,1160,30728,21899.0,3960000.0
2009-04-22,1165,1220,1165,1176,25035,22216.0,3960000.0
2009-04-23,1184,1205,1174,1202,18767,22691.0,3960000.0
2009-04-24,1194,1224,1182,1222,23540,23087.0,3960000.0
2009-04-27,1247,1318,1222,1275,55572,24077.0,3960000.0
2009-04-28,1373,1465,1258,1312,289218,24790.0,3960000.0
2009-04-29,1297,1331,1153,1218,88276,23008.0,3960000.0
2009-04-30,1220,1245,1192,1212,49698,22889.0,3960000.0
2009-05-04,1232,1289,1214,1256,41131,23720.0,3960000.0
2009-05-06,1255,1339,1255,1312,49378,24790.0,3960000.0
