에스앤더블류(103230),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-08-05,10000,11500,8500,8500,6517736,61200.0,7200000.0
2009-08-06,8650,8890,7740,7980,1004344,57456.0,7200000.0
2009-08-07,8120,8450,7920,7950,504634,57240.0,7200000.0
2009-08-10,7960,8160,7810,7810,330992,56232.0,7200000.0
2009-08-11,7830,8120,7750,7810,282618,56232.0,7200000.0
2009-08-12,7890,7890,7620,7660,231691,55152.0,7200000.0
2009-08-13,7760,7780,7590,7670,175872,55224.0,7200000.0
2009-08-14,7780,7940,7570,7940,199332,57168.0,7200000.0
2009-08-17,8000,8080,7570,7570,302319,54504.0,7200000.0
2009-08-18,7460,7500,6950,7000,214308,50400.0,7200000.0
2009-08-19,7110,7160,6900,6900,147114,49680.0,7200000.0
2009-08-20,6920,6960,6710,6730,124038,48456.0,7200000.0
2009-08-21,6780,6930,6550,6600,110812,47520.0,7200000.0
2009-08-24,6620,7050,6600,6620,155544,47664.0,7200000.0
2009-08-25,6620,6740,6510,6530,87491,47016.0,7200000.0
2009-08-26,6560,6680,6400,6500,103534,46800.0,7200000.0
2009-08-27,6550,6720,6500,6630,64829,47736.0,7200000.0
2009-08-28,6640,6640,6430,6450,96746,46440.0,7200000.0
2009-08-31,6420,6440,6240,6280,102207,45216.0,7200000.0
2009-09-01,6260,6450,6060,6270,98673,45144.0,7200000.0
2009-09-02,6250,6350,6080,6200,29623,44640.0,7200000.0
2009-09-03,6200,6290,6060,6060,41673,43632.0,7200000.0
2009-09-04,6080,6380,6020,6140,74679,44208.0,7200000.0
2009-09-07,6150,6320,6090,6130,41654,44136.0,7200000.0
2009-09-08,6140,6180,6000,6020,66188,43344.0,7200000.0
2009-09-09,6040,6140,5800,5820,48541,41904.0,7200000.0
2009-09-10,5890,6030,5810,5920,53583,42624.0,7200000.0
2009-09-11,6040,6080,5930,6080,18251,43776.0,7200000.0
2009-09-14,6100,6150,6030,6060,18470,43632.0,7200000.0
2009-09-15,6060,6070,5940,5950,20711,42840.0,7200000.0
2009-09-16,6040,6050,5890,5890,29042,42408.0,7200000.0
2009-09-17,5890,5980,5820,5850,23117,42120.0,7200000.0
2009-09-18,5860,5970,5840,5850,24175,42120.0,7200000.0
2009-09-21,5860,5940,5860,5890,16743,42408.0,7200000.0
2009-09-22,5890,6760,5890,6480,396474,46656.0,7200000.0
2009-09-23,6490,6490,6200,6300,84608,45360.0,7200000.0
2009-09-24,6370,6370,6040,6050,62963,43560.0,7200000.0
2009-09-25,6010,6100,5860,5880,51109,42336.0,7200000.0
2009-09-28,5890,5980,5600,5680,86062,40896.0,7200000.0
2009-09-29,5700,5700,5480,5550,51692,39960.0,7200000.0
2009-09-30,5550,5650,5450,5480,53043,39456.0,7200000.0
2009-10-01,5550,5640,5300,5330,37375,38376.0,7200000.0
2009-10-05,5330,5330,5000,5080,50970,36576.0,7200000.0
2009-10-06,5150,5180,4985,5080,53355,36576.0,7200000.0
2009-10-07,5150,5450,5080,5110,56459,36792.0,7200000.0
2009-10-08,5230,5230,5060,5070,27228,36504.0,7200000.0
2009-10-09,5150,5480,5150,5270,44257,37944.0,7200000.0
2009-10-12,5310,5420,5120,5170,27321,37224.0,7200000.0
2009-10-13,5200,5240,5090,5170,24353,37224.0,7200000.0
2009-10-14,5150,5190,5130,5150,17671,37080.0,7200000.0
2009-10-15,5180,5300,5130,5170,22432,37224.0,7200000.0
2009-10-16,5120,5240,5110,5130,33433,36936.0,7200000.0
2009-10-19,5130,5150,4980,5010,49124,36072.0,7200000.0
2009-10-20,5000,5150,5000,5080,22705,36576.0,7200000.0
2009-10-21,5010,5170,5010,5150,16675,37080.0,7200000.0
2009-10-22,5040,5190,5040,5080,21030,36576.0,7200000.0
2009-10-23,5080,5150,5020,5050,20909,36360.0,7200000.0
2009-10-26,5030,5170,5010,5150,15338,37080.0,7200000.0
2009-10-27,5170,5530,5120,5230,75424,37656.0,7200000.0
2009-10-28,5210,5340,5140,5140,23710,37008.0,7200000.0
2009-10-29,5060,5090,4430,4750,58393,34200.0,7200000.0
2009-10-30,4830,4930,4710,4710,23409,33912.0,7200000.0
2009-11-02,4695,4775,4580,4610,28912,33192.0,7200000.0
2009-11-03,4685,4685,4560,4600,23993,33120.0,7200000.0
2009-11-04,4645,4645,4485,4510,22363,32472.0,7200000.0
2009-11-05,4545,4740,4545,4560,13654,32832.0,7200000.0
2009-11-06,4700,4865,4590,4715,29995,33948.0,7200000.0
2009-11-09,4800,4810,4655,4755,7824,34236.0,7200000.0
2009-11-10,4775,4950,4770,4830,10648,34776.0,7200000.0
2009-11-11,4810,4880,4700,4800,5434,34560.0,7200000.0
2009-11-12,4895,4970,4500,4500,46788,32400.0,7200000.0
2009-11-13,4500,5160,4475,4475,15920,32220.0,7200000.0
2009-11-16,4500,4545,4400,4470,12733,32184.0,7200000.0
2009-11-17,4515,4515,4205,4295,22357,30924.0,7200000.0
