인터파크(108790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-02-06,15400,17700,15400,17700,265716,574014.0,32430190.0
2014-02-07,20350,20350,20350,20350,740781,659954.0,32430190.0
2014-02-10,21300,23400,21300,23400,2803880,758866.0,32430190.0
2014-02-11,25550,25800,21300,23150,5652302,750759.0,32430190.0
2014-02-12,23300,23950,22400,23600,2153906,765352.0,32430190.0
2014-02-13,23450,23750,22350,23000,1064696,745894.0,32430190.0
2014-02-14,22750,23650,22700,23600,888020,765352.0,32430190.0
2014-02-17,23750,23900,22850,22950,529484,744273.0,32430190.0
2014-02-18,23250,24100,22850,23100,919690,749137.0,32430190.0
2014-02-19,23000,23150,22000,22500,562693,729679.0,32430190.0
2014-02-20,23400,23900,22400,22400,980428,726436.0,32430190.0
2014-02-21,22350,22400,21250,21650,960068,702114.0,32430190.0
2014-02-24,21650,22150,21300,21950,431084,711843.0,32430190.0
2014-02-25,21600,21850,21150,21150,348250,685899.0,32430190.0
2014-02-26,21250,21350,20300,20550,482096,666440.0,32430190.0
2014-02-27,20900,21150,20650,21000,412694,681034.0,32430190.0
2014-02-28,21100,21150,20200,20650,329647,669683.0,32430190.0
2014-03-03,20600,22300,20350,22100,743903,716707.0,32430190.0
2014-03-04,22050,22700,21750,22700,449044,736165.0,32430190.0
2014-03-05,23100,26100,22500,25100,1921695,813998.0,32430190.0
2014-03-06,24650,25600,24250,25250,932286,818862.0,32430190.0
2014-03-07,25300,25500,24500,25000,352482,810755.0,32430190.0
2014-03-10,25000,26800,24900,25700,883146,833456.0,32430190.0
2014-03-11,26150,27750,26150,27600,611217,895073.0,32430190.0
2014-03-12,27700,28200,26950,27700,478772,898316.0,32430190.0
2014-03-13,28000,28050,26600,27400,456094,888587.0,32430190.0
2014-03-14,26600,26700,25050,25050,759746,812376.0,32430190.0
2014-03-17,25200,25450,24600,25300,320099,821900.0,32486176.0
2014-03-18,25500,26150,25300,25350,377630,823525.0,32486176.0
2014-03-19,25350,25600,23950,24450,407904,794287.0,32486176.0
2014-03-20,24100,24850,24100,24800,234771,805657.0,32486176.0
2014-03-21,24750,25700,24500,25450,286251,826773.0,32486176.0
2014-03-24,25650,25700,24300,24300,354843,789414.0,32486176.0
2014-03-25,24300,24650,23350,24200,287219,786165.0,32486176.0
2014-03-26,24600,24850,23800,23900,179834,776420.0,32486176.0
2014-03-27,24000,24350,23300,23600,179208,766674.0,32486176.0
2014-03-28,23450,23600,22750,22950,259934,745558.0,32486176.0
2014-03-31,23000,23400,21950,22150,258051,719569.0,32486176.0
2014-04-01,22450,22950,21850,22900,387831,743933.0,32486176.0
2014-04-02,23050,23100,22500,22850,224796,742309.0,32486176.0
2014-04-03,23150,25700,23050,24600,1256128,799160.0,32486176.0
2014-04-04,24900,26050,24400,25400,694072,825149.0,32486176.0
2014-04-07,25000,25250,24050,24050,361658,781293.0,32486176.0
2014-04-08,23900,23900,22850,23750,281840,771547.0,32486176.0
2014-04-09,23900,24700,23550,23650,225033,768298.0,32486176.0
2014-04-10,24000,24550,23150,23500,164586,763425.0,32486176.0
2014-04-11,22900,24000,22850,23700,123662,769922.0,32486176.0
2014-04-14,23850,24700,23650,24200,122897,786165.0,32486176.0
2014-04-15,24450,24450,23350,23450,152959,761801.0,32486176.0
2014-04-16,23600,23950,23100,23950,147805,778044.0,32486176.0
2014-04-17,23950,24950,23400,24650,327557,800784.0,32486176.0
2014-04-18,24800,25600,24450,25200,338452,818652.0,32486176.0
2014-04-21,25250,25450,24700,24800,149040,805657.0,32486176.0
2014-04-22,25000,25600,24200,24350,247449,791038.0,32486176.0
2014-04-23,24250,24700,23950,23950,111725,778044.0,32486176.0
2014-04-24,24350,24650,23250,24150,168192,784541.0,32486176.0
2014-04-25,23900,24150,23250,23300,143244,756928.0,32486176.0
2014-04-28,23100,23500,22700,22750,101057,739061.0,32486176.0
2014-04-29,22800,23050,22450,22700,119268,737436.0,32486176.0
2014-04-30,22850,23400,22650,23100,137486,750431.0,32486176.0
2014-05-02,23550,23600,22700,22750,99950,739061.0,32486176.0
2014-05-07,21650,21850,20400,20800,2308788,675712.0,32486176.0
2014-05-08,20650,21600,20150,21600,804090,701701.0,32486176.0
2014-05-09,21400,21750,21000,21650,488596,703326.0,32486176.0
2014-05-12,21850,22300,21500,22100,375143,717944.0,32486176.0
2014-05-13,21800,21900,20950,21200,705480,688707.0,32486176.0
2014-05-14,21350,21550,21200,21350,313334,693580.0,32486176.0
2014-05-15,21500,21600,21300,21400,218180,695204.0,32486176.0
2014-05-16,21400,21600,21100,21200,175676,688707.0,32486176.0
2014-05-19,21250,21350,19450,19450,604404,631856.0,32486176.0
2014-05-20,19400,19500,18050,18450,821787,599370.0,32486176.0
2014-05-21,18350,18950,18300,18950,435537,615613.0,32486176.0
2014-05-22,19000,19250,18550,18900,368728,613989.0,32486176.0
2014-05-23,18850,19100,18750,18900,239768,613989.0,32486176.0
2014-05-26,18900,20050,18750,19900,667492,646475.0,32486176.0
2014-05-27,20000,20000,19250,19700,239807,639978.0,32486176.0
2014-05-28,19850,20800,19700,20600,510328,669215.0,32486176.0
2014-05-29,20500,20650,20100,20400,184285,662718.0,32486176.0
2014-05-30,20400,20450,18950,19400,402716,630232.0,32486176.0
2014-06-02,19550,19550,18350,18450,409692,599370.0,32486176.0
2014-06-03,18450,18900,18300,18450,207024,599370.0,32486176.0
2014-06-05,18350,18650,16700,17350,507022,563635.0,32486176.0
2014-06-09,17500,18000,17150,17800,187176,578254.0,32486176.0
2014-06-10,18050,18300,17750,18100,129586,588000.0,32486176.0
2014-06-11,18200,18200,17450,17950,134760,583127.0,32486176.0
2014-06-12,17900,18100,17400,18000,235256,584751.0,32486176.0
2014-06-13,18100,18100,17650,17800,128162,578254.0,32486176.0
2014-06-16,17900,17950,17450,17650,222150,573381.0,32486176.0
2014-06-17,17900,18350,17700,18300,298281,594497.0,32486176.0
2014-06-18,18200,18450,17750,18350,201951,596121.0,32486176.0
2014-06-19,18400,19400,18150,19150,251169,623026.0,32534007.0
2014-06-20,19100,19300,18800,19050,173520,619773.0,32534007.0
2014-06-23,19100,19650,18950,19500,257691,634413.0,32534007.0
2014-06-24,19650,19850,19250,19500,217525,634413.0,32534007.0
2014-06-25,19700,19700,19050,19250,102815,626280.0,32534007.0
2014-06-26,19200,19500,18550,18600,237764,605133.0,32534007.0
2014-06-27,18200,20100,18150,19950,391880,649053.0,32534007.0
