진매트릭스(109820),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-11-06,2731,3035,2529,3035,3630684,33849.0,3761000.0
2009-11-09,2944,3001,2644,2665,1712423,29712.0,3761000.0
2009-11-10,2708,2748,2316,2378,1444126,26515.0,3761000.0
2009-11-11,2343,2478,2293,2293,612371,25575.0,3761000.0
2009-11-12,2303,2468,2289,2293,571923,25575.0,3761000.0
2009-11-13,2310,2411,2252,2253,406011,25123.0,3761000.0
2009-11-16,2265,2285,1915,1915,489043,21362.0,3761000.0
2009-11-17,1938,2147,1884,1919,859449,21400.0,3761000.0
2009-11-18,1962,2010,1892,1892,276932,21099.0,3761000.0
2009-11-19,1922,1935,1773,1774,324555,19783.0,3761000.0
2009-11-20,1787,2036,1787,2037,1282435,22716.0,3761000.0
2009-11-23,1996,2053,1932,1943,555833,21663.0,3761000.0
2009-11-24,1982,1989,1807,1831,358998,20422.0,3761000.0
2009-11-25,1838,1864,1777,1781,241633,19858.0,3761000.0
2009-11-26,1797,1851,1766,1801,200876,20084.0,3761000.0
2009-11-27,1773,1861,1652,1676,231765,18692.0,3761000.0
2009-11-30,1726,1763,1706,1733,141575,19332.0,3761000.0
2009-12-01,1763,1838,1709,1751,189535,19520.0,3761000.0
2009-12-02,1787,2010,1777,2010,679562,22416.0,3761000.0
2009-12-03,2090,2310,2040,2310,1453741,25763.0,3761000.0
2009-12-04,2319,2556,2225,2367,1793638,26402.0,3761000.0
2009-12-07,2448,2680,2400,2681,1537577,29900.0,3761000.0
2009-12-08,2680,2704,2374,2462,902178,27455.0,3761000.0
2009-12-09,2462,2586,2374,2428,739430,27079.0,3761000.0
2009-12-10,2428,2505,2293,2341,459458,26101.0,3761000.0
2009-12-11,2360,2462,2313,2462,522884,27455.0,3761000.0
2009-12-14,2488,2519,2296,2297,400051,25612.0,3761000.0
2009-12-15,2354,2384,2225,2233,259357,24898.0,3761000.0
2009-12-16,2225,2326,2188,2202,243868,24559.0,3761000.0
2009-12-17,2235,2353,2235,2303,282700,25688.0,3761000.0
2009-12-18,2310,2462,2266,2317,314272,25838.0,3761000.0
2009-12-21,2343,2475,2282,2378,531284,26515.0,3761000.0
2009-12-22,2374,2408,2276,2277,133007,25387.0,3761000.0
2009-12-23,2259,2319,2201,2209,106564,24635.0,3761000.0
2009-12-24,2212,2259,2141,2169,91817,24183.0,3761000.0
2009-12-28,2134,2157,2010,2023,117902,22566.0,3761000.0
2009-12-29,2006,2158,2006,2041,39351,22754.0,3761000.0
2009-12-30,2087,2118,2026,2118,51184,23619.0,3761000.0
2010-01-04,2117,2285,2103,2209,65360,24635.0,3761000.0
2010-01-05,2205,2252,2161,2192,61797,24446.0,3761000.0
2010-01-06,2222,2458,2168,2310,195533,25763.0,3761000.0
2010-01-07,2316,2336,2222,2223,83075,24785.0,3761000.0
2010-01-08,2188,2343,2182,2344,48582,26139.0,3761000.0
2010-01-11,2300,2370,2300,2317,61187,25838.0,3761000.0
2010-01-12,2343,2343,2242,2277,27304,25387.0,3761000.0
2010-01-13,2259,2340,2259,2310,44289,25763.0,3761000.0
2010-01-14,2350,2380,2303,2361,71718,26327.0,3761000.0
2010-01-15,2354,2559,2354,2462,238192,27455.0,3761000.0
2010-01-18,2495,2603,2458,2560,134694,28546.0,3761000.0
2010-01-19,2630,2724,2580,2647,237680,29524.0,3761000.0
2010-01-20,2714,2714,2559,2563,90337,28584.0,3761000.0
2010-01-21,2495,2613,2465,2607,59177,29073.0,3761000.0
2010-01-22,2606,2606,2505,2516,50883,28057.0,3761000.0
2010-01-25,2462,2691,2441,2570,83691,28659.0,3761000.0
2010-01-26,2674,2924,2647,2786,299229,31066.0,3761000.0
2010-01-27,2788,2826,2610,2617,110035,29185.0,3761000.0
2010-01-28,2630,2728,2596,2617,48053,29185.0,3761000.0
2010-01-29,2552,2603,2492,2580,59843,28772.0,3761000.0
2010-02-01,2596,2657,2515,2567,37570,28621.0,3761000.0
2010-02-02,2580,2748,2580,2600,35787,28997.0,3761000.0
2010-02-03,2616,2664,2600,2607,25293,29073.0,3761000.0
2010-02-04,2644,2680,2583,2651,21268,29561.0,3761000.0
2010-02-05,2529,2657,2529,2580,69289,28772.0,3761000.0
2010-02-08,2630,2691,2539,2597,78492,28960.0,3761000.0
2010-02-09,2630,2660,2529,2597,38121,28960.0,3761000.0
2010-02-10,2600,2630,2576,2583,32127,28809.0,3761000.0
2010-02-11,2583,2613,2404,2435,45588,27154.0,3761000.0
2010-02-12,2462,2505,2360,2378,45508,26515.0,3761000.0
2010-02-16,2428,2444,2394,2431,21025,27117.0,3761000.0
2010-02-17,2424,2748,2421,2698,100762,30088.0,3761000.0
2010-02-18,2691,2748,2630,2631,26696,29336.0,3761000.0
2010-02-19,2572,2832,2572,2809,132767,31329.0,3761000.0
2010-02-22,2866,3024,2772,2911,178670,32457.0,3761000.0
2010-02-23,2916,3068,2849,2890,106165,32232.0,3761000.0
2010-02-24,2866,2991,2842,2991,25671,33360.0,3761000.0
2010-02-25,3035,3062,2903,2951,46739,32909.0,3761000.0
2010-02-26,2984,3166,2916,3083,40983,34376.0,3761000.0
2010-03-02,3102,3116,2950,2995,69378,33398.0,3761000.0
2010-03-03,2970,3288,2748,2749,307744,30652.0,3761000.0
2010-03-04,2765,2812,2590,2665,151099,29712.0,3761000.0
2010-03-05,2698,2721,2626,2647,45159,29524.0,3761000.0
2010-03-08,2634,2798,2634,2715,49998,30276.0,3761000.0
2010-03-09,2721,2883,2718,2860,63842,31893.0,3761000.0
2010-03-10,2832,2900,2768,2826,21623,31517.0,3761000.0
2010-03-11,2772,2890,2772,2857,17149,31856.0,3761000.0
2010-03-12,2880,2880,2806,2813,11216,31367.0,3761000.0
2010-03-15,2758,2920,2758,2850,32112,31780.0,3761000.0
2010-03-16,2900,2934,2849,2880,46725,32119.0,3761000.0
2010-03-17,2957,2978,2880,2883,33318,32157.0,3761000.0
2010-03-18,2960,2960,2852,2873,52832,32044.0,3761000.0
2010-03-19,2873,2924,2836,2873,18718,32044.0,3761000.0
2010-03-22,2873,2873,2731,2783,51257,31028.0,3761000.0
2010-03-23,2748,2816,2698,2789,46024,31103.0,3761000.0
2010-03-24,2788,2829,2708,2745,18081,30615.0,3761000.0
2010-03-25,2765,2765,2691,2742,18609,30577.0,3761000.0
2010-03-26,2741,2792,2687,2711,23961,30238.0,3761000.0
2010-03-29,2698,2748,2687,2698,15052,30088.0,3761000.0
2010-03-30,2755,2755,2360,2526,100233,28170.0,3761000.0
2010-03-31,2502,2586,2502,2523,36756,28132.0,3761000.0
2010-04-01,2522,2580,2485,2533,32674,28245.0,3761000.0
2010-04-02,2596,2596,2485,2526,20141,28170.0,3761000.0
2010-04-05,2562,2562,2370,2439,25157,27192.0,3761000.0
2010-04-06,2438,2505,2107,2381,81449,26553.0,3761000.0
2010-04-07,2367,2394,2316,2388,30066,26628.0,3761000.0
2010-04-08,2350,2387,2310,2378,41445,26515.0,3761000.0
2010-04-09,2380,2400,2347,2364,15242,26365.0,3761000.0
2010-04-12,2390,2562,2377,2452,28032,27342.0,3761000.0
2010-04-13,2522,2529,2428,2469,9760,27531.0,3761000.0
2010-04-14,2529,2529,2428,2442,8195,27230.0,3761000.0
2010-04-15,2380,2478,2380,2421,7194,27004.0,3761000.0
2010-04-16,2451,2478,2343,2425,26018,27042.0,3761000.0
2010-04-19,2454,2454,2354,2361,21103,26327.0,3761000.0
2010-04-20,2354,2424,2354,2378,13642,26515.0,3761000.0
2010-04-21,2377,2400,2354,2378,8857,26515.0,3761000.0
2010-04-22,2377,2418,2360,2381,21454,26553.0,3761000.0
2010-04-23,2380,2411,2354,2381,15270,26553.0,3761000.0
2010-04-26,2421,2596,2414,2485,39371,27719.0,3761000.0
2010-04-27,2465,2526,2414,2496,10779,27831.0,3761000.0
2010-04-28,2495,2495,2414,2452,8290,27342.0,3761000.0
2010-04-29,2428,2508,2390,2411,27279,26891.0,3761000.0
2010-04-30,2458,2458,2384,2421,8840,27004.0,3761000.0
2010-05-03,2462,2462,2320,2361,40358,26327.0,3761000.0
2010-05-04,2387,2451,2323,2351,10938,26214.0,3761000.0
2010-05-06,2293,2373,2259,2259,27902,25199.0,3761000.0
2010-05-07,2164,2333,1922,2259,56091,25199.0,3761000.0
2010-05-10,2293,2350,2228,2303,8502,25688.0,3761000.0
2010-05-11,2370,2647,2269,2428,279626,27079.0,3761000.0
2010-05-12,2559,2792,2512,2600,341021,28997.0,3761000.0
2010-05-13,2620,2741,2478,2506,118997,27944.0,3761000.0
2010-05-14,2590,2590,2428,2529,55184,28208.0,3761000.0
2010-05-17,2478,2626,2414,2415,56075,26929.0,3761000.0
2010-05-18,2418,2492,2343,2398,22961,26741.0,3761000.0
2010-05-19,2367,2428,2293,2341,37697,26101.0,3761000.0
2010-05-20,2296,2377,2168,2256,37557,25161.0,3761000.0
