에이프로젠 H&G(109960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-11-13,978,1122,978,1123,307831,24750.0,1875000.0
2009-11-16,1216,1250,957,957,754026,21094.0,1875000.0
2009-11-17,888,918,842,859,656578,18938.0,1875000.0
2009-11-18,859,922,813,821,402570,18094.0,1875000.0
2009-11-19,828,832,766,772,213569,17006.0,1875000.0
2009-11-20,748,811,740,775,268386,17081.0,1875000.0
2009-11-23,778,808,772,775,116261,17081.0,1875000.0
2009-11-24,779,794,744,745,98770,16425.0,1875000.0
2009-11-25,748,765,710,724,73168,15956.0,1875000.0
2009-11-26,721,757,703,738,85665,16256.0,1875000.0
2009-11-27,723,740,658,661,75212,14569.0,1875000.0
2009-11-30,661,688,657,672,56561,14812.0,1875000.0
2009-12-01,676,676,649,650,38661,14325.0,1875000.0
2009-12-02,659,706,659,677,72078,14925.0,1875000.0
2009-12-03,693,706,678,698,45525,15375.0,1875000.0
2009-12-04,702,705,681,692,39619,15244.0,1875000.0
2009-12-07,693,782,688,744,153284,16388.0,1875000.0
2009-12-08,755,782,731,747,76941,16462.0,1875000.0
2009-12-09,737,754,725,728,30073,16031.0,1875000.0
2009-12-10,744,765,734,754,28821,16612.0,1875000.0
2009-12-11,765,786,758,768,58625,16912.0,1875000.0
2009-12-14,781,783,731,732,49968,16125.0,1875000.0
2009-12-15,731,742,718,727,44338,16012.0,1875000.0
2009-12-16,726,729,702,708,37776,15600.0,1875000.0
2009-12-17,707,740,697,731,44677,16106.0,1875000.0
2009-12-18,718,748,717,736,16616,16219.0,1875000.0
2009-12-21,741,751,731,733,32976,16144.0,1875000.0
2009-12-22,733,747,722,724,14386,15956.0,1875000.0
2009-12-23,728,729,700,707,16163,15581.0,1875000.0
2009-12-24,706,732,696,700,22634,15412.0,1875000.0
2009-12-28,700,700,666,677,38283,14925.0,1875000.0
2009-12-29,680,685,663,686,15186,15112.0,1875000.0
2009-12-30,676,697,664,698,13051,15375.0,1875000.0
2010-01-04,697,721,682,722,28164,15900.0,1875000.0
2010-01-05,721,732,715,722,20111,15900.0,1875000.0
2010-01-06,721,735,715,716,19735,15769.0,1875000.0
2010-01-07,718,785,718,766,61877,16875.0,1875000.0
2010-01-08,765,785,749,756,45436,16650.0,1875000.0
2010-01-11,757,836,757,801,103042,17662.0,1875000.0
2010-01-12,801,871,790,819,147946,18056.0,1875000.0
2010-01-13,815,834,771,773,48770,17025.0,1875000.0
2010-01-14,781,807,770,807,39317,17794.0,1875000.0
2010-01-15,816,845,808,818,42561,18038.0,1875000.0
2010-01-18,818,840,805,841,25514,18525.0,1875000.0
2010-01-19,847,897,835,872,85982,19219.0,1875000.0
2010-01-20,892,999,876,1000,126265,22031.0,1875000.0
2010-01-21,1042,1148,1037,1149,404469,25312.0,1875000.0
2010-01-22,1139,1173,1080,1140,263134,25125.0,1875000.0
2010-01-25,1118,1241,1076,1089,299842,24000.0,1875000.0
2010-01-26,1110,1122,940,970,175042,21375.0,1875000.0
2010-01-27,965,974,867,868,146732,19125.0,1875000.0
2010-01-28,884,935,867,868,86341,19125.0,1875000.0
2010-01-29,838,850,772,799,86791,17606.0,1875000.0
2010-02-01,792,836,792,832,26011,18338.0,1875000.0
2010-02-02,845,952,842,953,126474,21000.0,1875000.0
2010-02-03,978,1003,914,962,90878,21188.0,1875000.0
2010-02-04,944,978,926,945,46318,20812.0,1875000.0
2010-02-05,880,901,854,893,37532,19688.0,1875000.0
2010-02-08,901,995,859,936,84469,20625.0,1875000.0
2010-02-09,961,1076,957,1076,127487,23719.0,1875000.0
2010-02-10,1148,1152,1046,1076,161373,23719.0,1875000.0
2010-02-11,1076,1173,1050,1055,109708,23250.0,1875000.0
2010-02-12,1076,1122,1067,1102,41372,24281.0,1875000.0
2010-02-16,1109,1139,1080,1098,50834,24188.0,1875000.0
2010-02-17,1122,1122,1008,1008,106517,22219.0,1875000.0
2010-02-18,1016,1046,991,991,45174,21844.0,1875000.0
2010-02-19,995,1025,957,991,49600,21844.0,1875000.0
2010-02-22,995,1050,995,1034,32889,22781.0,1875000.0
2010-02-23,1042,1054,995,1025,20301,22594.0,1875000.0
2010-02-24,1033,1033,991,1000,15043,22031.0,1875000.0
2010-02-25,1020,1029,969,1000,22737,22031.0,1875000.0
2010-02-26,999,1025,969,1004,12764,22125.0,1875000.0
2010-03-02,1016,1016,978,983,13485,21656.0,1875000.0
2010-03-03,999,1008,944,996,16695,21938.0,1875000.0
2010-03-04,1003,1003,969,996,12275,21938.0,1875000.0
2010-03-05,1008,1063,995,1047,42221,23062.0,1875000.0
2010-03-08,1046,1097,1020,1072,28666,23625.0,1875000.0
2010-03-09,1088,1105,1054,1098,30248,24188.0,1875000.0
2010-03-10,1216,1259,1190,1260,104277,27750.0,1875000.0
2010-03-11,1276,1441,1233,1260,513856,27750.0,1875000.0
2010-03-12,1263,1272,1122,1136,189240,25031.0,1875000.0
2010-03-15,1148,1306,1131,1306,246314,28781.0,1875000.0
2010-03-16,1386,1501,1373,1502,337336,33094.0,1875000.0
2010-03-17,1535,1556,1399,1446,449843,31875.0,1875000.0
2010-03-18,1480,1663,1420,1664,403249,36656.0,1875000.0
2010-03-19,1714,1735,1492,1514,477265,33375.0,1875000.0
2010-03-22,1497,1565,1441,1446,229898,31875.0,1875000.0
2010-03-23,1484,1526,1412,1451,161252,31969.0,1875000.0
2010-03-24,1488,1488,1344,1370,144467,30188.0,1875000.0
2010-03-25,1344,1416,1327,1378,85988,30375.0,1875000.0
2010-03-26,1395,1556,1352,1480,215164,32625.0,1875000.0
2010-03-29,1446,1526,1403,1404,80901,30938.0,1875000.0
2010-03-30,1429,1463,1399,1412,46375,31125.0,1875000.0
2010-03-31,1412,1578,1407,1451,184341,31969.0,1875000.0
2010-04-01,1454,1518,1403,1446,92903,31875.0,1875000.0
2010-04-02,1475,1497,1412,1463,53488,32250.0,1875000.0
2010-04-05,1450,1518,1352,1463,89579,32250.0,1875000.0
2010-04-06,1497,1497,1450,1472,36207,32438.0,1875000.0
2010-04-07,1480,1535,1395,1429,76632,31500.0,1875000.0
2010-04-08,1424,1424,1356,1357,40750,29906.0,1875000.0
2010-04-09,1373,1395,1289,1327,50863,29250.0,1875000.0
