크루셜텍(114120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-07-21,12528,13292,10662,10664,2832748,225061.0,8289547.0
2010-07-22,10407,10838,10131,10704,1481342,225890.0,8289547.0
2010-07-23,10954,11172,9129,9329,1613997,196877.0,8289547.0
2010-07-26,9325,9503,8637,8642,678522,182370.0,8289547.0
2010-07-27,8736,9738,8639,9114,1636838,192317.0,8289547.0
2010-07-28,9246,9325,8578,8602,516032,181541.0,8289547.0
2010-07-29,8637,9147,8442,8956,400544,189002.0,8289547.0
2010-07-30,9031,9208,8833,9033,238823,190660.0,8289547.0
2010-08-02,9169,9404,8873,8995,212264,189831.0,8289547.0
2010-08-03,8991,9110,8637,8642,146048,182370.0,8289547.0
2010-08-04,8559,8659,8088,8091,404443,170765.0,8289547.0
2010-08-05,8165,8187,7421,7620,358242,160817.0,8289547.0
2010-08-06,7654,7871,7399,7640,215425,161232.0,8289547.0
2010-08-09,7559,8088,7559,8051,229103,169936.0,8289547.0
2010-08-10,8069,8559,8051,8073,313519,170350.0,8289547.0
2010-08-11,8148,8225,7733,7778,152091,164133.0,8289547.0
2010-08-12,7638,8205,7598,7974,102124,168278.0,8289547.0
2010-08-13,7911,8343,7911,8130,92141,171594.0,8289547.0
2010-08-16,8266,8422,7932,8112,156359,171179.0,8289547.0
2010-08-17,8205,8521,8128,8345,332761,176153.0,8289547.0
2010-08-18,8323,8521,8108,8112,207459,171179.0,8289547.0
2010-08-19,8227,8404,8148,8150,165500,172008.0,8289547.0
2010-08-20,8244,8539,8227,8385,212457,176982.0,8289547.0
2010-08-23,8442,8462,8051,8073,152403,170350.0,8289547.0
2010-08-24,8069,8205,7853,8051,134641,169936.0,8289547.0
2010-08-25,8051,8148,7891,8051,82065,169936.0,8289547.0
2010-08-26,8422,8559,8284,8328,336773,175738.0,8289547.0
2010-08-27,8305,8442,8205,8405,117601,177396.0,8289547.0
2010-08-30,8521,9621,8481,9270,770698,195633.0,8289547.0
2010-08-31,9226,9777,8952,9702,418382,204752.0,8289547.0
2010-09-01,9698,9856,9522,9604,284845,202679.0,8289547.0
2010-09-02,9757,9933,9463,9505,239376,200607.0,8289547.0
2010-09-03,9463,9817,9463,9604,192634,202679.0,8289547.0
2010-09-06,9698,10032,9542,9819,251222,207239.0,8289547.0
2010-09-07,9817,9994,9443,9485,175612,200193.0,8289547.0
2010-09-08,9483,9542,9188,9329,226851,196877.0,8289547.0
2010-09-09,9463,9914,9443,9840,258600,207653.0,8289547.0
2010-09-10,9953,10012,9659,9880,254820,208482.0,8289547.0
2010-09-13,10131,10386,9953,9957,319773,210140.0,8289547.0
2010-09-14,10091,10287,9698,10115,258004,213456.0,8289547.0
2010-09-15,10032,10289,9621,9622,221577,203388.0,8301547.0
2010-09-16,9698,9698,9463,9505,74768,200897.0,8301547.0
2010-09-17,9481,10131,9481,9937,197068,210029.0,8301547.0
2010-09-20,10070,10386,10012,10135,210166,214180.0,8301547.0
2010-09-24,10210,10307,9973,10135,105486,214180.0,8301547.0
2010-09-27,10307,10307,10052,10194,177717,215425.0,8301547.0
