웰크론강원(114190),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-11-20,2500,2875,2405,2875,5675822,30475.0,5300000.0
2009-11-23,3135,3305,3135,3305,3448040,35033.0,5300000.0
2009-11-24,3490,3700,3200,3200,2957030,33920.0,5300000.0
2009-11-25,3300,3330,2740,2850,1338207,30210.0,5300000.0
2009-11-26,2910,3105,2800,2855,1040107,30263.0,5300000.0
2009-11-27,2700,2825,2430,2430,654877,25758.0,5300000.0
2009-11-30,2505,2600,2207,2220,548560,23532.0,5300000.0
2009-12-01,2307,2400,2150,2243,610724,23770.0,5300000.0
2009-12-02,2300,2330,2255,2260,227219,23956.0,5300000.0
2009-12-03,2275,2415,2275,2360,395399,25016.0,5300000.0
2009-12-04,2347,2390,2297,2355,191036,24963.0,5300000.0
2009-12-07,2400,2705,2375,2705,756478,28673.0,5300000.0
2009-12-08,2775,2880,2595,2705,1184142,28673.0,5300000.0
2009-12-09,2695,2840,2660,2735,703582,28991.0,5300000.0
2009-12-10,2770,2805,2650,2650,328099,28090.0,5300000.0
2009-12-11,2660,2675,2525,2525,257031,26765.0,5300000.0
2009-12-14,2575,2875,2555,2750,493917,29150.0,5300000.0
2009-12-15,2795,2795,2690,2730,182309,28938.0,5300000.0
2009-12-16,2760,2795,2650,2655,216105,28143.0,5300000.0
2009-12-17,2685,2750,2540,2540,173677,26924.0,5300000.0
2009-12-18,2540,2625,2535,2565,115861,27189.0,5300000.0
2009-12-21,2625,2640,2550,2555,115676,27083.0,5300000.0
2009-12-22,2610,2715,2525,2565,221284,27189.0,5300000.0
2009-12-23,2565,2645,2500,2520,84981,26712.0,5300000.0
2009-12-24,2590,2620,2530,2610,78976,27666.0,5300000.0
2009-12-28,2850,3000,2710,3000,808962,31800.0,5300000.0
2009-12-29,2875,2910,2720,2730,356569,28938.0,5300000.0
2009-12-30,2680,2945,2680,2750,319993,29150.0,5300000.0
2010-01-04,2870,2900,2770,2800,135837,29680.0,5300000.0
2010-01-05,2850,2850,2740,2750,97192,29150.0,5300000.0
2010-01-06,2750,2840,2700,2715,141472,28779.0,5300000.0
2010-01-07,2730,2975,2715,2900,288657,30740.0,5300000.0
2010-01-08,2890,3250,2855,3160,433397,33496.0,5300000.0
2010-01-11,3160,3440,3135,3365,285043,35669.0,5300000.0
2010-01-12,3500,3640,3305,3500,331253,37100.0,5300000.0
2010-01-13,3500,4025,3450,4025,784844,42665.0,5300000.0
2010-01-14,4250,4600,4075,4350,1494339,46110.0,5300000.0
2010-01-15,4310,4350,4010,4110,613465,43566.0,5300000.0
2010-01-18,4210,4390,4065,4295,713637,45527.0,5300000.0
2010-01-19,4285,4330,4085,4115,325192,43619.0,5300000.0
2010-01-20,4100,4575,4075,4225,638895,44785.0,5300000.0
2010-01-21,4060,4170,3600,4085,224229,43301.0,5300000.0
2010-01-22,3985,4140,3905,4100,217537,43460.0,5300000.0
2010-01-25,4140,4480,3635,3985,520473,42241.0,5300000.0
2010-01-26,3985,3995,3750,3850,134293,40810.0,5300000.0
2010-01-27,4050,4344,3900,4025,469214,42665.0,5300000.0
2010-01-28,4025,4185,3995,4100,246949,43460.0,5300000.0
2010-01-29,4015,4090,3840,3840,73902,40704.0,5300000.0
2010-02-01,3785,3980,3730,3740,105995,39644.0,5300000.0
2010-02-02,3755,3845,3715,3740,72949,39644.0,5300000.0
2010-02-03,3835,4035,3750,3975,69821,42135.0,5300000.0
2010-02-04,3985,4200,3900,4180,82753,44308.0,5300000.0
2010-02-05,4020,4150,3965,4100,68877,43460.0,5300000.0
2010-02-08,4300,4370,4084,4125,62758,43725.0,5300000.0
2010-02-09,4200,4200,4015,4085,52601,43301.0,5300000.0
2010-02-10,4120,4200,3970,4075,74604,43195.0,5300000.0
2010-02-11,4075,4115,4005,4060,48079,43036.0,5300000.0
2010-02-12,4100,4125,3980,4100,23848,43460.0,5300000.0
2010-02-16,4080,4145,4050,4090,26794,43354.0,5300000.0
2010-02-17,4125,4340,4105,4200,124617,44520.0,5300000.0
2010-02-18,4205,4490,4175,4490,229944,47594.0,5300000.0
2010-02-19,4400,4640,4365,4440,241667,47064.0,5300000.0
2010-02-22,4540,4750,4510,4680,197565,49608.0,5300000.0
2010-02-23,4625,4680,4550,4595,62373,48707.0,5300000.0
2010-02-24,4550,4555,4425,4525,67043,47965.0,5300000.0
2010-02-25,4540,4540,4370,4530,80774,48018.0,5300000.0
2010-02-26,4475,4525,4435,4500,38793,47700.0,5300000.0
2010-03-02,4500,4595,4415,4425,39757,46905.0,5300000.0
2010-03-03,4460,4470,4205,4320,63294,45792.0,5300000.0
2010-03-04,4355,4364,4065,4085,117903,43301.0,5300000.0
2010-03-05,4105,4200,3965,4195,58632,44467.0,5300000.0
2010-03-08,4260,4260,4080,4150,48118,43990.0,5300000.0
2010-03-09,4105,4385,4030,4325,176254,45845.0,5300000.0
2010-03-10,4390,4395,4205,4320,70596,45792.0,5300000.0
2010-03-11,4325,4475,4305,4330,97186,45898.0,5300000.0
2010-03-12,4360,4365,4300,4320,33784,45792.0,5300000.0
2010-03-15,4375,4375,4170,4330,57061,45898.0,5300000.0
2010-03-16,4350,4360,4275,4350,27001,46110.0,5300000.0
2010-03-17,4400,4590,4325,4430,190643,46958.0,5300000.0
2010-03-18,4430,4520,4350,4390,58393,46534.0,5300000.0
2010-03-19,4400,4400,4250,4295,77345,45527.0,5300000.0
2010-03-22,4295,4295,4200,4225,31973,44785.0,5300000.0
2010-03-23,4225,4250,4135,4145,47876,43937.0,5300000.0
2010-03-24,4145,4335,4145,4240,131124,44944.0,5300000.0
2010-03-25,4270,4270,4170,4180,30473,44308.0,5300000.0
2010-03-26,4185,4250,4075,4150,42108,43990.0,5300000.0
2010-03-29,4200,4285,4100,4100,50407,43460.0,5300000.0
2010-03-30,4100,4240,3990,4200,91989,44520.0,5300000.0
2010-03-31,4225,4225,4120,4195,19033,44467.0,5300000.0
2010-04-01,4195,4230,4094,4195,22486,44467.0,5300000.0
2010-04-02,4195,4220,4070,4125,42629,43725.0,5300000.0
2010-04-05,4145,4170,3810,4015,62708,42559.0,5300000.0
