큐리언트(115180),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-02-29,33900,40900,33900,39000,4272052,281863.0,7227262.0
2016-03-02,40050,47700,38700,46600,2708114,336790.0,7227262.0
2016-03-03,45800,47500,43650,47100,1191682,340404.0,7227262.0
2016-03-04,45600,48700,45250,47150,672472,340765.0,7227262.0
2016-03-07,48000,48150,43250,43500,417492,314386.0,7227262.0
2016-03-08,43800,48200,42000,47850,820968,345824.0,7227262.0
2016-03-09,47500,50500,47200,48000,630038,346909.0,7227262.0
2016-03-10,47150,47350,45250,46350,376985,334984.0,7227262.0
2016-03-11,46400,46400,43350,43750,338105,316193.0,7227262.0
2016-03-14,43400,45000,41000,42150,334793,304629.0,7227262.0
2016-03-15,42000,43900,41150,43100,414912,311495.0,7227262.0
2016-03-16,43100,43750,41400,42500,252554,307159.0,7227262.0
2016-03-17,44000,44250,42000,42000,212541,303545.0,7227262.0
2016-03-18,42150,42850,41550,41700,136238,301377.0,7227262.0
2016-03-21,41750,41950,40000,40050,233091,289452.0,7227262.0
2016-03-22,40250,41750,38500,40900,348320,295595.0,7227262.0
2016-03-23,40200,43550,40200,43200,327015,312218.0,7227262.0
2016-03-24,42500,44050,42100,42950,170530,310411.0,7227262.0
2016-03-25,42950,45150,42150,42450,272774,306797.0,7227262.0
2016-03-28,42150,44650,41700,44100,241214,318722.0,7227262.0
2016-03-29,41800,43450,40500,42700,1004819,308604.0,7227262.0
2016-03-30,43000,46450,43000,45000,907971,325227.0,7227262.0
2016-03-31,45200,47300,44800,46400,557633,335345.0,7227262.0
2016-04-01,47100,47200,45400,46050,295287,332815.0,7227262.0
2016-04-04,45800,46900,44650,45000,276181,325227.0,7227262.0
2016-04-05,45200,47850,44450,47000,363740,339681.0,7227262.0
2016-04-06,46800,48350,46050,46050,270731,332815.0,7227262.0
2016-04-07,46150,47200,45350,46450,196783,335706.0,7227262.0
2016-04-08,47000,48200,45800,48100,284760,347631.0,7227262.0
2016-04-11,47900,48050,45600,45900,215099,331731.0,7227262.0
2016-04-12,45900,46300,43600,45600,243002,329563.0,7227262.0
2016-04-14,45600,45600,44000,44000,163794,318000.0,7227262.0
2016-04-15,44000,44000,42700,43100,129031,311495.0,7227262.0
2016-04-18,42550,43600,42550,43450,114201,314025.0,7227262.0
2016-04-19,43450,43600,42150,42750,172516,308965.0,7227262.0
2016-04-20,43000,43100,41400,41500,161672,299931.0,7227262.0
2016-04-21,41550,44200,40750,43650,212963,315470.0,7227262.0
2016-04-22,43350,43550,42600,43100,91122,311495.0,7227262.0
2016-04-25,43350,44150,42200,43150,73879,311856.0,7227262.0
2016-04-26,43200,43800,42650,43000,56923,310772.0,7227262.0
2016-04-27,43150,43150,40900,41100,142067,297040.0,7227262.0
2016-04-28,40900,41000,39400,40250,171580,290897.0,7227262.0
2016-04-29,40600,41800,39400,41250,165849,298125.0,7227262.0
