아이텍(119830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-10-26,9150,9900,7940,8000,3144133,36900.0,4612500.0
2010-10-27,8200,8980,8130,8160,1326066,37638.0,4612500.0
2010-10-28,8450,8770,7830,7900,564561,36439.0,4612500.0
2010-10-29,8020,8180,7390,7450,437979,34363.0,4612500.0
2010-11-01,7510,8340,7410,7720,770848,35608.0,4612500.0
2010-11-02,8010,8250,7750,7850,271346,36208.0,4612500.0
2010-11-03,7900,7900,7360,7360,198080,33948.0,4612500.0
2010-11-04,7400,7480,7120,7190,166868,33164.0,4612500.0
2010-11-05,7290,7370,7200,7200,93702,33210.0,4612500.0
2010-11-08,7100,7320,7050,7160,75820,33026.0,4612500.0
2010-11-09,7230,7280,7060,7090,73078,36932.0,5209046.0
2010-11-10,7090,7100,6900,6990,83429,36411.0,5209046.0
2010-11-11,7000,7000,6700,6700,82151,34901.0,5209046.0
2010-11-12,6650,6740,6260,6300,124709,32817.0,5209046.0
2010-11-15,6280,6460,6210,6390,52167,33286.0,5209046.0
2010-11-16,6460,6460,6080,6160,53507,32088.0,5209046.0
2010-11-17,5900,6130,5850,5860,56706,30525.0,5209046.0
2010-11-18,5870,6040,5850,5870,47395,30577.0,5209046.0
2010-11-19,5910,6090,5870,6000,60035,31254.0,5209046.0
2010-11-22,5980,6300,5970,6000,65408,31254.0,5209046.0
2010-11-23,6060,6090,5920,5930,39086,30890.0,5209046.0
2010-11-24,5400,5690,5350,5580,81812,29066.0,5209046.0
2010-11-25,5610,5670,5410,5430,62132,28285.0,5209046.0
2010-11-26,5580,5580,5000,5010,65390,26097.0,5209046.0
2010-11-29,5010,5190,5000,5050,35459,26306.0,5209046.0
2010-11-30,5010,5120,5010,5050,27529,26306.0,5209046.0
2010-12-01,5050,5370,5050,5160,63515,26879.0,5209046.0
2010-12-02,5200,5350,5120,5150,49443,26827.0,5209046.0
2010-12-03,5150,5270,5070,5070,54265,26410.0,5209046.0
2010-12-06,5070,5200,4850,4900,86371,25524.0,5209046.0
2010-12-07,4870,4970,4810,4855,26524,25290.0,5209046.0
2010-12-08,4890,5060,4830,4850,42232,25264.0,5209046.0
2010-12-09,4885,4890,4825,4890,25113,25472.0,5209046.0
2010-12-10,4900,5100,4900,4975,31991,25915.0,5209046.0
2010-12-13,4990,5150,4950,4980,41210,25941.0,5209046.0
2010-12-14,4980,5080,4865,4875,51204,25394.0,5209046.0
2010-12-15,4945,4945,4810,4810,32509,25056.0,5209046.0
2010-12-16,4835,4905,4625,4630,79880,24118.0,5209046.0
2010-12-17,4630,4850,4505,4560,95668,23753.0,5209046.0
2010-12-20,4535,4600,4210,4400,54977,22920.0,5209046.0
2010-12-21,4400,4570,4400,4425,39763,23050.0,5209046.0
2010-12-22,4530,4530,4380,4410,33985,22972.0,5209046.0
2010-12-23,4430,4515,4310,4320,21450,22503.0,5209046.0
2010-12-24,4335,4470,4315,4315,39592,22477.0,5209046.0
2010-12-27,4330,4390,4180,4220,41412,21982.0,5209046.0
2010-12-28,4205,4250,4020,4050,57420,21097.0,5209046.0
2010-12-29,4090,4180,4000,4110,30466,21409.0,5209046.0
2010-12-30,4190,4530,4130,4200,213013,21878.0,5209046.0
2011-01-03,4290,4480,4245,4390,104537,22868.0,5209046.0
2011-01-04,4440,4555,4350,4410,127731,22972.0,5209046.0
2011-01-05,4420,5070,4410,5070,328825,26410.0,5209046.0
2011-01-06,5800,5830,5350,5830,627659,30369.0,5209046.0
2011-01-07,6290,6570,5480,5810,1823930,30265.0,5209046.0
2011-01-10,5900,6680,5700,6680,1444552,34796.0,5209046.0
2011-01-11,6800,7300,6400,6740,1348314,35109.0,5209046.0
2011-01-12,6790,6900,5830,6000,664777,31254.0,5209046.0
2011-01-13,5910,6040,5630,5830,356888,30369.0,5209046.0
2011-01-14,5880,6170,5770,5830,459586,30369.0,5209046.0
2011-01-17,5930,6700,5830,6700,981879,34901.0,5209046.0
2011-01-18,6900,7210,6050,6140,1068029,31984.0,5209046.0
2011-01-19,6220,6230,5850,5940,265650,30942.0,5209046.0
2011-01-20,5940,5960,5740,5750,190657,29952.0,5209046.0
2011-01-21,5760,5960,5570,5660,209594,29483.0,5209046.0
2011-01-24,5790,6410,5690,6100,564753,31775.0,5209046.0
2011-01-25,6200,6540,5830,5840,387024,30421.0,5209046.0
2011-01-26,5850,6170,5760,6160,221017,32088.0,5209046.0
2011-01-27,6220,6330,5900,5900,161022,30733.0,5209046.0
2011-01-28,5960,6650,5900,6360,543118,33130.0,5209046.0
2011-01-31,6300,6800,6240,6610,517855,34432.0,5209046.0
2011-02-01,6700,7000,6500,6510,528941,33911.0,5209046.0
2011-02-07,6650,6750,6300,6400,307864,33338.0,5209046.0
2011-02-08,6490,6490,5900,6060,268868,31567.0,5209046.0
2011-02-09,6010,6100,5790,5880,131343,30629.0,5209046.0
