대정화금(120240),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-12-20,13100,15050,12000,13800,7398542,76414.0,5537272.0
2010-12-21,14300,14500,11750,11750,2165743,65063.0,5537272.0
2010-12-22,11450,12550,11400,12200,2241812,67555.0,5537272.0
2010-12-23,12200,14000,11950,14000,1385605,77522.0,5537272.0
2010-12-24,15200,15350,12350,12600,3323511,69770.0,5537272.0
2010-12-27,12900,13900,12350,12550,1263579,69493.0,5537272.0
2010-12-28,13000,14400,12500,13000,2323615,71985.0,5537272.0
2010-12-29,13200,14050,12750,13400,1107967,74199.0,5537272.0
2010-12-30,13500,13900,12650,12800,649235,70877.0,5537272.0
2011-01-03,12900,13200,12350,12900,590979,71431.0,5537272.0
2011-01-04,12950,13950,12550,13050,1257061,72261.0,5537272.0
2011-01-05,13200,14850,12950,13750,2062890,76137.0,5537272.0
2011-01-06,14150,14600,12850,13150,1117355,72815.0,5537272.0
2011-01-07,13350,13950,13200,13550,602943,75030.0,5537272.0
2011-01-10,13600,13900,13400,13450,371983,74476.0,5537272.0
2011-01-11,13450,13500,12950,13000,334560,71985.0,5537272.0
2011-01-12,13150,13400,13000,13150,291178,72815.0,5537272.0
2011-01-13,13150,13150,12600,12600,294722,69770.0,5537272.0
2011-01-14,12700,12950,12250,12250,198908,67832.0,5537272.0
2011-01-17,12000,12300,11850,12000,200980,66447.0,5537272.0
2011-01-18,12000,12000,11100,11400,436983,63125.0,5537272.0
2011-01-19,11350,11950,11350,11700,166714,64786.0,5537272.0
2011-01-20,11650,11800,11100,11300,354054,65461.0,5793026.0
2011-01-21,11300,11550,11000,11000,190456,63723.0,5793026.0
2011-01-24,11000,11100,10350,10500,242389,60827.0,5793026.0
2011-01-25,10600,11500,10350,11250,439385,65172.0,5793026.0
2011-01-26,11100,11350,10700,10750,162152,62275.0,5793026.0
2011-01-27,10750,11000,10600,10800,154442,62565.0,5793026.0
2011-01-28,10850,11250,10550,10750,213425,62275.0,5793026.0
2011-01-31,10650,10900,10450,10700,118912,61985.0,5793026.0
2011-02-01,10900,11050,10650,10700,129227,61985.0,5793026.0
2011-02-07,10750,11000,10600,10650,113013,61696.0,5793026.0
2011-02-08,10700,10800,10450,10550,187650,61116.0,5793026.0
2011-02-09,11200,11350,10500,10650,524141,61696.0,5793026.0
2011-02-10,10600,10700,9990,9990,186351,57872.0,5793026.0
2011-02-11,9910,10050,9200,9350,238730,54165.0,5793026.0
2011-02-14,9250,9560,9140,9150,100027,53006.0,5793026.0
2011-02-15,9210,9210,7820,8370,257730,48488.0,5793026.0
2011-02-16,8370,9110,8370,8630,150437,49994.0,5793026.0
2011-02-17,8540,8720,8240,8260,108560,47850.0,5793026.0
2011-02-18,8300,8900,8070,8800,111248,50979.0,5793026.0
2011-02-21,8920,9600,8870,9250,211823,53585.0,5793026.0
2011-02-22,9290,9460,9070,9460,84868,54802.0,5793026.0
2011-02-23,9550,9840,9180,9180,143344,53180.0,5793026.0
2011-02-24,9200,9300,8810,8820,70672,51094.0,5793026.0
2011-02-25,8750,9250,8660,9000,60676,52137.0,5793026.0
2011-02-28,9000,9520,9000,9410,81511,54512.0,5793026.0
2011-03-02,9320,10100,9290,9780,165948,56656.0,5793026.0
2011-03-03,9960,10600,9800,10150,204331,58799.0,5793026.0
2011-03-04,10250,10300,9930,10000,118799,57930.0,5793026.0
2011-03-07,10100,10550,9870,10200,128424,59089.0,5793026.0
2011-03-08,10350,11600,10250,11150,471934,64592.0,5793026.0
2011-03-09,11450,12150,11100,11200,388192,64882.0,5793026.0
2011-03-10,11400,11500,11050,11400,168263,66040.0,5793026.0
2011-03-11,11150,11300,10650,11050,161201,64013.0,5793026.0
2011-03-14,11750,12700,11450,12700,1428421,73571.0,5793026.0
2011-03-15,13400,14600,12200,14600,3607514,84578.0,5793026.0
2011-03-16,14000,16700,13000,14600,5010109,84578.0,5793026.0
2011-03-17,16350,16750,14100,16000,4546179,92688.0,5793026.0
2011-03-18,16400,17400,13600,13600,2994749,78785.0,5793026.0
2011-03-21,13450,13650,12000,12500,2541182,72413.0,5793026.0
2011-03-22,12500,12750,12050,12550,1743465,72702.0,5793026.0
2011-03-23,12600,12900,12050,12650,1065647,73282.0,5793026.0
2011-03-24,13100,13650,12150,12150,1649419,70385.0,5793026.0
