코이즈(121850),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-09-27,5152,5409,4579,5181,3499789,55713.0,6156166.0
2012-09-28,5318,5329,4522,4523,814735,48634.0,6156166.0
2012-10-02,4596,4653,4315,4351,289823,46787.0,6156166.0
2012-10-04,4436,4739,4390,4391,310270,47218.0,6156166.0
2012-10-05,4418,4584,4418,4455,127458,47895.0,6156166.0
2012-10-08,4481,4544,4292,4322,155123,46479.0,6156166.0
2012-10-09,4361,4629,4292,4500,212236,48387.0,6156166.0
2012-10-10,4567,4681,4464,4557,235960,49003.0,6156166.0
2012-10-11,4573,4636,4378,4436,241662,47710.0,6156166.0
2012-10-12,4464,4865,4361,4574,469192,49188.0,6156166.0
2012-10-15,4573,4796,4544,4586,289372,49311.0,6156166.0
2012-10-16,4613,4807,4487,4580,276567,52384.0,6548048.0
2012-10-17,4629,4704,4481,4511,168120,51599.0,6548048.0
2012-10-18,4511,4556,4012,4236,149935,48456.0,6548048.0
2012-10-19,4207,4333,4121,4282,66351,48979.0,6548048.0
2012-10-22,4236,4350,4155,4271,45888,48848.0,6548048.0
2012-10-23,4236,4499,4213,4420,91295,50551.0,6548048.0
2012-10-24,4384,4464,4281,4363,58806,49896.0,6548048.0
2012-10-25,4401,4401,4161,4259,70891,48717.0,6548048.0
2012-10-26,4292,4321,4138,4220,63221,48259.0,6548048.0
2012-10-29,4292,4292,3995,4093,49668,46819.0,6548048.0
2012-10-30,4063,4103,3932,4043,50843,46229.0,6548048.0
2012-10-31,4007,4081,3961,4007,39942,45836.0,6548048.0
2012-11-01,4007,4070,3932,4054,60610,46360.0,6548048.0
2012-11-02,4086,4109,3961,4007,30518,45836.0,6548048.0
2012-11-05,3977,4121,3977,4019,29655,45967.0,6548048.0
2012-11-06,4018,4292,4018,4243,75651,48521.0,6548048.0
2012-11-07,4240,4344,4144,4276,29609,48914.0,6548048.0
2012-11-08,4236,4315,4184,4317,24408,49372.0,6548048.0
2012-11-09,4263,4350,4229,4340,24090,49634.0,6548048.0
2012-11-12,4344,4522,4344,4455,50974,50944.0,6548048.0
2012-11-13,4452,4481,4178,4322,62830,49438.0,6548048.0
2012-11-14,4292,4670,4236,4603,318846,52646.0,6548048.0
2012-11-15,4573,4779,4492,4695,305301,53694.0,6548048.0
2012-11-16,4693,4865,4670,4757,225509,54414.0,6548048.0
2012-11-19,4836,5157,4767,5152,441015,58932.0,6548048.0
2012-11-20,5237,5341,5134,5221,348982,59718.0,6548048.0
2012-11-21,5271,5420,5134,5239,275918,59915.0,6548048.0
2012-11-22,5231,5266,5134,5266,106054,60242.0,6548048.0
