코리아에프티(123410),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-08-27,4228,4271,4218,4229,208838,26797.0,6784000.0
2010-08-30,4228,4228,4202,4207,144341,26661.0,6784000.0
2010-08-31,4207,4218,4196,4207,17464,26661.0,6784000.0
2010-09-01,4207,4218,4207,4213,11991,26695.0,6784000.0
2010-09-02,4218,4234,4218,4234,9412,26831.0,6784000.0
2010-09-03,4218,4223,4207,4218,12889,26729.0,6784000.0
2010-09-06,4218,4228,4212,4224,35342,26763.0,6784000.0
2010-09-07,4207,4234,4202,4207,53903,26661.0,6784000.0
2010-09-08,4228,4239,4207,4213,37700,26695.0,6784000.0
2010-09-09,4207,4228,4175,4224,138617,26763.0,6784000.0
2010-09-10,4223,4234,4196,4207,123723,26661.0,6784000.0
2010-09-13,4228,4228,4180,4207,50039,26661.0,6784000.0
2010-09-14,4207,4212,4196,4197,9732,26593.0,6784000.0
2010-09-15,4196,4218,4186,4197,37099,26593.0,6784000.0
2010-09-16,4212,4212,4196,4207,52350,26661.0,6784000.0
2010-09-17,4196,4212,4196,4207,31404,26661.0,6784000.0
2010-09-20,4207,4212,4196,4213,6446,26695.0,6784000.0
2010-09-24,4207,4207,4186,4191,52241,26559.0,6784000.0
2010-09-27,4191,4212,4191,4213,17826,26695.0,6784000.0
2010-09-28,4212,4218,4191,4218,18449,26729.0,6784000.0
2010-09-29,4218,4223,4191,4224,7479,26763.0,6784000.0
2010-09-30,4196,4223,4196,4224,18120,26763.0,6784000.0
2010-10-01,4223,4244,4212,4245,1184212,26899.0,6784000.0
2010-10-04,4261,4266,4234,4250,12160,26932.0,6784000.0
2010-10-05,4271,4271,4255,4256,8250,26966.0,6784000.0
2010-10-06,4271,4282,4266,4282,100962,27136.0,6784000.0
2010-10-07,4282,4309,4277,4304,82244,27272.0,6784000.0
2010-10-08,4303,4319,4293,4309,43605,27306.0,6784000.0
2010-10-11,4303,4373,4303,4368,55520,27679.0,6784000.0
2010-10-12,4389,4480,4389,4443,43732,28154.0,6784000.0
2010-10-13,4443,4491,4421,4480,35929,28391.0,6784000.0
2010-10-14,4496,4528,4480,4491,97828,28459.0,6784000.0
2010-10-15,4507,4528,4491,4502,80932,28527.0,6784000.0
2010-10-18,4517,4517,4459,4497,35319,28493.0,6784000.0
2010-10-19,4496,4501,4485,4497,55932,28493.0,6784000.0
2010-10-20,4491,4501,4480,4497,42187,28493.0,6784000.0
2010-10-21,4517,4523,4496,4523,30315,28662.0,6784000.0
2010-10-22,4550,4657,4550,4657,37742,29510.0,6784000.0
2010-10-25,4657,4710,4646,4711,61089,29850.0,6784000.0
2010-10-26,4710,4748,4689,4737,51170,30019.0,6784000.0
2010-10-27,4764,4764,4699,4737,54329,30019.0,6784000.0
2010-10-28,4737,4881,4737,4850,65909,30732.0,6784000.0
2010-10-29,4881,4881,4796,4807,35492,30460.0,6784000.0
2010-11-01,4871,5021,4817,4893,86532,31003.0,6784000.0
2010-11-02,4903,4951,4871,4930,43016,31240.0,6784000.0
2010-11-03,4930,4930,4871,4903,10593,31071.0,6784000.0
2010-11-04,4817,4946,4732,4850,10001,30732.0,6784000.0
2010-11-05,4881,4881,4689,4764,46035,30189.0,6784000.0
2010-11-08,4774,4914,4758,4807,17968,30460.0,6784000.0
2010-11-09,4844,4844,4710,4743,12289,30053.0,6784000.0
2010-11-10,4678,4742,4507,4673,11514,29612.0,6784000.0
2010-11-11,4635,4673,4614,4668,11450,29578.0,6784000.0
2010-11-12,4657,4774,4657,4748,14484,30087.0,6784000.0
2010-11-15,4673,4742,4539,4636,8709,29375.0,6784000.0
2010-11-16,4710,4710,4507,4614,12565,29239.0,6784000.0
2010-11-17,4608,4614,4517,4604,29605,29171.0,6784000.0
2010-11-18,4635,4635,4598,4609,20575,29205.0,6784000.0
2010-11-19,4657,4657,4512,4604,6376,29171.0,6784000.0
2010-11-22,4523,4603,4496,4507,13056,28561.0,6784000.0
2010-11-23,4582,4582,4426,4427,23708,28052.0,6784000.0
2010-11-24,4426,4485,4325,4470,21118,28323.0,6784000.0
2010-11-25,4582,4582,4410,4486,5154,28425.0,6784000.0
