선데이토즈(123420),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-11-10,21862,22119,21782,21914,1087498,22079.0,5232000.0
2010-11-11,21883,21883,21778,21836,255151,22001.0,5232000.0
2010-11-12,21862,22041,21832,21914,111976,22079.0,5232000.0
2010-11-15,21862,21886,21782,21812,60094,21974.0,5232000.0
2010-11-16,21805,21859,21704,21735,49903,21896.0,5232000.0
2010-11-17,21728,21808,21626,21812,31306,21974.0,5232000.0
2010-11-18,21808,21859,21728,21758,18259,21922.0,5232000.0
2010-11-19,21755,21755,21728,21735,11799,21896.0,5232000.0
2010-11-22,21758,21758,21704,21708,15383,21870.0,5232000.0
2010-11-23,21704,21704,21573,21654,19704,21817.0,5232000.0
2010-11-24,21549,21674,21394,21681,7541,21844.0,5232000.0
2010-11-25,21728,21728,21573,21630,9800,21791.0,5232000.0
2010-11-26,21573,21677,21522,21553,12341,21713.0,5232000.0
2010-11-29,21498,21549,21444,21553,4199,21713.0,5232000.0
2010-11-30,21498,21498,21394,21448,9622,21608.0,5232000.0
2010-12-01,21444,21444,21367,21394,10262,21556.0,5232000.0
2010-12-02,21390,21495,21390,21421,14429,21582.0,5232000.0
2010-12-03,21340,21367,21057,21057,60543,21216.0,5232000.0
2010-12-06,21131,21131,20848,20902,17402,21059.0,5232000.0
2010-12-07,20848,21026,20817,21034,14074,21190.0,5232000.0
2010-12-08,21026,21026,20871,21034,9410,21190.0,5232000.0
2010-12-09,21185,21185,21080,21111,2240,21268.0,5232000.0
2010-12-10,21131,21181,21053,21135,4676,21294.0,5232000.0
2010-12-13,21235,21235,20976,21162,1024,21320.0,5232000.0
2010-12-14,21053,21181,21026,21084,10728,21242.0,5232000.0
2010-12-15,21235,21235,20925,20956,9816,21111.0,5232000.0
2010-12-16,20972,21026,20922,21034,2559,21190.0,5232000.0
2010-12-17,21080,21080,20902,21007,5072,21163.0,5232000.0
2010-12-20,21077,21077,20767,20875,14013,21033.0,5232000.0
2010-12-21,20871,20972,20871,20980,15492,21137.0,5232000.0
2010-12-22,20972,21053,20817,20875,18108,21033.0,5232000.0
2010-12-23,20871,20871,20716,20852,10483,21006.0,5232000.0
2010-12-24,20871,20871,20689,20875,15030,21033.0,5232000.0
2010-12-27,20871,21394,20871,21293,43160,21451.0,5232000.0
2010-12-28,21468,21468,21259,21475,29797,21634.0,5232000.0
2010-12-29,21394,21599,21394,21448,21508,21608.0,5232000.0
2010-12-30,21650,21650,21363,21526,9842,21687.0,5232000.0
2011-01-03,21576,21603,21235,21266,11571,21425.0,5232000.0
2011-01-04,21549,21549,21026,21394,13274,21556.0,5232000.0
2011-01-05,20871,21522,20767,20852,45398,21006.0,5232000.0
2011-01-06,20848,21367,20770,21007,47867,21163.0,5232000.0
2011-01-07,21340,21340,20716,21007,53181,21163.0,5232000.0
2011-01-10,21208,21208,20817,21084,13491,21242.0,5232000.0
2011-01-11,21080,21286,20770,21007,58654,21163.0,5232000.0
2011-01-12,21003,21003,20770,20902,17352,21059.0,5232000.0
2011-01-13,20976,20976,20716,20956,20850,21111.0,5232000.0
2011-01-14,20743,20922,20743,20875,8577,21033.0,5232000.0
2011-01-17,20976,21003,20693,20798,6805,20954.0,5232000.0
2011-01-18,21259,21259,20767,20929,4799,21085.0,5232000.0
2011-01-19,20662,20817,20662,20774,11666,20928.0,5232000.0
2011-01-20,20848,20848,20693,20696,4714,20850.0,5232000.0
2011-01-21,20821,20821,20406,20592,41240,20745.0,5232000.0
2011-01-24,20713,20713,20507,20720,3946,20876.0,5232000.0
