화신정공(126640),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-08-31,2120,2160,2080,2145,3365109,26812.0,12500000.0
2010-09-01,2145,2145,2130,2130,345278,26625.0,12500000.0
2010-09-02,2135,2135,2110,2125,145680,26562.0,12500000.0
2010-09-03,2130,2135,2120,2130,111226,26625.0,12500000.0
2010-09-06,2125,2135,2125,2125,121960,26562.0,12500000.0
2010-09-07,2125,2140,2120,2135,231032,26688.0,12500000.0
2010-09-08,2140,2340,2135,2245,383945,28062.0,12500000.0
2010-09-09,2300,2435,2260,2435,472981,30438.0,12500000.0
2010-09-10,2470,2470,2370,2380,356946,29750.0,12500000.0
2010-09-13,2375,2390,2330,2330,100230,29125.0,12500000.0
2010-09-14,2345,2355,2310,2320,123781,29000.0,12500000.0
2010-09-15,2320,2390,2285,2335,175322,29188.0,12500000.0
2010-09-16,2360,2360,2280,2305,83841,28812.0,12500000.0
2010-09-17,2300,2305,2285,2300,130332,28750.0,12500000.0
2010-09-20,2300,2340,2290,2335,74387,29188.0,12500000.0
2010-09-24,2350,2380,2300,2335,6287,29188.0,12500000.0
2010-09-27,2380,2380,2305,2350,76585,29375.0,12500000.0
2010-09-28,2350,2355,2290,2325,29139,29062.0,12500000.0
2010-09-29,2310,2325,2290,2300,35255,28750.0,12500000.0
2010-09-30,2310,2325,2300,2325,30973,29062.0,12500000.0
2010-10-01,2330,2350,2280,2345,30818,29312.0,12500000.0
2010-10-04,2340,2420,2340,2400,100647,30000.0,12500000.0
2010-10-05,2395,2420,2375,2415,58612,30188.0,12500000.0
2010-10-06,2430,2460,2395,2460,86068,30750.0,12500000.0
2010-10-07,2485,2500,2470,2500,78936,31250.0,12500000.0
2010-10-08,2570,2570,2505,2540,36299,31750.0,12500000.0
2010-10-11,2600,2610,2560,2600,88880,32500.0,12500000.0
2010-10-12,2600,2600,2520,2550,59791,31875.0,12500000.0
2010-10-13,2590,2600,2495,2575,128767,32188.0,12500000.0
2010-10-14,2600,2600,2490,2500,131024,31250.0,12500000.0
2010-10-15,2550,2595,2530,2590,88530,32375.0,12500000.0
2010-10-18,2600,2600,2500,2575,47703,32188.0,12500000.0
2010-10-19,2575,2575,2510,2550,47093,31875.0,12500000.0
2010-10-20,2570,2570,2515,2540,50854,31750.0,12500000.0
2010-10-21,2535,2575,2530,2575,37491,32188.0,12500000.0
2010-10-22,2590,2620,2560,2620,54127,32750.0,12500000.0
2010-10-25,2700,2700,2610,2620,64423,32750.0,12500000.0
2010-10-26,2605,2700,2605,2630,16495,32875.0,12500000.0
2010-10-27,2685,2740,2630,2720,60201,34000.0,12500000.0
2010-10-28,2730,2830,2650,2765,51149,34562.0,12500000.0
2010-10-29,2880,2880,2700,2745,31475,34312.0,12500000.0
2010-11-01,2745,2760,2700,2700,56914,33750.0,12500000.0
2010-11-02,2750,2750,2600,2645,40847,33062.0,12500000.0
2010-11-03,2730,2730,2600,2720,36154,34000.0,12500000.0
2010-11-04,2620,2740,2620,2720,14594,34000.0,12500000.0
2010-11-05,2735,2735,2700,2700,29284,33750.0,12500000.0
2010-11-08,2720,2720,2650,2700,892,33750.0,12500000.0
2010-11-09,2700,2700,2620,2680,16562,33500.0,12500000.0
2010-11-10,2570,2660,2570,2620,10025,32750.0,12500000.0
2010-11-11,2640,2640,2535,2610,20740,32625.0,12500000.0
2010-11-12,2645,2645,2490,2605,35396,32562.0,12500000.0
2010-11-15,2590,2590,2430,2450,30472,30625.0,12500000.0
2010-11-16,2650,2650,2400,2475,16401,30938.0,12500000.0
2010-11-17,2475,2580,2470,2580,40875,32250.0,12500000.0
2010-11-18,2610,2610,2470,2515,8284,31438.0,12500000.0
2010-11-19,2490,2515,2470,2515,12706,31438.0,12500000.0
2010-11-22,2500,2515,2420,2420,8176,30250.0,12500000.0
2010-11-23,2420,2485,2360,2420,15885,30250.0,12500000.0
2010-11-24,2340,2600,2330,2450,9904,30625.0,12500000.0
2010-11-25,2450,2465,2315,2460,7493,30750.0,12500000.0
2010-11-26,2430,2500,2400,2485,40930,31062.0,12500000.0
2010-11-29,2515,2525,2500,2525,26905,31562.0,12500000.0
2010-11-30,2525,2560,2500,2560,14093,32000.0,12500000.0
2010-12-01,2560,2560,2530,2550,2755,31875.0,12500000.0
2010-12-02,2550,2600,2490,2585,27620,32312.0,12500000.0
2010-12-03,2505,2580,2400,2480,33806,31000.0,12500000.0
2010-12-06,2450,2505,2400,2405,8841,30062.0,12500000.0
2010-12-07,2320,2490,2320,2400,29572,30000.0,12500000.0
2010-12-08,2400,2435,2300,2300,31663,28750.0,12500000.0
2010-12-09,2380,2380,2300,2350,7325,29375.0,12500000.0
2010-12-10,2355,2360,2340,2340,11318,29250.0,12500000.0
2010-12-13,2370,2380,2360,2380,6459,29750.0,12500000.0
2010-12-14,2335,2390,2300,2300,9904,28750.0,12500000.0
2010-12-15,2290,2350,2270,2350,30229,29375.0,12500000.0
2010-12-16,2320,2470,2320,2370,39089,29625.0,12500000.0
2010-12-17,2460,2460,2235,2355,270134,29438.0,12500000.0
2010-12-20,2340,2370,2270,2335,18503,29188.0,12500000.0
2010-12-21,2230,2335,2230,2245,30180,28062.0,12500000.0
2010-12-22,2270,2300,2200,2210,378064,27625.0,12500000.0
2010-12-23,2210,2295,2200,2245,8051,28062.0,12500000.0
2010-12-24,2250,2250,2145,2240,20295,28000.0,12500000.0
2010-12-27,2250,2290,2220,2275,38424,28438.0,12500000.0
2010-12-28,2430,2430,2270,2275,14066,28438.0,12500000.0
2010-12-29,2290,2290,2250,2290,3735,28625.0,12500000.0
2010-12-30,2250,2350,2250,2310,3111,28875.0,12500000.0
2011-01-03,2300,2320,2250,2300,10187,28750.0,12500000.0
2011-01-04,2280,2310,2210,2290,6687,28625.0,12500000.0
2011-01-05,2280,2335,2250,2335,5791,29188.0,12500000.0
2011-01-06,2210,2315,2210,2315,6203,28938.0,12500000.0
2011-01-07,2440,2440,2205,2355,1104,29438.0,12500000.0
2011-01-10,2465,2465,2160,2300,21872,28750.0,12500000.0
2011-01-11,2325,2385,2220,2320,20353,29000.0,12500000.0
2011-01-12,2300,2300,2235,2285,2563,28562.0,12500000.0
2011-01-13,2285,2285,2210,2260,12482,28250.0,12500000.0
2011-01-14,2300,2300,2195,2265,13615,28312.0,12500000.0
2011-01-17,2265,2290,2210,2245,21371,28062.0,12500000.0
2011-01-18,2220,2280,2200,2280,10050,28500.0,12500000.0
2011-01-19,2210,2270,2210,2265,8925,28312.0,12500000.0
2011-01-20,2250,2260,2250,2260,6205,28250.0,12500000.0
2011-01-21,2260,2270,2170,2270,6144,28375.0,12500000.0
2011-01-24,2230,2270,2105,2265,19179,28312.0,12500000.0
2011-01-25,2260,2265,2205,2245,13317,28062.0,12500000.0
2011-01-26,2275,2275,2115,2135,45642,26688.0,12500000.0
2011-01-27,2120,2175,2030,2040,55461,25500.0,12500000.0
2011-01-28,2075,2100,2075,2085,11827,26062.0,12500000.0
2011-01-31,2095,2160,2070,2100,2573,26250.0,12500000.0
2011-02-01,2070,2110,2060,2090,29266,26125.0,12500000.0
2011-02-07,2130,2130,2050,2060,8574,25750.0,12500000.0
2011-02-08,2075,2080,2035,2045,23241,25562.0,12500000.0
2011-02-09,2100,2100,2000,2045,31415,25562.0,12500000.0
2011-02-10,2015,2035,1995,2035,74226,25438.0,12500000.0
2011-02-11,2035,2035,1985,1995,86794,24938.0,12500000.0
2011-02-14,1995,2000,1965,2000,40168,25000.0,12500000.0
2011-02-15,1980,2000,1980,1995,21396,24938.0,12500000.0
2011-02-16,1995,2050,1995,2030,3207,25375.0,12500000.0
2011-02-17,2000,2040,2000,2035,10302,25438.0,12500000.0
2011-02-18,2000,2100,1985,2000,13844,25000.0,12500000.0
2011-02-21,1990,2040,1990,2030,14134,25375.0,12500000.0
2011-02-22,1990,2040,1990,2035,13621,25438.0,12500000.0
2011-02-23,2000,2030,1995,2030,20688,25375.0,12500000.0
2011-02-24,2010,2030,2000,2025,7544,25312.0,12500000.0
2011-02-25,2025,2025,2000,2020,21763,25250.0,12500000.0
2011-02-28,2000,2025,2000,2020,5734,25250.0,12500000.0
2011-03-02,1995,2020,1995,2015,8437,25188.0,12500000.0
2011-03-03,2000,2030,2000,2030,14438,25375.0,12500000.0
2011-03-04,2030,2065,2030,2065,32654,25812.0,12500000.0
2011-03-07,2020,2095,2020,2065,1794,25812.0,12500000.0
2011-03-08,2040,2065,2035,2060,9523,25750.0,12500000.0
2011-03-09,2065,2065,2020,2020,15561,25250.0,12500000.0
2011-03-10,2020,2040,2000,2040,26047,25500.0,12500000.0
2011-03-11,2000,2040,2000,2040,4450,25500.0,12500000.0
2011-03-14,2045,2045,2010,2020,3706,25250.0,12500000.0
2011-03-15,2010,2030,1965,2030,42193,25375.0,12500000.0
2011-03-16,2000,2060,1990,2015,8080,25188.0,12500000.0
2011-03-17,2150,2150,2030,2080,76298,26000.0,12500000.0
2011-03-18,2015,2125,2015,2125,52319,26562.0,12500000.0
2011-03-21,2060,2130,2060,2125,5477,26562.0,12500000.0
2011-03-22,2125,2140,2125,2140,2312,26750.0,12500000.0
2011-03-23,2140,2140,2140,2140,329,26750.0,12500000.0
2011-03-24,2140,2145,2120,2140,6366,26750.0,12500000.0
2011-03-25,2150,2150,2100,2135,11177,26688.0,12500000.0
2011-03-28,2150,2180,2110,2180,23380,27250.0,12500000.0
2011-03-29,2180,2215,2130,2200,45035,27500.0,12500000.0
2011-03-30,2225,2380,2205,2265,161414,28312.0,12500000.0
2011-03-31,2285,2290,2175,2275,29149,28438.0,12500000.0
2011-04-01,2225,2280,2225,2235,14804,27938.0,12500000.0
2011-04-04,2240,2300,2230,2295,30794,28688.0,12500000.0
2011-04-05,2295,2360,2280,2330,152875,29125.0,12500000.0
2011-04-06,2370,2370,2250,2250,70608,28125.0,12500000.0
2011-04-07,2250,2250,2200,2240,145668,28000.0,12500000.0
2011-04-08,2240,2250,2200,2250,223323,28125.0,12500000.0
2011-04-11,0,0,0,2250,0,28125.0,12500000.0
2011-04-12,0,0,0,2250,0,,
2011-04-13,0,0,0,2250,0,,
2011-04-14,0,0,0,2250,0,,
2011-04-15,0,0,0,2250,0,,
2011-04-18,0,0,0,2250,0,,
2011-04-19,0,0,0,2250,0,,
2011-04-20,0,0,0,2250,0,,
2011-04-21,0,0,0,2250,0,,
2011-04-22,0,0,0,2250,0,,
2011-04-25,0,0,0,2250,0,,
2011-04-26,0,0,0,2250,0,,
2011-04-27,0,0,0,2250,0,,
2011-04-28,0,0,0,2250,0,,
2011-04-29,0,0,0,2250,0,,
2011-05-02,0,0,0,2250,0,,
2011-05-03,0,0,0,2250,0,,
2011-05-04,0,0,0,2250,0,,
2011-05-06,0,0,0,2250,0,,
2011-05-09,0,0,0,2250,0,,
2011-05-11,0,0,0,2250,0,,
2011-05-12,0,0,0,2250,0,,
2011-05-13,0,0,0,2250,0,,
2011-05-16,0,0,0,2250,0,,
2011-05-17,0,0,0,2250,0,,
2011-05-18,0,0,0,2250,0,,
2011-05-19,0,0,0,2250,0,,
2011-05-20,0,0,0,2250,0,,
2011-05-23,0,0,0,2250,0,,
2011-05-24,2095,2095,1945,1980,169410,24750.0,12500000.0
2011-05-25,2080,2080,1980,2010,120741,25125.0,12500000.0
2011-05-26,2045,2045,1980,2010,24324,25125.0,12500000.0
2011-05-27,2010,2220,2000,2075,19877,25938.0,12500000.0
2011-05-30,2100,2190,2035,2090,238759,26125.0,12500000.0
2011-05-31,2070,2165,2060,2165,159124,27062.0,12500000.0
2011-06-01,2180,2180,2100,2165,54295,27062.0,12500000.0
2011-06-02,2100,2200,2100,2200,158492,27500.0,12500000.0
2011-06-03,2150,2205,2150,2175,162980,27188.0,12500000.0
2011-06-07,2175,2200,2160,2200,154667,27500.0,12500000.0
2011-06-08,2195,2200,2130,2200,127698,27500.0,12500000.0
2011-06-09,2190,2195,2150,2175,90104,27188.0,12500000.0
2011-06-10,2160,2180,2160,2170,17707,27125.0,12500000.0
2011-06-13,2150,2190,2150,2170,26443,27125.0,12500000.0
2011-06-14,2160,2190,2150,2185,28086,27312.0,12500000.0
2011-06-15,2170,2180,2115,2165,17151,27062.0,12500000.0
2011-06-16,2050,2195,2050,2175,109121,27188.0,12500000.0
2011-06-17,2160,2195,2135,2195,83243,27438.0,12500000.0
2011-06-20,2195,2300,2190,2225,142341,27812.0,12500000.0
2011-06-21,2230,2245,2200,2200,34996,27500.0,12500000.0
2011-06-22,2240,2240,2165,2220,30377,27750.0,12500000.0
2011-06-23,2170,2200,2145,2170,150400,27125.0,12500000.0
2011-06-24,2195,2195,2115,2195,63841,27438.0,12500000.0
2011-06-27,2195,2195,2135,2190,28738,27375.0,12500000.0
2011-06-28,2155,2195,2155,2175,49593,27188.0,12500000.0
2011-06-29,2160,2200,2160,2190,57963,27375.0,12500000.0
