아시아경제(127710),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-07-31,3240,4210,2920,4210,22105692,106277.0,25244030.0
2015-08-03,5470,5470,4285,4370,33900678,110316.0,25244030.0
2015-08-04,4310,4830,4110,4390,14292360,110821.0,25244030.0
2015-08-05,4670,4760,4270,4325,7847088,109180.0,25244030.0
2015-08-06,4335,4405,4120,4405,5315720,111200.0,25244030.0
2015-08-07,4285,4345,3880,3920,2855882,98957.0,25244030.0
2015-08-10,3965,4240,3775,3805,3993702,96054.0,25244030.0
2015-08-11,3825,3940,3620,3625,1853691,91510.0,25244030.0
2015-08-12,3635,3740,3435,3710,2471515,93655.0,25244030.0
2015-08-13,3680,4820,3640,4820,12437547,121676.0,25244030.0
2015-08-17,4755,4785,4050,4155,7371733,104889.0,25244030.0
2015-08-18,4145,4450,3685,3750,8407402,94665.0,25244030.0
2015-08-19,3905,4350,3750,3940,10046220,99461.0,25244030.0
2015-08-20,4020,4255,3700,3780,3837647,95422.0,25244030.0
2015-08-21,3570,3675,3315,3330,2428501,84063.0,25244030.0
2015-08-24,3205,3560,3205,3300,2016297,83305.0,25244030.0
2015-08-25,3450,3790,3300,3510,3889696,88607.0,25244030.0
2015-08-26,3525,3680,3505,3630,2338809,91636.0,25244030.0
2015-08-27,3695,3880,3620,3630,2449211,91636.0,25244030.0
2015-08-28,3670,3730,3580,3590,1763153,90626.0,25244030.0
2015-08-31,3640,3855,3605,3705,3315672,93529.0,25244030.0
2015-09-01,3735,3820,3570,3570,1831044,90121.0,25244030.0
2015-09-02,3515,3645,3475,3610,1551097,91131.0,25244030.0
2015-09-03,3660,3810,3590,3600,2788685,90879.0,25244030.0
2015-09-04,3695,3800,3330,3475,2567084,87723.0,25244030.0
2015-09-07,3510,3625,3410,3440,1108224,86839.0,25244030.0
2015-09-08,3465,3515,3235,3240,854086,81791.0,25244030.0
2015-09-09,3300,3425,3285,3365,742681,84946.0,25244030.0
2015-09-10,3390,3450,3355,3445,826145,86966.0,25244030.0
2015-09-11,3445,3445,3315,3350,493962,84568.0,25244030.0
2015-09-14,3385,3385,3200,3285,625761,82927.0,25244030.0
2015-09-15,3300,3300,3150,3160,790513,79771.0,25244030.0
2015-09-16,3205,3240,3030,3100,845936,78256.0,25244030.0
2015-09-17,3135,3235,3085,3155,650653,79645.0,25244030.0
2015-09-18,3210,3330,3180,3330,1026909,84063.0,25244030.0
2015-09-21,3310,3315,3255,3290,525603,83053.0,25244030.0
2015-09-22,3350,3370,3265,3345,599869,84441.0,25244030.0
2015-09-23,3295,3340,3200,3200,444936,80781.0,25244030.0
2015-09-24,3195,3295,3185,3210,310526,81033.0,25244030.0
2015-09-25,3210,3235,3105,3135,356512,79140.0,25244030.0
2015-09-30,3030,3155,3000,3145,393130,79392.0,25244030.0
2015-10-01,3160,3235,3130,3155,487049,79645.0,25244030.0
2015-10-02,3170,3220,3145,3155,419814,79645.0,25244030.0
2015-10-05,3175,3300,3155,3155,402083,79645.0,25244030.0
2015-10-06,3180,3300,3160,3300,599752,83305.0,25244030.0
2015-10-07,3355,3375,3240,3295,638141,83179.0,25244030.0
2015-10-08,3310,3310,3185,3195,315510,80655.0,25244030.0
2015-10-12,3200,3235,3110,3125,365779,78888.0,25244030.0
2015-10-13,3125,3155,3070,3125,221387,78888.0,25244030.0
2015-10-14,3130,3160,3070,3070,196052,77499.0,25244030.0
2015-10-15,3070,3120,3055,3070,257868,77499.0,25244030.0
2015-10-16,3100,3140,3080,3095,291737,78130.0,25244030.0
2015-10-19,3125,3210,3100,3145,335241,79392.0,25244030.0
2015-10-20,3175,3345,3135,3345,966171,84441.0,25244030.0
2015-10-21,3355,3360,3275,3300,484818,83305.0,25244030.0
2015-10-22,3300,3330,3145,3145,407861,79392.0,25244030.0
2015-10-23,3170,3245,3170,3200,238327,80781.0,25244030.0
2015-10-26,3215,3335,3215,3290,431567,83053.0,25244030.0
2015-10-27,3265,3290,3160,3195,411783,80655.0,25244030.0
2015-10-28,3195,3310,3180,3245,352936,81917.0,25244030.0
2015-10-29,3255,3300,3240,3245,270172,81917.0,25244030.0
2015-10-30,3250,3270,3205,3215,213209,81160.0,25244030.0
2015-11-02,3225,3240,3045,3075,688096,77625.0,25244030.0
2015-11-03,3105,3105,2930,2950,553033,74470.0,25244030.0
2015-11-04,2970,3085,2880,2925,417570,73839.0,25244030.0
2015-11-05,2900,3000,2895,2945,296325,74344.0,25244030.0
2015-11-06,2930,2945,2850,2850,414677,71945.0,25244030.0
2015-11-09,2850,2865,2775,2775,255465,70052.0,25244030.0
2015-11-10,2820,2820,2550,2630,528339,66392.0,25244030.0
2015-11-11,2615,2730,2615,2655,184149,67023.0,25244030.0
2015-11-12,2655,2820,2650,2720,338423,68664.0,25244030.0
2015-11-13,2670,2860,2580,2840,411067,71693.0,25244030.0
2015-11-16,2800,2960,2760,2875,334679,72577.0,25244030.0
2015-11-17,2875,2915,2810,2850,177789,71945.0,25244030.0
2015-11-18,2830,2885,2750,2750,179206,69421.0,25244030.0
2015-11-19,2760,2795,2695,2705,194311,68285.0,25244030.0
2015-11-20,2700,2725,2670,2710,175962,68411.0,25244030.0
2015-11-23,2735,2770,2695,2750,208279,69421.0,25244030.0
2015-11-24,2730,2795,2730,2765,248079,69800.0,25244030.0
2015-11-25,2760,2800,2720,2725,142124,68790.0,25244030.0
2015-11-26,2695,2755,2680,2680,229767,67654.0,25244030.0
2015-11-27,2680,2735,2670,2705,164670,68285.0,25244030.0
2015-11-30,2730,2850,2700,2770,405666,69926.0,25244030.0
2015-12-01,2770,2820,2770,2810,126517,70936.0,25244030.0
2015-12-02,2810,2875,2780,2810,368023,70936.0,25244030.0
2015-12-03,2785,2865,2785,2820,143897,71188.0,25244030.0
2015-12-04,2805,2850,2780,2800,148015,70683.0,25244030.0
2015-12-07,2800,2835,2785,2805,96313,70810.0,25244030.0
2015-12-08,2780,2805,2680,2710,253935,68411.0,25244030.0
2015-12-09,2710,2845,2710,2805,414379,70810.0,25244030.0
2015-12-10,2830,2885,2790,2795,259935,70557.0,25244030.0
2015-12-11,2800,2820,2775,2810,126776,70936.0,25244030.0
2015-12-14,2870,2985,2800,2815,720419,71062.0,25244030.0
2015-12-15,2835,2890,2780,2805,406174,70810.0,25244030.0
2015-12-16,2795,2830,2780,2815,193658,71062.0,25244030.0
2015-12-17,2820,2860,2810,2815,173661,71062.0,25244030.0
2015-12-18,2805,2995,2790,2950,1037845,74470.0,25244030.0
2015-12-21,3020,3060,2910,2935,601127,74091.0,25244030.0
2015-12-22,2960,3170,2935,3015,2642944,76111.0,25244030.0
2015-12-23,3050,3050,2930,2955,637084,74596.0,25244030.0
2015-12-24,2980,3150,2935,3065,651934,77373.0,25244030.0
2015-12-28,3110,3190,3050,3050,833500,76994.0,25244030.0
2015-12-29,3100,3110,3020,3020,318803,76237.0,25244030.0
2015-12-30,3040,3065,2965,3045,315338,76868.0,25244030.0
2016-01-04,3080,3150,3005,3005,634639,75858.0,25244030.0
2016-01-05,2950,3040,2945,3005,269253,75858.0,25244030.0
2016-01-06,3030,3145,2995,3085,1035415,77878.0,25244030.0
2016-01-07,3085,3095,3000,3010,303402,75985.0,25244030.0
2016-01-08,2990,3030,2930,3030,343597,76489.0,25244030.0
2016-01-11,3015,3025,2965,2990,163668,75480.0,25244030.0
2016-01-12,2980,3015,2945,2960,208058,74722.0,25244030.0
2016-01-13,2970,2995,2930,2960,177807,74722.0,25244030.0
2016-01-14,2900,2950,2835,2870,287414,72450.0,25244030.0
2016-01-15,2875,2920,2795,2830,169847,71441.0,25244030.0
2016-01-18,2750,2800,2720,2760,208231,69674.0,25244030.0
2016-01-19,2760,2795,2730,2770,155409,69926.0,25244030.0
2016-01-20,2775,2805,2610,2665,285339,67275.0,25244030.0
2016-01-21,2630,2690,2600,2615,157023,66013.0,25244030.0
2016-01-22,2615,2650,2585,2600,156370,65634.0,25244030.0
2016-01-25,2625,2675,2615,2655,137728,67023.0,25244030.0
2016-01-26,2615,2655,2590,2605,190209,65761.0,25244030.0
2016-01-27,2610,2660,2595,2610,173361,65887.0,25244030.0
2016-01-28,2580,2625,2580,2620,97049,66139.0,25244030.0
2016-01-29,2620,2635,2595,2605,139960,65761.0,25244030.0
2016-02-01,2620,2660,2615,2655,111184,67023.0,25244030.0
2016-02-02,2655,2670,2630,2650,64510,66897.0,25244030.0
2016-02-03,2625,2655,2620,2625,70484,66266.0,25244030.0
2016-02-04,2625,2675,2595,2610,156582,65887.0,25244030.0
2016-02-05,2615,2635,2595,2600,117034,65634.0,25244030.0
2016-02-11,2540,2680,2500,2585,207633,65256.0,25244030.0
2016-02-12,2550,2640,2405,2480,309639,62605.0,25244030.0
2016-02-15,2445,2505,2445,2500,112062,63110.0,25244030.0
2016-02-16,2495,2515,2455,2495,144437,62984.0,25244030.0
2016-02-17,2495,2515,2425,2425,160248,61217.0,25244030.0
2016-02-18,2475,2490,2430,2460,106778,62100.0,25244030.0
2016-02-19,2460,2555,2450,2510,220281,63363.0,25244030.0
2016-02-22,2515,2645,2510,2635,224731,66518.0,25244030.0
2016-02-23,2615,2665,2560,2605,175575,65761.0,25244030.0
2016-02-24,2595,2630,2545,2550,138542,64372.0,25244030.0
2016-02-25,2550,2580,2510,2535,135238,63994.0,25244030.0
2016-02-26,2540,2645,2540,2600,187148,65634.0,25244030.0
2016-02-29,2600,2660,2585,2625,118169,66266.0,25244030.0
2016-03-02,2630,2630,2595,2605,147134,65761.0,25244030.0
2016-03-03,2600,2625,2575,2600,85690,65634.0,25244030.0
2016-03-04,2600,2720,2590,2685,420224,67780.0,25244030.0
2016-03-07,2720,2760,2680,2710,253956,68411.0,25244030.0
2016-03-08,2710,2710,2630,2685,95729,67780.0,25244030.0
2016-03-09,2690,2730,2690,2705,288298,68285.0,25244030.0
2016-03-10,2705,2745,2690,2700,156927,68159.0,25244030.0
2016-03-11,2685,2700,2655,2655,172529,67023.0,25244030.0
2016-03-14,2660,2700,2655,2685,109447,67780.0,25244030.0
2016-03-15,2685,2750,2670,2670,236186,67402.0,25244030.0
2016-03-16,2675,2710,2650,2700,222120,68159.0,25244030.0
2016-03-17,2700,2805,2700,2775,578754,70052.0,25244030.0
2016-03-18,2790,2940,2785,2830,633189,71441.0,25244030.0
2016-03-21,2840,2845,2795,2810,138652,70936.0,25244030.0
2016-03-22,2810,2835,2740,2760,136944,69674.0,25244030.0
2016-03-23,2760,2795,2735,2780,170294,70178.0,25244030.0
2016-03-24,2780,2780,2735,2765,108667,69800.0,25244030.0
2016-03-25,2760,2780,2740,2765,144520,69800.0,25244030.0
2016-03-28,2765,3040,2760,2900,876067,73208.0,25244030.0
2016-03-29,2895,2970,2870,2880,448087,72703.0,25244030.0
2016-03-30,2870,2905,2820,2825,205639,71314.0,25244030.0
2016-03-31,2850,3105,2830,3035,1901164,76616.0,25244030.0
2016-04-01,3060,3235,3020,3175,2120334,80150.0,25244030.0
2016-04-04,3350,3530,3225,3255,3255500,82169.0,25244030.0
2016-04-05,3390,3400,3120,3300,1373247,83305.0,25244030.0
2016-04-06,3300,3485,3260,3325,1800429,83936.0,25244030.0
2016-04-07,3280,3430,3250,3430,1610613,86587.0,25244030.0
2016-04-08,3370,3490,3220,3220,1367925,81286.0,25244030.0
2016-04-11,3220,3240,3090,3120,902447,78761.0,25244030.0
2016-04-12,3120,3375,3075,3275,1481407,82674.0,25244030.0
2016-04-14,2965,3245,2900,3050,1601838,76994.0,25244030.0
2016-04-15,3035,3965,3030,3965,11423705,100093.0,25244030.0
2016-04-18,3885,5090,3880,4465,22219910,112715.0,25244030.0
2016-04-19,4410,4790,4120,4315,9980914,108928.0,25244030.0
2016-04-20,4510,4555,4045,4240,7927074,107035.0,25244030.0
2016-04-21,4220,4425,4100,4290,5465832,108297.0,25244030.0
2016-04-22,4225,5290,4180,4500,20651278,113598.0,25244030.0
2016-04-25,4590,4590,4360,4440,987384,112083.0,25244030.0
2016-04-26,4480,4665,4400,4665,963372,117763.0,25244030.0
2016-04-27,4725,5050,4700,5050,1498733,127482.0,25244030.0
2016-04-28,5050,6030,4985,5310,16286465,134046.0,25244030.0
2016-04-29,5330,5850,5000,5100,8326625,128745.0,25244030.0
2016-05-02,5200,5290,4745,4770,2909963,120414.0,25244030.0
2016-05-03,4770,5450,4720,5450,3805119,137580.0,25244030.0
2016-05-04,5370,5540,5100,5100,3506629,128745.0,25244030.0
2016-05-09,5060,5250,4810,4820,2185755,121676.0,25244030.0
2016-05-10,4820,5710,4810,5170,8544918,130512.0,25244030.0
2016-05-11,5180,5540,5140,5210,3851201,131521.0,25244030.0
2016-05-12,5260,5410,5170,5190,2302400,131017.0,25244030.0
2016-05-13,5300,5380,5080,5280,2354516,133288.0,25244030.0
2016-05-16,5200,5400,5180,5360,2129914,135308.0,25244030.0
2016-05-17,5340,6960,5220,6960,17770675,175698.0,25244030.0
2016-05-18,7400,7430,6420,6590,7158571,166358.0,25244030.0
2016-05-19,6640,7590,6220,6850,10277113,172922.0,25244030.0
2016-05-20,6750,7440,6680,7000,7049317,176708.0,25244030.0
2016-05-23,7230,8890,7090,8170,18455636,206244.0,25244030.0
2016-05-24,8010,8600,7710,8050,4601505,203214.0,25244030.0
2016-05-25,8110,8650,7930,8100,4426706,204477.0,25244030.0
2016-05-26,8250,8550,8060,8120,3326420,204982.0,25244030.0
2016-05-27,8220,8380,7090,7100,4271843,179233.0,25244030.0
2016-05-30,7260,7480,6930,7090,2935693,178980.0,25244030.0
2016-05-31,7050,7270,6950,6950,1409691,175446.0,25244030.0
2016-06-01,6960,7210,6810,7160,2074642,180747.0,25244030.0
2016-06-02,7160,7270,6700,6880,1810334,173679.0,25244030.0
2016-06-03,6880,7140,6570,7060,2353367,178223.0,25244030.0
2016-06-07,7030,7160,6940,7150,1016455,180495.0,25244030.0
2016-06-08,7250,7800,7190,7400,4672939,186806.0,25244030.0
2016-06-09,7450,7610,7210,7290,1752694,184029.0,25244030.0
2016-06-10,7950,8160,6450,6450,8588100,162824.0,25244030.0
2016-06-13,6480,6550,6030,6110,2306058,154241.0,25244030.0
2016-06-14,6090,6240,5950,5960,1770986,150454.0,25244030.0
2016-06-15,5960,6150,5850,5950,1296881,150202.0,25244030.0
2016-06-16,5970,6060,5560,5610,1700410,141619.0,25244030.0
2016-06-17,5640,5750,5380,5620,1149168,141871.0,25244030.0
2016-06-20,5690,5860,5610,5650,1359838,142629.0,25244030.0
2016-06-21,5700,5910,5650,5730,1538701,144648.0,25244030.0
2016-06-22,5730,5880,5650,5660,1074416,142881.0,25244030.0
2016-06-23,5620,5690,5340,5350,876793,135056.0,25244030.0
2016-06-24,5380,5510,4560,4975,2132564,125589.0,25244030.0
2016-06-27,4720,5140,4610,5130,1135705,129502.0,25244030.0
2016-06-28,5100,5290,5010,5180,834842,130764.0,25244030.0
2016-06-29,5280,5640,5230,5430,1562966,137075.0,25244030.0
2016-06-30,5480,5490,5330,5360,570579,135308.0,25244030.0
2016-07-01,5420,5530,5360,5440,461484,137328.0,25244030.0
2016-07-04,5410,5710,5370,5630,1156596,142124.0,25244030.0
2016-07-05,5620,5670,5540,5610,455875,141619.0,25244030.0
2016-07-06,5620,5800,5520,5690,1173313,143639.0,25244030.0
2016-07-07,5750,6090,5750,6030,3075582,152222.0,25244030.0
2016-07-08,6110,6200,5830,6150,1632733,155251.0,25244030.0
2016-07-11,6210,6300,6100,6100,1244899,153989.0,25244030.0
2016-07-12,6120,6260,6080,6110,950593,154241.0,25244030.0
