알서포트(131370),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-01-05,2842,3268,2842,3268,8037345,26765.0,8620001.0
2011-01-06,3757,3757,2842,2984,25636295,24438.0,8620001.0
2011-01-07,3047,3131,2657,2700,5633444,22110.0,8620001.0
2011-01-10,2710,2773,2652,2653,2538701,21722.0,8620001.0
2011-01-11,2673,2978,2663,2679,6173171,21938.0,8620001.0
2011-01-12,2684,2710,2636,2637,1656772,21593.0,8620001.0
2011-01-13,2673,2678,2615,2621,911974,21464.0,8620001.0
2011-01-14,2652,2678,2615,2626,969100,21507.0,8620001.0
2011-01-17,2668,2831,2631,2632,1505904,21550.0,8620001.0
2011-01-18,2668,2694,2626,2632,641824,21550.0,8620001.0
2011-01-19,2657,2663,2610,2611,566500,21378.0,8620001.0
2011-01-20,2615,2626,2584,2584,723623,21162.0,8620001.0
2011-01-21,2605,2605,2552,2558,487318,20947.0,8620001.0
2011-01-24,2563,2578,2521,2526,440652,20688.0,8620001.0
2011-01-25,2521,2589,2500,2505,362335,20516.0,8620001.0
2011-01-26,2547,2578,2494,2553,784500,20904.0,8620001.0
2011-01-27,2594,2594,2515,2516,273253,20602.0,8620001.0
2011-01-28,2515,2547,2515,2526,163285,20688.0,8620001.0
2011-01-31,2505,2542,2484,2505,344963,20516.0,8620001.0
2011-02-01,2500,2526,2500,2516,100918,20602.0,8620001.0
2011-02-07,2536,2542,2505,2526,157580,20688.0,8620001.0
2011-02-08,2521,2547,2515,2547,270152,20860.0,8620001.0
2011-02-09,2547,2557,2521,2521,289440,20645.0,8620001.0
2011-02-10,2510,2542,2500,2516,200992,20602.0,8620001.0
2011-02-11,2505,2505,2473,2474,341537,20257.0,8620001.0
2011-02-14,2473,2494,2436,2447,239293,20042.0,8620001.0
2011-02-15,2447,2468,2421,2432,208755,19912.0,8620001.0
2011-02-16,2431,2447,2415,2421,119860,19826.0,8620001.0
2011-02-17,2436,2436,2410,2411,123027,19740.0,8620001.0
2011-02-18,2415,2473,2415,2458,48258,20128.0,8620001.0
2011-02-21,2484,2484,2447,2458,34806,20128.0,8620001.0
2011-02-22,2442,2505,2442,2442,63384,19998.0,8620001.0
2011-02-23,2473,2473,2436,2437,38544,19955.0,8620001.0
2011-02-24,2468,2468,2436,2442,73148,19998.0,8620001.0
2011-02-25,2436,2457,2436,2447,32041,20042.0,8620001.0
2011-02-28,2447,2473,2436,2453,48820,20085.0,8620001.0
2011-03-02,2452,2457,2436,2447,50643,20042.0,8620001.0
2011-03-03,2447,2463,2442,2463,54031,20171.0,8620001.0
2011-03-04,2478,2478,2452,2468,36345,20214.0,8620001.0
2011-03-07,2468,2484,2452,2468,42962,20214.0,8620001.0
2011-03-08,2457,2500,2457,2495,101942,20429.0,8620001.0
2011-03-09,2494,2500,2473,2495,36716,20429.0,8620001.0
2011-03-10,2494,2494,2463,2474,45100,20257.0,8620001.0
2011-03-11,2473,2484,2457,2484,54253,20343.0,8620001.0
2011-03-14,2442,2484,2442,2463,108004,20171.0,8620001.0
2011-03-15,2457,2489,2436,2437,113009,19955.0,8620001.0
2011-03-16,2436,2473,2436,2468,53701,20214.0,8620001.0
2011-03-17,2515,2631,2484,2505,532119,20516.0,8620001.0
2011-03-18,2536,2584,2526,2563,216138,20990.0,8620001.0
2011-03-21,2578,2600,2542,2584,196227,21162.0,8620001.0
2011-03-22,2584,2600,2547,2584,61872,21162.0,8620001.0
2011-03-23,2584,2584,2536,2537,76156,20774.0,8620001.0
2011-03-24,2578,2578,2526,2532,40132,20731.0,8620001.0
2011-03-25,2531,2557,2521,2521,76096,20645.0,8620001.0
2011-03-28,2526,2542,2494,2500,115062,20473.0,8620001.0
2011-03-29,2500,2621,2494,2595,245471,21248.0,8620001.0
2011-03-30,2610,2615,2578,2600,185553,21291.0,8620001.0
2011-03-31,2594,2610,2568,2600,36913,21291.0,8620001.0
2011-04-01,2600,2647,2584,2642,109729,21636.0,8620001.0
2011-04-04,2626,2636,2573,2595,35044,21248.0,8620001.0
2011-04-05,2589,2605,2542,2553,74801,20904.0,8620001.0
2011-04-06,2589,2615,2536,2600,111138,21291.0,8620001.0
2011-04-07,2621,2621,2542,2605,64711,21335.0,8620001.0
2011-04-08,2594,2610,2563,2595,81782,21248.0,8620001.0
2011-04-11,2594,2673,2594,2616,135037,21421.0,8620001.0
2011-04-12,2600,2642,2589,2637,93641,21593.0,8620001.0
2011-04-13,2621,2684,2621,2663,119079,21809.0,8620001.0
2011-04-14,2642,2678,2615,2616,70532,21421.0,8620001.0
2011-04-15,2615,2642,2584,2595,43952,21248.0,8620001.0
2011-04-18,2578,2578,2526,2547,166555,20860.0,8620001.0
2011-04-19,2505,2542,2505,2521,57446,20645.0,8620001.0
2011-04-20,2563,2563,2505,2521,34339,20645.0,8620001.0
2011-04-21,2521,2526,2499,2521,54801,20645.0,8620001.0
2011-04-22,2505,2521,2473,2505,52906,20516.0,8620001.0
2011-04-25,2484,2515,2447,2495,75478,20429.0,8620001.0
2011-04-26,2452,2489,2452,2463,70246,20171.0,8620001.0
2011-04-27,2463,2484,2447,2463,62042,20171.0,8620001.0
2011-04-28,2442,2484,2442,2463,27543,20171.0,8620001.0
2011-04-29,2442,2473,2431,2442,34527,19998.0,8620001.0
2011-05-02,2473,2473,2436,2453,15353,20085.0,8620001.0
2011-05-03,2452,2473,2431,2453,8728,20085.0,8620001.0
2011-05-04,2442,2484,2436,2463,27149,20171.0,8620001.0
2011-05-06,2478,2505,2436,2474,53573,20257.0,8620001.0
2011-05-09,2542,2542,2484,2511,30238,20559.0,8620001.0
2011-05-11,2515,2515,2452,2453,4403,20085.0,8620001.0
2011-05-12,2463,2526,2447,2526,48186,20688.0,8620001.0
2011-05-13,2526,2526,2463,2468,13204,20214.0,8620001.0
2011-05-16,2473,2573,2468,2479,20532,20300.0,8620001.0
2011-05-17,2478,2521,2452,2474,16946,20257.0,8620001.0
2011-05-18,2521,2521,2457,2489,11324,20386.0,8620001.0
2011-05-19,2515,2515,2463,2474,62695,20257.0,8620001.0
2011-05-20,2510,2547,2484,2484,67495,20343.0,8620001.0
2011-05-23,2536,2536,2494,2516,22190,20602.0,8620001.0
2011-05-24,2552,2552,2463,2516,23884,20602.0,8620001.0
2011-05-25,2463,2526,2463,2511,18136,20559.0,8620001.0
2011-05-26,2510,2510,2442,2453,17928,20085.0,8620001.0
2011-05-27,2452,2489,2447,2453,11692,20085.0,8620001.0
2011-05-30,2436,2484,2410,2416,131772,19783.0,8620001.0
2011-05-31,2421,2452,2415,2437,11497,19955.0,8620001.0
2011-06-01,2421,2447,2421,2442,2133,19998.0,8620001.0
2011-06-02,2426,2447,2373,2384,108840,19524.0,8620001.0
2011-06-03,2384,2468,2378,2379,18339,19481.0,8620001.0
2011-06-07,2368,2421,2368,2411,15620,19740.0,8620001.0
2011-06-08,2463,2463,2378,2389,21978,19567.0,8620001.0
2011-06-09,2389,2410,2373,2405,16388,19697.0,8620001.0
2011-06-10,2484,2484,2394,2426,1319,19869.0,8620001.0
2011-06-13,2431,2436,2368,2395,10529,19611.0,8620001.0
2011-06-14,2368,2373,2326,2363,20606,19352.0,8620001.0
2011-06-15,2363,2378,2321,2347,9229,19223.0,8620001.0
2011-06-16,2336,2357,2321,2358,34350,19309.0,8620001.0
2011-06-17,2357,2394,2357,2368,11750,19395.0,8620001.0
2011-06-20,2442,2442,2326,2326,14786,19050.0,8620001.0
2011-06-21,2326,2373,2326,2326,4783,19050.0,8620001.0
2011-06-22,2400,2400,2336,2347,7385,19223.0,8620001.0
2011-06-23,2336,2357,2310,2316,88701,18964.0,8620001.0
2011-06-24,2315,2347,2310,2316,80811,18964.0,8620001.0
2011-06-27,2300,2357,2294,2295,9733,18792.0,8620001.0
2011-06-28,2294,2300,2268,2284,48842,18705.0,8620001.0
2011-06-29,2284,2315,2273,2295,40310,18792.0,8620001.0
2011-06-30,2357,2357,2268,2311,35787,18921.0,8620001.0
2011-07-01,2363,2363,2263,2295,15194,18792.0,8620001.0
2011-07-04,2336,2342,2294,2337,17251,19136.0,8620001.0
2011-07-05,2342,2347,2294,2347,11514,19223.0,8620001.0
2011-07-06,2347,2368,2315,2363,29306,19352.0,8620001.0
2011-07-07,2363,2389,2363,2389,5034,19567.0,8620001.0
2011-07-08,2410,2415,2373,2395,10831,19611.0,8620001.0
2011-07-11,2415,2415,2368,2389,7179,19567.0,8620001.0
2011-07-12,2405,2405,2315,2389,3005,19567.0,8620001.0
2011-07-13,2389,2405,2321,2379,12659,19481.0,8620001.0
2011-07-14,2326,2389,2326,2379,14461,19481.0,8620001.0
2011-07-15,2389,2389,2321,2374,8025,19438.0,8620001.0
2011-07-18,2400,2400,2326,2358,12414,19309.0,8620001.0
2011-07-19,2384,2384,2342,2368,12854,19395.0,8620001.0
2011-07-20,2336,2368,2326,2353,8581,19266.0,8620001.0
2011-07-21,2352,2363,2326,2363,14627,19352.0,8620001.0
2011-07-22,2331,2368,2331,2363,14081,19352.0,8620001.0
2011-07-25,2389,2389,2357,2374,2614,19438.0,8620001.0
2011-07-26,2394,2394,2368,2384,2880,19524.0,8620001.0
2011-07-27,2400,2400,2347,2384,10490,19524.0,8620001.0
2011-07-28,2336,2389,2336,2374,12870,19438.0,8620001.0
2011-07-29,2331,2399,2331,2374,34279,19438.0,8620001.0
2011-08-01,2373,2389,2352,2389,7502,19567.0,8620001.0
2011-08-02,2389,2405,2352,2405,10012,19697.0,8620001.0
2011-08-03,2347,2410,2342,2395,29861,19611.0,8620001.0
2011-08-04,2389,2400,2352,2353,33840,19266.0,8620001.0
2011-08-05,2326,2357,2294,2353,95606,19266.0,8620001.0
2011-08-08,2294,2363,2231,2253,73125,18447.0,8620001.0
2011-08-09,2226,2257,2157,2189,177378,17930.0,8620001.0
2011-08-10,2200,2278,2184,2211,104593,18102.0,8620001.0
2011-08-11,2189,2263,2189,2263,18808,18533.0,8620001.0
2011-08-12,2263,2331,2226,2226,59824,18231.0,8620001.0
2011-08-16,2231,2284,2231,2258,24473,18490.0,8620001.0
2011-08-17,2300,2315,2263,2316,60440,18964.0,8620001.0
2011-08-18,2315,2315,2268,2279,38190,18662.0,8620001.0
2011-08-19,2263,2273,2210,2263,74767,18533.0,8620001.0
2011-08-22,2226,2263,2210,2247,43235,18404.0,8620001.0
2011-08-23,2236,2268,2236,2268,40184,18576.0,8620001.0
2011-08-24,2242,2294,2242,2295,40875,18792.0,8620001.0
2011-08-25,2252,2300,2252,2289,8807,18749.0,8620001.0
2011-08-26,2263,2305,2263,2274,17705,18619.0,8620001.0
2011-08-29,2278,2289,2263,2289,4636,18749.0,8620001.0
2011-08-30,2305,2315,2284,2284,7349,18705.0,8620001.0
2011-08-31,2310,2310,2284,2305,9325,18878.0,8620001.0
2011-09-01,2289,2305,2289,2300,3452,18835.0,8620001.0
2011-09-02,2273,2305,2273,2300,16745,18835.0,8620001.0
2011-09-05,2278,2300,2263,2295,5991,18792.0,8620001.0
2011-09-06,2263,2294,2263,2289,19816,18749.0,8620001.0
2011-09-07,2268,2289,2268,2279,12882,18662.0,8620001.0
2011-09-08,2273,2284,2268,2284,15358,18705.0,8620001.0
2011-09-09,2273,2284,2268,2284,5187,18705.0,8620001.0
2011-09-14,2273,2284,2257,2284,20396,18705.0,8620001.0
2011-09-15,2257,2310,2257,2274,8341,18619.0,8620001.0
2011-09-16,2247,2278,2247,2279,5571,18662.0,8620001.0
2011-09-19,2273,2289,2257,2274,5984,18619.0,8620001.0
2011-09-20,2263,2268,2263,2263,13317,18533.0,8620001.0
2011-09-21,2252,2268,2252,2258,11824,18490.0,8620001.0
2011-09-22,2252,2257,2236,2242,6177,18361.0,8620001.0
2011-09-23,2236,2278,2226,2274,11359,18619.0,8620001.0
