녹십자엠에스(142280),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-12-17,7399,8509,6610,8510,3687809,98946.0,9560000.0
2014-12-18,8715,9784,8632,9784,673057,113764.0,9560000.0
2014-12-19,11222,11222,11222,11223,51727,130494.0,9560000.0
2014-12-22,12867,12867,11222,12867,1547295,149614.0,9560000.0
2014-12-23,13319,14758,13319,14758,339127,171602.0,9560000.0
2014-12-24,16854,16937,15169,16937,1229838,196936.0,9560000.0
2014-12-26,18088,18910,15292,16320,1621031,189766.0,9560000.0
2014-12-29,16937,16978,15415,15992,558393,185942.0,9560000.0
2014-12-30,15827,15827,13689,13895,592536,161564.0,9560000.0
2015-01-02,13524,14470,13113,14224,704239,165388.0,9560000.0
2015-01-05,14018,14717,13154,14265,454695,165866.0,9560000.0
2015-01-06,13894,14552,13689,14142,195626,164432.0,9560000.0
2015-01-07,14141,14306,13442,13648,198610,158696.0,9560000.0
2015-01-08,13812,15662,13483,15663,966467,182118.0,9560000.0
2015-01-09,16361,17512,15498,15909,913076,184986.0,9560000.0
2015-01-12,15950,16731,15251,16690,412709,194068.0,9560000.0
2015-01-13,17019,19156,16937,19157,1046433,222748.0,9560000.0
2015-01-14,20965,21993,18951,21993,1315991,255730.0,9560000.0
2015-01-15,21212,24706,20760,21952,1965397,255252.0,9560000.0
2015-01-16,23062,24912,22281,24213,1301352,281542.0,9560000.0
2015-01-19,23267,24460,22897,23186,889102,269592.0,9560000.0
2015-01-20,23021,23596,21417,22487,699799,261466.0,9560000.0
2015-01-21,22856,25323,22774,22898,1143427,266246.0,9560000.0
2015-01-22,22938,24460,22938,23186,569525,269592.0,9560000.0
2015-01-23,24090,24295,23185,23309,323206,271026.0,9560000.0
2015-01-26,23596,23925,22116,22199,293015,258120.0,9560000.0
2015-01-27,22034,23884,21993,22405,508119,260510.0,9560000.0
2015-01-28,22486,23473,22363,22980,240289,267202.0,9560000.0
2015-01-29,24460,24953,22980,23062,518057,268158.0,9560000.0
2015-01-30,22774,23350,21705,21870,257591,254296.0,9560000.0
2015-02-02,22199,22199,20883,21048,216274,244736.0,9560000.0
2015-02-03,21459,21829,20225,21459,281641,249516.0,9560000.0
2015-02-04,21253,21829,21089,21171,113200,246170.0,9560000.0
2015-02-05,21623,23432,21582,22857,624848,265768.0,9560000.0
2015-02-06,22938,22938,21829,22035,184513,256208.0,9560000.0
2015-02-09,21787,22034,19896,21582,270127,250950.0,9560000.0
2015-02-10,20719,20924,19896,20390,161921,237088.0,9560000.0
2015-02-11,20390,20801,19732,19897,139203,231352.0,9560000.0
2015-02-12,19896,19938,18828,18869,152639,219402.0,9560000.0
2015-02-13,18910,19938,18910,19239,165187,223704.0,9560000.0
2015-02-16,19444,20102,19280,19280,109718,224182.0,9560000.0
2015-02-17,19444,19485,18088,18294,137879,212710.0,9560000.0
2015-02-23,18416,19938,18252,18992,158748,220836.0,9560000.0
2015-02-24,19280,19568,18786,19321,62094,224660.0,9560000.0
2015-02-25,19362,19732,19198,19609,60688,228006.0,9560000.0
2015-02-26,19732,19814,18786,18787,74477,218446.0,9560000.0
2015-02-27,18581,19115,18540,18869,50374,219402.0,9560000.0
2015-03-02,18910,19609,18828,18910,80213,219880.0,9560000.0
2015-03-03,19239,19239,18622,18623,46061,216534.0,9560000.0
2015-03-04,18540,19074,18375,18992,50098,220836.0,9560000.0
2015-03-05,18992,19650,18910,19239,62918,223704.0,9560000.0
2015-03-06,19526,21130,18992,20308,292078,236132.0,9560000.0
