뉴파워프라즈마(144960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-11-30,17500,19150,16500,16800,3296364,132777.0,7903379.0
2016-12-01,16600,16800,14950,14950,539010,118156.0,7903379.0
2016-12-02,14950,18400,14650,17400,2408846,137519.0,7903379.0
2016-12-05,16800,17200,15650,15800,487699,124873.0,7903379.0
2016-12-06,16200,16900,15650,15650,366833,123688.0,7903379.0
2016-12-07,15900,16050,15100,15150,180846,119736.0,7903379.0
2016-12-08,15400,16000,14800,15500,196071,122502.0,7903379.0
2016-12-09,15700,16450,15300,16100,118208,127244.0,7903379.0
2016-12-12,16100,16650,15750,16500,135925,130406.0,7903379.0
2016-12-13,16600,18600,16500,17850,507089,141075.0,7903379.0
2016-12-14,17600,18600,17600,18000,149785,142261.0,7903379.0
2016-12-15,17800,18750,17700,18300,105809,144632.0,7903379.0
2016-12-16,18450,18500,17700,17950,53518,141866.0,7903379.0
2016-12-19,18000,18750,17150,18300,212606,144632.0,7903379.0
2016-12-20,18800,19150,17650,18000,174226,142261.0,7903379.0
2016-12-21,17500,18050,17450,17900,83151,141470.0,7903379.0
2016-12-22,17800,18450,17600,18000,97206,142261.0,7903379.0
2016-12-23,18800,21250,18600,20400,953469,161229.0,7903379.0
2016-12-26,20000,22600,20000,20950,523877,165576.0,7903379.0
2016-12-27,21100,22000,20550,22000,208550,173874.0,7903379.0
2016-12-28,22650,24650,21100,21900,583992,173084.0,7903379.0
2016-12-29,21500,23300,21250,22800,337049,180197.0,7903379.0
2017-01-02,22700,23000,21850,22950,174882,181383.0,7903379.0
2017-01-03,22700,23550,22600,23000,96238,181778.0,7903379.0
2017-01-04,23150,23550,22250,22250,139004,175850.0,7903379.0
2017-01-05,22450,24250,22300,24050,331838,190076.0,7903379.0
2017-01-06,24000,24250,23550,24150,136611,190867.0,7903379.0
2017-01-09,24300,24600,23700,24100,88929,190471.0,7903379.0
2017-01-10,24150,24950,23650,24850,132997,196399.0,7903379.0
2017-01-11,24800,25500,24000,24350,137511,192447.0,7903379.0
2017-01-12,24300,24450,22950,23400,211075,184939.0,7903379.0
2017-01-13,23400,24350,23400,23850,83939,193363.0,8107472.0
2017-01-16,24600,25000,23200,23300,118044,188904.0,8107472.0
2017-01-17,23000,23750,23000,23550,119076,190931.0,8107472.0
2017-01-18,23400,23550,22400,22800,169851,184850.0,8107472.0
2017-01-19,23100,23200,22450,22650,117765,183634.0,8107472.0
2017-01-20,22500,22850,21200,22750,247398,184445.0,8107472.0
2017-01-23,22450,23350,22050,22100,83651,179175.0,8107472.0
2017-01-24,22300,22800,21800,22700,70574,184040.0,8107472.0
2017-01-25,22700,22950,21950,21950,88377,177959.0,8107472.0
2017-01-26,22000,22800,21350,22750,63024,184445.0,8107472.0
2017-01-31,22600,23100,22300,22750,53666,184445.0,8107472.0
2017-02-01,22900,23000,22400,22850,42560,185256.0,8107472.0
2017-02-02,22900,22950,21700,21900,55929,177554.0,8107472.0
2017-02-03,21750,22000,20900,21150,76478,171473.0,8107472.0
2017-02-06,21000,21550,20950,21000,41086,170257.0,8107472.0
2017-02-07,20900,21350,19650,20500,89165,166203.0,8107472.0
2017-02-08,20500,21450,20050,21400,53011,173500.0,8107472.0
2017-02-09,21250,21650,20700,21150,39025,171473.0,8107472.0
2017-02-10,21050,21300,20300,20350,42880,164987.0,8107472.0
2017-02-13,19900,20650,19500,20450,27562,165798.0,8107472.0
2017-02-14,20350,20700,19850,20200,30691,163771.0,8107472.0
2017-02-15,20800,20800,20100,20600,16555,167014.0,8107472.0
2017-02-16,21000,21300,20300,20500,22927,166203.0,8107472.0
2017-02-17,20350,20750,20100,20400,25596,165392.0,8107472.0
2017-02-20,20650,20650,20150,20200,14937,163771.0,8107472.0
2017-02-21,20300,20400,20050,20250,21776,164176.0,8107472.0
2017-02-22,20300,20800,19950,20100,25128,162960.0,8107472.0
2017-02-23,19950,20000,19500,19900,47830,161339.0,8107472.0
2017-02-24,19900,21050,19700,21000,64144,170257.0,8107472.0
2017-02-27,21000,22200,20350,21950,91536,177959.0,8107472.0
2017-02-28,21850,22900,21650,22650,109075,183634.0,8107472.0
2017-03-02,22650,22650,21400,22000,45729,178364.0,8107472.0
2017-03-03,21950,22000,21200,21550,42495,174716.0,8107472.0
2017-03-06,22400,22400,21350,22050,28633,178770.0,8107472.0
2017-03-07,22000,22200,21400,21850,28338,177148.0,8107472.0
2017-03-08,21700,22450,21700,22300,44685,180797.0,8107472.0
2017-03-09,23000,23750,22950,23350,285044,189309.0,8107472.0
2017-03-10,23350,23500,22700,23450,67259,190120.0,8107472.0
2017-03-13,23600,23600,22500,22900,58560,185661.0,8107472.0
2017-03-14,22900,23000,22300,23000,51569,186472.0,8107472.0
2017-03-15,23000,23400,22550,22600,26318,183229.0,8107472.0
2017-03-16,22750,22900,21900,22300,55214,180797.0,8107472.0
2017-03-17,22500,22550,21700,21700,37166,175932.0,8107472.0
2017-03-20,22200,22200,20800,20850,64415,169041.0,8107472.0
2017-03-21,20550,20950,20150,20150,47124,163366.0,8107472.0
2017-03-22,20900,21900,20500,21100,117844,171068.0,8107472.0
2017-03-23,21400,22500,21300,21750,74645,176338.0,8107472.0
2017-03-24,22400,22400,21450,21800,45649,176743.0,8107472.0
2017-03-27,21800,21850,21500,21700,15817,175932.0,8107472.0
2017-03-28,21700,21950,21150,21400,22491,173500.0,8107472.0
2017-03-29,21400,22300,21250,22250,53539,180391.0,8107472.0
2017-03-30,22350,22850,21950,22850,56369,185256.0,8107472.0
2017-03-31,23000,23000,22650,22850,34736,185256.0,8107472.0
2017-04-03,22900,23000,22500,23000,38979,186472.0,8107472.0
2017-04-04,23000,23550,22700,23550,80061,190931.0,8107472.0
2017-04-05,23700,23750,23350,23550,60697,190931.0,8107472.0
2017-04-06,23350,23700,22850,23450,48258,190120.0,8107472.0
2017-04-07,23250,24700,23050,24300,105649,197012.0,8107472.0
2017-04-10,24300,24500,23900,24500,108954,198633.0,8107472.0
2017-04-11,24500,24800,24000,24500,76697,198633.0,8107472.0
2017-04-12,24550,24650,24150,24550,47635,199038.0,8107472.0
2017-04-13,24600,24600,23050,23900,95564,193769.0,8107472.0
2017-04-14,23500,23750,23000,23600,31175,191336.0,8107472.0
2017-04-17,23300,24250,23300,23750,46948,192552.0,8107472.0
2017-04-18,24000,24000,23150,23800,88426,192958.0,8107472.0
2017-04-19,23850,23850,23250,23600,52874,191336.0,8107472.0
2017-04-20,23300,24050,23200,23600,66280,191336.0,8107472.0
2017-04-21,23650,23850,23550,23800,25544,192958.0,8107472.0
2017-04-24,23900,23900,22600,23000,98332,186472.0,8107472.0
2017-04-25,23100,23400,22900,23300,28652,188904.0,8107472.0
2017-04-26,23650,23650,22900,23000,27986,186472.0,8107472.0
2017-04-27,22700,23050,22650,22950,12603,186066.0,8107472.0
2017-04-28,22750,23250,22450,23250,20921,188499.0,8107472.0
2017-05-02,23150,23150,22750,23000,22636,186472.0,8107472.0
2017-05-04,23250,23300,22700,23300,23609,188904.0,8107472.0
2017-05-08,23450,23800,23350,23550,40632,190931.0,8107472.0
2017-05-10,23600,23850,23150,23300,62334,188904.0,8107472.0
2017-05-11,23250,24450,23250,24200,106840,196201.0,8107472.0
2017-05-12,24350,24350,23550,23850,66463,193363.0,8107472.0
2017-05-15,24000,24000,22650,23350,103598,189309.0,8107472.0
